OnsetTime	OffsetTime	MidiPitch
0.500004	0.626055	71
0.500004	0.626055	59
0.752105	0.878156	75
0.752105	0.878156	63
1.00421	1.12716	78
1.00421	1.12716	66
1.25011	1.33377	76
1.25011	1.33377	64
1.33377	1.41743	78
1.33377	1.41743	66
1.41743	1.50109	76
1.41743	1.50109	64
1.50109	1.62488	72
1.50109	1.62488	60
1.74868	1.87827	81
1.74868	1.87827	69
2.00786	2.13391	71
2.00786	2.13391	59
2.25996	2.38601	75
2.25996	2.38601	63
2.51206	2.63812	78
2.51206	2.63812	66
2.76417	2.8482	76
2.76417	2.8482	64
2.8482	2.93223	78
2.8482	2.93223	66
2.93223	3.01627	76
2.93223	3.01627	64
3.01627	3.14118	72
3.01627	3.14118	60
3.26609	3.39449	81
3.26609	3.39449	69
3.45868	3.52288	59
3.52288	4.96684	71
3.52288	6.31831	66
3.77498	4.96684	75
4.02708	4.36322	78
4.27919	4.44725	76
4.36322	4.96684	78
4.44725	4.96684	76
4.53129	4.96684	72
4.78001	4.96684	81
5.03919	6.48246	71
5.29129	6.48246	75
5.54339	5.87953	78
5.79549	5.96356	76
5.87953	6.48246	78
5.96356	6.48246	76
6.04759	6.48246	72
6.05505	6.48246	67
6.30318	6.48246	81
6.31831	6.57709	66
6.56238	7.32653	71
6.56238	7.15169	69
6.81448	7.32653	75
7.06658	7.32653	78
7.06658	7.23828	67
7.15169	7.32653	69
7.23828	7.32653	67
7.32653	7.49459	76
7.32653	10.3636	66
7.41056	8.04779	78
7.49459	8.04779	76
7.57863	8.04779	72
7.83073	8.04779	81
8.0899	9.52739	71
8.342	9.52739	75
8.5941	8.93023	78
8.8462	9.01427	76
8.93023	9.52739	78
9.01427	9.52739	76
9.0983	9.52739	72
9.34812	9.52739	81
9.6073	10.31	71
9.8594	10.31	75
10.1115	10.31	78
10.3636	11.0819	72
10.3636	11.0595	64
10.6157	11.0819	79
10.8678	11.0819	84
10.9956	11.0819	66
11.0595	11.1234	64
11.1234	11.7978	78
11.1234	11.8797	62
11.3755	11.7978	83
11.6276	11.7978	90
11.8797	12.5865	88
11.8797	12.941	60
11.8797	12.941	66
12.1351	12.5865	93
12.3937	12.941	100
12.5898	12.941	87
12.6227	12.941	95
12.6556	12.941	102
12.6556	15.7051	59
12.9188	13.0459	75
12.9188	13.0459	69
13.173	13.296	78
13.173	13.296	66
13.4189	13.5026	76
13.4189	13.5445	67
13.5026	13.5863	78
13.5863	13.67	76
13.67	13.7943	72
13.67	13.7943	64
13.9187	14.0483	81
13.9187	14.0483	67
14.1779	14.3125	71
14.1779	14.3125	66
14.4471	14.5732	75
14.4471	14.5732	69
14.6992	14.8227	78
14.6992	14.8227	66
14.9462	15.0298	76
14.9462	15.0717	67
15.0298	15.1135	78
15.1135	15.1972	76
15.1972	15.3216	72
15.1972	15.3216	64
15.4459	15.5755	81
15.4459	15.5755	67
15.7051	16.1849	83
15.7051	16.1849	78
15.7051	16.1849	63
15.9538	16.2094	80
15.9538	16.2094	77
15.9538	16.2094	62
16.2094	16.6172	81
16.2094	16.6172	76
16.2094	16.6172	61
16.4592	16.7137	78
16.4592	16.7137	75
16.4592	16.7137	60
16.7137	16.9658	74
16.7137	17.1123	79
16.7137	17.1123	59
16.9658	17.2225	72
16.9658	17.2225	74
16.9658	17.2225	54
17.2225	17.346	71
17.2225	17.346	74
17.2225	17.346	55
17.4695	17.595	67
17.4695	17.595	59
17.7205	17.846	71
17.7205	17.846	55
17.9716	18.0335	69
17.9716	18.0954	60
18.0954	18.1573	69
18.2192	18.343	76
18.2192	18.343	66
18.4668	18.5928	76
18.4668	18.5928	81
18.4668	18.5928	60
18.6559	18.7252	59
18.7252	20.1692	71
18.7252	21.5058	66
18.9773	20.1692	75
19.2294	19.5655	78
19.4815	19.6496	76
19.5655	20.1692	78
19.6496	20.1692	76
19.7336	20.1692	72
19.9823	20.1692	81
20.2415	21.6851	71
20.4936	21.6851	75
20.7457	21.0819	78
20.9978	21.1659	76
21.0819	21.6851	78
21.1659	21.6851	76
21.2499	21.6851	72
21.2499	21.6851	67
21.5058	21.6851	81
21.5058	21.765	66
21.765	22.5291	71
21.765	22.3543	69
22.0171	22.5291	75
22.2692	22.5291	78
22.2692	22.4409	67
22.3543	22.5291	69
22.4409	22.5291	67
22.5291	22.6972	76
22.5291	25.5662	66
22.6132	23.2504	78
22.6972	23.2504	76
22.7812	23.2504	72
23.0333	23.2504	81
23.2925	24.73	71
23.5446	24.73	75
23.7967	24.1328	78
24.0488	24.2169	76
24.1328	24.73	78
24.2169	24.73	76
24.3009	24.73	72
24.5507	24.73	81
24.8099	25.5126	71
25.062	25.5126	75
25.3141	25.5126	78
25.5662	26.2845	72
25.5662	26.2621	64
25.8183	26.2845	79
26.0704	26.2845	84
26.1982	26.2845	66
26.2621	26.326	64
26.326	27.0004	78
26.326	27.0823	62
26.5781	27.0004	83
26.8302	27.0004	90
27.0823	27.7891	88
27.0823	28.1403	60
27.0823	28.1403	66
27.3377	27.7891	93
27.5963	28.1403	100
27.7924	28.1403	87
27.8253	28.1403	95
27.8582	28.1403	102
27.8582	30.8325	59
28.118	28.2456	75
28.118	28.2456	69
28.3733	28.4993	78
28.3733	28.4993	66
28.6254	28.7094	76
28.6254	28.7514	67
28.7094	28.7935	78
28.7935	28.8775	76
28.8775	29.0019	72
28.8775	29.0019	64
29.1262	29.2558	81
29.1262	29.2558	67
29.3854	29.52	71
29.3854	29.52	66
29.6546	29.7807	75
29.6546	29.7807	69
29.9067	30.0328	78
29.9067	30.0328	66
30.1588	30.2429	76
30.1588	30.2849	67
30.2429	30.3269	78
30.3269	30.4109	76
30.4109	30.5353	72
30.4109	30.5353	64
30.6597	30.7893	81
30.6597	30.7893	67
30.854	31.6502	59
30.9188	32.3724	71
31.1881	31.6502	75
31.4402	31.6502	78
31.6923	32.4523	76
31.6923	31.8603	84
31.6923	32.1931	69
31.7763	32.3724	86
31.8603	32.1931	84
31.9444	32.3724	81
31.9444	32.3724	66
32.1931	32.3724	84
32.1931	32.4523	69
32.4523	33.9058	71
32.7215	33.1627	75
32.9736	33.1627	78
33.2257	33.9857	76
33.2257	33.3938	84
33.2257	33.7265	69
33.3097	33.9058	86
33.3938	33.7265	84
33.4778	33.9058	81
33.4778	33.9058	66
33.7265	33.9058	84
33.7265	33.9857	69
33.9857	34.4655	71
34.2344	34.49	77
34.2344	34.49	80
34.2344	34.49	74
34.49	34.8978	81
34.49	34.8978	76
34.49	34.8978	73
34.7398	34.9943	75
34.7398	34.9943	78
34.7398	34.9943	72
34.9943	35.2464	74
34.9943	35.393	79
34.9943	35.393	71
35.2464	35.5031	72
35.2464	35.5031	74
35.2464	35.5031	66
35.5031	35.6315	71
35.5031	35.6315	74
35.5031	35.6315	55
35.7599	35.8883	67
35.7599	35.8883	59
36.0167	36.1451	71
36.0167	36.1451	55
36.2735	36.3354	69
36.2735	36.3973	60
36.3973	36.4593	69
36.5212	36.645	76
36.5212	36.645	66
36.7688	36.8989	76
36.7688	36.8989	81
36.7688	36.8989	60
37.0291	37.8751	83
37.0291	37.8751	59
37.1664	37.8751	85
37.1664	37.8751	61
37.3021	37.8751	87
37.3021	37.8751	63
37.436	37.8751	88
37.436	37.8751	64
37.5684	37.8751	90
37.5684	37.8751	66
37.6998	37.8751	91
37.6998	37.8751	67
37.8312	38.1882	93
37.8312	38.1882	69
38.1014	38.275	91
38.1014	38.275	67
38.1882	38.5806	93
38.1882	38.5806	69
38.275	38.5806	91
38.275	38.5806	67
38.3619	38.5806	90
38.3619	38.5806	66
38.4957	38.6334	88
38.4957	38.6334	64
38.6334	38.9093	90
38.6334	38.9093	66
38.7708	39.3652	91
38.7708	39.3652	67
38.9093	39.3652	90
38.9093	39.3652	66
39.0491	39.3652	86
39.0491	39.3652	62
39.1903	39.4739	83
39.1903	39.4739	59
39.4739	40.2819	84
39.4739	40.2819	60
39.6112	40.2819	86
39.6112	40.2819	62
39.7472	40.1468	88
39.7472	40.1468	64
39.8818	40.2819	90
39.8818	40.2819	66
40.015	40.2819	91
40.015	40.2819	67
40.1468	40.2819	88
40.1468	40.2819	64
40.2819	40.5482	86
40.2819	40.5482	62
40.4144	40.7588	88
40.4144	40.7588	64
40.5482	40.7588	86
40.5482	40.7588	62
40.6832	40.8241	83
40.6832	40.8241	59
40.8241	41.9235	79
40.8241	41.9235	55
40.9598	41.9235	81
40.9598	41.9235	57
41.0937	41.4897	83
41.0937	41.4897	59
41.2257	41.9235	86
41.2257	41.9235	62
41.3573	41.6228	84
41.3573	41.6228	60
41.4897	41.9235	83
41.4897	41.8998	59
41.6228	41.9235	84
41.6228	41.9235	60
41.7564	41.9235	88
41.7564	41.9235	64
41.8998	42.7105	59
41.9899	42.2586	75
41.9899	42.2586	83
42.0797	42.3477	71
42.1694	42.7105	66
42.2586	42.4364	75
42.2586	42.5278	83
42.3477	42.6191	71
42.4364	42.5278	75
42.5278	42.7105	75
42.5278	42.7105	83
42.6191	42.7105	71
42.7105	43.5176	59
42.8	43.0673	76
42.8	43.0673	81
42.8893	43.1562	72
42.9785	43.5428	66
43.0673	43.2448	76
43.0673	43.3357	81
43.1562	43.4267	72
43.2448	43.3357	76
43.3357	43.5428	76
43.3357	43.5428	81
43.4267	43.5428	72
43.5176	44.3414	59
43.6136	43.888	75
43.6136	43.888	83
43.708	43.9777	71
43.7981	44.3963	66
43.888	44.1586	83
43.888	44.0673	75
43.9777	44.25	71
44.0673	44.1586	75
44.1586	44.3963	83
44.1586	44.3963	75
44.25	44.3963	71
44.3414	45.1494	59
44.431	44.6991	81
44.431	44.6991	76
44.5207	44.7879	72
44.61	45.1739	66
44.6991	44.8766	76
44.6991	44.9675	81
44.7879	45.0584	72
44.8766	44.9675	76
44.9675	45.1739	76
44.9675	45.1739	81
45.0584	45.1739	72
45.1494	48.4078	59
45.243	45.5148	75
45.243	45.5148	83
45.3358	45.6037	71
45.4254	48.4078	66
45.5148	45.7804	83
45.5148	45.6922	75
45.6037	45.8693	71
45.6922	45.7804	75
45.7804	46.0517	75
45.7804	46.0517	83
45.8693	46.1435	71
45.959	46.4967	78
46.0517	46.3211	83
46.0517	46.2325	75
46.1435	46.409	71
46.2325	46.3211	75
46.3211	46.5851	83
46.3211	46.5851	75
46.409	46.6745	71
46.4967	47.043	78
46.5851	46.7649	75
46.5851	46.8595	83
46.6745	46.9522	71
46.7649	46.8595	75
46.8595	47.1334	75
46.8595	47.1334	83
46.9522	47.2234	71
47.043	47.5893	78
47.1334	47.313	75
47.1334	47.4041	83
47.2234	47.4962	71
47.313	47.4041	75
47.4041	47.6833	83
47.4041	47.6833	75
47.4962	47.7771	71
47.5893	48.1613	78
47.6833	47.8715	75
47.6833	47.967	83
47.7771	48.0635	71
47.8715	47.967	75
47.967	48.2601	83
47.967	48.2601	75
48.0635	48.3602	71
48.1613	48.4078	78
48.2601	48.4078	75
48.2601	48.4078	83
48.3602	48.5188	71
48.5188	54.5839	99
48.5188	54.5839	90
48.5188	54.5839	87
48.5188	54.5839	83
48.5188	54.5839	78
48.5188	49.9956	71
49.9956	54.5839	71
50.4123	52.8531	76
52.4393	54.0531	74
52.8531	54.4452	76
54.0531	54.5839	74
54.4452	55.8055	76
55.6781	55.9329	74
55.8055	56.1575	76
55.9329	56.1575	74
56.0603	56.8936	71
56.8936	59.9391	43
57.1821	57.736	59
57.1821	59.9391	50
57.4705	58.0015	62
57.4705	59.9391	55
57.736	58.267	67
57.736	59.9391	59
58.0015	58.5325	71
58.0015	59.9391	62
58.267	58.798	74
58.267	59.9391	67
58.5325	59.0634	79
58.5325	59.9391	71
58.798	59.3337	83
58.798	59.9391	74
59.0634	59.6141	86
59.0634	59.9391	79
59.3337	59.9045	91
59.3337	59.9391	83
59.6141	59.9391	95
59.6141	59.9391	86
59.9045	65.6283	98
59.9045	65.6283	91
60.995	65.6283	71
61.4362	63.0445	76
62.6524	64.2608	74
63.0445	64.6555	76
64.2608	65.0751	74
64.6555	65.5099	76
65.0751	65.6283	74
65.5099	65.8716	76
65.6853	66.3481	78
65.8716	66.3481	76
66.0664	66.3481	74
66.2823	67.9039	72
67.9039	70.9494	36
68.1924	68.7463	52
68.1924	70.9494	43
68.4808	69.0118	55
68.4808	70.9494	48
68.7463	69.2773	60
68.7463	70.9494	52
69.0118	69.5428	64
69.0118	70.9494	55
69.2773	69.8082	67
69.2773	70.9494	60
69.5428	70.0737	72
69.5428	70.9494	64
69.8082	70.344	76
69.8082	70.9494	67
70.0737	70.6244	79
70.0737	70.9494	72
70.344	70.9148	84
70.344	70.9494	76
70.6244	70.9494	88
70.6244	70.9494	79
70.9148	76.5603	100
70.9148	76.5603	84
72.0053	76.5603	72
72.4465	74.8656	76
74.4735	76.5603	74
74.8656	76.4383	76
75.63	76.5603	78
76.0273	76.5603	79
76.4383	76.5829	76
76.5829	77.2773	78
76.7291	77.2773	76
76.8821	77.2773	74
77.0425	77.2773	72
77.2114	78.833	71
78.833	81.8785	43
79.1215	79.6754	59
79.1215	81.8785	50
79.4099	79.9409	62
79.4099	81.8785	55
79.6754	80.2064	67
79.6754	81.8785	59
79.9409	80.4719	71
79.9409	81.8785	62
80.2064	80.7374	74
80.2064	81.8785	67
80.4719	81.0028	79
80.4719	81.8785	71
80.7374	81.2731	83
80.7374	81.8785	74
81.0028	81.5535	86
81.0028	81.8785	79
81.2731	81.8439	91
81.2731	81.8785	83
81.5535	81.8785	95
81.5535	81.8785	86
81.8439	87.4688	98
81.8439	87.4688	91
82.9344	85.7973	71
83.3756	87.4688	74
85.4026	87.3461	72
85.7973	86.9639	71
86.5666	87.4688	69
86.9639	87.4688	71
87.3461	87.7097	72
87.5279	88.1767	74
87.7097	88.1767	72
87.8996	88.1767	71
88.1109	89.7325	69
89.7325	92.778	38
90.0209	90.3094	50
90.0209	92.778	45
90.3094	90.5749	54
90.3094	92.778	50
90.5749	92.778	60
90.5749	92.778	54
90.8404	91.1059	62
90.8404	92.778	57
91.1059	91.3713	66
91.1059	92.778	62
91.3713	92.778	72
91.3713	92.778	66
91.6368	91.9023	74
91.6368	92.778	69
91.9023	92.1726	78
91.9023	92.778	74
92.1726	92.7434	84
92.1726	92.778	78
92.453	92.778	86
92.453	92.778	81
92.7434	93.0444	90
92.7434	93.0444	84
93.3505	93.9998	72
93.5648	93.9998	74
93.7791	93.9998	76
93.9934	94.2514	78
94.1224	94.7497	79
94.2514	94.7497	78
94.3805	94.7497	76
94.5778	94.7862	74
94.7862	95.0459	76
94.916	95.5941	78
95.0459	95.5941	76
95.1758	95.5941	74
95.3798	95.5941	72
95.5941	96.0349	74
95.8107	96.5183	76
96.0349	96.5183	74
96.2672	96.5183	72
96.5053	98.2831	71
98.2831	101.329	43
98.5716	99.1255	59
98.5716	101.329	50
98.86	99.391	62
98.86	101.329	55
99.1255	99.6565	67
99.1255	101.329	59
99.391	99.922	71
99.391	101.329	62
99.6565	100.187	74
99.6565	101.329	67
99.922	100.453	79
99.922	101.329	71
100.187	100.723	83
100.187	101.329	74
100.453	101.004	86
100.453	101.329	79
100.723	101.294	91
100.723	101.329	83
101.004	101.329	95
101.004	101.329	86
101.294	104.521	98
101.294	104.521	91
101.595	104.521	71
102.82	105.268	76
105.268	109.464	45
105.557	109.464	54
105.83	109.464	57
106.102	109.464	60
106.375	109.464	64
106.648	109.464	66
106.921	109.464	69
107.193	109.464	72
107.466	109.464	76
107.74	109.464	78
108.019	109.464	81
108.304	109.464	84
108.595	110.047	88
110.047	111.499	74
111.03	112.803	76
111.499	112.803	74
111.968	112.803	72
112.452	112.96	71
112.96	113.284	72
113.119	113.915	74
113.284	113.915	72
113.451	113.915	71
113.617	113.915	69
113.784	113.951	67
113.951	114.229	66
114.086	115.057	67
114.229	115.057	66
114.374	115.057	64
114.525	114.829	62
114.675	115.057	60
114.829	115.057	62
114.995	116.047	63
115.143	115.895	64
115.29	115.739	66
115.434	116.365	69
115.583	116.365	67
115.739	116.365	66
115.895	116.205	64
116.047	116.365	63
116.205	116.399	64
116.39	116.829	60
116.827	116.955	71
116.827	116.955	59
117.083	117.212	75
117.083	117.212	63
117.34	117.466	78
117.34	117.466	66
117.592	117.676	76
117.592	117.676	64
117.676	117.761	78
117.676	117.761	66
117.761	117.845	76
117.761	117.845	64
117.845	117.965	72
117.845	117.965	60
118.086	118.215	81
118.086	118.215	69
118.345	118.471	71
118.345	118.471	59
118.597	118.723	75
118.597	118.723	63
118.849	118.975	78
118.849	118.975	66
119.101	119.185	76
119.101	119.185	64
119.185	119.27	78
119.185	119.27	66
119.27	119.354	76
119.27	119.354	64
119.354	119.479	72
119.354	119.479	60
119.603	119.732	81
119.603	119.732	69
119.796	119.86	59
119.86	121.304	71
119.86	122.641	66
120.112	121.304	75
120.365	120.701	78
120.617	120.785	76
120.701	121.304	78
120.785	121.304	76
120.869	121.304	72
121.118	121.304	81
121.377	122.82	71
121.629	122.82	75
121.881	122.217	78
122.133	122.301	76
122.217	122.82	78
122.301	122.82	76
122.385	122.82	72
122.385	122.82	67
122.641	122.82	81
122.641	122.9	66
122.9	123.664	71
122.9	123.49	69
123.152	123.664	75
123.405	123.664	78
123.405	123.576	67
123.49	123.664	69
123.576	123.664	67
123.664	123.833	76
123.664	126.702	66
123.749	124.386	78
123.833	124.386	76
123.917	124.386	72
124.169	124.386	81
124.428	125.866	71
124.68	125.866	75
124.932	125.268	78
125.184	125.353	76
125.268	125.866	78
125.353	125.866	76
125.437	125.866	72
125.686	125.866	81
125.946	126.649	71
126.198	126.649	75
126.45	126.649	78
126.702	127.42	72
126.702	127.398	64
126.954	127.42	79
127.206	127.42	84
127.334	127.42	66
127.398	127.462	64
127.462	128.137	78
