OnsetTime	OffsetTime	MidiPitch
0.500004	1.482	63
0.500004	1.482	58
0.500004	1.482	51
0.500004	1.482	55
1.482	2.49723	58
1.482	2.49723	62
1.482	2.49723	53
1.482	2.49723	46
2.49723	3.54344	57
2.49723	3.54344	60
2.49723	3.54344	53
2.49723	3.54344	41
3.54344	4.56299	58
3.54344	4.56299	62
3.54344	4.56299	46
3.54344	4.56299	53
4.56299	5.6092	58
4.56299	5.6092	55
4.56299	5.6092	51
4.56299	5.6092	39
5.6092	6.65998	60
5.6092	6.65998	56
5.6092	6.65998	44
5.6092	6.65998	51
6.65998	7.73429	56
6.65998	7.73429	62
6.65998	7.73429	41
6.65998	7.73429	46
7.73429	8.80859	55
7.73429	8.80859	63
7.73429	8.80859	39
7.73429	8.80859	46
8.80859	11.3906	39
8.90466	11.3906	46
9.00072	11.3906	51
9.09678	11.3906	55
9.18845	11.3906	58
9.28011	11.3906	63
9.37178	9.728	67
9.46216	9.64008	70
9.5515	9.90164	75
9.64008	9.81512	70
9.728	11.3906	67
9.81512	11.3906	70
9.90164	11.3906	75
9.98739	11.3906	79
10.0725	11.3906	82
10.1578	11.3906	87
10.2484	11.3906	91
10.3459	11.3906	94
10.4515	11.4335	99
11.4335	12.4621	63
11.4335	12.4621	60
11.4335	12.4621	55
11.4335	12.4621	48
12.4621	13.486	63
12.4621	13.486	60
12.4621	13.486	56
12.4621	13.486	44
13.486	14.5368	58
13.486	14.5368	43
13.486	14.5368	51
14.5368	15.5695	53
14.5368	15.5695	58
14.5368	15.5695	46
14.5368	15.5695	38
15.5695	16.639	51
15.5695	16.639	55
15.5695	16.639	39
15.5695	16.639	46
16.639	17.6898	58
16.639	17.6898	55
16.639	17.6898	40
16.639	17.6898	49
17.6898	18.7692	56
17.6898	18.7692	53
17.6898	18.7692	48
17.6898	18.2198	41
18.2198	18.7692	44
18.7692	19.82	51
18.7692	19.82	55
18.7692	19.82	36
18.7692	19.82	48
19.82	22.357	36
19.9161	22.357	48
20.0121	22.357	51
20.1082	22.357	55
20.1999	22.357	60
20.2915	22.357	63
20.3832	20.7394	67
20.4736	20.6515	72
20.5629	20.9131	75
20.6515	20.8265	72
20.7394	22.357	67
20.8265	22.357	72
20.9131	22.357	75
20.9988	22.357	79
21.084	22.357	84
21.1692	22.357	87
21.2366	22.357	91
21.3076	22.357	96
21.3829	22.357	99
21.463	22.445	103
22.445	23.4967	55
22.445	23.4967	51
22.445	22.9708	48
22.9708	23.4967	46
23.4967	24.5119	60
23.4967	24.5119	56
23.4967	24.5119	44
23.4967	24.5119	51
24.5119	25.5627	60
24.5119	25.5627	56
24.5119	25.5627	41
24.5119	25.5627	50
25.5627	26.5954	58
25.5627	26.5954	43
25.5627	26.5954	51
26.5954	27.6462	56
26.5954	27.6462	62
26.5954	27.6462	53
26.5954	27.6462	47
27.6462	28.697	63
27.6462	28.697	55
27.6462	28.697	51
27.6462	28.697	48
28.697	29.7665	60
28.697	29.7665	57
28.697	29.7665	41
28.697	29.7665	51
29.7665	30.836	58
29.7665	30.836	50
29.7665	30.836	46
30.836	33.1996	46
30.9321	33.1996	53
31.0281	33.1996	58
31.1242	33.1996	62
31.2159	33.1996	65
31.3075	33.1996	70
31.3992	31.7554	74
31.4896	31.6675	77
31.5789	31.9291	82
31.6675	31.8425	77
31.7554	33.1996	74
31.8425	33.1996	77
31.9291	33.1996	82
32.021	33.1996	86
32.1231	33.1996	89
32.235	33.1996	94
33.1996	34.2323	63
33.1996	34.2323	60
33.1996	34.2323	48
33.1996	34.2323	55
34.2323	35.2606	62
34.2323	35.2606	58
34.2323	35.2606	43
34.2323	35.2606	55
35.2606	36.3254	60
35.2606	36.3254	56
35.2606	36.3254	44
35.2606	36.3254	51
36.3254	37.3808	55
36.3254	37.3808	58
36.3254	37.3808	51
36.3254	37.3808	39
37.3808	38.4316	55
37.3808	38.4316	49
37.3808	38.4316	40
38.4316	38.9593	53
38.4316	38.9593	56
38.4316	39.487	41
38.4316	39.487	48
38.9593	39.487	55
39.487	40.547	53
39.487	40.547	50
39.487	40.547	34
39.487	40.547	44
40.547	41.6071	51
40.547	41.6071	43
40.547	41.6071	39
41.6071	44.189	39
41.7031	44.189	46
41.7992	44.189	51
41.8953	44.189	55
41.9869	44.189	58
42.0786	44.189	63
42.1703	42.5265	67
42.2606	42.4386	70
42.35	42.7001	75
42.4386	42.6136	70
42.5265	44.189	67
42.6136	44.189	70
42.7001	44.189	75
42.7859	44.189	79
42.871	44.189	82
42.9563	44.189	87
43.0468	44.189	91
43.1444	44.189	94
43.25	44.232	99
45.1867	45.7179	67
45.7179	45.894	67
45.894	46.925	67
45.894	46.2381	55
45.894	46.5993	43
46.2381	46.5821	55
46.2381	46.5821	62
46.2381	46.5821	59
46.5821	46.925	55
46.5821	46.925	59
46.5821	46.925	62
46.7541	47.27	66
46.925	47.27	67
46.925	47.2576	55
46.925	47.2576	62
46.925	47.2576	59
47.0913	47.27	69
47.2576	47.5973	71
47.2576	47.5973	59
47.2576	47.5973	62
47.2576	47.5973	55
47.4239	47.9536	70
47.5973	47.9536	71
47.5973	47.9536	55
47.5973	47.9536	62
47.5973	47.9536	59
47.7754	47.9536	72
47.9536	50.0547	74
47.9536	48.2996	55
47.9536	50.0547	43
48.2996	48.6456	55
48.2996	48.6456	59
48.2996	48.6456	62
48.6456	48.9916	62
48.6456	48.9916	55
48.6456	48.9916	59
48.9916	49.3385	59
48.9916	49.3385	62
48.9916	49.3385	55
49.3385	49.8698	67
49.3385	49.6927	59
49.3385	49.6927	62
49.3385	49.6927	55
49.6927	50.0547	62
49.6927	50.0547	59
49.6927	50.0547	55
49.8698	50.046	67
50.046	51.0835	67
50.046	50.7539	48
50.046	50.7539	36
50.392	50.7381	63
50.392	50.7381	60
50.392	50.7381	55
50.7381	51.0835	55
50.7381	51.0835	63
50.7381	51.0835	60
50.9111	51.4364	66
51.0835	51.4364	67
51.0835	51.4236	63
51.0835	51.4236	55
51.0835	51.4236	60
51.2536	51.4364	71
51.4236	51.7652	72
51.4236	51.7652	60
51.4236	51.7652	55
51.4236	51.7652	63
51.5937	52.1243	71
51.7652	52.1243	72
51.7652	52.1243	55
51.7652	52.1243	60
51.7652	52.1243	63
51.9423	52.1243	74
52.1185	54.2163	75
52.1185	54.2163	48
52.4646	52.8106	63
52.4646	52.8106	55
52.4646	52.8106	60
52.8106	53.1566	55
52.8106	53.1566	63
52.8106	53.1566	60
53.1566	53.5037	60
53.1566	53.5037	63
53.1566	53.5037	55
53.5037	54.0381	72
53.5037	53.86	63
53.5037	53.86	60
53.5037	53.86	55
53.86	54.2163	63
53.86	54.2163	55
53.86	54.2163	60
54.0381	54.2163	72
54.2163	55.2484	70
54.2163	54.9172	34
54.2163	54.9172	46
54.5603	54.9043	58
54.5603	54.9043	62
54.5603	54.9043	56
54.9043	55.2484	62
54.9043	55.2484	56
54.9043	55.2484	58
55.0764	55.594	69
55.2484	55.594	70
55.2484	55.5828	58
55.2484	55.5828	56
55.2484	55.5828	62
55.4156	55.594	72
55.5828	55.9199	74
55.5828	55.9199	58
55.5828	55.9199	56
55.5828	55.9199	62
55.75	56.2788	73
55.9199	56.2788	74
55.9199	56.2788	56
55.9199	56.2788	58
55.9199	56.2788	62
56.1002	56.2788	75
56.2788	57.31	77
56.2788	56.9812	46
56.6229	56.9669	62
56.6229	56.9669	58
56.6229	56.9669	56
56.9669	57.31	56
56.9669	57.31	62
56.9669	57.31	58
57.1389	57.657	76
57.31	57.657	77
57.31	57.6444	62
57.31	57.6444	56
57.31	57.6444	58
57.4772	57.657	79
57.6444	57.9789	80
57.6444	57.9789	58
57.6444	57.9789	62
57.6444	57.9789	56
57.8116	58.3133	79
57.9789	58.3133	80
57.9789	58.3133	58
57.9789	58.3133	62
57.9789	58.3133	56
58.1461	58.3133	81
58.3133	58.6477	82
58.3133	58.9822	58
58.3133	58.9822	56
58.3133	58.9822	62
58.4805	58.9278	81
58.6477	58.9278	82
58.815	58.9822	84
58.9822	59.1494	86
59.1494	59.3166	85
59.3166	59.4906	86
59.4906	59.6647	87
59.5341	60.2051	46
59.5777	60.2467	53
59.6212	60.2883	56
59.6647	59.9973	89
59.6647	60.3299	62
59.831	60.3299	88
59.9973	60.3299	89
60.1636	60.3299	91
60.2051	61.5499	46
60.2467	61.5937	53
60.2883	61.6374	56
60.3299	60.6624	92
60.3299	61.6794	62
60.4962	61.6891	91
60.6624	61.6891	92
60.8287	61.1613	93
60.995	61.3311	94
61.1613	61.6891	93
61.3311	61.6891	94
61.5062	61.6891	96
61.5499	62.2199	46
61.5937	62.2615	53
61.6374	62.3031	56
61.6794	62.361	98
61.6794	62.3446	62
61.8457	62.361	99
62.012	62.361	101
62.1783	62.361	103
62.2199	64.4808	46
62.2615	64.2257	53
62.3031	64.1426	56
62.3446	65.6431	104
62.3446	63.9802	62
62.5082	65.6431	101
62.6718	65.6431	98
62.8354	65.6431	94
62.9995	65.6431	92
63.1104	65.6431	89
63.2207	65.6431	86
63.3317	65.6431	82
63.4434	65.6431	80
63.5561	65.6431	77
63.6696	65.6431	74
63.7454	65.6431	70
63.8236	65.6431	68
63.9014	65.6431	65
63.9802	65.6431	62
64.0616	65.6431	58
64.1426	65.6431	56
64.2257	65.6431	53
64.318	65.6431	50
64.4808	65.6431	34
64.4808	65.6431	46
65.9783	66.0648	68
65.9783	66.0648	63
65.9783	66.0648	65
66.0648	66.4297	68
66.0648	66.4297	63
66.0648	66.4297	65
66.0648	66.4297	47
66.0648	66.4297	56
66.0648	66.4297	53
66.7947	67.6919	68
66.7947	67.6919	62
66.7947	67.6919	65
66.7947	67.6919	53
66.7947	67.6919	46
66.7947	67.6919	56
68.1566	68.2496	77
68.1566	68.2496	75
68.1566	68.2496	80
68.2496	68.6123	80
68.2496	68.6123	77
68.2496	68.6123	75
68.2496	68.6123	65
68.2496	68.6123	68
68.2496	68.6123	59
68.9751	71.325	80
68.9751	71.529	74
68.9751	71.4268	77
68.9751	71.841	65
68.9751	71.7356	68
68.9751	72.0612	58
69.7628	72.3053	96
70.5869	72.3053	94
70.6952	72.3053	92
70.8025	72.3053	89
70.9089	72.3053	86
71.0142	71.2224	82
71.1187	72.3053	81
71.2224	72.3053	82
71.325	72.3053	80
71.4268	72.3053	77
71.529	72.3053	74
71.6319	72.3053	70
71.7356	72.3053	68
71.841	72.3053	65
71.9507	72.3053	62
72.0612	72.3053	58
73.2814	73.3744	54
73.2814	73.3744	59
73.3744	73.7844	54
73.3744	73.7844	59
73.3744	73.7844	45
73.3744	73.7844	51
74.1944	76.7966	54
74.1944	76.7966	60
74.1944	76.7966	51
74.1944	76.7966	44
76.7966	79.3989	58
76.7966	79.3989	62
76.7966	79.3989	56
76.7966	79.3989	41
76.7966	79.3989	46
76.7966	79.3989	53
79.3989	79.7347	55
79.3989	80.0429	58
79.3989	80.3511	63
79.3989	79.7347	51
79.3989	79.7347	39
79.7347	80.9675	55
80.0429	80.6593	58
80.3511	82.2031	63
80.6593	81.907	58
80.9675	81.611	55
81.2996	83.1131	51
81.611	82.7951	55
81.907	82.4991	58
82.2031	83.9927	63
82.4991	83.7024	58
82.7951	83.4121	55
83.1131	86.6733	39
83.1131	84.8914	51
83.4121	84.5734	55
83.7024	84.2831	58
83.9927	85.7624	63
84.2831	85.4749	58
84.5734	85.1874	55
84.8914	86.6733	51
85.1874	86.3375	55
85.4749	86.05	58
85.7624	86.6733	63
86.05	86.6733	58
86.3375	86.6733	55
86.6733	87.8439	70
86.6733	87.8439	67
86.6733	88.4837	51
86.6733	88.5136	39
86.9723	88.1552	55
87.2571	87.8439	58
87.5419	88.5136	68
87.5419	88.5136	72
87.5419	88.4837	63
87.8439	88.4837	67
87.8439	88.5136	70
87.8439	88.5136	58
88.1552	88.5136	55
88.4837	89.3577	63
88.4837	90.2787	67
88.4837	88.7827	51
88.7827	89.9503	55
89.0702	89.6452	58
89.3577	90.2787	63
89.6452	90.2787	58
89.9503	90.2787	55
90.2787	91.4523	67
90.2787	91.4523	70
90.2787	92.1315	39
90.2787	92.0991	51
90.5777	91.767	55
90.8625	91.4523	58
91.1473	92.1315	68
91.1473	92.1315	72
91.1473	92.0991	63
91.4523	92.0991	67
91.4523	92.1315	70
91.4523	92.1315	58
91.767	92.1315	55
92.0991	92.9731	63
92.0991	93.9053	67
92.0991	93.9053	51
92.3981	93.5657	55
92.6856	93.2606	58
92.9731	93.9053	63
93.2606	93.9053	58
93.5657	93.9053	55
93.7355	93.9053	65
93.8204	95.0458	68
93.9053	95.0458	77
93.9053	95.7063	34
93.9053	95.6739	46
94.2043	95.3418	56
94.4891	95.0458	58
94.7739	95.7063	62
95.0458	95.7063	77
95.0458	95.6739	68
95.0458	95.7063	58
95.3418	95.7063	56
95.5078	95.6739	74
95.6739	97.4801	68
95.6739	97.4801	74
95.6739	97.4801	46
95.9729	97.1405	56
96.2604	96.8354	58
96.5479	97.4801	62
96.8354	97.4801	58
97.1405	97.4801	56
97.3103	97.4801	63
97.3952	98.6205	67
97.4801	98.6205	75
97.4801	99.2234	51
97.4801	99.2594	39
97.7791	98.8876	55
98.0639	98.6205	58
98.3487	99.2594	63
98.6205	99.2594	75
98.6205	99.2234	67
98.6205	99.2594	58
98.8876	99.2594	55
99.0555	99.2234	70
99.2234	101.053	70
99.2234	101.053	67
99.2234	101.053	51
99.5555	100.731	55
99.8458	100.426	58
100.136	101.053	63
100.426	101.053	58
100.731	101.053	55
101.053	102.198	68
101.053	102.198	72
101.053	101.352	56
101.053	102.802	44
101.352	102.497	56
101.637	102.198	60
101.921	102.832	63
102.198	102.726	72
102.198	102.832	68
102.198	102.832	60
102.497	102.802	56
102.726	103.94	72
102.802	104.551	75
102.802	103.101	44
