OnsetTime	OffsetTime	MidiPitch
0.500004	3.20858	78
0.500004	3.20858	87
0.500004	3.20858	92
0.500004	3.20858	60
2.14212	3.20858	25
3.66111	6.30782	61
3.66111	6.30782	88
3.66111	6.30782	81
3.66111	6.30782	76
5.25051	6.30782	25
6.77915	9.59936	63
6.77915	9.59936	69
6.77915	9.59936	78
6.77915	9.59936	83
8.34778	9.59936	25
9.86677	12.4755	80
9.86677	12.4755	73
9.86677	12.4755	68
9.86677	12.4755	64
11.4354	12.4755	25
12.9739	15.677	80
12.9739	15.677	75
12.9739	15.677	66
12.9739	15.677	48
14.5846	15.677	25
16.1133	18.8525	64
16.1133	18.8525	69
16.1133	18.8525	76
16.1133	18.8525	49
17.7133	18.8525	25
19.2322	22.0758	57
19.2322	22.0758	66
19.2322	22.0758	71
19.2322	22.0758	51
20.8322	22.0758	25
22.3707	25.2572	56
22.3707	25.2572	61
22.3707	25.2572	68
22.3707	25.2572	52
23.9814	25.2572	25
25.5298	31.1251	57
25.5298	31.1251	62
25.5298	31.1251	66
25.5298	31.1251	54
27.1298	30.1487	25
30.1487	31.1251	25
31.6581	37.3472	54
31.6581	37.3472	57
31.6581	37.3472	63
31.6581	37.3472	48
33.2267	36.2744	25
36.2744	37.3472	25
37.7934	40.3908	56
37.7934	40.3908	61
37.7934	40.3908	52
39.2219	40.3908	25
40.7804	43.4407	54
40.7804	43.4407	59
40.7804	43.4407	51
42.3388	43.4407	25
43.8675	46.5125	56
43.8675	46.5125	61
43.8675	46.5125	52
45.4464	46.5125	25
46.9559	49.3917	54
46.9559	49.3917	59
46.9559	49.3917	51
48.5143	49.3917	25
50.0429	56.7047	56
50.0429	56.7047	61
50.0429	56.7047	52
51.6219	54.6219	25
54.6219	56.7047	25
58.3719	59.1294	68
59.0994	59.8488	73
59.8183	60.5807	75
60.5502	61.2821	76
61.2821	61.67	75
61.6395	62.0352	73
62.0054	62.7201	71
62.7201	63.4731	68
63.4433	64.1883	69
64.158	64.9155	71
64.8855	67.7693	73
64.8855	65.6347	66
65.6044	66.3619	68
66.332	67.0801	69
67.0505	67.4359	68
67.4056	67.7996	66
67.7693	70.6661	80
67.7693	68.4969	64
68.4969	69.2543	61
69.2244	69.9733	63
69.9433	70.6661	64
70.6661	73.5544	69
70.6661	72.4798	78
70.6661	72.4798	63
70.6661	72.8269	61
71.3847	72.4798	80
71.3847	72.4798	64
72.0994	73.5544	81
72.0994	73.5544	66
72.8269	73.5544	60
73.5544	75.3719	80
73.5544	76.4117	71
73.5544	76.4117	59
73.5544	75.3719	64
74.2645	75.3719	78
74.2645	75.3719	63
74.9746	75.6888	76
74.9746	75.6888	61
75.6888	76.4117	80
75.6888	76.4117	64
76.4117	79.9729	72
76.4117	77.8295	78
76.4117	77.8295	63
76.4117	80.6958	57
77.1153	79.6682	80
77.1153	78.54	64
77.8295	79.6682	78
77.8295	79.6682	63
78.54	79.6682	76
78.54	79.6682	64
79.2629	79.9729	75
79.2629	82.1298	66
79.9729	80.7259	73
80.6958	82.1298	72
80.6958	81.7518	75
80.6958	82.1298	56
81.4069	82.1298	76
82.1298	85.6136	73
82.1298	86.3113	57
82.1298	83.5366	64
82.8275	84.7208	63
83.5366	84.7208	64
84.2223	84.9488	65
84.9199	87.7275	66
85.6136	86.3403	73
86.3113	87.7275	72
86.3113	87.3682	75
86.3113	87.7275	56
87.0089	87.7275	76
87.7275	91.9504	73
87.7275	89.1232	64
87.7275	94.0849	57
88.4211	90.2135	63
89.1232	90.2135	64
89.8129	90.5439	65
90.5146	92.6562	66
91.9504	93.3748	72
92.6562	93.3748	64
93.3748	94.8034	71
93.3748	95.7674	63
94.0849	94.8034	56
94.8034	96.2582	69
94.8034	96.2582	54
95.522	96.2582	61
96.2582	100.834	63
96.2582	100.834	68
96.2582	100.834	56
96.2582	97.7966	61
97.7966	100.834	60
99.3351	102.201	61
99.3351	100.834	37
99.3351	101.837	49
100.049	100.834	39
100.049	100.834	51
100.772	102.201	52
100.772	102.201	40
101.482	102.201	51
101.482	102.201	39
101.837	102.201	49
101.837	102.201	37
102.201	105.043	68
102.201	105.043	56
102.201	102.904	35
102.201	102.904	47
102.904	104.444	32
102.904	104.444	44
103.606	104.444	45
103.606	104.444	33
104.324	105.043	47
104.324	105.043	35
105.043	107.894	57
105.043	107.894	69
105.043	106.534	37
105.043	106.534	49
105.749	106.534	51
105.749	106.534	39
106.471	107.894	52
106.471	107.894	40
107.182	107.894	51
107.182	107.894	39
107.53	107.894	49
107.53	107.894	37
107.894	112.205	68
107.894	112.205	76
107.894	112.205	64
107.894	108.596	35
107.894	108.596	47
108.596	110.141	32
108.596	110.141	44
109.298	110.141	45
109.298	110.141	33
110.016	112.205	47
110.016	112.205	35
110.56	113.566	37
110.644	112.205	42
110.756	113.566	73
110.756	113.566	66
110.756	113.566	63
110.756	113.566	75
110.756	112.205	54
111.442	112.205	44
111.442	112.205	56
112.143	113.566	45
112.143	113.566	57
112.853	113.566	44
112.853	113.566	56
113.202	113.566	42
113.202	113.566	54
113.566	116.414	73
113.566	116.414	80
113.566	116.414	68
113.566	114.256	52
113.566	114.256	40
114.256	115.788	49
114.256	115.788	37
114.945	115.788	39
114.945	115.788	51
115.664	116.204	40
115.664	116.204	52
116.204	119.212	37
116.288	117.852	42
116.414	117.79	78
116.414	117.79	73
116.414	117.852	69
116.414	117.79	81
116.414	117.852	54
117.088	117.852	56
117.088	117.852	44
117.79	119.212	73
117.79	118.5	78
117.79	119.212	81
117.79	118.5	85
117.79	119.212	57
117.79	119.212	45
118.5	119.212	87
118.5	119.212	85
118.5	119.212	78
118.5	119.212	75
118.5	119.212	56
118.5	119.212	44
118.849	119.212	54
118.849	119.212	42
119.212	121.43	76
119.212	120.592	80
119.212	120.592	85
119.212	121.43	88
119.212	119.902	40
119.212	119.902	52
119.902	121.43	37
119.902	121.43	49
120.592	122.77	92
120.592	123.521	85
120.592	122.77	80
120.592	121.43	51
