OnsetTime	OffsetTime	MidiPitch
0.500004	0.911134	72
0.500004	0.911134	69
0.500004	1.42568	33
0.774086	1.34174	45
0.911134	1.42568	72
0.911134	1.34174	69
1.04818	1.42568	52
1.34174	2.98625	74
1.34174	2.98625	65
1.34174	2.98625	69
1.34174	2.98625	45
1.34174	2.98625	50
2.98625	3.39738	69
2.98625	3.39738	72
2.98625	3.87791	33
3.26033	3.82994	45
3.39738	3.87791	72
3.39738	3.87791	69
3.53443	3.87791	52
3.82994	5.47446	62
3.82994	5.47446	71
3.82994	5.47446	68
3.82994	5.47446	45
3.82994	5.47446	53
5.47446	5.88559	69
5.47446	5.88559	66
5.47446	6.36528	33
5.74854	6.31619	45
5.88559	6.36528	66
5.88559	6.36528	69
6.02264	6.36528	48
6.31619	8.02377	72
6.31619	8.02377	60
6.31619	8.02377	45
6.31619	8.02377	51
7.15771	8.02377	66
7.15771	8.02377	69
7.99922	10.3552	64
7.99922	8.84074	68
7.99922	8.84074	40
8.27973	10.3552	47
8.56024	10.6138	52
8.84074	10.6138	59
8.84074	10.6138	68
8.84074	10.6138	71
8.84074	10.6138	40
10.6138	11.0109	72
10.6138	11.0109	69
10.6138	11.4543	33
10.8785	11.4311	45
11.0109	11.4543	69
11.0109	11.4543	72
11.1432	11.4543	52
11.4311	13.0195	76
11.4311	13.0195	64
11.4311	13.0195	73
11.4311	13.0195	45
11.4311	13.0195	57
13.0195	13.4224	74
13.0195	13.4224	77
13.0195	13.8446	38
13.2881	13.8446	50
13.4224	13.8446	77
13.4224	13.8446	74
13.5567	13.8446	57
13.8446	15.5717	69
13.8446	15.5717	81
13.8446	15.5717	78
13.8446	15.5717	51
13.8446	15.5717	60
15.5717	16.024	67
15.5717	17.3074	72
15.5717	16.024	79
15.5717	16.5005	40
15.8732	16.4763	52
16.024	16.5005	67
16.024	16.5005	79
16.1747	16.5005	55
16.4763	17.3317	76
16.4763	17.3317	68
16.4763	18.0416	60
16.4763	17.3317	52
17.3074	18.1399	72
17.3074	18.1399	69
17.3074	18.1399	53
17.723	18.1399	57
18.1399	19.0782	71
18.1399	19.0782	68
18.1399	20.7283	64
18.1399	20.7283	76
18.1399	18.5713	52
18.5713	20.7283	52
19.0027	20.7283	69
19.0027	20.7283	48
19.8655	20.7283	45
20.7283	21.6418	59
20.7283	21.6418	56
20.7283	23.6678	64
20.7283	23.6678	52
20.7283	21.1851	40
21.1851	21.6418	40
21.6418	23.6678	57
21.6418	23.5159	36
22.6549	24.5368	33
23.6678	24.0436	69
23.6678	24.0436	72
23.9183	24.4193	45
24.0436	24.5368	69
24.0436	24.5368	72
24.1688	24.5368	52
24.4193	25.2135	71
24.4193	25.2135	65
24.4193	25.2135	74
24.4193	25.2135	45
24.6841	25.2859	50
24.8164	25.2859	69
24.8164	25.2859	72
24.9488	25.2859	53
25.2135	26.0406	65
25.2135	26.0406	71
25.2135	26.0406	74
25.2135	26.0406	45
26.0406	26.4205	72
26.0406	26.4205	69
26.0406	26.8355	33
26.2939	26.8003	45
26.4205	26.8355	69
26.4205	26.8355	72
26.5471	26.8355	52
26.8003	27.6037	71
26.8003	27.6037	62
26.8003	27.6037	68
26.8003	27.6037	45
27.0681	27.6154	53
27.202	27.6154	65
27.202	27.6154	69
27.3359	27.6154	50
27.6037	28.407	68
27.6037	28.407	71
27.6037	28.407	62
27.6037	28.407	45
28.407	28.7847	69
28.407	28.7847	66
28.407	29.1799	33
28.6588	29.1625	45
28.7847	29.9181	69
28.7847	29.1799	66
28.9107	29.1799	48
29.1625	29.9181	60
29.1625	29.9181	72
29.1625	29.9181	45
29.4144	29.9811	54
29.5403	29.9811	71
29.5403	29.9811	68
29.6663	29.9811	51
29.9181	30.6737	60
29.9181	30.6737	72
29.9181	30.2959	69
29.9181	30.6737	45
30.17	30.6737	54
30.2959	30.6737	69
30.2959	30.6737	66
30.4218	30.6737	51
30.6737	32.9243	64
30.6737	31.4652	68
30.6737	33.117	40
30.9375	32.9243	47
31.2014	33.117	52
31.4652	33.117	68
31.4652	33.117	71
31.4652	33.117	59
33.117	33.4868	72
33.117	33.4868	69
33.117	33.8458	33
33.3635	33.8458	45
33.4868	33.8566	72
33.4868	33.8566	69
33.61	33.8566	52
33.8566	34.5961	76
33.8566	34.5961	73
33.8566	34.5961	64
33.8566	34.5961	45
34.1031	34.6177	57
34.2263	34.6177	71
34.2263	34.6177	65
34.2263	34.6177	74
34.3496	34.6177	50
34.5961	35.3357	76
34.5961	35.3357	64
34.5961	35.3357	73
34.5961	35.3357	45
34.8426	35.3357	57
34.9659	35.3357	79
34.9659	35.3357	69
35.0892	35.3357	52
35.3357	35.7055	74
35.3357	35.7055	77
35.3357	35.7055	69
35.3357	36.1107	38
35.5822	36.1107	50
35.7055	36.1107	74
35.7055	36.1107	69
35.7055	36.1107	77
35.8287	36.1107	57
36.0752	36.8148	81
36.0752	36.8148	78
36.0752	36.8148	72
36.0752	36.8148	51
36.3217	36.843	60
36.445	36.843	77
36.445	36.843	80
36.445	36.843	71
36.5683	36.843	57
36.8148	37.6111	81
36.8148	37.5165	72
36.8148	37.6111	78
36.8148	37.5165	51
37.0802	37.5165	60
37.2129	37.6111	84
37.3457	37.6111	57
37.6111	38.0293	79
37.6111	38.0293	72
37.6111	38.0293	67
37.6111	38.4706	40
37.8899	38.4475	52
38.0293	39.2416	72
38.0293	38.4706	67
38.0293	38.4706	79
38.1687	38.4706	55
38.4475	39.2416	68
38.4475	39.23	77
38.4475	39.2416	52
38.7122	39.2416	60
38.8445	39.2416	76
39.2416	39.9663	74
39.2416	40.0358	69
39.2416	40.0358	53
39.5063	40.0358	57
39.6387	40.0358	72
40.0358	40.8486	71
40.0358	42.4742	64
40.0358	40.8486	68
40.0358	42.4742	76
40.0358	40.4422	52
40.4422	42.4742	52
40.8486	42.4742	69
40.8486	41.255	50
41.255	41.6614	48
41.6614	42.0678	47
42.0678	42.4742	45
42.4742	43.3294	59
42.4742	43.3294	56
42.4742	45.3139	64
42.4742	45.3139	52
42.899	43.3294	40
43.3294	45.3139	57
43.3294	43.7632	38
43.7632	44.2116	36
44.2116	44.6766	35
44.6766	45.3139	33
45.3139	45.5937	76
45.3139	45.6202	68
45.3139	45.6202	64
45.4682	45.6202	88
45.6202	46.2048	86
45.6202	46.2048	69
45.6202	46.2048	65
45.7696	46.2048	74
45.9169	46.2048	77
45.9169	46.2048	62
46.0619	46.2048	89
