OnsetTime	OffsetTime	MidiPitch
0.500004	1.07673	70
1.07673	1.14781	70
1.21889	1.28997	70
1.36105	1.92966	70
1.92966	1.9968	70
2.06393	2.13107	70
2.19821	2.46675	70
2.46675	2.53388	70
2.60102	2.66816	70
2.73529	3.00383	70
3.00383	3.0736	70
3.14336	3.21313	70
3.28289	3.56196	70
3.56196	3.63173	70
3.70149	3.77463	70
3.84778	4.37183	70
3.84778	4.37183	46
4.11994	4.37183	74
4.11994	4.37183	68
4.11994	4.37183	65
4.11994	4.37183	58
4.2476	4.38289	75
4.37183	4.64036	74
4.37183	4.64036	77
4.37183	4.64036	68
4.37183	4.64036	65
4.37183	4.64036	58
4.64036	5.26328	70
4.64036	5.26328	51
4.90584	5.15544	75
4.90584	5.15544	67
4.90584	5.15544	63
4.90584	5.15544	58
5.03324	5.26328	77
5.15544	5.41687	75
5.15544	5.41687	79
5.15544	5.41687	67
5.15544	5.41687	63
5.15544	5.41687	58
5.41687	5.98181	70
5.41687	5.98181	50
5.67493	5.9281	77
5.67493	5.9281	68
5.67493	5.9281	65
5.67493	5.9281	58
5.80151	5.98181	79
5.9281	6.69704	77
5.9281	6.69704	80
5.9281	6.69704	68
5.9281	6.69704	65
5.9281	6.44279	58
6.18854	6.69704	82
6.18854	6.69704	79
6.18854	6.69704	73
6.18854	6.69704	51
6.44279	6.69704	67
6.44279	6.69704	61
6.44279	6.69704	58
6.69704	6.83191	82
6.69704	6.83191	79
6.69704	6.83191	73
6.69704	6.96679	52
6.83191	6.96679	82
6.83191	6.96679	79
6.83191	6.96679	73
6.96679	7.22994	82
6.96679	7.47826	73
6.96679	7.48927	79
6.96679	7.09836	53
7.22994	7.36692	84
7.22994	7.35679	65
7.22994	7.35679	56
7.35679	7.48927	82
7.47826	7.61041	72
7.47826	7.61041	80
7.47826	7.61041	44
7.74256	8.1278	80
7.74256	8.28894	71
7.74256	8.28894	46
8.00175	8.28894	82
8.00175	8.25	63
8.00175	8.25	55
8.1278	8.28894	80
8.25	8.38164	70
8.25	8.38164	79
8.25	8.51328	63
8.25	8.51328	55
8.51328	8.89522	79
8.51328	9.09028	70
8.51328	9.09028	46
8.76933	9.09028	80
8.76933	9.01842	62
8.76933	9.09028	53
8.89522	9.09028	79
9.01842	9.15421	68
9.01842	9.15421	77
9.01842	9.28998	62
9.01842	9.28998	58
9.28998	9.56118	77
9.28998	9.80815	68
9.28998	10.0767	51
9.55044	9.69004	79
9.55044	9.80815	63
9.55044	9.80815	58
9.67929	9.81933	77
9.80815	9.94242	75
9.80815	9.94242	67
9.80815	10.0767	63
9.80815	10.0767	58
10.0767	10.6488	70
10.0767	10.6488	46
10.3489	10.6029	74
10.3489	10.6029	68
10.3489	10.6029	65
10.3489	10.6029	58
10.4771	10.6488	75
10.6029	10.8682	74
10.6029	10.8682	77
10.6029	10.8682	68
10.6029	10.8682	65
10.6029	10.8682	58
10.8682	11.4928	70
10.8682	11.4928	51
11.1315	11.381	75
11.1315	11.381	67
11.1315	11.381	63
11.1315	11.381	58
11.2573	11.4928	77
11.381	11.6341	75
11.381	11.6341	79
11.381	11.6341	67
11.381	11.6341	63
11.381	11.6341	58
11.6341	12.279	70
11.6341	12.279	50
11.8896	12.1394	77
11.8896	12.1394	68
11.8896	12.1394	65
11.8896	12.1394	58
12.0145	12.279	79
12.1394	12.9099	77
12.1394	12.9099	80
12.1394	12.9099	68
12.1394	12.9099	65
12.1394	12.6566	58
12.4032	12.7833	82
12.4032	12.7833	79
12.4032	12.9099	73
12.4032	12.9099	51
12.6566	12.9099	67
12.6566	12.9099	61
12.6566	12.9099	58
12.7833	12.9099	79
12.7833	12.9099	82
12.9099	13.1797	73
12.9099	13.1797	52
13.0448	13.1797	82
13.0448	13.1797	79
13.1797	13.6908	73
13.1797	13.3097	53
13.3097	13.4502	82
13.4396	13.5767	84
13.4396	13.5663	65
13.4396	13.5663	56
13.5663	13.7017	82
13.6908	13.8216	72
13.6908	13.8216	80
13.6908	13.8216	44
13.9524	14.5258	71
13.9524	14.5258	46
14.0815	14.3379	80
14.2106	14.5258	82
14.2106	14.4634	63
14.2106	14.4634	55
14.3379	14.5258	80
14.4634	14.5959	70
14.4634	14.5959	79
14.4634	14.7284	63
14.4634	14.7284	55
14.7284	15.3946	70
14.7284	15.3946	46
14.8657	15.1435	79
15.003	15.3946	80
15.003	15.284	62
15.003	15.3946	53
15.1435	15.3946	79
15.284	15.5724	68
15.284	15.5724	77
15.284	15.5724	62
15.284	15.8514	58
15.5724	15.7119	67
15.5724	15.7119	75
15.5724	15.8514	51
15.5724	15.8514	63
15.8514	15.9212	70
15.991	16.0607	70
16.1305	16.2003	70
16.27	16.3432	70
16.4163	16.9541	70
16.4163	16.9541	46
16.6885	16.9463	74
16.6885	16.9463	68
16.6885	16.9463	65
16.6885	16.9463	58
16.8192	16.9574	75
16.9463	17.2148	74
16.9463	17.2148	77
16.9463	17.2148	68
16.9463	17.2148	65
16.9463	17.2148	58
17.2148	17.7354	70
17.2148	17.7354	51
17.4803	17.7354	75
17.4803	17.7354	67
17.4803	17.7354	63
17.4803	17.7354	58
17.6091	17.7463	77
17.7354	17.9968	75
17.7354	17.9968	79
17.7354	17.9968	67
17.7354	17.9968	63
17.7354	17.9968	58
17.9968	18.5123	70
17.9968	18.5123	50
18.2549	18.5047	77
18.2549	18.5047	68
18.2549	18.5047	65
18.2549	18.5047	58
18.3815	18.5155	79
18.5047	19.2719	77
18.5047	19.2719	80
18.5047	19.2719	68
18.5047	19.2719	65
18.5047	19.0185	58
18.7651	19.2719	82
18.7651	19.2719	79
18.7651	19.2719	73
18.7651	19.2719	51
19.0185	19.2719	67
19.0185	19.2719	61
19.0185	19.2719	58
19.2719	19.4067	82
19.2719	19.4067	79
19.2719	19.4067	73
19.2719	19.5416	52
19.4067	19.5416	82
19.4067	19.5416	79
19.4067	19.5416	73
19.5416	19.8159	82
19.5416	20.0564	73
19.5416	20.0564	79
19.5416	19.6735	53
19.8054	19.9425	84
19.8054	19.9322	65
19.8054	19.9322	56
19.9322	20.0675	82
20.0564	20.1889	72
20.0564	20.1889	80
20.0564	20.1889	44
20.3213	20.7057	80
20.3213	20.8525	71
20.3213	20.8525	46
20.5799	20.8525	82
20.5799	20.8294	63
20.5799	20.8294	55
20.7057	20.8525	80
20.8294	20.9611	70
20.8294	20.9611	79
20.8294	21.0927	63
20.8294	21.0927	55
21.0927	21.4747	79
21.0927	21.6702	70
21.0927	21.6702	46
21.3488	21.6702	80
21.3488	21.5984	62
21.3488	21.6702	53
21.4747	21.6702	79
21.5984	21.7342	68
21.5984	21.7342	77
21.5984	21.8699	62
21.5984	21.8699	58
21.8699	22.1411	77
21.8699	22.3881	68
21.8699	23.2273	51
22.1304	22.27	79
22.1304	22.3881	63
22.1304	22.3881	58
22.2593	22.3993	77
22.3881	22.5224	75
22.3881	22.5224	67
22.3881	23.2273	63
22.3881	22.9288	58
22.6566	23.2273	70
22.6566	23.2273	46
22.9288	23.1815	74
22.9288	23.1815	68
22.9288	23.1815	65
22.9288	23.1815	58
23.0565	23.2273	75
23.1815	23.4466	74
23.1815	23.4466	77
23.1815	23.4466	68
23.1815	23.4466	65
23.1815	23.4466	58
23.4466	23.9649	70
23.4466	23.9649	51
23.7098	23.9575	75
23.7098	23.9575	67
23.7098	23.9575	63
23.7098	23.9575	58
23.8351	23.9681	77
23.9575	24.2112	75
23.9575	24.2112	79
23.9575	24.2112	67
23.9575	24.2112	63
23.9575	24.2112	58
24.2112	24.7294	70
24.2112	24.7294	50
24.4667	24.714	77
24.4667	24.714	68
24.4667	24.714	65
24.4667	24.714	58
24.5916	24.7294	79
24.714	25.4846	77
24.714	25.4846	80
24.714	25.4846	68
24.714	25.4846	65
24.714	25.2313	58
24.9779	25.3579	82
24.9779	25.3579	79
24.9779	25.4846	73
24.9779	25.4846	51
25.2313	25.4846	67
25.2313	25.4846	61
25.2313	25.4846	58
25.3579	25.4846	79
25.3579	25.4846	82
25.4846	25.7544	73
25.4846	25.7544	52
25.6195	25.7544	82
25.6195	25.7544	79
25.7544	26.2676	73
25.7544	25.8843	53
25.8843	26.0248	82
26.0143	26.1515	84
26.0143	26.141	65
26.0143	26.141	56
26.141	26.2785	82
26.2676	26.3984	72
26.2676	26.3984	80
26.2676	26.3984	44
26.5292	27.0574	71
26.5292	27.0574	46
26.6584	26.9147	80
26.7875	27.0574	82
26.7875	27.0419	63
26.7875	27.0419	55
26.9147	27.0574	80
27.0419	27.1744	70
27.0419	27.1744	79
27.0419	27.307	63
27.0419	27.307	55
27.307	27.8794	70
27.307	27.8794	46
27.4443	27.7221	79
27.5816	27.8794	80
27.5816	27.8626	62
27.5816	27.8794	53
27.7221	27.8794	79
27.8626	28.151	68
27.8626	28.151	77
27.8626	28.151	62
27.8626	28.151	58
28.151	28.2905	67
28.151	28.2905	75
28.151	28.6956	51
28.43	28.4964	75
28.43	28.6956	63
28.43	28.6956	55
28.5628	28.6292	75
28.6956	28.762	75
28.6956	28.9612	51
28.6956	28.9612	61
28.6956	28.9612	55
28.8284	28.8948	75
28.9612	29.027	75
28.9612	29.3561	44
29.0928	29.1587	75
29.2245	29.2903	75
29.2245	29.4878	60
29.2245	29.4878	56
29.2245	29.4878	51
29.3561	29.4219	75
29.4878	29.5536	75
29.4878	29.7577	60
29.4878	29.7577	56
29.4878	29.7577	51
29.6194	29.6885	75
29.7577	29.8915	77
29.7577	30.1284	44
29.8812	30.0151	75
30.0048	30.1387	72
30.0048	30.252	60
30.0048	30.252	56
30.0048	30.252	51
30.1284	30.2623	68
30.252	30.3756	63
30.252	30.4992	51
30.252	30.4992	56
30.252	30.4992	60
30.3756	30.4992	64
30.4992	30.5609	65
30.4992	30.8706	44
30.6226	30.6845	65
30.7464	30.8084	65
30.7464	30.9951	59
30.7464	30.9951	56
30.7464	30.9951	50
30.8706	30.9328	65
30.9951	31.0575	65
30.9951	31.2453	50
30.9951	31.2453	56
30.9951	31.2453	59
31.12	31.1826	65
31.2453	31.3813	63
31.2453	31.621	44
31.3709	31.5065	68
31.4961	31.6314	72
31.4961	31.7456	60
31.4961	31.7456	56
31.4961	31.7456	51
31.621	31.7559	75
31.7456	31.8801	80
31.7456	31.9937	60
31.7456	31.9937	56
31.7456	31.9937	51
31.8698	31.9937	76
31.9937	32.057	77
31.9937	32.3737	50
32.1204	32.1837	77
32.247	32.3104	77
32.247	32.5004	65
32.247	32.5004	59
32.247	32.5004	56
32.3737	32.4371	77
32.5004	32.5637	77
32.5004	32.7538	65
32.5004	32.7538	59
32.5004	32.7538	56
32.6271	32.6904	77
32.7538	32.9301	77
32.7538	33.3014	51
32.8419	33.3014	79
32.9301	33.3014	77
33.0182	33.3014	75
33.0182	33.282	60
33.0182	33.282	63
33.0182	33.282	68
33.1498	33.3014	80
33.282	33.4151	84
33.282	34.0625	60
33.282	33.807	63
33.282	34.0625	68
33.5488	34.0625	89
33.5488	34.0625	51
33.807	34.0625	87
33.807	34.0625	61
33.807	34.0625	63
33.807	34.0625	67
33.9348	34.0735	85
34.0625	34.1942	79
34.0625	34.3258	61
34.0625	34.3258	63
34.0625	34.3258	67
34.3258	34.5947	82
