OnsetTime	OffsetTime	MidiPitch
0.504524	2.13208	78
2.12895	2.31645	77
2.31645	2.50395	78
2.50395	2.67434	80
2.67434	2.84002	78
2.84002	3.00306	76
3.00306	4.0811	75
3.18802	4.11108	64
3.18802	4.11108	73
3.18802	4.11108	58
3.37552	3.73769	66
3.37552	4.0811	54
3.46928	4.11108	70
3.56246	4.11108	68
3.56246	3.91761	49
3.73769	3.91761	66
3.73769	4.11108	42
3.91761	4.11108	66
3.91761	4.11108	49
4.0811	5.08992	75
4.0811	4.41751	54
4.2446	5.15208	64
4.2446	5.15208	73
4.2446	5.15208	58
4.41751	4.75567	66
4.41751	5.08992	54
4.50397	5.15208	70
4.59043	5.15208	68
4.59043	4.92776	49
4.75567	4.92776	66
4.75567	5.15208	42
4.92776	5.15208	66
4.92776	5.15208	49
5.08992	5.25209	75
5.08992	5.25209	54
5.25209	7.0205	64
5.25209	7.0205	73
5.25209	5.57249	47
5.41281	5.73125	66
5.41281	5.73125	54
5.57249	6.20381	63
5.57249	5.88905	71
5.57249	6.98336	47
5.73125	6.04592	66
5.73125	6.35726	54
5.88905	6.20381	71
5.88905	6.98336	75
5.88905	6.66777	51
6.04592	6.35726	66
6.04592	6.5119	59
6.20381	6.5119	71
6.20381	7.0205	77
6.20381	7.0205	63
6.35726	6.66777	66
6.35726	6.66777	78
6.35726	6.82495	54
6.5119	7.0205	80
6.5119	6.82495	71
6.5119	7.0205	59
6.66777	6.98336	66
6.66777	7.0205	78
6.66777	7.0205	51
6.82495	7.0205	71
6.82495	7.0205	76
6.82495	7.0205	54
6.98336	7.31114	66
6.98336	7.96665	75
6.98336	7.99098	47
7.14212	7.99098	64
7.14212	7.99098	73
7.14212	7.99098	58
7.31114	7.64232	66
7.31114	7.96665	54
7.39565	7.99098	70
7.48015	7.99098	68
7.48015	7.80448	49
7.64232	7.80448	66
7.64232	7.99098	42
7.80448	7.99098	66
7.80448	7.99098	49
7.96665	8.93965	75
7.96665	8.29098	54
8.12882	9.00181	64
8.12882	9.00181	73
8.12882	9.00181	58
8.29098	8.61531	66
8.29098	8.93965	54
8.37206	9.00181	70
8.45315	9.00181	68
8.45315	8.77748	49
8.61531	8.77748	66
8.61531	9.00181	42
8.77748	9.00181	66
8.77748	9.00181	49
8.93965	9.74608	75
8.93965	9.26354	54
9.10181	9.95126	64
9.10181	9.95126	73
9.10181	9.42483	47
9.26354	9.58568	66
9.26354	9.58568	54
9.42483	9.95126	63
9.42483	9.74608	71
9.42483	9.95126	47
9.58568	9.90605	66
9.58568	9.95126	54
9.74608	9.95126	71
9.74608	9.95126	75
9.74608	9.95126	51
