OnsetTime	OffsetTime	MidiPitch
0.500004	1.32651	77
0.500004	1.32651	49
0.903114	1.32651	56
1.10467	1.32651	73
1.31428	2.93054	68
1.31428	2.85178	65
1.31428	2.85178	61
1.73351	2.11326	56
2.11326	2.48593	56
2.48593	2.93054	56
2.85178	3.64326	70
2.85178	3.64326	65
2.85178	3.64326	61
3.23758	3.64326	56
3.64326	5.93638	72
3.64326	5.93638	66
3.64326	5.93638	63
4.04894	4.43951	56
4.43951	4.82295	56
4.82295	5.19104	56
5.19104	5.56371	58
5.56371	5.93638	56
5.93638	6.75051	73
5.93638	6.75051	65
5.93638	6.75051	61
6.3395	6.75051	56
6.75051	7.69856	66
6.75051	7.69856	75
6.75051	9.11202	60
7.14849	7.96401	56
7.34749	7.69856	68
7.34749	7.69856	77
7.553	9.11202	78
7.553	9.11202	70
7.96401	8.35703	56
8.35703	8.74165	56
8.74165	9.51001	56
9.11202	9.92368	61
9.11202	9.92368	68
9.11202	9.92368	77
9.51001	9.92368	56
9.92368	10.8363	68
9.92368	11.6279	77
9.92368	11.6279	60
10.3139	10.8363	56
10.6997	11.6279	66
11.0855	11.6279	75
11.0855	11.6279	56
11.486	12.1948	73
11.486	11.8866	65
11.486	11.8866	61
11.8866	12.2976	56
12.1948	12.2976	75
12.2976	12.5514	75
12.2976	13.2337	66
12.2976	13.2337	60
12.4254	12.9338	77
12.5514	12.8015	75
12.6757	13.2337	74
12.7414	13.2337	56
12.8015	13.2337	75
12.9338	13.2337	77
13.0749	13.2337	78
13.2337	14.1077	77
13.2337	14.1077	49
13.6475	14.1077	56
13.8544	14.1077	73
14.064	15.6987	68
14.064	16.4114	65
14.064	16.4114	61
14.4832	14.869	56
14.869	15.2478	56
15.2478	15.6199	56
15.6199	16.4114	70
15.6199	16.0057	56
16.0057	16.4114	56
16.4114	18.7204	72
16.4114	18.7204	66
16.4114	18.7204	63
16.8171	17.2005	56
17.2005	17.5839	56
17.5839	17.9582	56
17.9582	18.3393	58
18.3393	18.7204	56
18.7204	19.5346	73
18.7204	19.5346	65
18.7204	19.5346	61
19.1236	19.5346	56
19.5346	20.4826	66
19.5346	20.4826	75
19.5346	21.884	60
19.9326	20.7481	56
20.1315	20.4826	68
20.1315	20.4826	77
20.3371	21.884	78
20.3371	21.884	70
20.7481	21.1231	56
21.1231	21.4934	56
21.4934	22.282	56
21.884	22.6957	61
21.884	22.6957	68
21.884	22.6957	77
22.282	22.6957	56
22.6957	23.6063	68
22.6957	24.3027	77
22.6957	24.3027	60
23.0838	23.6063	56
23.4696	24.3027	66
23.8554	24.3027	75
23.8554	24.3027	56
24.256	25.052	73
24.256	25.0289	65
24.256	25.0289	61
24.6565	25.052	56
25.052	25.4525	72
25.052	25.4525	65
25.052	25.4525	61
25.4525	25.8717	73
25.4525	25.8717	56
25.8717	26.6604	75
25.8717	27.5412	44
26.2722	27.0415	56
26.6604	28.2183	75
26.6604	27.4296	63
26.6604	27.5412	60
27.0415	27.5412	56
27.4296	28.2183	59
27.4296	28.2183	63
27.8178	28.2183	56
28.2183	29.0118	77
28.2183	29.0118	53
28.2183	29.0118	59
28.2183	29.0118	65
28.6138	29.0118	61
29.0118	29.7494	78
29.0118	29.7494	54
29.0118	29.7494	58
29.3861	29.7719	77
29.3861	29.7719	61
29.7719	30.5519	75
29.7719	30.5519	58
29.7719	30.5519	66
30.1649	30.5759	73
30.1649	30.5759	61
30.5759	32.2207	77
30.5759	32.2207	49
30.9868	31.781	56
31.3783	32.2207	65
31.3783	32.2207	61
31.781	32.2207	56
32.1977	32.9605	75
32.1977	32.9605	51
32.5924	32.9605	71
32.5924	32.9605	56
32.9605	33.6872	70
32.9605	33.6872	63
32.9605	33.6872	59
33.3348	33.7091	68
33.3348	33.7091	56
33.7091	34.3483	70
33.7091	34.4899	51
34.0834	34.4899	55
34.2774	34.4899	71
34.3483	34.4899	70
34.4191	34.4899	68
34.4899	35.2888	70
34.4899	35.2888	63
34.4899	35.2888	61
34.8804	35.2888	55
35.0846	35.2888	71
35.2888	36.8512	68
35.2888	36.8512	44
35.6818	36.463	56
36.0849	36.8512	75
36.0849	36.8512	63
36.0849	36.8512	59
36.463	36.8512	56
36.8512	37.6181	73
36.8512	37.6181	61
36.8512	37.6181	58
37.2346	37.6181	56
37.6181	38.4046	76
37.6181	38.4046	64
37.6181	38.4046	61
38.0015	38.4046	56
38.4046	39.2109	75
38.4046	40.8648	44
38.8077	39.614	56
39.2109	40.8648	75
39.2109	40.8648	63
39.2109	40.7503	59
39.614	39.9928	56
39.9928	40.3716	56
40.3716	40.8648	56
40.7503	41.5648	77
40.7503	41.5648	65
40.7503	41.5648	59
41.1483	41.5648	56
41.5648	42.2979	78
41.5648	42.2979	51
41.9368	42.3203	77
41.9368	42.3203	54
42.3203	43.1874	75
42.3203	43.1874	66
42.3203	43.1874	58
42.7208	43.1874	73
42.7208	43.1874	54
43.14	45.5294	77
43.14	44.7279	46
43.5457	44.3173	53
43.9315	44.7279	65
43.9315	44.7279	61
43.9315	44.7279	58
44.3173	44.7279	53
44.7153	45.5294	41
45.0919	45.5294	73
45.0919	45.5294	53
45.4753	46.2614	72
45.4753	46.2745	65
45.4753	46.2745	61
45.4753	46.2745	58
45.8684	46.2745	70
45.8684	46.2745	53
46.2614	46.9232	72
46.2614	47.0569	41
46.6544	47.0677	53
46.8509	47.0569	73
46.9232	47.0569	72
46.9955	47.0677	70
47.0677	47.8688	72
47.0677	47.8688	65
47.0677	47.8688	63
47.0677	47.8688	57
47.4683	47.8688	73
47.4683	47.8688	53
47.8688	48.7803	70
47.8688	48.7803	46
48.2618	48.7803	53
48.6675	49.4972	77
48.6675	49.4972	65
48.6675	49.4972	61
49.0486	49.4972	53
49.4297	50.2174	75
49.4297	50.1703	63
49.4297	50.1703	60
49.8155	50.2174	53
50.2174	51.0265	78
50.2174	51.0265	66
50.2174	51.0265	63
50.6128	51.0265	53
51.0265	51.8244	77
51.0265	51.7797	65
51.0265	51.7797	61
51.3986	51.8244	73
51.3986	51.8244	53
51.7797	52.5688	72
51.7797	52.6026	65
51.7797	52.6026	61
51.7797	52.6026	58
52.1631	52.6026	70
52.1631	52.6026	53
52.5688	53.2246	72
52.5688	53.3637	63
52.5688	53.3637	57
52.9546	53.3691	53
53.1523	53.3637	73
53.2246	53.3637	72
53.2969	53.3691	70
53.3691	54.1601	72
53.3691	54.1601	63
53.3691	54.1601	65
53.7646	54.1601	53
53.9623	54.1601	73
54.1601	54.9966	70
54.1601	54.9966	46
54.5482	54.9966	53
54.9514	55.7738	75
54.9514	55.7738	63
54.9514	55.7738	60
55.3395	55.7738	53
55.7276	56.5314	77
55.7276	56.5076	65
55.7276	56.5076	61
56.1231	56.5314	53
56.5314	57.3404	75
56.5314	57.3404	63
56.5314	57.3404	60
56.9294	57.3404	53
57.3404	59.8154	77
57.3404	58.9514	65
57.3404	58.9514	61
57.741	58.1414	53
58.1414	58.5436	53
58.5436	58.9758	53
58.9514	59.7895	65
58.9514	59.7895	61
59.3709	59.8154	54
59.8154	60.7687	75
59.8154	60.7687	63
59.8154	60.7687	60
60.2769	60.7687	56
60.7687	61.5953	77
60.7687	61.5953	49
