OnsetTime	OffsetTime	MidiPitch
0.504122	1.29185	83
0.504122	1.29185	79
0.504122	1.29185	77
0.504122	1.29185	74
0.504122	1.29185	71
0.741779	0.841986	68
0.837493	0.936507	67
0.924491	1.02371	65
1.01919	1.11866	62
1.10809	1.20777	63
1.19796	1.29791	62
1.2873	1.38747	59
1.38291	1.48334	55
1.4742	1.57485	56
1.56491	1.66583	55
1.6513	1.75242	53
1.74935	1.85077	50
1.84	1.94161	51
1.93082	2.0327	50
2.02186	2.12403	47
2.11242	2.21459	43
2.20608	2.30824	44
2.30128	2.40345	43
2.39183	3.09473	41
2.48472	2.6728	38
2.58456	3.09473	39
2.6728	3.09473	38
2.76336	2.95416	36
2.85831	3.0532	31
2.95416	3.09473	36
3.0532	3.28001	31
3.15183	3.79979	80
3.15183	3.79979	75
3.15183	3.71427	77
3.15183	3.79979	68
3.15183	3.40713	36
3.28001	3.53475	31
3.40713	3.79979	36
3.5332	3.79979	67
3.5332	3.71427	79
3.53475	3.79979	31
3.71069	3.82329	35
3.71427	4.48175	86
3.71427	4.48175	77
3.71427	4.48175	79
3.71427	4.48175	74
3.94133	4.04013	68
4.02891	4.12792	67
4.11816	4.21737	65
4.20608	4.30554	62
4.30101	4.4007	63
4.39315	4.49311	62
4.48401	4.58419	59
4.57279	4.67323	55
4.66255	4.76319	56
4.7586	4.85952	55
4.84882	4.94997	53
4.94306	5.04447	50
5.03525	5.13686	51
5.12375	5.22563	50
5.21325	5.31542	47
5.30922	5.4114	43
5.39979	5.50197	44
5.49809	5.60027	43
5.58556	6.27606	41
5.68309	5.87446	38
5.77688	6.27606	39
5.87446	6.27606	38
5.97123	6.15995	36
6.06479	6.2551	31
6.15995	6.28736	36
6.2551	6.48679	31
6.35316	6.60488	36
6.35488	6.95893	80
6.35488	6.95893	75
6.35488	6.91014	77
6.35488	6.95893	68
6.48679	6.73679	31
6.60488	6.95893	36
6.73679	6.95893	31
6.73785	6.95893	67
6.73785	6.91014	79
6.90622	7.00943	35
6.91014	7.1156	77
6.91014	7.1156	89
6.91014	7.1156	79
6.91014	7.1156	86
7.1171	7.2159	92
7.1171	7.2159	80
7.20168	7.30072	91
7.20766	7.30673	79
7.29171	7.39101	89
7.29697	7.39628	77
7.38574	7.4853	74
7.3895	7.48908	86
7.47322	7.57302	75
7.47473	7.57454	87
7.56546	7.66552	86
7.56621	7.66628	74
7.65868	7.75902	83
7.66096	7.76131	71
7.74531	7.84592	67
7.75064	7.85126	79
7.84058	7.94146	68
7.84363	7.94452	80
7.93382	8.03496	79
7.93382	8.03496	67
8.02346	8.12485	65
8.02422	8.12561	77
8.11331	8.21495	62
8.11408	8.21573	74
8.21109	8.31304	75
8.21263	8.31459	63
8.30143	8.40362	74
8.3053	8.4075	62
8.3943	8.49677	71
8.39508	8.49755	59
8.48591	8.58839	55
8.49134	8.59382	67
8.58062	8.68311	56
8.58295	8.68544	68
8.67068	8.77319	67
8.67301	8.77552	55
8.76774	8.87023	65
8.77008	8.87257	53
8.85859	8.96108	50
8.85937	8.96186	62
8.95331	9.05581	51
8.95565	9.05815	63
9.04416	9.14667	50
9.04727	9.14979	62
9.14045	9.24295	59
9.14356	9.24606	47
9.23131	9.33378	55
9.23131	9.33378	43
9.32292	9.4254	56
9.32835	9.43083	44
9.41685	9.51934	55
9.41996	9.52245	43
9.51002	9.61251	41
9.51158	9.61406	53
9.60785	9.71034	50
9.60785	9.71034	38
9.69869	9.80117	51
9.7018	9.80428	39
9.79109	9.89358	38
9.79574	9.89823	50
9.88503	9.9782	36
9.88737	9.98053	48
9.97664	10.0698	47
9.98131	10.0744	35
10.0675	10.1575	43
10.0683	10.1583	55
10.1628	10.2622	53
10.165	10.2645	41
10.2517	10.3516	51
10.2524	10.3523	39
10.3387	10.4391	50
10.3387	10.4391	38
10.4338	10.5348	39
10.4353	10.5363	51
10.5233	10.6252	38
10.5256	10.6277	50
10.6148	10.7231	48
10.6211	10.7297	36
10.7173	10.816	35
10.7206	10.819	47
10.8119	10.9117	58
10.8167	10.9162	46
10.9034	11.0033	44
10.9087	11.0086	56
10.998	11.0984	55
10.9995	11.0999	43
11.0847	11.1855	41
11.0862	11.1871	53
11.1763	11.2777	43
11.1786	11.28	55
11.2677	11.3698	53
11.2738	11.3763	41
11.3625	11.4703	39
11.3681	11.476	51
11.4637	11.5617	50
11.4662	11.5641	38
11.5569	11.6609	63
11.5585	11.6625	51
11.653	11.7574	50
11.6577	11.7621	62
11.7462	11.8512	48
11.7526	11.8576	60
11.8456	11.9512	59
11.8472	11.9528	47
11.9384	12.0446	60
11.944	12.0503	48
12.0341	12.1408	59
12.039	12.1457	47
12.1352	12.329	44
12.1368	12.3281	56
12.2322	12.4322	55
12.2346	12.4288	43
12.3281	12.9203	56
12.329	12.9203	44
12.4288	12.9203	43
12.4322	12.9203	55
12.5302	12.7467	41
12.5371	12.7422	53
12.634	12.8567	39
12.6375	12.854	51
12.7422	12.9203	53
12.7467	12.9203	41
12.854	12.9785	51
12.8567	12.9822	39
12.9585	13.3377	36
12.9594	13.2072	48
13.1137	13.3377	43
13.2072	13.3377	48
13.3059	13.7533	50
13.4059	13.7533	51
13.5061	13.7533	55
13.6019	13.7533	60
13.6964	13.8879	62
13.7886	14.1491	63
13.8879	14.1491	62
13.9825	14.1491	60
14.0826	14.1884	55
14.1756	14.5049	51
14.2725	14.5049	50
14.3671	14.5049	48
14.4664	14.6614	43
14.5618	14.9398	36
14.6614	14.9398	43
14.7562	14.9398	48
14.8583	14.967	50
14.9613	15.3237	51
15.0576	15.3237	50
15.1589	15.3237	48
15.2512	15.35	43
15.3508	16.1959	36
15.448	16.1524	43
15.5548	16.0343	48
15.6622	16.1959	84
15.6622	16.1959	72
15.6622	15.9047	50
15.7843	16.1959	74
15.7843	16.1959	86
15.7895	16.1959	51
15.9047	16.1959	50
16.0343	16.1959	48
16.1524	16.2871	43
16.1565	16.2916	75
16.1565	16.2916	87
16.2905	16.9555	36
16.2916	17.3813	75
16.2916	17.9198	87
16.3968	16.9555	43
16.489	16.9555	48
16.5967	16.9555	50
16.6915	16.9555	51
16.79	16.9555	55
16.8939	17.0023	60
16.9891	17.1866	62
17.0857	17.9198	63
17.1866	17.9198	62
17.2844	17.9198	60
17.3805	17.9198	55
17.3813	17.498	72
17.3813	17.498	67
17.3813	17.498	75
17.3813	17.498	79
17.498	17.8859	67
17.498	17.8859	72
17.498	17.8859	75
17.498	17.8859	79
17.498	17.9198	51
17.6284	17.9198	50
17.7577	17.9198	48
17.8859	18.7617	67
17.8859	18.0206	72
17.8859	18.0206	75
17.8859	18.7617	79
17.8908	18.1283	43
18.0206	18.8747	80
18.0206	18.8747	72
18.0206	18.8747	75
18.0206	18.8747	68
18.0242	18.7617	36
18.1283	18.7617	43
18.2359	18.6639	48
18.3418	18.5518	50
18.4468	18.7617	51
18.5518	18.7617	50
18.6639	18.7813	48
18.7689	18.8756	43
18.8747	19.7523	67
18.8747	19.1982	72
18.8747	19.6907	75
18.8747	19.7523	79
18.8783	19.7523	36
18.9788	19.6907	43
19.0856	19.5641	48
19.1982	19.7523	84
19.1982	19.7523	72
19.1992	19.4427	50
19.3172	19.7523	74
19.3172	19.7523	86
19.3193	19.7523	51
19.4427	19.7523	50
19.5641	19.7523	48
19.6907	19.8228	75
19.6907	19.8228	87
19.6907	19.9267	43
19.8173	20.5638	36
19.8228	20.9176	75
19.8228	21.4094	87
19.9267	20.5638	43
20.0259	20.5638	48
20.1265	20.5638	50
20.2274	20.5638	51
20.3279	20.5638	55
20.4213	20.5638	60
20.5244	20.7241	62
20.6253	21.4094	63
20.7241	21.4094	62
20.8189	21.4094	60
20.9176	21.0306	67
20.9176	21.0306	72
20.9176	21.0306	75
20.9176	21.0306	79
20.9204	21.4094	55
21.0259	21.4094	51
21.0306	21.3942	67
21.0306	21.3942	72
21.0306	21.3942	75
21.0306	21.3942	79
21.1538	21.4094	50
21.2781	21.4127	48
21.3922	21.5225	43
21.3942	21.9072	79
21.3942	21.5247	72
21.3942	21.5247	75
21.3942	21.9072	67
21.5247	23.6	69
21.5247	23.6	72
21.5247	23.6	75
21.5247	23.1549	81
21.5255	21.9072	36
21.6253	21.9072	42
21.7256	21.9072	48
21.8271	21.9383	50
21.9349	22.2845	51
22.0356	22.2845	50
22.1349	22.2845	48
22.2289	22.3284	42
22.33	22.7116	36
22.4267	22.7116	42
22.5271	22.7116	48
