OnsetTime	OffsetTime	MidiPitch
0.500004	2.19917	37
0.870377	1.86811	44
1.20371	3.16517	56
1.53704	2.8477	49
1.86811	2.53024	44
2.19917	4.11758	37
2.53024	3.79821	44
2.8477	3.48201	49
3.16517	5.09003	56
3.48201	4.76509	49
3.79821	4.44016	44
4.11758	6.0699	37
4.44016	5.74294	44
4.76509	5.41597	49
5.09003	7.03383	56
5.41597	6.71636	49
5.74294	6.3989	44
6.0699	8.05967	37
6.3989	7.68903	44
6.71636	7.3513	49
7.03383	8.60901	56
7.3513	8.60901	49
7.68903	8.45571	44
8.05967	8.60901	37
8.45571	10.5471	76
8.45571	9.86351	44
8.83404	9.53631	49
9.19365	10.5471	56
9.53631	10.5471	49
9.86351	10.5055	44
10.1867	10.5471	37
10.5055	11.4579	77
10.5055	11.7818	44
10.8229	11.4579	49
11.1404	12.4944	59
11.4579	12.4637	77
11.4579	12.4944	49
11.7818	12.4637	44
12.1165	12.4944	37
12.4637	14.4293	77
12.4637	13.7893	44
12.81	13.4693	49
13.1448	14.4153	59
13.4693	14.4153	49
13.7893	14.4153	44
14.1093	14.4293	37
14.4293	18.3593	78
14.4293	15.7145	45
14.7493	15.3893	49
15.0693	16.3938	57
15.3893	16.3938	49
15.7145	16.3938	45
16.0398	16.3938	37
16.3938	17.7486	45
16.7357	17.4196	50
17.0777	18.3593	57
17.4196	18.3593	76
17.4196	18.3593	50
17.7486	18.3593	45
18.0776	18.4066	37
18.1599	18.4066	74
18.4066	20.4928	73
18.4066	19.7604	45
18.7404	19.4111	50
19.0757	20.5676	57
19.4111	20.5676	72
19.4111	20.5676	50
19.7604	20.5676	45
20.1225	20.5676	37
20.4928	22.5706	73
20.4928	21.8517	44
20.8347	21.5185	52
21.1766	22.5706	61
21.5185	23.556	80
21.5185	22.5706	52
21.8517	22.5706	44
22.1849	22.5706	37
22.5181	24.305	35
22.8564	23.9164	47
23.202	24.8824	63
23.556	24.8824	80
23.556	24.8824	57
23.9164	24.8824	78
23.9164	24.8824	47
24.305	24.8824	35
24.5203	24.7425	76
24.7425	26.7327	76
24.7425	26.774	40
25.0889	26.0855	47
25.4243	26.774	64
25.7577	26.774	56
26.0855	26.774	47
26.4107	26.774	39
26.7327	27.6696	76
26.7327	28.3013	37
27.0476	27.9773	44
27.3601	28.6588	56
27.6696	28.6588	76
27.6696	28.6588	49
27.9773	28.6298	44
28.3013	28.6588	37
28.6298	30.5871	77
28.6298	29.9341	44
28.9597	29.6115	49
29.2869	30.5728	59
29.6115	30.5728	49
29.9341	30.5728	44
30.2593	30.5871	37
30.5871	34.5022	78
30.5871	31.8809	45
30.9123	31.553	49
31.2343	32.5366	57
31.553	32.5366	49
31.8809	32.5366	45
32.2088	32.5366	37
32.5366	33.8914	45
32.8786	33.5624	50
33.2205	34.5022	57
33.5624	34.5022	76
33.5624	34.5022	50
33.8914	34.5022	45
34.2204	34.5494	37
34.3027	34.5494	74
34.5494	40.7505	73
34.5494	35.8773	45
34.8773	35.5331	50
35.2052	37.2665	57
35.5331	40.8846	72
