OnsetTime	OffsetTime	MidiPitch
1.78572	1.99644	80
1.78572	1.99644	83
2	2.21072	81
2	2.21072	78
2.21429	2.60715	76
2.21429	2.60715	80
2.64286	2.84773	80
2.64286	2.84773	76
2.8512	3.05607	71
2.8512	3.05607	78
3.05954	3.45241	68
3.05954	3.45241	76
3.48812	3.69157	83
3.48812	3.69157	80
3.69501	3.89846	78
3.69501	3.89846	81
3.90191	4.29477	76
3.90191	4.29477	80
4.33048	4.53535	80
4.33048	4.53535	76
4.53882	4.74369	71
4.53882	4.74369	78
4.74716	5.14003	76
4.74716	5.14003	68
5.17574	5.37779	76
5.17574	5.37779	68
5.38121	5.58326	71
5.38121	5.58326	78
5.58668	5.96599	80
5.58668	5.96599	76
6.00047	6.19455	71
6.00047	6.19455	78
6.19784	6.39717	76
6.19784	6.39717	80
6.40055	6.7747	78
6.40055	6.7747	81
6.80871	7.0028	71
6.80871	7.0028	78
7.00608	7.20541	78
7.00608	7.20541	81
7.20879	7.57546	83
7.20879	7.57546	80
7.6088	7.80161	78
7.6088	7.80161	81
7.80488	8.01264	80
7.80488	8.01264	76
8.01616	8.39032	71
8.01616	8.39032	78
8.42433	8.61841	83
8.42433	8.61841	80
8.6217	8.81837	78
8.6217	8.81837	81
8.82171	9.19587	80
8.82171	9.19587	76
9.22988	9.42655	76
9.22988	9.42655	80
9.42989	9.62656	78
9.42989	9.62656	71
9.6299	10.0041	76
9.6299	10.0041	68
10.0381	10.2284	80
10.0381	10.2284	83
10.2316	10.4244	81
10.2316	10.4244	78
10.4277	10.7944	76
10.4277	10.7944	80
10.8277	11.0193	76
10.8277	11.0193	80
11.0225	11.2179	71
11.0225	11.2179	78
11.2212	11.5879	68
11.2212	11.5879	76
11.6212	11.8205	68
11.6212	11.8205	76
11.8239	12.0288	78
11.8239	12.0288	71
12.0322	12.409	76
12.0322	12.409	80
12.4432	12.6495	81
12.4432	12.6495	78
12.653	12.8593	80
12.653	12.8593	76
12.8628	13.2395	71
12.8628	13.2395	78
13.2738	13.486	80
13.2738	13.486	76
13.4896	13.7237	71
13.4896	13.7237	78
13.7277	14.6039	68
13.7277	14.6039	76
15.0039	15.0928	56
15.0039	15.0928	64
15.1879	15.2809	64
15.1879	15.2809	68
15.3802	15.7374	59
15.3802	15.7374	66
15.7698	15.8572	64
15.7698	15.8572	68
15.9506	16.0406	69
15.9506	16.0406	66
16.1369	16.485	68
16.1369	16.485	71
16.5167	16.6035	73
16.5167	16.6035	69
16.6974	16.7916	71
16.6974	16.7916	68
16.8922	17.2448	66
16.8922	17.2448	69
17.2768	17.3658	68
17.2768	17.3658	64
17.4609	17.5538	66
17.4609	17.5538	69
17.6532	18.0351	59
17.6532	18.0351	66
18.0699	18.1594	56
18.0699	18.1594	64
18.255	18.3474	64
18.255	18.3474	68
18.4461	18.7987	59
18.4461	18.7987	66
18.8308	18.9151	68
18.8308	18.9151	64
19.0052	19.0964	66
19.0052	19.0964	69
19.1939	19.5232	71
19.1939	19.5232	68
19.5531	19.6415	73
19.5531	19.6415	69
19.7361	19.8302	68
19.7361	19.8302	71
19.9309	20.2975	69
19.9309	20.2975	66
20.3309	20.4316	64
20.3309	20.4316	68
20.5392	20.6534	66
20.5392	20.6534	69
20.7754	21.1216	59
20.7754	21.1216	66
21.237	21.4363	83
21.237	21.4363	80
21.4397	21.6403	78
21.4397	21.6403	81
21.6438	22.0205	80
21.6438	22.0205	76
22.0547	22.2501	76
22.0547	22.2501	80
22.2534	22.4554	71
22.2534	22.4554	78
22.4589	22.8462	68
22.4589	22.8462	76
22.8814	22.9704	68
22.8814	22.9704	71
23.0655	23.1567	66
23.0655	23.1567	69
23.2541	23.6208	68
23.2541	23.6208	64
23.6541	23.7448	64
23.6541	23.7448	68
23.8416	23.9377	66
23.8416	23.9377	59
24.0403	24.3528	64
24.0403	24.3528	56
24.457	24.6563	68
24.457	24.6563	76
24.6597	24.8646	78
24.6597	24.8646	71
24.868	25.2448	76
24.868	25.2448	80
25.279	25.4853	78
25.279	25.4853	81
25.4888	25.6951	76
25.4888	25.6951	80
25.6986	26.0753	71
25.6986	26.0753	78
26.1096	26.3365	76
26.1096	26.3365	80
26.3403	26.6295	78
26.3403	26.6295	71
26.6344	27.6601	68
26.6344	27.6601	76
28.1578	28.3303	92
28.1578	28.3303	95
28.3332	28.5058	90
28.3332	28.5058	93
28.5087	28.8701	92
28.5087	28.8701	88
28.5087	29.5783	52
28.5087	29.3986	59
28.6894	29.219	64
28.8701	29.219	88
28.8701	29.8124	92
28.8701	29.219	71
29.0446	29.8124	90
29.0446	29.5783	83
29.219	29.5783	80
29.219	29.8124	88
