OnsetTime	OffsetTime	MidiPitch
0.626135	0.804194	61
0.804194	2.92836	61
1.96578	2.14384	44
1.96578	2.14384	37
1.96578	2.14384	56
1.96578	2.14384	53
2.14384	2.92836	44
2.14384	2.92836	53
2.14384	2.92836	56
2.14384	2.92836	37
2.92836	3.23102	61
3.10155	3.38549	59
3.23102	3.38549	61
3.38549	5.66648	59
4.54707	4.72513	54
4.54707	4.72513	44
4.54707	4.72513	50
4.54707	4.72513	32
4.72513	5.61778	32
4.72513	5.61778	44
4.72513	5.61778	50
4.72513	5.61778	54
5.66648	6.14229	61
5.83342	6.35326	64
5.98596	6.35326	62
6.14229	6.35326	61
6.35326	8.38333	61
7.41358	7.59881	56
7.41358	7.59881	37
7.41358	7.59881	53
7.41358	7.59881	44
7.59881	8.38333	37
7.59881	8.38333	56
7.59881	8.38333	44
7.59881	8.38333	53
8.38333	8.65861	61
8.51032	8.83422	59
8.65861	8.83422	61
8.83422	10.9416	59
9.84748	10.0417	50
9.84748	10.0417	32
9.84748	10.0417	54
9.84748	10.0417	44
10.0417	10.8908	44
10.0417	10.8908	50
10.0417	10.8908	54
10.0417	10.8908	32
10.9416	11.4693	57
11.1383	11.658	56
11.2924	11.8644	59
11.4693	11.8644	57
11.658	11.8644	56
11.8644	14.4895	56
13.0892	13.2683	44
13.0892	13.2683	49
13.0892	13.2683	37
13.0892	13.2683	53
13.2683	14.3703	53
13.2683	14.3703	37
13.2683	14.3703	44
13.2683	14.3703	49
14.4895	14.7212	56
14.7212	17.2241	56
15.9982	16.2603	44
15.9982	16.2603	40
15.9982	16.2603	52
15.9982	16.2603	49
16.2603	17.2241	52
16.2603	17.2241	44
16.2603	17.2241	49
16.2603	17.2241	40
17.191	17.3562	57
17.4096	18.0222	56
17.6031	18.31	59
17.7842	18.31	57
18.0222	18.31	56
18.31	23.7441	56
19.6242	19.9352	44
19.6242	19.9352	51
19.6242	19.9352	49
19.9352	21.7402	51
19.9352	22.3203	44
19.9352	21.7402	49
21.7402	22.8926	54
21.7402	22.8926	48
21.7402	22.8926	51
22.3203	22.6719	45
22.6167	22.9449	44
22.8926	23.2101	47
23.1541	23.496	45
23.4339	23.8001	44
23.7441	24.0832	42
24.0239	24.3796	40
24.3203	24.6828	42
24.6167	25.1762	39
24.9474	26.2821	45
26.2821	27.4458	44
26.4726	28.7806	37
27.4458	29.7538	44
27.6197	29.9267	49
28.7806	31.0929	37
29.7538	32.0455	44
29.9267	32.2225	49
30.8895	30.9912	56
30.9912	32.2225	56
31.0929	32.2225	61
31.0929	33.2581	37
32.0455	33.2581	44
32.2225	33.2581	52
32.2225	33.2581	56
32.2225	33.7129	61
32.2225	33.2581	49
33.2581	35.1502	37
33.4812	34.115	60
33.7129	34.115	61
33.9598	34.115	63
33.9598	34.1479	45
34.0539	35.1808	54
34.1009	34.399	57
34.1479	34.6501	64
34.1479	35.1808	49
34.399	35.1808	57
34.6501	35.1808	64
34.9012	35.1808	63
35.1502	35.9364	61
35.1502	37.1477	37
35.9364	36.1093	61
35.9364	37.18	44
36.0228	37.18	63
36.1093	37.1477	61
36.1093	37.18	52
36.1093	37.18	56
36.1093	37.18	49
36.9664	37.18	60
37.1477	39.2047	61
37.1477	39.2047	37
