OnsetTime	OffsetTime	MidiPitch
1.98773	2.08874	72
2.08874	2.18976	74
2.18976	2.29077	76
2.29077	2.39178	72
2.39178	2.50717	69
2.62256	3.03307	64
2.62256	3.03307	60
2.62256	3.03307	57
2.7297	2.83105	76
2.83105	2.93206	72
2.93206	3.03307	69
3.03307	3.13408	77
3.13408	3.23509	74
3.23509	3.35004	69
3.46499	3.88266	57
3.46499	3.88266	62
3.46499	3.88266	65
3.57213	3.67927	77
3.67927	3.78096	74
3.78096	3.88266	69
3.88266	3.98436	74
3.98436	4.08605	71
4.08605	4.20144	68
4.31683	4.72906	62
4.31683	4.72906	59
4.31683	4.72906	57
4.42397	4.52567	74
4.52567	4.62736	71
4.62736	4.72906	68
4.72906	4.83076	76
4.83076	4.93245	72
4.93245	5.04696	69
5.16146	5.57473	64
5.16146	5.57473	60
5.16146	5.57473	57
5.2686	5.37064	71
5.37064	5.47269	72
5.47269	5.57473	74
5.57473	5.67678	76
5.67678	5.77882	72
5.77882	5.89377	69
6.00872	6.42304	64
6.00872	6.42304	60
6.00872	6.42304	57
6.11586	6.21825	76
6.21825	6.32064	72
6.32064	6.42304	69
6.42304	6.52543	77
6.52543	6.62782	74
6.62782	6.74233	69
6.85683	7.27011	57
6.85683	7.27011	62
6.85683	7.27011	65
6.96397	7.06602	77
7.06602	7.16806	74
7.16806	7.27011	69
7.27011	7.37215	74
7.37215	7.47419	71
7.47419	7.5887	68
7.7032	8.11543	62
7.7032	8.11543	59
7.7032	8.11543	57
7.81034	7.91204	74
7.91204	8.01373	71
8.01373	8.11543	68
8.11543	8.22654	76
8.22654	8.33765	72
8.33765	8.44794	69
8.33765	8.44794	60
8.33765	8.44794	57
8.33765	8.44794	64
8.55824	8.97047	65
8.55824	8.97047	62
8.55824	8.97047	57
8.66538	8.76707	74
8.76707	8.86877	71
8.86877	8.97047	68
8.97047	9.08076	76
9.08076	9.19105	72
9.19105	9.30134	69
9.19105	9.30134	57
9.19105	9.30134	60
9.19105	9.30134	64
9.41164	9.82089	65
9.41164	9.82089	62
9.41164	9.82089	57
9.5158	9.6175	74
9.6175	9.71919	71
9.71919	9.82089	68
9.82089	9.93078	76
9.93078	10.0407	72
10.0407	10.1506	69
10.0407	10.1506	60
10.0407	10.1506	57
10.0407	10.1506	64
10.2604	10.6669	65
10.2604	10.6669	62
10.2604	10.6669	57
10.3639	10.4649	74
10.4649	10.5659	71
10.5659	10.6669	68
10.6669	11.7622	76
10.7685	11.7622	72
10.871	11.7622	69
10.9749	11.7622	64
11.0801	11.7622	60
11.1865	11.7622	57
11.2941	11.7622	52
11.4031	11.7622	48
11.5133	11.7622	33
11.5133	11.7622	45
11.9971	12.4383	64
11.9971	12.4383	52
12.4383	13.1001	64
12.4383	13.3151	69
12.4383	13.328	48
12.4383	13.3151	57
13.1001	13.328	64
13.1001	13.328	71
13.1001	13.328	52
13.1001	13.328	59
13.3151	13.7563	69
13.3151	13.7563	72
13.3151	13.7563	57
13.3151	13.7563	60
13.7563	14.1975	71
13.7563	14.1975	74
13.7563	14.1975	59
13.7563	14.1975	62
14.1975	14.6503	72
14.1975	14.6503	76
14.1975	14.6503	60
14.1975	14.6503	64
14.6503	15.5326	76
14.6503	15.5326	79
14.6503	15.5326	64
14.6503	15.5326	67
15.5326	15.8564	74
15.5326	15.8564	77
15.5326	15.8564	65
15.5326	15.8564	62
15.8564	15.9643	72
15.8564	15.9643	76
15.8564	15.9643	60
15.8564	15.9643	64
15.9643	16.4055	72
15.9643	16.4055	76
15.9643	16.4055	60
15.9643	16.4055	64
16.4055	16.7331	71
16.4055	16.7331	74
16.4055	16.7331	59
16.4055	16.7331	62
16.7331	16.8422	69
16.7331	16.8422	72
16.7331	16.8422	57
16.7331	16.8422	60
16.8422	17.2901	69
16.8422	17.2901	72
16.8422	17.2901	57
16.8422	17.2901	60
17.2901	17.7559	65
17.2901	17.7465	72
17.2901	17.7559	76
17.2901	17.7559	50
17.2901	17.7465	60
17.2901	17.7559	64
17.626	17.7559	71
17.626	17.7559	74
17.626	17.7559	62
17.626	17.7559	59
17.7465	18.6556	69
17.7465	18.6556	72
17.7465	18.8828	52
17.7465	18.6556	60
17.7465	18.6556	57
18.6556	18.8828	68
18.6556	18.8828	71
18.6556	18.8828	56
18.6556	18.8828	59
19.1101	19.5513	62
19.1101	19.5513	64
19.1101	19.5513	52
19.5513	20.4281	60
19.5513	20.213	64
19.5513	20.4281	69
19.5513	20.441	45
19.5513	20.441	48
19.5513	20.4281	57
20.213	20.441	64
20.213	20.441	71
20.213	20.441	52
20.213	20.441	59
20.4281	20.8693	69
20.4281	20.8693	72
20.4281	20.8693	57
20.4281	20.8693	60
20.8693	21.3104	71
20.8693	21.3104	74
20.8693	21.3104	59
20.8693	21.3104	62
21.3104	21.7633	72
21.3104	21.7633	76
21.3104	21.7633	60
21.3104	21.7633	64
21.7633	22.6508	67
