OnsetTime	OffsetTime	MidiPitch
0.500004	1.11306	53
1.11179	1.72485	51
1.72485	2.33952	56
2.32593	2.93242	58
2.62229	2.93242	63
2.91865	3.51972	60
3.51972	4.1263	58
3.81608	4.1263	63
4.11243	4.71775	60
4.71775	5.31668	56
5.31668	5.92201	58
5.92201	6.52735	53
6.52735	7.15065	51
7.15065	7.77777	68
7.15065	7.77777	65
7.15065	7.77777	61
7.15065	7.77777	53
7.76371	8.49153	70
7.76371	8.49153	67
7.76371	8.49153	58
7.76371	8.49153	51
8.37677	8.98211	63
8.37677	8.98211	72
8.37677	8.98211	68
8.37677	8.98211	56
8.98211	9.58103	75
8.98211	9.58103	70
8.98211	9.58103	67
8.98211	9.56731	58
9.28158	9.58103	63
9.58103	10.1706	80
9.58103	10.1706	75
9.58103	10.1706	72
9.58103	10.1706	60
10.1706	10.8416	70
10.1706	10.8416	79
10.1706	10.7696	75
10.1706	10.8416	58
10.4701	10.8416	63
10.7696	11.3766	75
10.7696	11.3766	72
10.7696	11.3766	67
10.7696	11.3766	60
11.3766	11.9868	77
11.3766	12.0462	72
11.3766	12.0462	68
11.3766	12.0462	56
11.9868	12.6814	73
11.9868	12.6814	82
11.9868	12.6068	77
11.9868	12.6814	58
12.6068	13.2351	84
12.6068	13.2351	80
12.6068	13.2351	77
12.6068	13.2351	53
13.2351	13.6035	79
13.2351	13.6035	82
13.2351	13.6035	87
13.2351	13.6035	51
13.8804	14.4762	51
14.4762	15.0719	53
15.0719	15.673	48
15.673	16.2238	51
15.9694	16.2657	53
16.2657	16.8668	46
16.8668	17.5022	53
17.1632	17.5022	55
17.4595	18.0616	51
18.0616	18.6606	63
18.6606	19.2659	60
19.2659	19.8132	58
19.5686	19.8712	56
19.8712	20.4831	51
20.4831	21.095	79
20.4831	21.095	67
20.4831	21.095	75
20.4831	21.095	70
20.4831	21.095	51
21.095	21.7068	65
21.095	21.7068	68
21.095	21.7068	73
21.095	21.7068	77
21.095	21.7068	53
21.7068	22.3079	80
21.7068	22.3079	75
21.7068	22.3079	68
21.7068	22.3079	72
21.7068	22.3079	48
22.3079	22.9164	75
22.3079	22.9164	79
22.3079	22.9164	82
22.3079	22.9164	70
22.3079	22.8733	51
22.6122	22.9164	53
22.9164	23.5186	77
22.9164	23.5186	82
22.9164	23.5186	85
22.9164	23.5186	73
22.9164	23.5186	46
23.5186	24.1434	85
23.5186	24.1434	77
23.5186	24.1434	82
23.5186	24.1434	89
23.5186	24.1134	53
23.831	24.1434	55
24.1434	24.7682	82
24.1434	24.7682	79
24.1434	24.7682	91
24.1434	24.7682	87
24.1434	24.7682	51
24.7682	25.4038	79
24.7682	25.4038	84
24.7682	25.4038	75
24.7682	25.4038	72
24.7682	25.4038	63
25.4038	26.0286	80
25.4038	26.0286	68
25.4038	26.0286	72
25.4038	26.0286	75
25.4038	26.0286	60
26.0286	26.6642	70
26.0286	26.6642	82
26.0286	26.6642	77
26.0286	26.6642	73
26.0286	26.6033	58
26.3464	26.6642	56
26.6642	27.1725	75
26.6642	27.1725	70
26.6642	27.1725	67
26.6642	27.1725	79
26.6642	27.1725	51
27.3308	27.9725	61
27.3308	27.9725	56
27.3308	27.9725	65
27.3308	29.2053	51
27.9725	28.5975	63
27.9725	28.5975	58
27.9725	28.5975	55
28.5975	29.2053	60
28.5975	29.2053	63
28.5975	29.2053	68
29.2053	30.3254	63
29.2053	29.8301	67
29.2053	29.7859	70
29.2053	30.4412	44
29.5177	29.8301	75
29.8301	30.3254	72
29.8301	30.3254	68
30.4412	31.0625	61
30.4412	31.0625	65
30.4412	31.0328	70
30.4412	32.2815	39
30.7519	31.0625	75
31.0625	31.677	67
31.0625	31.677	63
31.0625	31.677	72
31.677	32.2815	68
31.677	32.2815	63
31.677	32.2815	60
32.2815	32.8969	70
32.2815	32.8969	65
32.2815	32.8969	62
32.2815	33.5219	32
32.8969	33.5219	58
32.8969	33.5219	62
32.8969	33.5219	65
33.5219	34.7525	55
33.5219	34.7525	58
33.5219	34.7525	63
34.1776	35.4492	82
34.1776	35.4492	70
34.1776	34.8134	56
34.1776	34.8134	61
