OnsetTime	OffsetTime	MidiPitch
0.501788	2.20239	57
0.501788	2.2347	60
0.501788	2.2347	41
0.501788	2.2347	48
1.78572	2.2347	65
1.78572	2.2347	53
2.20239	3.03782	69
2.20239	3.03782	57
3.01872	3.85204	74
3.01872	3.85204	62
3.85204	5.57823	72
3.85204	5.54252	67
3.85204	5.57823	60
3.85204	5.57823	40
3.85204	5.57823	48
3.85204	5.54252	55
5.12585	5.57823	58
5.12585	5.57823	70
5.54252	6.43537	55
5.54252	6.43537	67
6.39966	7.26887	69
6.39966	7.2568	57
7.2568	8.93093	65
7.2568	8.93093	53
7.2568	8.93093	57
7.2568	8.93093	45
7.2568	8.93093	50
7.2568	8.93093	38
8.91197	10.5671	67
8.91197	10.5671	70
8.91197	10.5671	60
8.91197	10.5671	58
8.91197	10.5671	40
8.91197	10.5671	52
8.91197	10.5671	48
10.5671	10.9957	60
10.5671	10.9957	57
10.5671	10.9957	69
10.5671	10.9957	65
10.5671	10.9957	48
10.5671	10.9957	53
10.5671	10.9957	41
11.4243	12.1017	60
11.4243	12.1017	48
12.0049	12.2082	61
12.0049	12.2082	49
12.1017	12.2082	60
12.1017	12.2082	48
12.1985	12.9727	59
12.1985	12.9727	47
12.7791	12.9727	60
12.7791	12.9727	48
12.8759	12.9727	61
12.8759	12.9727	49
12.9727	13.1662	60
12.9727	13.1662	48
13.8178	15.4845	57
13.8178	15.5185	60
13.8178	15.5185	41
13.8178	15.5185	48
15.0678	15.5185	65
15.0678	15.5185	53
15.4845	16.3008	69
15.4845	16.3008	57
16.3008	17.1341	74
16.3008	17.1341	69
16.3008	17.1341	62
16.3008	17.1341	41
16.3008	17.1341	50
16.3008	17.1341	57
17.1341	18.8279	74
17.1341	18.8009	69
17.1341	18.8279	62
17.1341	18.8279	41
17.1341	18.8279	50
17.1341	18.8279	57
18.3871	18.8279	65
18.3871	18.8279	77
18.8009	19.6328	81
18.8009	19.6328	69
19.6117	20.4567	70
19.6117	20.4567	73
19.6117	20.4567	82
19.6117	20.4567	67
19.6117	20.4567	57
19.6117	20.4567	64
20.4567	22.1959	73
20.4567	22.1959	82
20.4567	22.1959	70
20.4567	22.1959	64
20.4567	22.1834	57
20.4567	22.1959	67
22.1834	23.0405	81
22.1834	23.0405	69
22.1834	23.0405	72
22.1834	23.0405	57
22.1834	23.0405	65
23.0405	23.9227	79
23.0405	24.3262	72
23.0405	23.9227	70
23.0405	23.9227	64
23.0405	24.3262	60
23.8977	24.3262	69
23.8977	24.3262	77
23.8977	24.3262	65
23.8977	24.3262	53
24.7548	25.4322	60
24.7548	25.4322	48
25.3354	25.5322	61
25.3354	25.5322	49
25.4322	25.5322	60
25.4322	25.5322	48
25.529	26.3092	59
25.529	26.3092	47
26.1096	26.2995	60
26.1096	26.2995	48
26.2046	26.3092	61
26.2046	26.3092	49
26.2995	26.4931	60
26.2995	26.4931	48
27.1411	28.8554	55
27.1411	28.8844	60
27.1411	28.8844	48
27.1411	28.8844	40
28.4269	28.8844	64
28.4269	28.8844	52
28.8554	29.6943	67
28.8554	29.6718	55
29.6718	30.5051	58
29.6718	30.5155	61
29.6718	30.5155	70
29.6718	30.5155	40
29.6718	30.5155	49
29.6718	30.5155	55
30.5051	32.1548	58
30.5051	32.1548	62
30.5051	32.1548	41
30.5051	32.1548	50
31.7466	32.1548	65
31.7466	32.1548	53
32.1548	32.9495	70
32.1548	32.9495	58
32.9495	33.8039	70
32.9495	33.8039	74
32.9495	33.8039	65
32.9495	33.8039	62
32.9495	33.7886	50
32.9495	33.8039	58
33.7886	35.3844	63
33.7886	35.3844	66
33.7886	35.3844	75
33.7886	36.1952	50
33.7886	35.3844	60
33.7886	35.3844	57
35.3693	36.1952	74
35.3693	36.1747	65
35.3693	36.1952	62
35.3693	36.1952	58
36.1747	37.0034	60
36.1747	37.0034	65
36.1747	37.0034	72
36.1747	36.9966	45
36.1747	37.0034	57
36.9966	38.6276	61
36.9966	38.6276	64
36.9966	38.6276	73
36.9966	38.6276	55
36.9966	38.6276	58
36.9966	39.483	45
38.608	39.483	72
38.608	39.4651	65
38.608	39.483	60
38.608	39.4651	57
39.4651	40.3419	57
39.4651	40.3419	69
39.4651	40.3419	65
39.4651	40.3419	53
39.4651	40.3222	48
39.4651	40.3419	41
40.3222	42.0395	60
40.3222	42.0395	72
40.3222	42.0127	67
40.3222	42.0395	40
40.3222	42.0395	48
40.3222	42.0127	55
41.5961	42.0395	58
41.5961	42.0395	70
42.0127	42.8877	55
42.0127	42.8877	67
42.8699	43.7529	69
42.8699	43.727	57
43.727	45.3994	65
43.727	45.3994	53
43.727	45.3994	57
43.727	45.3994	45
43.727	45.3994	50
43.727	45.3994	38
45.3822	47.0374	67
45.3822	47.0374	58
45.3822	47.0374	64
45.3822	47.0374	36
45.3822	47.4659	48
47.0374	47.4659	69
47.0374	47.4659	57
47.0374	47.4659	65
47.0374	47.4659	41
47.8945	48.5719	60
47.8945	48.5719	48
48.4752	48.6736	61
48.4752	48.6736	49
48.5719	48.6736	60
48.5719	48.6736	48
48.6687	49.4703	59
48.6687	49.4703	47
49.2494	49.4429	60
49.2494	49.4429	48
49.3461	49.4703	61
49.3461	49.4703	49
49.4429	49.6365	60
49.4429	49.6365	48
50.288	51.9668	72
50.288	51.9668	84
50.288	51.9489	79
50.288	51.9668	60
50.288	51.9489	67
50.288	51.9668	52
51.5323	51.9668	70
51.5323	51.9668	82
51.9489	52.8236	67
51.9489	52.8236	79
52.8061	53.6655	81
52.8061	53.6453	69
53.6453	55.2945	77
53.6453	55.2945	65
53.6453	55.2945	69
53.6453	55.2945	57
53.6453	55.2945	62
53.6453	55.2945	50
55.2669	56.9221	79
55.2669	56.9221	67
55.2669	56.9221	76
55.2669	56.9221	48
55.2669	57.3506	60
55.2669	56.9221	58
56.9221	57.3506	65
56.9221	57.3506	77
56.9221	57.3506	57
56.9221	57.3506	53
57.7792	58.4438	72
57.7792	58.4438	60
58.3488	58.5498	73
58.3488	58.5498	61
58.4438	58.5498	72
58.4438	58.5498	60
58.5387	59.3077	71
58.5387	59.3077	59
59.1083	59.2982	72
59.1083	59.2982	60
59.2033	59.3077	73
59.2033	59.3077	61
59.2982	59.4881	72
59.2982	59.4881	60
60.9455	61.6101	65
60.9455	61.6101	53
61.5152	61.7224	66
61.5152	61.7224	54
61.6101	61.7224	65
61.6101	61.7224	53
61.705	62.4788	64
61.705	62.4788	52
62.2747	62.4645	65
62.2747	62.4645	53
62.3696	62.4788	66
62.3696	62.4788	54
62.4645	63.2319	65
62.4645	63.2319	53
63.0342	63.2319	63
63.0342	63.2319	51
63.1291	63.2319	61
63.1291	63.2319	49
63.224	63.9883	60
63.224	63.9883	48
63.7936	63.9835	61
63.7936	63.9835	49
63.8886	63.9883	63
63.8886	63.9883	51
63.9835	64.7477	61
63.9835	64.7477	49
64.5531	64.7477	60
64.5531	64.7477	48
64.6481	64.7477	58
64.6481	64.7477	46
64.743	65.5316	57
64.743	65.5316	45
65.3188	65.5166	58
65.3188	65.5166	46
65.4175	65.5316	60
65.4175	65.5316	48
65.5166	66.5124	58
65.5166	66.5124	46
66.1654	66.5124	56
66.1654	66.5124	44
66.3124	66.5124	54
66.3124	66.5124	42
66.5124	68.2267	53
66.5124	68.2267	56
66.5124	68.2267	61
66.5124	68.2305	44
66.5124	68.2305	49
66.5124	68.2305	41
68.2267	70.0383	53
68.2267	68.5321	61
68.2267	68.5321	56
68.2267	70.0383	37
68.5321	68.8262	61
68.5321	68.8262	56
68.5321	68.8262	65
68.8262	69.1203	61
68.8262	70.0383	56
68.8262	69.1203	65
69.1203	69.4233	65
69.1203	70.0383	61
69.1203	69.4233	68
69.4233	69.7196	68
69.4233	69.7196	65
69.4233	69.7196	73
69.7196	70.025	68
69.7196	70.0383	65
69.7196	70.025	73
70.025	71.8547	68
70.025	71.8547	63
70.025	71.8547	73
70.025	71.8547	32
70.3303	70.6311	39
70.6311	70.9318	39
70.9318	71.8547	72
70.9318	71.8547	39
71.2259	71.5201	44
71.5201	71.8547	44
71.8375	73.651	53
71.8375	72.1429	58
71.8375	72.1429	61
71.8375	73.651	46
72.1429	72.437	58
72.1429	72.437	65
72.1429	72.437	61
72.437	72.7311	61
72.437	72.7311	65
72.437	72.7311	58
72.7311	73.0341	65
72.7311	73.651	58
72.7311	73.0341	61
73.0341	73.3304	70
73.0341	73.3304	61
73.0341	73.3304	65
73.3304	73.6358	70
73.3304	73.651	61
73.3304	73.6358	65
73.6358	75.4658	70
73.6358	75.4658	60
73.6358	75.4658	65
73.6358	75.4658	29
73.9411	74.2419	36
74.2419	74.5426	36
74.5426	75.4658	68
74.5426	75.4658	36
74.8433	75.1441	41
75.1441	75.4658	41
75.4448	75.7502	58
75.4448	77.2497	49
75.4448	75.7502	54
75.4448	77.2497	42
75.7502	76.0443	61
75.7502	76.0443	58
75.7502	76.0443	54
76.0443	76.3384	61
76.0443	76.3384	58
76.0443	76.3384	54
76.3384	76.6415	61
76.3384	77.2497	54
76.3384	76.6415	58
76.6415	76.9334	58
76.6415	76.9334	61
76.6415	76.9334	66
76.9334	77.2254	58
76.9334	77.2254	61
76.9334	77.2254	66
77.2254	77.5239	66
77.2254	80.7746	58
77.2254	77.5239	61
77.2254	77.3746	44
77.3	77.4493	42
77.3746	77.5239	44
77.4493	77.5941	42
77.5239	77.812	70
77.5239	77.812	61
77.5239	77.812	66
77.5239	77.665	44
77.5941	77.7385	42
77.665	77.812	44
77.7385	77.8822	42
77.812	78.0963	70
77.812	78.0963	61
77.812	78.0963	66
77.812	77.9522	44
77.8822	78.0239	42
77.9522	78.0963	44
78.0239	78.1699	42
78.0963	78.39	66
78.0963	78.39	70
78.0963	80.7746	61
78.0963	78.2434	44
78.1699	78.3169	42
78.2434	78.39	44
78.3169	78.4607	42
78.39	78.6753	70
78.39	78.6753	73
78.39	78.6753	66
78.39	78.5305	44
78.4607	78.6033	42
78.5305	78.6753	44
78.6033	78.7446	42
78.6753	78.9575	70
78.6753	78.9575	73
78.6753	78.9575	66
78.6753	78.8148	44
78.7446	78.886	42
78.8148	78.9575	44
78.886	79.0332	42
78.9575	79.2604	70
78.9575	79.2604	73
78.9575	80.7746	66
78.9575	79.1089	44
79.0332	79.1847	42
79.1089	79.2604	44
79.1847	79.3334	42
79.2604	79.5543	73
79.2604	79.5543	78
79.2604	79.5543	70
79.2604	79.4055	44
79.3334	79.4797	42
79.4055	79.5543	44
79.4797	79.6265	42
79.5543	79.845	73
79.5543	79.845	78
79.5543	79.845	70
79.5543	79.6981	44
79.6265	79.7715	42
79.6981	79.845	44
79.7715	79.9208	42
79.845	80.148	70
79.845	80.148	73
79.845	80.148	78
79.845	79.9965	44
79.9208	80.0723	42
79.9965	80.148	44
80.0723	80.2211	42
80.148	80.4445	82
80.148	80.4445	70
80.148	80.4445	73
80.148	80.4445	78
80.148	80.2952	44
80.2211	80.3698	42
80.2952	80.4445	44
80.3698	80.5208	42
80.4445	80.7746	78
80.4445	80.7746	70
80.4445	80.7498	73
80.4445	80.7746	82
80.4445	80.5971	44
80.5208	80.6735	42
80.5971	80.7746	44
80.6735	80.7498	42
80.7498	81.6533	80
80.7498	81.6533	73
80.7498	81.6755	85
80.7498	81.6533	42
80.7498	81.6533	30
81.0551	81.3548	29
81.0551	81.3548	41
81.3548	81.6755	29
81.3548	81.6755	41
81.6533	81.9496	73
81.6533	82.5622	83
81.6533	82.5622	71
81.6533	82.5489	80
81.6533	82.5489	42
81.6533	82.5489	30
81.9496	82.2459	73
81.9496	82.2459	70
81.9496	82.2459	82
81.9496	82.2459	78
82.2459	82.5622	70
82.2459	82.5622	78
82.2459	82.5489	73
82.2459	82.5622	82
82.5489	83.4738	85
82.5489	83.4535	73
82.5489	83.4535	80
82.5489	83.4535	42
82.5489	83.4535	30
82.852	83.1527	41
82.852	83.1527	29
83.1527	83.4738	29
83.1527	83.4738	41
83.4535	84.3692	83
83.4535	84.3692	71
83.4535	83.7498	73
83.4535	84.3692	80
83.4535	84.3692	42
83.4535	84.3692	30
83.7498	84.046	73
83.7498	84.046	78
83.7498	84.046	82
83.7498	84.046	70
84.046	84.3692	70
84.046	84.3692	78
84.046	84.3561	82
84.046	84.3692	73
84.3561	85.2647	88
84.3561	85.2517	82
84.3561	85.2647	76
84.3561	85.2647	32
84.3561	85.2647	44
84.6546	84.9531	43
84.6546	84.9531	31
84.9531	85.2647	31
84.9531	85.2517	43
85.2517	86.1525	86
85.2517	86.1525	74
85.2517	85.5482	82
85.2517	86.1525	55
85.2517	86.1525	43
85.5482	85.8402	82
85.5482	85.8402	75
85.5482	85.8402	87
85.8402	86.1321	82
85.8402	86.1525	75
85.8402	86.1525	87
86.1321	87.0456	88
86.1321	87.0202	82
86.1321	87.0456	76
86.1321	87.0456	44
86.1321	87.0456	32
86.4284	86.7247	43
86.4284	86.7247	31
86.7247	87.0456	31
86.7247	87.0202	43
87.0202	87.9268	86
87.0202	87.9268	74
87.0202	87.3101	82
87.0202	87.9077	43
87.0202	87.9268	55
87.3101	87.5999	82
87.3101	87.5999	75
87.3101	87.5999	87
87.5999	87.9077	82
87.5999	87.9268	75
87.5999	87.9268	87
87.9077	88.7871	82
87.9077	88.7871	76
87.9077	88.7871	88
87.9077	88.2129	43
87.9077	88.7871	31
88.2129	88.5	55
88.2129	88.5	43
88.5	88.7871	43
88.5	89.0853	55
88.7871	89.6609	76
88.7871	89.6609	88
88.7871	89.6609	82
88.7871	89.0853	43
88.7871	89.6609	31
89.0853	89.3738	55
89.0853	89.3738	43
89.3738	89.9546	55
89.3738	89.6609	43
89.6609	90.5288	76
89.6609	90.5288	88
89.6609	90.5288	82
89.6609	90.5288	31
89.6609	89.9546	43
89.9546	90.2417	55
89.9546	90.2417	43
90.2417	90.5288	43
90.2417	90.8224	55
90.5288	91.4131	76
90.5288	91.4131	88
90.5288	91.4131	82
90.5288	91.398	31
90.5288	90.8224	43
90.8224	91.1102	43
90.8224	91.1102	55
91.1102	91.398	43
91.1102	91.4131	55
91.398	92.275	83
91.398	92.275	77
91.398	92.275	86
91.398	92.275	89
91.398	91.7008	43
91.398	92.275	31
91.7008	91.9879	43
91.7008	91.9879	55
91.9879	92.275	43
91.9879	92.5802	55
92.275	93.1746	86
92.275	93.1746	89
