OnsetTime	OffsetTime	MidiPitch
0.500957	0.967567	78
0.500957	0.958019	74
0.500957	0.967567	81
0.500957	0.967567	54
0.500957	0.967567	57
0.500957	0.958019	50
0.729011	0.967567	69
0.729011	0.967567	62
0.958019	1.41603	76
0.958019	1.41603	70
0.958019	1.41603	74
0.958019	1.41603	55
0.958019	1.41603	58
0.958019	1.41603	50
1.18703	1.41603	64
1.18703	1.41603	62
1.41603	1.86807	81
1.41603	1.85884	74
1.41603	1.86807	78
1.41603	1.86807	54
1.41603	1.85884	50
1.41603	1.86807	57
1.63744	1.86807	69
1.63744	1.86807	62
1.85884	2.30165	76
1.85884	2.22784	70
1.85884	2.22784	74
1.85884	2.22784	58
1.85884	2.30165	50
1.85884	2.30165	55
2.08024	2.30165	64
2.08024	2.30165	62
2.30165	2.35446	74
2.30165	3.15146	62
2.30165	3.15146	69
2.30165	3.15146	66
2.30165	3.15146	60
2.40727	2.46008	76
2.5129	2.56571	74
2.61852	2.67152	76
2.7244	2.83117	78
2.93793	3.0447	78
3.15146	3.36576	76
3.15146	3.57889	67
3.15146	3.57889	74
3.15146	3.20516	58
3.25874	3.31232	57
3.36576	3.57889	79
3.36576	3.41913	55
3.47251	3.5257	54
3.57889	3.95669	73
3.57889	4.48058	76
3.57889	3.95669	52
3.79165	4.2533	69
3.79165	4.02603	57
4.02603	4.49478	81
4.02603	4.48058	74
4.02603	4.49478	78
4.02603	4.49478	57
4.02603	4.49478	54
4.02603	4.48058	50
4.2533	4.49478	69
4.2533	4.49478	62
4.48058	4.93512	76
4.48058	4.93512	70
4.48058	4.93512	74
4.48058	4.93512	55
4.48058	4.93512	50
4.48058	4.93512	58
4.70784	4.93512	64
4.70784	4.93512	62
4.93512	5.38239	81
4.93512	5.37149	74
4.93512	5.38239	78
4.93512	5.38239	57
4.93512	5.38239	54
4.93512	5.37149	50
5.1533	5.38239	69
5.1533	5.38239	62
5.37149	5.80784	76
5.37149	5.73512	70
5.37149	5.73512	74
5.37149	5.80784	55
5.37149	5.80784	50
5.37149	5.73512	58
5.58966	5.80784	64
5.58966	5.80784	62
5.80784	5.86142	74
5.80784	6.66503	62
5.80784	6.66503	60
5.80784	6.66503	66
5.80784	6.66503	69
5.915	5.96858	76
6.02215	6.07573	74
6.12931	6.18288	76
6.23646	6.3436	78
6.45074	6.55788	78
6.66503	6.7186	74
6.66503	6.7186	76
6.66503	6.7186	58
6.66503	6.7186	62
6.77218	6.82556	78
6.87893	6.93212	79
6.87893	6.93212	58
6.98531	7.03831	81
6.98531	7.03831	57
7.09131	7.31436	82
7.09131	7.31436	55
7.53741	7.97547	51
7.53741	7.97547	43
7.64123	7.85573	61
7.64123	7.85573	63
7.74503	7.97547	58
7.85573	7.97547	61
7.85573	7.97547	63
7.96642	8.40119	60
7.96642	8.40119	56
8.1838	8.40119	72
8.1838	8.40119	63
8.1838	8.40119	51
8.1838	8.40119	44
8.40119	8.8425	53
8.40119	8.8425	45
8.50572	8.72094	63
8.50572	8.72094	65
8.61025	8.8425	60
8.72094	8.8425	63
8.72094	8.8425	65
8.83163	9.26641	62
8.83163	9.26641	58
9.04901	9.26641	74
9.04901	9.26641	65
9.04901	9.26641	46
9.04901	9.26641	53
9.26641	9.71141	62
9.26641	9.71141	47
9.26641	9.706	55
9.48459	9.71141	67
9.48459	9.71141	74
9.48459	9.71141	65
9.48459	9.71141	59
9.706	10.1496	63
9.706	10.1424	55
9.706	10.1496	48
9.9226	10.1496	75
9.9226	10.1496	67
9.9226	10.1496	60
10.1424	10.587	65
10.1424	10.578	55
10.1424	10.587	50
10.359	10.587	71
10.359	10.587	79
10.359	10.587	62
10.578	11.0127	63
10.578	11.0127	55
10.578	10.9511	48
10.7953	11.0127	75
10.7953	11.0127	67
10.7953	11.0127	60
11.0127	11.4667	47
11.0127	11.4667	55
11.1173	11.3325	65
11.1173	11.3325	67
11.2218	11.4667	62
11.3325	11.4667	65
11.3325	11.4667	67
11.4432	11.878	64
11.4432	11.878	60
11.6606	11.878	76
11.6606	11.878	67
11.6606	11.878	55
