OnsetTime	OffsetTime	MidiPitch
0.500004	5.04167	29
0.500004	5.04167	41
2	3.125	48
3.125	5.10417	48
3.54167	5.10417	57
5.04167	9.58332	29
5.04167	9.58332	41
6.54166	7.66666	57
7.66666	9.58332	57
8.08332	9.58332	63
11.0833	12.5119	56
11.0833	12.5119	64
11.0833	12.5119	40
11.0833	12.5119	52
12.5119	14.0119	59
12.5119	14.0119	56
12.5119	14.0119	64
12.5119	14.0119	40
12.5119	14.0119	52
14.0119	17.0119	56
14.0119	17.0119	59
14.0119	17.0119	64
14.0119	17.0119	40
14.0119	17.0119	52
18.5119	23.0423	40
18.5119	23.0423	52
20.0119	21.1369	59
21.1369	23.1048	59
21.5423	23.1048	67
23.0423	27.6218	40
23.0423	27.6218	52
24.5423	25.6673	61
25.6673	27.6218	61
26.1218	27.6218	70
29.1218	30.5504	66
29.1218	30.5504	59
29.1218	30.5504	71
29.1218	30.5504	47
29.1218	30.5504	39
29.1218	30.5504	51
30.5504	32.0504	66
30.5504	32.0504	59
30.5504	32.0504	71
30.5504	32.0504	47
30.5504	32.0504	39
30.5504	32.0504	51
32.0504	35.0504	59
32.0504	35.0504	66
32.0504	35.0504	71
32.0504	35.0504	47
32.0504	35.0504	39
32.0504	35.0504	51
36.5504	41.1193	38
36.5504	41.1193	50
38.0504	39.1492	65
39.1492	41.1193	65
39.5568	41.1193	71
41.0568	45.7256	37
41.0568	45.7256	49
42.5568	43.6282	71
43.6282	45.7256	71
44.0568	52.2811	77
45.5568	47.0568	36
45.5568	47.0568	48
47.0568	52.2811	76
47.0568	48.4522	36
47.0568	48.4522	48
48.4522	52.2811	79
48.4522	50.0311	36
48.4522	50.0311	48
50.0311	53.0311	64
50.0311	53.0311	70
50.0311	53.0311	36
50.0311	53.0311	48
56.0311	58.9117	65
56.0311	57.3764	69
56.0311	57.3764	38
56.0311	57.3764	50
57.3764	58.9117	69
57.3764	60.4117	77
57.3764	58.9117	38
57.3764	58.9117	50
58.9117	61.9117	65
58.9117	61.9117	69
58.9117	61.9117	38
58.9117	61.9117	50
63.4117	66.2569	34
63.4117	66.2569	46
64.7569	66.2569	58
64.7569	66.2569	62
64.7569	66.2569	67
67.7569	70.6855	36
67.7569	70.6855	48
69.1855	70.6855	55
69.1855	70.6855	58
69.1855	70.6855	64
72.1855	73.7645	29
72.1855	73.7645	41
73.7645	75.1663	57
73.7645	75.1663	60
73.7645	76.5682	65
73.7645	75.1663	29
73.7645	75.1663	41
75.1663	76.5682	57
75.1663	76.5682	60
75.1663	78.3995	69
75.1663	76.5682	29
75.1663	76.5682	41
76.5682	79.5682	57
76.5682	79.5682	60
76.5682	79.5682	65
76.5682	79.5682	29
76.5682	79.5682	41
79.5682	80.5909	48
80.5909	80.7614	48
80.7614	80.9318	48
80.9318	82.9773	57
80.9318	82.9773	41
80.9318	82.9773	48
82.9773	83.6023	55
82.9773	83.6023	40
82.9773	83.6023	48
83.6591	84.2841	57
83.6591	84.2841	41
83.6591	84.2841	48
84.3409	84.9659	58
84.3409	84.9659	43
84.3409	84.9659	48
85.0228	85.7545	59
85.0228	85.7545	44
85.0228	85.7545	48
85.7545	87.0878	60
85.7545	87.0878	45
85.7545	87.0878	48
87.0878	88.4514	62
87.0878	88.4514	46
87.0878	88.4514	48
88.4514	88.7923	58
88.4514	88.7923	43
88.4514	89.1332	48
88.7923	89.1332	57
88.7923	89.1332	41
89.1332	89.8151	55
89.1332	91.1787	40
89.1332	91.1787	48
89.8151	90.4401	66
90.4969	91.1219	67
91.1787	91.8037	69
91.1787	91.8037	54
91.1787	91.8037	60
91.8605	92.5	70
91.8605	92.5	55
91.8605	92.5	60
92.5582	93.1832	78
92.5582	93.1832	57
92.5582	93.1832	60
93.24	93.865	79
93.24	93.865	58
93.24	93.865	60
93.9218	94.5468	81
93.9218	94.5468	42
94.6036	95.2286	82
94.6036	95.2286	43
95.2855	95.9105	45
95.9673	96.99	48
95.9673	96.5923	46
96.6491	97.3189	43
96.99	97.1874	48
97.1874	97.3847	48
97.3847	99.4006	58
97.3847	98.0369	40
98.0369	99.4006	43
98.0369	99.4006	48
99.4006	100.026	57
99.4006	100.026	42
99.4006	100.026	48
100.082	100.707	58
100.082	100.707	43
100.082	100.707	48
100.764	101.404	60
100.764	101.404	45
100.764	101.404	48
101.462	102.231	61
101.462	102.231	46
101.462	103.595	48
102.231	103.595	62
102.231	103.595	46
103.595	104.958	60
103.595	104.958	40
103.595	104.958	48
103.595	104.958	55
104.958	105.307	62
104.958	105.656	36
104.958	105.656	48
104.958	105.656	52
105.307	105.656	58
105.656	106.37	53
105.656	106.37	57
105.656	107.734	41
105.656	107.734	48
106.37	106.995	68
107.052	107.677	69
107.734	108.359	71
107.734	108.359	56
108.416	109.027	72
108.416	109.027	57
109.082	109.694	80
109.082	109.694	59
109.749	110.36	81
109.749	110.36	60
110.416	111.027	83
110.416	111.027	44
111.082	111.694	84
111.082	111.694	45
111.749	112.36	47
112.416	113.416	72
112.416	113.027	48
113.083	113.694	46
113.416	113.749	72
113.749	116.493	65
113.749	116.493	45
115.113	116.136	77
115.113	116.476	60
115.113	116.493	57
116.136	116.493	77
116.476	119.144	67
116.476	117.781	76
116.476	119.144	60
116.476	117.781	58
117.781	119.144	79
117.781	119.144	52
119.144	120.538	64
