OnsetTime	OffsetTime	MidiPitch
0.500004	0.635134	79
0.770264	0.903006	74
0.770264	0.903006	71
1.03575	1.16849	75
1.03575	1.16849	72
1.30123	1.43398	79
1.30123	1.43398	69
1.56672	1.69946	78
1.56672	1.69946	74
1.8322	1.96495	81
1.8322	1.96495	72
2.09769	2.18465	79
2.09769	2.22813	70
2.18465	2.2716	81
2.2716	2.35856	79
2.35856	2.48956	78
2.35856	2.48956	69
2.62056	2.751	79
2.62056	2.751	70
2.88143	3.01358	82
2.88143	3.01358	67
3.14574	3.27789	81
3.14574	3.27789	74
3.14574	3.27789	66
3.41004	3.54219	84
3.41004	3.54219	62
3.67435	3.80422	82
3.67435	3.80422	67
3.93409	4.06453	89
3.93409	4.06453	80
3.93409	4.06453	86
3.93409	4.06453	71
4.19496	4.32767	88
4.19496	4.32767	79
4.19496	4.32767	84
4.19496	4.32767	72
4.46018	4.5917	78
4.46018	4.5917	87
4.46018	4.5917	84
4.46018	4.5917	69
4.72343	4.85554	79
4.72343	4.85554	86
4.72343	4.85554	70
4.98795	5.12499	74
4.98795	5.12499	81
4.98795	5.12499	84
4.98795	5.12499	66
5.26049	5.74485	79
5.26049	5.74485	74
5.26049	5.74485	82
5.26049	5.74485	67
5.52833	5.79619	71
5.52833	5.79619	80
5.52833	5.79619	65
5.79619	6.61105	79
5.79619	6.37578	72
5.79619	6.37578	64
6.06496	6.37578	73
6.06496	6.37578	63
6.33695	6.80182	74
6.33695	6.80182	62
6.61105	6.8972	79
6.61105	6.8972	75
6.61105	6.8972	82
6.61105	6.8972	61
6.8972	8.40671	79
6.8972	8.01453	70
6.8972	8.01453	74
6.8972	8.40671	82
6.8972	8.40671	38
7.17654	7.7352	62
7.7352	8.28116	62
8.01453	8.5478	70
8.01453	8.5478	74
8.28116	8.80851	62
8.5478	8.80851	72
8.5478	9.12507	69
8.80851	9.12507	72
8.80851	9.12507	75
8.80851	9.34305	62
9.07883	9.60728	77
9.07883	10.3494	81
9.34305	9.86799	62
9.60728	9.86799	74
9.60728	10.3494	77
9.86799	10.1396	70
9.86799	10.3494	74
9.86799	10.3991	62
10.1396	10.3494	70
10.1396	10.3494	67
10.3991	11.1797	79
10.3991	10.6634	75
10.3991	10.9276	62
10.6634	11.1797	75
10.6634	10.9276	72
10.9276	11.1797	69
10.9276	11.1797	72
10.9276	11.4514	62
11.1918	11.7156	69
11.1918	11.7156	66
11.4514	11.7156	74
11.4514	11.7156	77
11.4514	11.981	62
11.7156	11.981	70
11.7156	12.2198	74
11.981	12.2198	67
11.981	12.2198	70
11.981	12.2513	62
12.2513	12.792	63
12.2513	12.7683	67
12.2513	12.792	62
12.5216	12.792	70
12.792	13.3327	66
12.792	13.1877	69
12.792	13.3327	60
12.792	13.3327	50
13.0586	13.3327	74
13.3327	14.9523	74
13.3327	13.8921	47
13.8661	14.7973	60
13.8661	14.9523	62
13.8661	14.9523	65
13.8661	14.9523	68
14.4092	14.9523	59
14.9523	15.542	48
15.219	15.3936	72
15.3063	15.542	74
15.3936	15.542	72
15.4809	16.4867	71
15.4809	16.5463	67
15.4809	16.5463	63
15.4809	16.5463	57
15.7428	16.4867	72
16.0094	16.4867	74
16.276	16.5463	75
16.5463	17.577	70
16.5463	17.577	67
16.5463	17.6026	38
16.813	17.577	72
17.075	17.577	73
17.3359	17.6026	74
17.6026	18.0454	79
17.6026	18.0454	62
17.8669	18.1347	74
18.1347	19.2111	70
18.1347	19.2111	66
18.1347	19.1634	60
18.1347	19.484	50
18.4026	18.9383	61
18.6704	19.0292	62
18.9383	19.1202	61
19.0292	19.1634	62
19.1202	19.2111	61
19.2111	19.7039	69
19.2111	19.7039	60
19.484	19.7543	50
19.6886	20.0246	67
19.7215	20.0246	74
19.7543	20.0246	79
19.7543	20.0246	43
19.7543	20.0246	50
19.7543	20.0246	58
20.0246	20.1568	74
20.0246	20.1568	71
20.2889	20.4211	75
20.2889	20.4211	72
20.5532	20.6854	79
20.5532	20.6854	69
20.8175	20.9497	78
20.8175	20.9497	74
21.0818	21.214	81
21.0818	21.214	72
21.3461	21.4327	79
21.3461	21.476	70
21.4327	21.5193	81
21.5193	21.6059	79
21.6059	21.7358	78
21.6059	21.7358	69
21.8656	21.9978	79
21.8656	21.9978	70
22.1299	22.2627	82
22.1299	22.2627	67
22.3954	22.5282	81
22.3954	22.5282	74
22.3954	22.5282	66
22.6609	22.7967	86
22.6609	22.7967	62
22.9325	24.3871	77
22.9325	23.4609	48
23.4609	24.3871	66
23.4609	24.542	60
23.4609	24.542	63
23.9991	24.542	75
23.9991	24.542	67
24.542	24.7182	74
24.542	25.0802	41
24.6301	25.0802	75
24.7182	25.0802	74
24.8063	25.0802	72
25.0681	25.9816	71
25.0681	25.9816	68
25.0681	26.1359	60
25.0681	26.1359	63
25.3324	25.9816	72
25.599	25.9816	74
25.599	26.1359	69
25.8656	26.1359	75
26.1359	27.4608	74
26.1359	27.0998	46
26.6657	27.0998	61
26.6657	27.0998	69
26.6657	27.0998	66
26.9275	27.5768	62
26.9275	27.5768	70
27.1942	28.2178	68
27.1942	27.5768	73
27.1942	28.2178	59
27.4608	28.2178	74
27.7311	29.0456	67
27.7311	28.2178	77
27.7311	28.2549	48
27.993	28.2549	75
28.2549	29.1723	74
28.2549	29.1723	59
28.517	29.1723	75
28.517	29.1723	60
28.7806	29.1723	72
28.7806	29.1723	62
29.0456	29.3127	67
29.0456	29.3127	63
29.3127	29.5805	70
29.3127	29.5805	65
29.3127	29.5805	74
29.3127	29.5805	41
29.5805	29.7138	77
29.5805	29.7138	74
29.8472	29.9805	78
29.8472	29.9805	75
30.1138	30.2471	82
30.1138	30.2471	72
30.3804	30.5138	81
30.3804	30.5138	77
30.6471	30.7804	84
30.6471	30.7804	75
30.9137	30.9995	82
30.9137	31.0423	74
30.9995	31.0852	84
31.0852	31.171	82
31.171	31.2996	81
31.171	31.2996	73
31.4282	31.5616	82
31.4282	31.5616	74
31.6949	31.8282	86
31.6949	31.8282	70
31.9615	32.0936	84
31.9615	32.0936	77
31.9615	32.0936	69
32.2257	32.3609	89
32.2257	32.3609	65
32.4961	33.0857	46
32.7627	33.0857	70
33.0246	34.0901	72
33.0246	34.0901	62
33.0246	34.0901	53
33.2865	34.0901	74
33.5531	34.0901	77
33.8197	34.0901	75
34.0901	34.2678	74
34.0901	34.6233	46
34.1789	34.6156	75
34.2678	34.6156	74
34.3567	34.6233	71
34.6233	35.4281	70
34.6233	35.696	63
34.6233	35.696	59
34.6233	35.696	54
34.89	35.6067	68
35.1603	35.6067	66
35.4281	35.629	70
35.629	35.696	70
35.696	36.753	65
35.696	36.6668	46
35.9638	36.6668	58
36.2257	36.6668	60
36.4876	36.753	62
36.753	37.2888	68
36.753	37.2888	70
36.753	37.1277	65
37.0184	37.2888	62
37.2888	38.3475	70
37.2888	38.3475	66
37.2888	37.4641	63
37.3764	38.0805	65
37.4641	37.8149	63
37.5518	38.2527	62
37.8149	38.2527	63
38.0805	38.3475	65
38.3475	38.7985	69
38.3475	38.8865	66
38.6162	38.8865	75
38.8865	39.4761	46
39.1532	39.4761	70
39.415	40.4805	71
39.415	40.4805	56
39.415	40.4805	68
39.415	40.4805	62
39.6769	40.4805	74
39.9436	40.4805	77
39.9436	40.4805	59
40.2102	40.4805	78
40.4805	40.6583	77
40.4805	41.006	70
40.4805	41.0138	46
40.5694	41.006	78
40.6583	41.006	77
40.7472	41.0138	75
41.0138	41.9972	71
41.0138	41.5507	66
41.0138	42.0864	58
41.2804	41.8186	70
41.5507	42.0864	66
41.8186	42.0195	70
42.0195	42.0864	70
42.0864	43.1689	65
42.0864	43.0826	46
42.3797	43.0826	58
42.6416	43.0826	60
42.9035	43.1689	62
43.1689	43.7047	68
43.1689	43.7047	70
43.1689	43.5436	65
43.4343	43.7047	62
43.7047	44.7634	66
43.7047	44.7634	70
43.7047	43.88	63
43.7923	44.4964	65
43.88	44.2307	63
43.9677	44.6686	62
44.2307	44.6686	63
44.4964	44.7634	65
44.7634	45.2143	69
44.7634	45.3024	66
45.0321	45.3024	75
45.3024	46.6478	74
45.3024	46.6478	46
45.8455	46.6478	64
45.8455	46.9318	62
45.8455	46.9318	58
46.3887	46.9318	65
46.9318	47.5214	48
47.1985	47.373	72
47.2858	47.5214	74
47.373	47.5214	72
47.4603	48.4661	71
47.4603	48.4661	70
47.4603	48.5258	67
47.4603	48.5258	63
47.4603	48.5258	60
47.7222	48.4661	72
47.9889	48.4661	74
47.9889	48.5258	69
48.2555	48.5258	75
48.5258	49.5519	67
48.5258	49.5519	70
48.5258	49.5773	38
48.789	49.5519	72
49.0521	49.5519	73
49.3119	49.5773	74
49.5773	50.0179	79
49.5773	50.0179	62
49.8394	50.1072	74
50.1072	51.1836	70
50.1072	51.1836	66
50.1072	51.1359	60
50.1072	51.4564	50
50.3751	50.9108	61
50.6429	51.0017	62
50.9108	51.0927	61
51.0017	51.1359	62
51.0927	51.1836	61
51.1836	51.6764	69
51.1836	51.6764	60
51.4564	51.7268	50
51.6611	51.9971	67
51.694	51.9971	74
51.7268	51.9971	79
51.7268	51.9971	43
51.7268	51.9971	50
51.7268	51.9971	58
51.9971	52.1299	74
51.9971	52.1299	71
52.2626	52.3953	75
52.2626	52.3953	72
52.5281	52.6608	79
52.5281	52.6608	69
52.7936	52.9263	78
52.7936	52.9263	74
53.0591	53.1918	81
53.0591	53.1918	72
53.3245	53.4115	79
53.3245	53.455	70
53.4115	53.4985	81
53.4985	53.5854	79
53.5854	53.7158	78
53.5854	53.7158	69
53.8463	53.9779	79
53.8463	53.9779	70
54.1094	54.2416	82
54.1094	54.2416	67
54.3737	54.5059	74
54.3737	54.5059	81
54.3737	54.5059	66
54.638	54.7702	84
54.638	54.7702	62
54.9023	55.0317	82
54.9023	55.0317	67
55.161	55.2937	80
55.161	55.2937	89
55.161	55.2937	86
55.161	55.2937	71
55.4265	55.5592	84
55.4265	55.5592	79
55.4265	55.5592	88
55.4265	55.5592	72
55.6917	55.8232	84
55.6917	55.8232	78
55.6917	55.8232	87
55.6917	55.8232	69
55.9549	56.087	86
55.9549	56.087	79
55.9549	56.087	70
56.2194	56.3565	84
56.2194	56.3565	74
56.2194	56.3565	81
56.2194	56.3565	66
56.492	56.9763	74
56.492	56.9763	82
56.492	56.9763	79
56.492	56.9763	67
56.7598	57.0277	80
56.7598	57.0277	71
56.7598	57.0277	65
57.0277	57.8425	79
57.0277	57.6073	72
57.0277	57.6073	64
57.2964	57.6073	73
57.2964	57.6073	63
57.5684	58.0333	74
57.5684	58.0333	62
57.8425	58.1287	82
57.8425	58.1287	75
57.8425	58.1287	79
57.8425	58.1287	61
58.1287	59.246	74
58.1287	59.246	70
58.1287	59.6382	79
58.1287	59.6382	82
58.1287	59.6382	38
58.408	58.9667	62
58.9667	59.5127	62
59.246	59.7793	74
59.246	59.7793	70
59.5127	60.04	62
59.7793	60.04	72
59.7793	60.3533	69
60.04	60.3533	75
60.04	60.3533	72
60.04	60.5733	62
60.3066	61.5829	81
60.3066	60.8399	77
60.5733	61.1006	62
60.8399	61.1006	74
60.8399	61.5829	77
61.1006	61.5829	74
61.1006	61.3722	70
61.1006	61.6329	62
61.3722	61.5829	67
61.3722	61.5829	70
61.6329	61.8972	75
61.6329	62.4136	79
61.6329	62.1615	62
61.8972	62.1615	72
61.8972	62.4136	75
62.1615	62.4136	69
62.1615	62.4136	72
62.1615	62.6875	62
62.4257	62.9542	69
62.4257	62.9542	66
62.6875	62.9542	77
62.6875	62.9542	74
62.6875	63.2208	62
62.9542	63.4596	74
62.9542	63.2208	70
63.2208	63.4912	67
63.2208	63.4912	70
63.2208	63.4912	62
63.4912	64.0151	67
63.4912	64.0391	63
63.4912	64.0391	62
63.7651	64.0391	70
64.0391	64.6001	66
64.0391	64.6001	60
64.0391	64.4489	69
64.0391	64.6001	50
64.3143	64.6001	70
64.6001	66.2116	71
64.6001	65.1389	59
64.6001	65.0042	62
64.6001	66.1167	43
64.6001	65.6753	50
64.8695	65.1547	64
65.0042	65.1547	62
