OnsetTime	OffsetTime	MidiPitch
0.500004	0.779075	69
0.500004	0.810899	77
0.500004	0.810899	53
0.500004	0.810899	60
0.500004	0.810899	65
0.779075	1.05182	69
0.779075	0.960902	76
0.779075	0.960902	64
0.869988	1.06765	77
0.869988	1.06765	65
0.960902	1.06765	76
0.960902	1.06765	64
1.05182	1.37483	74
1.05182	1.32775	69
1.05182	1.37483	62
1.18756	1.37483	76
1.18756	1.37483	64
1.32775	1.60863	69
1.32775	1.58301	77
1.32775	1.58301	65
1.46229	1.60863	74
1.46229	1.60863	62
1.60863	1.71577	69
1.60863	1.71577	76
1.60863	1.71577	64
1.89434	2.00356	69
1.89434	2.00356	72
1.89434	2.00356	60
2.1856	2.49649	77
2.1856	2.46467	69
2.1856	2.49649	60
2.1856	2.49649	53
2.1856	2.49649	65
2.46467	2.73741	69
2.46467	2.6465	76
2.46467	2.6465	64
2.55558	2.75325	77
2.55558	2.75325	65
2.6465	2.75325	76
2.6465	2.75325	64
2.73741	3.01334	69
2.73741	3.06043	74
2.73741	3.06043	62
2.87316	3.06043	76
2.87316	3.06043	64
3.01334	3.26803	77
3.01334	3.29351	69
3.01334	3.26803	65
3.14788	3.29351	74
3.14788	3.29351	62
3.29351	3.40065	69
3.29351	3.40065	76
3.29351	3.40065	64
3.57922	3.68844	72
3.57922	3.68844	69
3.57922	3.68844	60
3.87048	4.14697	69
3.87048	4.13891	74
3.87048	4.13891	62
4.00872	4.14697	76
4.00872	4.14697	64
4.14697	4.39938	72
4.14697	4.39938	69
4.14697	4.39938	60
4.43544	4.71133	69
4.43544	4.71133	74
4.43544	4.71133	62
4.5718	4.71133	76
4.5718	4.71133	64
4.71133	4.95552	77
4.71133	4.95552	69
4.71133	4.95552	65
4.9904	5.2669	69
4.9904	5.25076	74
4.9904	5.25076	62
5.12864	5.2669	76
5.12864	5.2669	64
5.2669	5.52051	72
5.2669	5.52051	69
5.2669	5.52051	60
5.55675	5.83075	69
5.55675	5.83897	74
5.55675	5.83897	62
5.6925	5.83897	76
5.6925	5.83897	64
5.83075	6.08136	72
5.83075	6.08136	69
5.83075	6.08136	60
6.11795	6.39701	69
6.11795	6.39701	74
6.11795	6.39701	62
6.25748	6.39701	76
6.25748	6.39701	64
6.39701	6.68013	79
6.39701	6.68013	69
