OnsetTime	OffsetTime	MidiPitch
0.500004	1.14614	64
0.500004	1.14614	73
0.500004	1.14614	46
0.500004	1.14614	55
1.14614	1.36152	64
1.14614	1.36152	73
1.14614	1.36152	55
1.14614	1.36152	46
1.36152	2.00765	73
1.36152	2.00765	64
1.36152	2.00765	46
1.36152	2.00765	55
2.00765	2.22303	64
2.00765	2.22303	73
2.00765	2.22303	55
2.00765	2.22303	46
2.22303	2.5461	64
2.22303	2.5461	73
2.22303	2.5461	46
2.22303	2.5461	55
2.5461	2.65379	73
2.5461	2.65379	64
2.5461	2.65379	55
2.5461	2.65379	46
2.65379	2.97687	64
2.65379	2.97687	73
2.65379	2.97687	46
2.65379	2.97687	55
2.97687	3.08456	64
2.97687	3.08456	73
2.97687	3.08456	46
2.97687	3.08456	55
3.08456	3.40763	73
3.08456	3.40763	64
3.08456	3.40763	55
3.08456	3.40763	46
3.40763	3.51532	64
3.40763	3.51532	73
3.40763	3.51532	46
3.40763	3.51532	55
3.51532	3.83839	73
3.51532	3.83839	64
3.51532	3.83839	55
3.51532	3.83839	46
3.83839	3.94608	64
3.83839	3.94608	73
3.83839	3.94608	46
3.83839	3.94608	55
3.94608	4.37684	64
3.94608	4.37684	73
3.94608	4.37684	55
3.94608	4.37684	46
4.58532	4.68956	85
4.68956	4.79381	84
4.79381	4.89805	82
4.89805	5.0023	84
5.0023	5.10654	82
5.10654	5.21078	80
5.21078	5.31503	79
5.31503	5.41927	80
5.41927	5.52352	79
5.52352	5.62776	77
5.62776	6.06339	76
6.27187	6.37611	73
6.37611	6.48036	72
6.48036	6.5846	70
6.5846	6.68884	72
6.68884	6.79309	70
6.79309	6.89733	68
6.89733	7.00158	67
7.00158	7.10582	68
7.10582	7.21006	67
7.21006	7.31431	65
7.31431	7.74196	64
7.95043	8.05468	73
8.05468	8.15892	72
8.15892	8.26317	70
8.26317	8.36741	72
8.36741	8.47166	70
8.47166	8.5759	68
8.5759	8.67977	67
8.67977	8.78364	68
8.78364	8.88751	67
8.88751	8.99137	65
8.99137	9.09487	64
9.09487	9.19836	65
9.19836	9.30185	64
9.30185	9.40535	61
9.40535	9.50848	60
9.50848	9.61161	61
9.61161	9.71474	60
9.71474	9.81787	59
9.81787	9.92064	58
9.92064	10.0234	60
10.0234	10.1258	58
10.1258	10.2281	56
10.2281	10.3301	55
10.3301	10.4318	56
10.4318	10.5334	55
10.5334	10.6348	53
10.6348	10.7359	52
10.7359	10.8367	53
10.8367	10.9374	52
10.9374	11.0378	49
11.0378	11.1464	48
11.0378	11.1464	36
11.1381	11.2464	49
11.1381	11.2464	37
11.238	11.3467	48
11.238	11.3467	36
11.3378	11.4534	47
11.3378	11.4534	35
11.4451	11.5533	48
11.4451	11.5533	36
11.545	11.6528	49
11.545	11.6528	37
11.6444	11.7532	48
11.6444	11.7532	36
11.7449	11.8533	47
11.7449	11.8533	35
11.845	11.9536	48
11.845	11.9536	36
11.9452	12.0536	49
11.9452	12.0536	37
12.0452	12.1547	48
12.0452	12.1547	36
12.1462	12.2556	47
12.1462	12.2556	35
12.2472	12.3554	48
12.2472	12.3554	36
12.347	12.4557	49
12.347	12.4557	37
12.4474	12.5562	48
12.4474	12.5562	36
12.5478	12.6563	47
12.5478	12.6563	35
12.6479	12.7572	48
12.6479	12.7572	36
12.7488	12.858	49
12.7488	12.858	37
12.8496	12.9596	48
12.8496	12.9596	36
12.9507	13.0656	47
12.9507	13.0656	35
13.0572	13.1668	46
13.0572	13.1668	34
13.1583	13.2677	48
13.1583	13.2677	36
13.2594	13.3692	46
13.2594	13.3692	34
13.3607	13.4709	45
13.3607	13.4709	33
13.4625	13.5715	46
13.4625	13.5715	34
13.563	13.6731	48
13.563	13.6731	36
13.6647	13.7752	46
13.6647	13.7752	34
13.7663	13.8798	45
13.7663	13.8798	33
13.8714	13.9809	46
13.8714	13.9809	34
13.9725	14.0814	48
13.9725	14.0814	36
14.073	14.1826	46
14.073	14.1826	34
14.1742	14.284	45
14.1742	14.284	33
14.2755	14.3848	46
14.2755	14.3848	34
14.3764	14.4863	48
14.3764	14.4863	36
14.478	14.588	46
14.478	14.588	34
14.5792	14.693	45
14.5792	14.693	33
14.6846	14.7939	46
14.6846	14.7939	34
14.7855	14.895	48
14.7855	14.895	36
14.8866	14.9964	46
14.8866	14.9964	34
14.9879	15.0979	45
14.9879	15.0979	33
15.0894	15.1998	46
15.0894	15.1998	34
15.1913	15.3019	48
15.1913	15.3019	36
15.2933	15.4045	46
15.2933	15.4045	34
15.3957	15.5087	45
15.3957	15.5087	33
15.5002	15.6112	46
15.5002	15.6112	34
15.6026	15.7146	43
15.6026	15.7146	31
15.706	15.8189	44
15.706	15.8189	32
15.8102	15.9241	46
15.8102	15.9241	34
15.9153	16.0303	48
15.9153	16.0303	36
16.0214	16.1373	46
16.0214	16.1373	34
16.1283	16.2453	44
16.1283	16.2453	32
16.2363	16.3539	43
16.2363	16.3539	31
16.3452	16.7608	29
16.4494	16.5535	48
16.5535	16.6573	53
16.6573	16.7608	56
16.7608	16.8639	60
16.8639	16.967	61
16.967	17.0702	60
17.0702	17.1736	58
17.1736	17.2771	56
17.2771	17.3808	58
17.3808	17.4846	56
17.4846	17.5884	55
17.5884	17.6925	53
17.6925	17.7967	55
17.7967	17.901	56
17.901	18.0095	53
17.901	18.0095	41
18.0095	18.4245	29
18.1137	18.2177	48
18.2177	18.3213	53
18.3213	18.4245	56
18.4245	18.5272	60
18.5272	18.63	61
18.63	18.7327	60
