OnsetTime	OffsetTime	MidiPitch
0.503062	0.639238	72
0.503062	0.639238	48
0.618558	0.750147	63
0.620436	0.752025	55
0.730406	0.863042	62
0.732284	0.865026	53
0.843193	0.981863	63
0.845178	0.983821	55
0.963236	1.09972	51
0.965194	1.10161	60
1.0799	1.21198	55
1.08179	1.21387	63
1.19501	1.32815	62
1.19594	1.32914	53
1.30538	1.42437	63
1.30538	1.42437	55
1.4284	1.56836	72
1.4284	1.56836	48
1.54581	1.67699	55
1.5487	1.67979	63
1.65825	1.79003	53
1.66013	1.79197	62
1.77061	1.9069	63
1.77251	1.90886	55
1.88633	2.02211	60
1.89121	2.0266	51
2.00396	2.13001	63
2.00396	2.13001	55
2.11203	2.24003	53
2.11382	2.24207	62
2.21995	2.34166	63
2.22276	2.34469	55
2.34166	2.47973	68
2.3437	2.48162	48
2.46077	2.59293	56
2.46558	2.59765	65
2.57502	2.70765	55
2.57595	2.70863	64
2.68728	2.82363	65
2.69208	2.82855	56
2.80396	2.94094	60
2.80494	2.94188	53
2.92205	3.05371	65
2.92205	3.05371	56
3.03492	3.16744	55
3.0368	3.16942	64
3.15056	3.2696	65
3.15255	3.27157	56
3.26664	3.40385	48
3.2696	3.4067	68
3.38476	3.51792	56
3.38769	3.52078	65
3.4989	3.63296	55
3.50176	3.63598	64
3.61298	3.75267	65
3.61488	3.75459	56
3.73633	3.87048	60
3.73825	3.87236	53
3.85074	3.98233	65
3.85074	3.98233	56
3.96353	4.09649	64
3.96353	4.09649	55
4.07444	4.19527	65
4.07935	4.20025	56
4.19828	4.335	71
4.20025	4.33687	48
4.31633	4.44694	56
4.31727	4.44788	65
4.42922	4.56095	63
4.43015	4.56193	55
4.54029	4.6776	65
4.54126	4.67857	56
4.65643	4.79059	62
4.6574	4.79153	53
4.77184	4.90295	56
4.77561	4.90669	65
4.88329	5.01509	55
4.88703	5.01899	63
4.99849	5.11569	56
5.00045	5.11766	65
5.11766	5.25481	71
5.11766	5.25481	48
5.23327	5.36437	56
5.23421	5.36531	65
5.34377	5.47587	63
5.34471	5.47686	55
5.458	5.59651	65
5.459	5.59749	56
5.57606	5.71165	62
5.57606	5.71165	53
5.69567	5.82725	56
5.69661	5.82819	65
5.80563	5.93851	63
5.80939	5.94255	55
5.91936	6.04033	56
5.92137	6.04242	65
6.04346	6.18707	72
6.04346	6.18707	48
6.16376	6.29316	51
6.16862	6.29778	67
6.27932	6.40972	65
6.27932	6.40972	50
6.38823	6.52536	67
6.38823	6.52536	51
6.50444	6.64182	63
6.50644	6.64361	55
6.62297	6.74796	67
6.62486	6.74973	51
6.72932	6.85507	50
6.73022	6.85605	65
6.83661	6.95371	51
6.84043	6.95769	67
6.95273	7.09136	72
6.95469	7.09321	48
7.07269	7.20247	51
7.07469	7.20432	67
7.18395	7.31521	65
7.1858	7.31725	50
7.29506	7.4368	51
7.29895	7.44079	67
7.41684	7.55518	63
7.41987	7.55799	55
7.53641	7.66647	67
7.5412	7.67095	51
7.64847	7.77684	50
7.65303	7.78211	65
7.75697	7.88338	67
7.75997	7.88658	51
7.88338	8.03112	75
7.88551	8.03301	48
8.01414	8.14622	68
8.01508	8.14716	60
8.12829	8.26188	67
8.12829	8.26188	58
8.24062	8.38183	60
8.24265	8.3838	68
8.36305	8.50025	63
8.36305	8.50025	56
8.47768	8.60885	60
8.47965	8.61073	68
8.59107	8.72366	67
8.59387	8.72671	58
8.70639	8.82781	68
8.70639	8.82781	60
8.82581	8.96422	75
8.82781	8.96611	48
8.94335	9.07554	60
8.94535	9.07743	68
9.06139	9.1944	67
9.06139	9.1944	58
9.17276	9.31062	60
9.17374	9.31162	68
9.28791	9.42518	63
9.29185	9.4289	56
9.40647	9.53669	60
9.40938	9.53948	68
9.51997	9.65173	67
9.5209	9.65274	58
9.63352	9.75496	68
9.63453	9.75596	60
9.75092	9.89661	48
9.75395	9.89937	74
9.87894	10.0082	57
9.88093	10.0101	66
9.98885	10.1196	55
9.9907	10.1216	64
10.0996	10.2404	66
10.1044	10.2454	57
10.2214	10.3596	62
10.2234	10.3614	54
10.3414	10.4681	57
10.3424	10.469	66
10.4529	10.5797	64
10.4538	10.5807	55
10.5582	10.6754	57
10.5592	10.6764	66
10.6774	10.8122	48
10.6784	10.8131	74
10.791	10.9197	57
10.7938	10.9225	66
10.9004	11.03	55
10.9023	11.032	64
11.0117	11.1473	66
11.0117	11.1473	57
11.1298	11.2642	62
11.1298	11.2642	54
11.2452	11.3724	66
11.2479	11.3751	57
11.3524	11.4813	64
11.3524	11.4813	55
11.4653	11.5854	66
11.4663	11.5865	57
11.5833	11.7272	46
11.5844	11.7281	74
11.7068	11.8352	67
11.7068	11.8352	58
11.8206	11.9507	57
11.8215	11.9517	66
11.9268	12.0665	67
11.9277	12.0674	58
12.052	12.1861	62
12.052	12.1861	55
12.1668	12.2954	67
12.1668	12.2954	58
12.2743	12.4042	66
12.278	12.4081	57
12.3846	12.5026	58
12.3855	12.5036	67
12.5017	12.6373	74
12.5036	12.6392	46
12.6188	12.7476	58
12.6235	12.7522	67
12.7329	12.8627	66
12.7329	12.8627	57
12.8395	12.9751	67
12.8395	12.9751	58
12.9577	13.0918	55
12.9606	13.0945	62
13.073	13.198	58
13.0757	13.2007	67
13.182	13.3094	66
13.1838	13.3114	57
13.2864	13.4072	58
13.2873	13.4082	67
13.4082	13.5462	72
13.4082	13.5462	46
13.5282	13.6533	55
13.531	13.656	64
13.6354	13.7619	53
13.6363	13.7629	62
13.7417	13.8774	64
13.7417	13.8774	55
13.8607	13.9969	60
13.8607	13.9969	52
13.9793	14.1089	64
13.9802	14.1098	55
14.0885	14.2192	62
14.0913	14.2221	53
14.1987	14.3158	64
14.1987	14.3158	55
14.3178	14.4514	72
14.3188	14.4523	46
14.4331	14.5609	55
14.434	14.5618	64
14.5426	14.6715	53
14.5435	14.6725	62
14.6531	14.7887	64
14.6541	14.7897	55
14.7675	14.9016	60
14.7675	14.9016	52
14.8814	15.0097	64
14.8861	15.0143	55
14.9932	15.1232	62
14.9941	15.1242	53
15.1012	15.2216	55
15.1061	15.2268	64
15.2216	15.3695	72
15.2246	15.3722	44
15.3538	15.483	65
15.3538	15.483	56
15.4636	15.5937	55
15.4645	15.5946	64
15.5743	15.7099	65
15.5772	15.7129	56
15.6886	15.8234	60
15.6915	15.8262	53
15.8078	15.9364	56
15.8096	15.9383	65
15.9181	16.0485	55
15.9199	16.0505	64
16.0265	16.1469	56
16.0284	16.1489	65
16.1479	16.2869	72
16.1479	16.2869	44
16.2684	16.398	65
16.2684	16.398	56
16.3777	16.5082	55
16.3795	16.5102	64
16.4926	16.6293	56
16.4936	16.6303	65
16.6068	16.7422	60
16.6068	16.7422	53
16.7231	16.8496	56
16.725	16.8514	65
16.8324	16.9612	64
16.8333	16.9622	55
16.9427	17.0662	56
16.9447	17.0683	65
17.063	17.2109	44
17.0641	17.2119	70
17.1933	17.3222	50
17.1962	17.3249	65
17.3029	17.4325	48
17.3056	17.4354	63
17.4141	17.5496	65
17.416	17.5515	50
17.5313	17.6654	53
17.5332	17.6673	62
17.6476	17.7787	50
17.6495	17.7806	65
17.759	17.8909	63
17.7609	17.8928	48
17.8714	17.9881	50
17.8724	17.9891	65
17.9901	18.1256	44
17.9911	18.1265	70
18.1029	18.2346	65
18.1049	18.2365	50
18.2205	18.3526	63
18.2205	18.3526	48
18.3314	18.4665	65
18.3314	18.4665	50
18.4443	18.5785	62
18.4453	18.5794	53
18.5626	18.6932	65
18.5645	18.6951	50
18.6727	18.804	63
18.6764	18.8078	48
18.7855	18.9018	50
18.7885	18.905	65
18.9029	19.0479	70
18.905	19.0498	43
19.0274	19.1576	51
19.0293	19.1595	67
19.139	19.27	65
19.1427	19.2739	50
19.2525	19.3893	51
19.2544	19.3912	67
19.3667	19.5031	63
19.3687	19.5049	55
19.4844	19.6146	67
19.4873	19.6174	51
19.5997	19.7309	65
19.5997	19.7309	50
19.7075	19.8246	51
19.7084	19.8256	67
19.8256	19.9623	43
19.8295	19.9661	70
19.9428	20.0751	67
19.9428	20.0751	51
20.0573	20.1896	65
20.0573	20.1896	50
20.1682	20.3046	67
20.173	20.3094	51
20.2892	20.4233	63
20.2892	20.4233	55
20.4045	20.5361	51
20.4054	20.537	67
20.5173	20.6503	65
20.5182	20.6513	50
20.6282	20.7487	51
20.6292	20.7498	67
20.7487	20.8966	48
20.7508	20.8984	68
20.8769	21.0072	67
20.8808	21.0109	51
20.9877	21.1187	65
20.9886	21.1197	50
21.0992	21.2363	67
21.101	21.2383	51
21.2167	21.3532	63
21.2197	21.356	56
21.3363	21.4679	51
21.3382	21.4698	67
21.451	21.5834	50
21.4519	21.5844	65
21.5609	21.6785	67
21.5638	21.6815	51
21.6775	21.8147	68
21.6815	21.8185	48
21.7986	21.9316	67
21.7995	21.9326	51
21.9098	22.0433	65
21.9098	22.0433	50
22.0238	22.1603	67
22.0248	22.1612	51
22.142	22.2754	56
22.143	22.2763	63
22.2601	22.3861	67
22.2601	22.3861	51
22.3681	22.4968	65
22.369	22.4978	50
22.4742	22.5975	51
22.4752	22.5985	67
22.5954	22.7415	68
22.5985	22.7442	50
22.723	22.8506	53
22.7251	22.8524	62
22.8333	22.9618	60
22.8369	22.9657	51
22.9424	23.0785	53
22.9453	23.0814	62
23.0591	23.1937	58
23.061	23.1956	56
23.1763	23.3045	62
23.1772	23.3054	53
23.2853	23.4145	60
23.2862	23.4155	51
23.3971	23.5134	62
23.398	23.5143	53
23.5104	23.6469	50
23.5134	23.6497	68
23.6281	23.7592	53
23.631	23.762	62
23.7405	23.8722	60
23.7405	23.8722	51
23.8528	23.989	53
23.8557	23.9919	62
23.9715	24.1071	56
23.9744	24.1098	58
24.0876	24.2168	53
24.0905	24.2196	62
24.2012	24.3327	51
24.2021	24.3337	60
24.3082	24.4314	53
24.3091	24.4325	62
24.4335	24.5807	67
24.4335	24.5807	51
24.5601	24.6896	55
24.5612	24.6905	58
24.6748	24.8058	53
24.6757	24.8068	56
24.7837	24.9242	58
24.7857	24.9262	55
24.9036	25.0397	56
24.9076	25.0434	63
25.0203	25.1491	58
25.0241	25.1528	55
25.1335	25.2637	56
25.1335	25.2637	53
25.241	25.3599	58
25.2438	25.3629	55
25.3619	25.4986	67
25.3629	25.4995	51
25.4785	25.6059	55
25.4832	25.6104	58
25.5877	25.7163	56
25.5904	25.7192	53
25.6968	25.8341	55
25.7016	25.8391	58
25.8153	25.9526	63
25.8193	25.9562	56
25.9343	26.0617	58
25.9353	26.0626	55
26.0462	26.1757	56
26.0471	26.1767	53
26.1535	26.2745	58
26.1555	26.2767	55
26.2735	26.4213	65
26.2756	26.423	51
26.4053	26.5298	60
26.4061	26.5307	57
26.512	26.6383	58
26.5129	26.6393	55
26.6179	26.7539	60
26.6179	26.7327	57
26.7346	26.8485	57
26.7346	26.8692	53
26.8485	26.9801	57
26.8514	26.9829	60
26.9641	27.0965	58
26.9651	27.0975	55
27.075	27.1922	57
27.0789	27.1961	60
27.1912	27.3271	51
27.1951	27.3308	65
27.3094	27.4396	57
27.3113	27.4414	60
27.4238	27.5546	58
27.4238	27.5546	55
27.5325	27.6464	57
27.5344	27.6695	60
27.6483	27.7828	53
27.6492	27.7651	57
27.7641	27.8947	60
27.7651	27.8957	57
27.8751	28.0077	55
27.8789	28.0119	58
27.9889	28.114	57
27.99	28.1151	60
28.1151	28.2677	50
28.1173	28.2696	65
28.2474	28.3758	62
28.2494	28.3776	53
28.3575	28.4868	60
28.3602	28.4897	51
28.4683	28.6044	53
28.4693	28.6054	62
28.585	28.7201	56
28.587	28.7219	59
28.7023	28.8333	62
28.7041	28.8352	53
28.8137	28.9466	60
28.8165	28.9497	51
28.926	29.0495	62
28.9271	29.0505	53
29.0475	29.1896	65
29.0526	29.1943	50
29.1709	29.3008	53
29.1748	29.3045	62
29.285	29.4156	60
29.285	29.4156	51
29.3962	29.5318	62
29.3981	29.5337	53
29.5115	29.6453	56
29.5134	29.6471	59
29.6264	29.7523	53
29.6291	29.755	62
29.7334	29.8617	60
29.7343	29.8628	51
29.8413	29.965	53
29.8442	29.9682	62
29.9682	30.1169	48
29.9704	30.1188	65
30.0975	30.2267	53
30.1003	30.2295	62
30.2064	30.3364	52
30.2092	30.3393	60
30.3171	30.4527	53
30.3209	30.4566	62
30.4333	30.5682	59
30.4352	30.5701	56
30.5534	30.6835	62
30.5543	30.6844	53
30.6658	30.7973	60
30.6658	30.7973	52
30.7736	30.8921	62
30.7746	30.8931	53
30.8941	31.0301	65
30.8951	31.031	48
31.0094	31.141	62
31.0113	31.1429	53
31.1222	31.2546	60
31.125	31.2575	52
31.234	31.3716	62
31.2389	31.3766	53
31.355	31.4914	56
31.3569	31.4933	59
31.4726	31.6042	53
31.4745	31.606	62
31.5825	31.7156	52
31.5863	31.7197	60
31.6953	31.8176	62
31.6993	31.8218	53
31.8186	31.9669	63
31.8196	31.9678	48
31.9473	32.0759	60
31.9504	32.0786	51
32.0576	32.1866	59
32.0603	32.1895	50
32.1703	32.3054	60
32.1703	32.3054	51
32.2867	32.423	55
32.2867	32.423	53
32.4037	32.5324	60
32.4046	32.5333	51
32.5131	32.6437	59
32.5131	32.6437	50
32.6215	32.7433	51
32.6234	32.7453	60
32.7443	32.8851	63
32.7443	32.8851	46
32.8678	32.9955	60
32.8678	32.9955	51
32.9764	33.1051	50
32.9782	33.107	59
33.0849	33.22	60
33.0887	33.2238	51
33.2016	33.3362	55
33.2026	33.3371	53
33.3203	33.4509	60
33.3212	33.4519	51
33.4285	33.5606	50
33.4295	33.5617	59
33.5444	33.6664	60
33.5444	33.6664	51
33.6654	33.8106	44
33.6675	33.8123	53
33.7946	33.9187	63
33.7946	33.9187	48
33.8974	34.0248	47
33.9001	34.0277	62
34.0054	34.1414	63
34.0073	34.1434	48
34.1256	34.2625	65
34.1256	34.2625	50
34.2393	34.3685	63
34.2431	34.3722	48
34.3501	34.4804	62
34.3547	34.4853	47
34.4617	34.5798	48
34.4646	34.5827	63
34.5817	34.7184	53
