OnsetTime	OffsetTime	MidiPitch
0.500004	0.659194	31
0.579599	0.738788	43
0.659194	0.818383	31
0.738788	0.897977	43
0.818383	0.977572	31
0.897977	1.05717	43
0.977572	1.13676	31
1.05717	1.21636	43
1.13676	1.29595	31
1.21636	1.37554	43
1.29595	1.45514	31
1.37554	1.53473	43
1.45514	1.61433	31
1.53473	1.69392	43
1.61433	1.77352	31
1.69392	1.85311	43
1.77352	2.41027	67
1.77352	2.41027	59
1.77352	2.41027	65
1.77352	1.93271	31
1.85311	2.0123	43
1.93271	2.0919	31
2.0123	2.17149	43
2.0919	2.25109	31
2.17149	2.33068	43
2.25109	2.41027	31
2.33068	2.48987	43
2.41027	2.88784	59
2.41027	2.88784	67
2.41027	2.88784	65
2.41027	2.56946	31
2.48987	2.64906	43
2.56946	2.72865	31
2.64906	2.80825	43
2.72865	2.88784	31
2.80825	2.97457	43
2.88784	3.06131	67
2.88784	3.06131	59
2.88784	3.06131	65
2.88784	3.06131	31
2.97457	3.06131	43
3.06131	4.29835	60
3.06131	4.29835	65
3.06131	4.29835	69
3.06131	3.21594	31
3.13863	3.29326	43
3.21594	3.37057	31
3.29326	3.44789	43
3.37057	3.5252	31
3.44789	3.60252	43
3.5252	3.67983	31
3.60252	3.75715	43
3.67983	3.83446	31
3.75715	3.91178	43
3.83446	3.98909	31
3.91178	4.06641	43
3.98909	4.14372	31
4.06641	4.22104	43
4.14372	4.29835	31
4.22104	4.29835	43
4.29835	4.91687	71
4.29835	4.91687	65
4.29835	4.91687	62
4.29835	4.45298	31
4.37566	4.53029	43
4.45298	4.60761	31
4.53029	4.68492	43
4.60761	4.76224	31
4.68492	4.83955	43
4.76224	4.91687	31
4.83955	4.99418	43
4.91687	5.38076	62
4.91687	5.38076	65
4.91687	5.38076	71
4.91687	5.0715	31
4.99418	5.14881	43
5.0715	5.22613	31
5.14881	5.30344	43
5.22613	5.38076	31
5.30344	5.46276	43
5.38076	5.54476	65
5.38076	5.54476	62
5.38076	5.54476	71
5.38076	5.54476	31
5.46276	5.54476	43
5.54476	6.78359	64
5.54476	6.78359	72
5.54476	6.78359	67
5.54476	5.69852	31
5.62165	5.7754	43
5.69852	5.85228	31
5.7754	5.92916	43
5.85228	6.00603	31
5.92916	6.08292	43
6.00603	6.15979	31
6.08292	6.23668	43
6.15979	6.31355	31
6.23668	6.39043	43
6.31355	6.46731	31
6.39043	6.54419	43
6.46731	6.62106	31
6.54419	6.69795	43
6.62106	6.77482	31
6.69795	6.78359	43
6.77482	7.38496	74
6.77482	7.38496	71
6.77482	7.38496	65
6.77482	6.92517	31
6.85	7.00034	43
6.92517	7.07551	31
7.00034	7.15068	43
7.07551	7.22585	31
7.15068	7.30102	43
7.22585	7.37619	31
7.30102	7.38496	43
7.37619	7.97754	64
7.37619	7.97754	70
7.37619	7.97754	73
7.37619	7.52652	31
7.45136	7.60169	43
7.52652	7.67686	31
7.60169	7.75203	43
7.67686	7.8272	31
7.75203	7.90237	43
7.8272	7.97754	31
7.90237	7.97754	43
7.97754	8.58802	71
7.97754	8.58802	65
7.97754	8.58802	74
7.97754	8.12789	31
8.05272	8.20306	43
8.12789	8.27823	31
8.20306	8.3534	43
8.27823	8.42857	31
8.3534	8.50373	43
8.42857	8.5789	31
8.50373	8.58802	43
8.5789	9.20461	67
8.5789	9.20461	76
8.5789	9.20461	73
8.5789	9.20461	70
8.5789	8.73533	31
8.65712	8.81354	43
8.73533	8.89176	31
8.81354	8.96997	43
8.89176	9.04818	31
8.96997	9.1264	43
9.04818	9.18114	31
9.1264	10.9411	43
