OnsetTime	OffsetTime	MidiPitch
0.500004	2.42237	66
0.500004	2.42237	70
0.500004	2.42237	73
0.500004	2.42237	63
0.500004	2.42237	58
0.500004	2.42237	54
1.45087	3.38007	61
1.45087	3.38007	49
2.42237	4.34454	66
2.42237	4.34454	70
2.42237	4.34454	73
2.42237	6.22259	54
2.42237	4.34454	58
2.42237	6.22259	63
3.38007	6.22259	61
3.38007	6.07266	49
4.34454	6.22259	66
4.34454	6.22259	70
4.34454	6.22259	73
4.34454	6.22259	58
5.27564	6.22259	72
5.27564	6.22259	75
5.27564	6.22259	57
6.07266	8.41827	49
6.18891	8.41827	56
6.30007	8.41827	61
6.40753	8.41827	65
6.51087	8.41827	68
6.6106	8.41827	73
6.70677	8.41827	77
7.67452	8.41827	37
8.41827	10.5555	42
8.49586	10.5555	49
8.57138	10.5555	51
8.64444	10.5555	54
8.71566	10.5555	58
8.78468	9.71017	61
8.85205	10.5555	63
8.85205	10.5555	70
9.71017	10.5923	69
9.71017	10.5923	61
10.5923	13.2082	68
10.5923	12.3443	60
11.4622	12.3443	75
11.4622	12.3443	54
12.3443	13.8607	73
12.3443	13.2082	61
12.3443	14.1366	53
13.2082	13.9694	72
13.2082	14.1366	68
13.2082	15.1325	61
13.8607	14.1366	73
13.9694	14.1366	72
14.0782	15.1325	66
14.0782	15.1325	70
14.0782	15.1325	54
14.9542	15.8552	62
14.9542	15.8552	68
14.9542	15.8552	53
14.9542	15.8552	58
15.8552	17.5185	63
15.8552	17.5185	66
15.8552	17.6509	51
15.8552	17.5185	58
16.7563	17.6509	60
16.7563	17.6509	70
16.7563	17.6509	54
17.6509	19.4174	61
17.6509	18.4077	68
17.6509	19.2247	53
17.6509	19.4174	56
18.3033	18.5122	66
18.4077	19.2247	68
18.5122	19.2247	66
18.5122	19.4174	49
18.9502	19.4174	65
19.4174	20.8234	58
19.4174	21.3086	61
19.4174	21.3086	63
19.4174	21.3086	42
20.3382	21.3086	57
21.3086	23.2494	60
21.3086	23.2494	68
21.3086	23.2494	44
21.3086	22.562	56
22.279	23.2494	54
23.2494	24.8752	61
23.2494	24.8752	68
23.2494	25.8313	49
23.2494	24.8752	53
24.1417	25.0026	77
24.1417	25.0026	65
24.1417	25.0026	56
25.0026	26.6831	61
25.0026	25.7308	75
25.0026	26.6831	57
25.6304	25.8313	73
25.7308	26.5055	75
25.8313	26.5055	73
25.8313	27.5318	49
26.2527	26.6831	72
26.6831	27.5318	65
26.6831	27.9685	70
26.6831	28.4051	58
27.5318	28.4051	65
27.5318	28.4051	49
28.4051	30.1208	58
28.4051	29.2539	66
28.4051	29.2539	51
29.2539	30.1208	65
29.2539	30.1208	49
29.2539	30.1208	53
30.1208	30.952	63
30.1208	33.4454	58
30.1208	30.952	54
30.1208	31.8129	48
30.5364	30.952	65
30.5364	30.952	53
30.952	31.8129	66
30.952	31.8129	51
31.8129	33.5794	63
31.8129	33.5794	65
31.8129	33.4454	53
32.6737	33.5794	57
32.6737	33.5794	41
33.5794	37.1233	62
33.5794	37.1233	65
33.5794	36.7831	34
34.4463	35.3386	59
35.3386	37.1233	58
36.2309	37.1233	46
37.1233	37.8539	71
37.1233	38.8291	65
37.1233	38.8291	68
37.1233	38.8291	62
37.7554	37.9524	70
37.8539	38.8291	71
37.9524	38.7887	70
37.9524	39.6229	49
38.3596	38.8291	69
38.7887	40.4486	66
38.7887	40.311	70
38.7887	40.4486	63
39.2101	40.311	75
39.6229	40.311	73
39.6229	41.2861	49
40.0358	40.4486	72
40.4486	42.1289	63
40.4486	42.1289	66
40.4486	41.9534	70
40.4486	42.1289	60
41.2861	42.1289	69
41.2861	42.9602	49
42.1289	43.8149	65
42.1289	43.2095	68
42.1289	45.2935	61
42.9602	45.2935	73
42.9602	44.6354	49
43.8149	45.4585	65
43.8149	45.4585	68
43.8149	44.5369	71
43.8149	45.4585	62
44.4383	44.6354	70
44.5369	45.2935	71
44.6354	45.2935	70
44.6354	46.2765	49
45.0399	45.4585	69
45.4585	47.1342	66
45.4585	47.0542	70
45.4585	47.1342	63
45.7395	47.0542	75
46.0121	47.0542	74
46.2765	47.0542	73
46.2765	47.1342	49
46.549	47.0542	72
46.8367	47.0542	71
47.1342	48.8321	63
47.1342	48.8321	66
47.1342	48.5092	70
47.1342	47.9712	49
47.1342	48.8321	60
47.9712	48.8321	69
47.9712	51.3292	49
48.8321	50.5061	65
48.8321	50.2603	68
48.8321	50.2603	61
49.6633	50.5061	77
49.6633	50.5061	56
50.5061	51.2294	75
50.5061	52.1664	66
50.5061	52.1664	57
51.1296	51.3292	73
51.2294	52.0161	75
51.3292	52.0161	73
51.3292	52.9976	49
51.742	52.1664	72
52.1664	52.9976	65
52.1664	53.7007	70
52.1664	53.8289	58
52.9976	53.8289	65
52.9976	54.6777	49
53.8289	57.0043	65
53.8289	57.0043	69
53.8289	55.234	59
54.6777	55.5835	61
54.6777	55.234	49
55.234	57.0043	42
55.308	56.4505	49
55.3797	57.0043	51
55.4496	57.0043	54
55.5174	57.0043	58
55.5835	56.4505	61
55.6414	57.0043	63
55.6414	57.0043	70
56.4505	58.1423	49
56.4505	58.1423	61
56.8779	57.7237	62
57.0915	57.3052	63
57.1984	58.8244	65
57.3052	58.1423	63
57.3052	58.9567	46
57.7237	58.8244	62
58.1423	59.7938	63
58.1423	59.7938	49
58.1423	59.7938	61
58.9567	60.6607	45
59.3753	60.4133	62
59.7938	60.4133	63
59.7938	60.6607	49
59.7938	60.6607	61
60.2272	60.6607	65
60.6607	61.553	61
60.6607	61.553	66
60.6607	61.553	58
60.6607	63.4137	44
61.553	62.4656	65
61.553	62.4656	60
61.553	62.3306	56
62.0093	62.4656	54
62.4656	65.0976	56
62.4656	65.0976	61
62.4656	65.0976	53
63.4137	65.0976	44
64.3619	65.0976	58
64.3619	66.1128	63
64.3619	66.1128	66
64.7692	65.1853	57
65.1853	66.1128	58
65.1853	66.8254	32
65.5981	66.1128	57
66.011	66.7406	56
66.011	68.4094	61
66.011	68.4094	65
66.4182	66.8254	55
66.8254	68.4094	56
66.8254	68.5153	32
67.6862	68.4094	58
67.6862	69.3353	63
67.6862	69.3353	66
68.0962	68.5153	57
68.5153	69.3353	58
68.5153	70.1497	32
68.9253	69.3353	57
69.3353	69.9631	56
69.3353	70.9754	61
69.3353	70.9754	65
69.7425	70.1497	55
70.1497	70.9754	56
70.1497	71.7809	32
70.9754	72.6047	58
70.9754	72.6047	63
70.9754	71.7038	55
71.3975	71.7993	54
71.7809	72.6047	55
71.7809	73.4083	32
72.6047	73.3313	54
72.6047	74.234	58
72.6047	74.234	63
73.0065	73.4083	53
73.4083	74.234	54
73.4083	75.0863	32
74.234	75.941	54
74.234	75.941	58
74.234	75.0863	65
75.0863	75.941	60
75.0863	75.941	32
75.941	77.6504	53
75.941	77.6504	56
75.941	77.6504	61
75.941	77.6504	37
77.6504	79.5915	66
77.6504	79.5915	70
77.6504	79.5915	73
77.6504	79.5915	63
77.6504	79.5915	58
77.6504	79.5915	54
78.6105	80.5587	61
78.6105	80.5587	49
79.5915	81.5327	66
79.5915	81.5327	70
79.5915	81.5327	73
79.5915	83.2992	54
79.5915	81.5327	58
79.5915	83.2992	63
80.5587	83.2992	61
80.5587	83.1393	49
81.5327	83.2992	73
81.5327	83.2992	66
81.5327	83.2992	70
81.5327	83.2992	58
82.473	83.2992	72
82.473	83.2992	75
82.473	83.2992	57
83.1393	94.2712	49
83.2629	94.2712	56
83.3814	87.3905	61
83.4939	88.2416	65
83.6021	89.1157	68
83.7053	90.0606	73
83.8049	94.2712	77
84.8218	94.2712	37
86.561	94.2712	53
87.3905	94.2712	61
88.2416	94.2712	65
89.1157	94.2712	68
90.0606	94.2712	73
91.1133	95.3238	80
