OnsetTime	OffsetTime	MidiPitch
2.02709	2.69644	71
2.02709	2.69644	59
2.02709	2.69644	68
2.02709	2.69644	28
2.02709	2.69644	40
2.69644	3.36887	60
2.69644	3.36887	68
2.69644	3.36887	71
2.69644	3.36887	33
2.69644	3.36887	45
3.35427	4.0681	61
3.35427	3.99148	66
3.35427	3.99148	69
3.35427	4.0681	30
3.35427	4.0681	42
3.99148	4.63663	66
3.99148	4.69339	62
3.99148	4.63663	69
3.99148	4.69339	35
3.99148	4.69339	47
4.31405	4.69339	63
4.63663	5.29932	69
4.63663	5.29932	66
4.63663	5.29932	28
4.63663	5.27183	40
4.96095	5.29932	64
5.27183	5.91072	68
5.27183	5.98491	59
5.27183	5.98491	40
5.27183	5.98491	52
5.58734	5.91072	56
5.91072	6.54665	56
5.91072	6.54665	64
5.91072	6.54665	68
5.91072	6.54665	35
5.91072	6.54665	47
6.54665	7.28222	68
6.54665	7.28222	57
6.54665	7.17908	64
6.54665	7.28222	36
6.54665	7.28222	48
7.17908	7.79784	58
7.17908	7.79784	64
7.17908	7.85806	66
7.17908	7.85806	37
7.17908	7.85806	49
7.79784	8.46239	64
7.79784	8.46239	65
7.79784	8.46239	58
7.79784	8.46239	30
7.79784	8.46239	42
8.11198	8.46239	66
8.42612	9.08077	69
8.42612	9.08077	63
8.42612	9.04468	57
8.42612	9.08077	35
8.73699	9.08077	66
9.04468	9.66175	57
9.04468	9.66175	64
9.04468	9.66175	54
9.04468	9.66175	47
9.35397	9.66175	63
9.68671	10.3216	73
9.68671	10.3216	61
9.68671	10.3216	69
9.68671	10.3216	30
9.68671	10.3216	42
10.3216	10.9506	62
10.3216	10.9506	69
10.3216	10.9506	73
10.3216	10.9506	35
10.3216	10.9506	47
10.9506	11.5727	69
10.9506	11.5727	63
10.9506	11.5727	71
10.9506	11.5727	32
10.9506	11.5727	44
11.5727	12.196	68
11.5727	12.196	64
11.5727	12.196	71
11.5727	12.196	37
11.5727	12.196	49
11.8851	12.196	65
12.196	12.8431	68
12.196	12.8431	71
12.196	12.8431	30
12.196	12.813	42
12.5069	12.8431	66
12.813	13.4434	69
12.813	13.5026	61
12.813	13.5026	42
12.813	13.5026	54
13.1272	13.5026	57
13.4434	14.105	66
13.4434	14.105	60
13.4434	14.105	69
13.4434	14.105	38
13.4434	14.105	50
14.105	14.8387	66
14.105	14.9512	59
14.105	14.9512	69
14.105	14.9512	39
14.105	14.9512	51
14.8387	15.7549	66
14.8387	15.6564	68
14.8387	15.7549	60
14.8387	15.7549	40
14.8387	15.7549	52
15.6564	16.6025	61
15.6564	16.6025	64
15.6564	17.7246	68
15.6564	16.6025	37
15.6564	16.6025	49
16.6025	17.9676	63
16.6025	17.7246	56
16.6025	17.9676	60
