OnsetTime	OffsetTime	MidiPitch
0.500943	0.950348	58
0.500943	0.950348	46
0.949449	1.02089	57
0.949449	1.02089	45
1.02089	1.09232	58
1.02089	1.09232	46
1.09232	1.16374	61
1.09232	1.16374	49
1.16374	1.27738	65
1.16374	1.27738	53
1.61829	1.68971	57
1.61829	1.68971	45
1.68971	1.76114	58
1.68971	1.76114	46
1.76114	1.83257	61
1.76114	1.83257	49
1.83257	1.94535	65
1.83257	1.94535	53
3.18596	3.74847	58
3.18596	5.35053	34
3.18596	5.35053	46
3.74847	5.24848	90
3.74847	5.35053	82
3.74847	5.35053	94
3.74847	4.87347	58
3.74847	4.87347	60
3.74847	4.87347	63
3.74847	4.87347	66
3.74847	4.87347	70
4.87347	5.35053	75
4.87347	5.15473	84
4.87347	5.35053	87
4.87347	5.15473	58
4.87347	5.15473	60
4.87347	5.15473	63
4.87347	5.15473	66
4.87347	5.15473	70
5.15473	5.24848	84
5.15473	5.35053	77
5.15473	5.35053	89
5.15473	5.24848	58
5.15473	5.24848	60
5.15473	5.24848	63
5.15473	5.24848	66
5.15473	5.24848	70
5.24848	5.45257	90
5.24848	5.45257	78
5.24848	5.45257	84
5.24848	5.45257	58
5.24848	5.45257	60
5.24848	5.45257	63
5.24848	5.45257	66
5.24848	5.45257	70
5.45257	5.65665	85
5.45257	5.65665	77
5.45257	5.65665	89
5.45257	5.65665	58
5.45257	5.65665	61
5.45257	5.65665	65
5.45257	5.65665	70
5.86072	5.92875	57
5.86072	5.92875	45
5.92875	5.99677	58
5.92875	5.99677	46
5.99677	6.06479	61
5.99677	6.06479	49
6.06479	6.16683	65
6.06479	6.16683	53
6.47295	6.54097	57
6.47295	6.54097	45
6.54097	6.60899	58
6.54097	6.60899	46
6.60899	6.67702	61
6.60899	6.67702	49
6.67702	6.77135	65
6.67702	6.77135	53
7.80908	8.33083	56
7.80908	9.82258	32
7.80908	9.82258	44
8.33083	9.82258	92
8.33083	9.63517	89
8.33083	9.82258	80
8.33083	9.82258	73
8.33083	9.82258	65
8.33083	9.3743	56
9.3743	9.63517	84
9.3743	9.82258	75
9.3743	9.82258	87
9.3743	9.63517	56
9.3743	9.63517	63
9.3743	9.63517	66
9.3743	9.63517	68
9.63517	9.7258	84
9.63517	9.82258	89
9.63517	9.82258	77
9.63517	9.7258	56
9.63517	9.7258	63
9.63517	9.7258	66
9.63517	9.7258	68
9.7258	9.91935	84
9.7258	9.91935	90
9.7258	9.91935	78
9.7258	9.91935	56
9.7258	9.91935	63
9.7258	9.91935	66
9.7258	9.91935	68
9.91935	10.0933	77
9.91935	10.0933	85
9.91935	10.0933	89
9.91935	10.0933	68
9.91935	10.0933	61
9.91935	10.0933	65
10.4411	11.1521	77
10.4411	11.1521	69
10.4411	10.9628	65
10.4411	11.1521	60
10.4411	10.9628	53
10.9628	11.3414	57
10.9628	11.3414	65
10.9628	11.3414	41
10.9628	11.3414	48
10.9628	11.3414	53
11.5306	12.9122	29
11.5306	12.9122	41
12.9122	13.0603	30
12.9122	13.0603	42
14.905	14.9739	57
14.905	14.9739	45
14.9739	15.0429	58
14.9739	15.0429	46
15.0429	15.1119	61
15.0429	15.1119	49
15.1119	15.2153	65
15.1119	15.2153	53
15.5257	15.5946	57
15.5257	15.5946	45
15.5946	15.6636	58
15.5946	15.6636	46
15.6636	15.7325	61
15.6636	15.7325	49
15.7325	15.836	65
15.7325	15.836	53
16.9739	17.4645	58
16.9739	17.4645	46
16.9739	17.4645	34
17.5364	18.3802	90
17.5364	18.3802	94
17.5364	18.3802	82
17.5364	18.3802	63
17.5364	18.3802	58
17.5364	18.3802	60
17.5364	18.3802	70
17.5364	18.3802	66
18.3802	18.4739	87
18.3802	18.4739	84
18.3802	18.4739	75
18.3802	18.4739	58
18.3802	18.4739	60
18.3802	18.4739	63
18.3802	18.4739	66
18.3802	18.4739	70
18.4739	18.6614	84
18.4739	18.6614	75
18.4739	18.6614	87
18.4739	18.6614	58
18.4739	18.6614	60
18.4739	18.6614	63
18.4739	18.6614	66
18.4739	18.6614	70
18.6614	18.9427	75
18.6614	18.9427	84
18.6614	18.9427	87
18.6614	18.9427	63
18.6614	18.9427	58
18.6614	18.9427	60
18.6614	18.9427	66
18.6614	18.9427	70
18.9427	19.0364	89
18.9427	19.0364	84
18.9427	19.0364	77
18.9427	19.0364	60
18.9427	19.0364	63
