OnsetTime	OffsetTime	MidiPitch
1.25	1.37272	92
1.31136	1.43407	93
1.37272	1.49543	92
1.43407	1.67948	93
1.49543	1.61812	92
1.5261	2.27154	49
1.55677	2.27154	91
1.57211	2.27154	56
1.61812	1.74084	92
1.61812	2.27154	97
1.61812	2.27154	64
1.67948	2.27154	93
1.74084	1.98624	92
1.80219	2.27154	88
1.89422	2.0476	87
1.98624	2.27154	92
1.98624	2.10896	85
2.0476	2.27154	87
2.10896	2.27154	85
2.17031	2.27154	81
2.26234	2.41572	80
2.26234	2.68874	42
2.30835	2.63046	49
2.35436	2.68874	85
2.35436	2.47708	78
2.35436	2.68874	57
2.41572	2.68874	80
2.47708	2.68874	78
2.53843	2.68874	76
2.63046	2.78384	75
2.63046	3.01698	49
2.67647	3.01698	56
2.72248	3.01698	80
2.72248	2.8452	73
2.72248	3.01698	64
2.78384	3.01698	75
2.8452	3.01698	73
2.90655	3.01698	69
2.99858	3.15234	68
2.99858	3.40234	42
3.04459	3.40234	49
3.0906	3.21407	66
3.0906	3.40234	73
3.0906	3.40234	57
3.15234	3.40234	68
3.21407	3.40234	66
3.2758	3.40234	64
3.36839	3.52272	63
3.36839	3.79742	37
3.4147	3.79742	44
3.46099	3.58445	61
3.46099	3.79742	68
3.46099	3.79742	52
3.52272	3.79742	63
3.58445	3.79742	61
3.64618	3.79742	59
3.73877	3.83138	57
3.83138	6.11411	56
4.18536	4.57497	60
4.18536	4.57497	51
4.18536	4.96457	44
4.57497	4.96457	32
4.57497	4.96457	58
4.57497	4.96457	49
4.96457	5.16044	44
4.96457	5.24294	51
4.96457	5.24294	60
5.25951	5.35939	44
5.25951	5.35939	52
5.25951	5.35939	61
5.35939	6.11411	54
5.35939	6.11411	60
5.35939	6.11411	63
5.35939	7.27681	44
6.11411	6.63135	64
6.11411	6.5667	56
6.11411	6.5667	32
6.50204	7.27681	49
6.5667	7.27681	56
6.63135	7.27681	97
6.63135	6.75256	92
6.63135	7.27681	64
6.69195	7.27681	93
6.75256	6.99499	92
6.81316	7.27681	88
6.90408	7.0556	87
6.99499	7.27681	92
6.99499	7.1162	85
7.0556	7.27681	87
7.1162	7.27681	85
7.1768	7.27681	81
7.26772	7.41922	80
7.26772	7.68892	42
7.31317	7.63135	49
7.35862	7.68892	85
7.35862	7.47983	78
7.35862	7.68892	57
7.41922	7.68892	80
7.47983	7.68892	78
7.54043	7.68892	76
7.63135	7.78286	75
7.63135	8.01317	49
7.6768	8.01317	56
7.72226	7.84347	73
7.72226	8.01317	80
7.72226	8.01317	64
7.78286	8.01317	75
7.84347	8.01317	73
7.90407	8.01317	69
7.99499	8.1465	68
7.99499	8.39197	42
8.04045	8.39197	49
8.0859	8.20711	66
8.0859	8.39197	73
8.0859	8.39197	57
8.1465	8.39197	68
8.20711	8.39197	66
8.26771	8.39197	64
8.35863	8.51015	63
8.35863	8.77984	37
8.40409	8.77984	44
8.44954	8.77984	68
8.44954	8.57075	61
8.44954	8.77984	52
8.51015	8.77984	63
8.57075	8.77984	61
8.63135	8.77984	59
8.72227	8.81318	58
8.81318	9.97698	56
9.20533	10.14	63
9.20533	10.14	60
9.20533	9.97698	51
9.20533	9.54294	39
9.49472	9.54294	38
9.54294	9.6394	39
9.59117	9.68762	40
9.59117	10.14	58
9.59117	10.14	55
9.6394	9.73585	39
9.68762	9.78407	40
9.73585	9.8323	39
9.78407	10.14	40
9.8323	9.92875	39
9.88053	10.14	38
9.92875	10.14	39
9.97698	10.2554	56
9.97698	10.1728	44
9.97698	10.2554	51
9.97698	10.2554	59
10.2719	10.3718	58
10.2719	10.3718	44
10.2719	10.3718	51
10.2719	10.3718	61
10.3718	11.1265	51
10.3718	11.1265	59
10.3718	11.1265	63
10.3718	11.1265	44
11.1265	11.6438	68
11.1265	11.5144	56
11.1265	11.5144	32
11.5144	12.0041	42
11.5791	11.8239	49
11.6438	11.7038	90
11.6438	11.7038	97
11.6438	11.8239	57
11.7038	11.7639	92
11.7639	11.8239	90
11.8239	11.914	86
11.914	12.0041	85
11.914	12.1843	47
11.9591	12.1843	54
12.0041	12.0642	83
12.0041	12.0642	90
12.0041	12.1843	62
12.0642	12.1242	85
12.1242	12.1843	83
12.1843	12.2744	81
12.2744	12.4245	80
12.2744	12.6918	42
12.3194	12.6918	49
12.3645	12.4846	78
12.3645	12.6918	85
12.3645	12.6918	57
12.4245	12.6918	80
12.4846	12.6918	78
12.5446	12.6918	74
12.6347	12.7849	73
12.6347	13.0131	47
12.6798	13.0131	54
12.7248	13.0131	78
12.7248	12.8449	71
12.7248	13.0131	62
12.7849	13.0131	73
12.8449	13.0131	71
12.905	13.0131	69
12.9951	13.1452	68
12.9951	13.7819	42
13.0401	13.7819	49
13.0852	13.7819	73
13.0852	13.2054	66
13.0852	13.6311	57
13.1452	13.7819	68
13.2054	13.4477	66
13.2658	13.7819	62
13.3565	13.5087	61
13.4477	13.7819	66
13.4477	13.5698	59
13.5087	13.7819	61
13.5698	13.7819	59
13.6311	13.7819	57
13.7233	13.8159	56
13.8159	14.9666	54
14.1762	14.5683	61
14.1762	14.9666	57
14.1762	14.5683	42
14.1762	14.9666	49
14.5683	14.9666	63
14.5683	14.9666	39
14.9666	15.2555	56
14.9666	15.1696	44
14.9666	15.2555	51
14.9666	15.2555	60
15.2727	15.377	56
15.2727	15.377	44
15.2727	15.377	52
15.2727	15.377	61
15.377	16.1717	63
15.377	16.1717	54
15.377	16.5717	60
15.377	16.705	44
16.1717	16.705	64
16.1717	16.5717	56
16.1717	16.5717	32
16.5717	17.0731	49
16.6383	17.0731	56
16.705	16.7664	92
16.705	16.7664	97
16.705	17.0731	64
16.7664	16.8277	93
16.8277	16.8891	92
16.8891	16.9811	88
16.9811	17.0731	87
17.0731	17.1345	92
17.0731	17.1345	85
17.1345	17.1958	87
17.1958	17.2572	85
17.2572	17.3492	81
17.3492	17.5026	80
17.3492	17.7756	42
17.3952	17.7173	49
17.4412	17.564	78
17.4412	17.7756	85
17.4412	17.7756	57
17.5026	17.7756	80
17.564	17.7756	78
17.6253	17.7756	76
17.7173	17.8707	75
17.7173	18.1039	49
17.7634	18.1039	56
17.8094	17.9321	73
17.8094	18.1039	80
17.8094	18.1039	64
17.8707	18.1039	75
17.9321	18.1039	73
17.9934	18.1039	69
18.0855	18.2392	68
18.0855	18.4892	42
18.1315	18.4892	49
18.1775	18.4892	73
18.1775	18.301	66
18.1775	18.4892	57
18.2392	18.4892	68
18.301	18.4892	66
18.3627	18.4892	64
18.4553	18.6096	63
18.4553	18.8843	37
18.5016	18.8843	44
18.5479	18.8843	68
18.5479	18.6713	61
18.5479	18.8843	52
18.6096	18.8843	63
18.6713	18.8843	61
18.7331	18.8843	59
18.8257	18.9183	57
18.9183	20.0515	56
19.2722	19.6619	60
19.2722	19.6619	51
19.2722	20.0515	44
19.6619	20.0515	32
19.6619	20.0515	61
19.6619	20.0515	52
20.0515	20.3298	63
20.0515	20.2473	44
20.0515	20.3298	51
20.0515	20.3298	60
20.3464	20.4463	64
20.3464	20.4463	44
20.3464	20.4463	56
20.4463	20.906	52
20.4463	20.906	61
20.4463	20.906	37
20.906	21.8256	69
20.906	22.7145	57
21.8256	22.7145	44
21.8256	22.27	51
21.8256	22.27	60
22.27	22.7145	32
22.27	22.7145	52
22.27	22.7145	61
22.7145	23.0237	44
22.7145	23.0237	56
22.7145	23.0237	54
22.7145	23.0237	63
22.7145	23.0237	60
23.1784	23.3039	64
23.1784	23.3039	44
23.1784	23.3039	54
23.1784	23.3039	60
23.3039	23.806	61
23.3039	23.806	37
23.3039	23.806	52
