OnsetTime	OffsetTime	MidiPitch
0.500004	1.60757	53
0.500004	1.54439	58
0.500004	1.60757	34
0.500004	1.60757	41
0.500004	1.60757	46
1.54439	2.72149	54
1.54439	2.35667	58
1.54439	2.72149	37
1.54439	2.72149	42
1.54439	2.72149	49
2.35667	2.62743	58
2.62743	3.82886	53
2.62743	4.78553	58
2.62743	3.82886	34
2.62743	3.82886	41
2.62743	3.82886	46
3.7025	4.78553	54
3.7025	4.78553	37
3.7025	4.78553	42
3.7025	4.78553	49
4.78553	5.90947	53
4.78553	5.82992	58
4.78553	5.90947	34
4.78553	5.90947	41
4.78553	5.90947	46
5.82992	6.96806	54
5.82992	6.64825	58
5.82992	6.96806	37
5.82992	6.96806	42
5.82992	6.96806	49
6.64825	6.92103	58
6.92103	8.10584	53
6.92103	9.07117	58
6.92103	8.10584	34
6.92103	8.10584	41
6.92103	8.10584	46
7.9961	9.07117	54
7.9961	9.07117	37
7.9961	9.07117	42
7.9961	9.07117	49
9.07117	10.1939	53
9.07117	10.1156	58
9.07117	10.1939	34
9.07117	10.1939	41
9.07117	10.1939	46
10.1156	11.3641	54
10.1156	10.9219	58
10.1156	11.3641	37
10.1156	11.3641	42
10.1156	11.3641	49
10.9219	11.1906	58
11.1906	12.3188	53
11.1906	12.3188	58
11.1906	12.3188	34
11.1906	12.3188	41
11.1906	12.3188	46
12.2579	13.3023	61
12.2579	13.3023	54
12.2579	13.3023	37
12.2579	13.3023	42
12.2579	13.3023	49
13.0412	13.3023	60
13.3023	14.4548	60
13.3023	14.4548	53
13.3023	14.4548	34
13.3023	14.4548	41
13.3023	14.4548	46
14.0856	14.3467	58
14.3467	15.4689	54
14.3467	15.1413	58
14.3467	15.4689	37
14.3467	15.4689	42
14.3467	15.4689	49
15.1413	15.4062	58
15.4062	16.591	53
15.4062	17.5563	58
15.4062	16.591	34
15.4062	16.591	41
15.4062	16.591	46
16.4813	17.5563	54
16.4813	17.5563	37
16.4813	17.5563	42
16.4813	17.5563	49
17.5563	18.6007	58
17.5563	18.6007	53
17.5563	18.6007	61
17.5563	18.6007	34
17.5563	18.6007	41
17.5563	18.6007	46
18.6007	19.6758	58
18.6007	19.6758	54
18.6007	19.407	61
18.6007	19.6758	37
18.6007	19.6758	42
18.6007	19.6758	49
19.407	19.6758	61
19.6758	20.7672	58
19.6758	20.7672	53
19.6758	20.7128	61
19.6758	20.7672	34
19.6758	20.7672	41
19.6758	20.7672	46
20.7128	21.6534	65
20.7128	21.7839	61
20.7128	21.7839	54
20.7128	21.7839	37
20.7128	21.7839	42
20.7128	21.7839	49
21.5161	21.7839	63
21.5161	21.7839	60
21.6534	21.7839	65
21.7839	22.8592	63
21.7839	22.8592	60
21.7839	22.8592	53
21.7839	22.8592	34
21.7839	22.8592	41
21.7839	22.8592	46
