OnsetTime	OffsetTime	MidiPitch
0.500004	1.46606	60
0.747934	1.46606	62
0.98987	1.46606	63
1.22891	1.46606	67
1.46606	1.96429	63
1.708	1.96429	62
1.94994	2.89639	60
2.19585	2.89639	62
2.43585	2.89639	63
2.67395	2.91016	67
2.91016	3.38684	63
3.15016	3.39607	62
3.39607	4.27803	91
3.39607	3.87036	87
3.39607	4.27803	60
3.63322	4.27803	62
3.87036	4.34683	87
3.87036	4.34683	84
3.87036	4.27803	63
4.11427	4.34683	67
4.34683	5.33705	87
4.34683	5.33705	91
4.34683	5.33705	63
4.58304	5.06173	62
4.82527	5.30201	60
5.06173	5.33705	62
5.30201	6.25883	86
5.30201	6.25883	89
5.30201	6.25883	60
5.5418	6.49808	62
5.7792	6.72338	84
5.7792	6.72338	87
5.7792	6.72338	63
6.0166	6.72338	67
6.25883	6.73734	86
6.25883	6.73734	89
6.25883	6.72338	60
6.49808	6.73734	62
6.73734	7.2119	86
6.73734	7.70119	89
6.73734	7.2119	65
6.97462	7.70119	84
6.97462	7.70119	87
6.97462	7.70119	70
7.2119	8.68173	86
7.2119	8.24243	82
7.2119	7.70119	65
7.44918	7.70119	62
7.69043	8.68173	60
7.92503	8.68173	62
8.16244	8.32352	84
8.16244	9.13549	74
8.16244	8.64269	65
8.24243	8.40359	82
8.32352	8.48367	84
8.40359	8.56383	82
8.40359	8.68173	70
8.48367	8.64269	84
8.56383	8.68173	82
8.64269	8.80115	84
8.64269	9.13549	65
8.72252	8.88049	82
8.80115	9.1216	84
8.88049	9.04016	82
8.88049	9.13549	58
8.9594	9.1216	80
9.04016	9.13549	82
9.1216	9.59812	80
9.1216	9.59812	84
9.1216	9.54253	56
9.35986	9.59812	58
9.59812	11.0174	87
9.59812	10.5631	84
9.59812	11.0174	60
9.83935	11.0174	63
10.0806	11.0174	82
10.0806	11.0174	86
10.0806	11.0174	65
10.3218	11.0174	67
10.5631	11.0455	80
10.5631	11.0455	84
10.5631	11.0174	68
10.8043	11.0455	70
11.0455	11.5361	82
11.0455	12.0395	86
11.0455	12.0395	68
11.2908	12.0395	70
11.5361	12.0395	74
11.5361	12.0395	82
11.5361	12.0395	56
11.7878	12.0395	58
12.0395	15.8241	75
12.0395	15.8241	79
12.0395	13.0489	60
12.2769	13.0489	62
12.5192	12.9937	63
12.7556	13.0489	67
12.9937	13.499	63
13.2302	13.499	62
13.4715	14.4803	60
13.7079	14.4803	62
13.9482	14.4246	63
14.1856	14.4803	67
14.4246	14.8846	63
