OnsetTime	OffsetTime	MidiPitch
0.500648	0.578365	39
0.655438	0.733155	46
0.810873	0.88859	39
0.966307	1.04402	34
1.12174	1.19847	39
1.27519	1.35191	46
1.42864	1.50536	39
1.58209	1.66021	63
1.58209	1.66021	34
1.66021	1.7381	65
1.7381	1.81562	66
1.7381	1.81562	70
1.7381	1.81562	39
1.81562	1.89313	65
1.89313	1.97065	63
1.89313	1.97065	46
1.97065	2.04816	65
2.04816	2.12431	66
2.04816	2.12431	70
2.04816	2.12431	39
2.12431	2.20046	65
2.20046	2.27879	63
2.20046	2.27879	34
2.27879	2.35713	65
2.35713	2.43464	70
2.35713	2.43464	66
2.35713	2.43464	39
2.51216	2.58967	66
2.51216	2.58967	63
2.51216	2.58967	46
2.66719	2.74656	66
2.66719	2.74656	63
2.66719	2.74656	39
2.82592	2.90404	66
2.82592	2.90404	70
2.82592	2.90404	34
2.98216	3.05948	65
2.98216	3.05948	69
2.98216	3.05948	39
3.13679	3.21411	60
3.13679	3.21411	65
3.13679	3.21411	46
3.29142	3.37057	65
3.29142	3.37057	60
3.29142	3.37057	39
3.44973	3.52764	65
3.44973	3.52764	69
3.44973	3.52764	34
3.60556	4.06478	69
3.60556	4.06478	65
3.60556	3.6821	39
3.75864	3.83517	46
3.91171	3.98825	39
4.06478	4.14352	68
4.06478	4.14352	34
4.14352	4.2218	70
4.2218	4.29932	71
4.2218	4.29932	75
4.2218	4.29932	39
4.29932	4.37683	70
4.37683	4.45435	68
4.37683	4.45435	46
4.45435	4.53186	70
4.53186	4.6082	75
4.53186	4.6082	71
4.53186	4.6082	39
4.6082	4.68453	70
4.68453	4.76307	68
4.68453	4.76307	34
4.76307	4.84161	70
4.84161	4.91932	71
4.84161	4.91932	75
4.84161	4.91932	39
4.99704	5.07476	71
4.99704	5.07476	68
4.99704	5.07476	46
5.15247	5.23226	68
5.15247	5.23226	71
5.15247	5.23226	39
5.31204	5.39037	75
5.31204	5.39037	71
5.31204	5.39037	34
5.46871	5.54622	70
5.46871	5.54622	74
5.46871	5.54622	39
5.62374	5.70125	70
5.62374	5.70125	65
5.62374	5.70125	46
5.77877	5.85814	70
5.77877	5.85814	65
5.77877	5.85814	39
5.9375	6.01562	74
5.9375	6.01562	70
5.9375	6.01562	34
6.09374	6.32158	70
6.09374	6.32158	74
6.09374	6.16969	39
6.24564	6.32158	46
6.39753	6.47484	39
6.55216	6.63131	78
6.63131	6.71046	80
6.71046	6.787	82
6.71046	6.787	85
6.71046	7.17493	66
6.71046	7.17493	73
6.787	6.86354	80
6.86354	6.94007	78
6.94007	7.01661	80
7.01661	7.16173	85
7.01661	7.16173	82
7.17493	7.25388	73
7.25388	7.33283	75
7.33283	7.40955	77
7.33283	7.40955	80
7.33283	7.79762	68
7.33283	7.79762	61
7.40955	7.48628	75
7.48628	7.563	73
7.563	7.63973	75
7.63973	7.78446	77
7.63973	7.78446	80
7.79762	7.87615	71
7.87615	7.95469	73
7.95469	8.03141	78
7.95469	8.03141	75
7.95469	8.41947	66
7.95469	8.41947	59
8.03141	8.10814	73
8.10814	8.18486	71
8.18486	8.26158	73
8.26158	8.40632	78
8.26158	8.40632	75
8.41947	8.49801	66
8.49801	8.57654	68
8.57654	8.65327	73
8.57654	8.65327	70
8.57654	9.0369	61
8.57654	9.0369	54
8.65327	8.72999	68
8.72999	8.80672	66
8.80672	8.88344	68
8.88344	9.02411	73
8.88344	9.02411	70
9.0369	9.11564	53
9.0369	9.11564	41
9.11564	9.19438	54
9.11564	9.19438	42
9.19438	9.27091	56
9.19438	9.27091	44
9.27091	9.34745	54
9.27091	9.34745	42
9.34745	9.42599	53
9.34745	9.42599	41
9.50452	9.58106	54
9.50452	9.58106	42
9.58106	9.65759	53
9.58106	9.65759	41
9.65759	9.73633	51
9.65759	9.73633	39
9.81507	9.8916	53
9.81507	9.8916	41
9.8916	9.96814	51
9.8916	9.96814	39
9.96814	10.0465	49
9.96814	10.0465	37
10.1248	10.2013	51
10.1248	10.2013	39
10.2013	10.2779	49
10.2013	10.2779	37
10.2779	10.3544	48
10.2779	10.3544	36
11.0432	11.1199	51
11.0432	11.1199	39
11.1199	11.1966	49
11.1199	11.1966	37
11.1966	11.2734	47
11.1966	11.2734	35
11.6618	12.476	46
11.6618	12.476	34
11.6618	12.476	41
11.7383	12.476	53
11.8152	11.8922	58
11.8922	12.2818	58
11.9696	12.2818	65
12.0472	12.1251	70
12.1251	12.2818	70
12.2033	12.2818	77
12.2818	12.476	77
12.2818	12.476	70
12.2818	12.476	82
12.2818	12.476	65
12.2818	12.476	58
12.7542	12.833	32
12.833	12.9117	34
12.9117	13.6873	47
12.9117	13.6873	50
12.9117	13.6873	53
12.9117	12.9892	35
12.9892	13.0668	34
13.0668	13.1443	32
13.1443	13.2218	34
13.2218	13.2993	35
13.2993	13.3768	34
13.3768	13.4549	32
13.4549	13.533	34
13.533	13.6102	35
13.6873	13.7654	32
13.8435	13.9206	32
13.9978	14.0733	50
13.9978	14.0733	53
13.9978	14.0733	59
14.1489	14.226	50
14.1489	14.226	53
14.1489	14.226	59
14.3032	14.3803	50
14.3032	14.3803	53
14.3032	14.3803	58
14.3032	14.3803	46
14.4574	14.5346	50
14.4574	14.5346	53
14.4574	14.5346	58
14.4574	14.5346	46
14.6117	14.6894	50
14.6117	14.6894	53
14.6117	14.6894	57
14.6117	14.6894	47
14.7671	14.8456	50
14.7671	14.8456	53
14.7671	14.8456	57
14.7671	14.8456	47
14.9242	15.0027	50
14.9242	15.0027	53
14.9242	15.0027	56
15.0813	15.1626	50
15.0813	15.1626	53
15.0813	15.1626	56
15.2438	15.3224	35
15.3224	15.4009	37
15.4009	16.1742	50
15.4009	16.1742	53
15.4009	16.1742	56
15.4009	15.478	38
15.478	15.5552	37
15.5552	15.6323	35
15.6323	15.7094	37
15.7094	15.7866	38
15.7866	15.8637	37
15.8637	15.9418	35
15.9418	16.0199	37
16.0199	16.097	38
16.1742	16.2513	35
16.3284	16.4056	35
16.4827	16.5584	53
16.4827	16.5584	56
16.4827	16.5584	62
16.6342	16.7105	53
16.6342	16.7105	56
16.6342	16.7105	62
16.7869	16.8632	53
16.7869	16.8632	56
16.7869	16.8632	61
16.7869	16.8632	49
16.9395	17.0159	53
16.9395	17.0159	56
16.9395	17.0159	61
16.9395	17.0159	49
17.0922	17.1697	53
17.0922	17.1697	56
17.0922	17.1697	60
17.0922	17.1697	50
17.2472	17.3258	53
17.2472	17.3258	56
17.2472	17.3258	60
17.2472	17.3258	50
17.4043	17.4829	53
17.4043	17.4829	56
17.4043	17.4829	59
17.5614	17.6385	53
17.5614	17.6385	56
17.5614	17.6385	59
17.7156	17.7916	56
17.7156	17.7916	59
17.7156	17.7916	65
17.8675	17.9448	56
17.8675	17.9448	59
17.8675	17.9448	65
18.0222	18.0995	56
18.0222	18.0995	59
18.0222	18.0995	64
18.0222	18.0995	52
18.1768	18.2541	56
18.1768	18.2541	59
18.1768	18.2541	64
18.1768	18.2541	52
18.3314	18.4072	56
18.3314	18.4072	60
18.3314	18.4072	63
18.3314	18.4072	53
18.4829	18.5597	56
18.4829	18.5597	59
18.4829	18.5597	63
18.4829	18.5597	53
18.6364	18.7131	56
18.6364	18.7131	59
18.6364	18.7131	62
18.7898	18.8676	56
18.7898	18.8676	59
18.7898	18.8676	62
18.9453	19.0218	59
18.9453	19.0218	62
18.9453	19.0218	68
19.0983	19.1753	59
19.0983	19.1753	62
19.0983	19.1753	68
19.2522	19.3291	59
19.2522	19.3291	62
19.2522	19.3291	67
19.2522	19.3291	55
19.406	19.4836	59
19.406	19.4836	62
19.406	19.4836	67
19.406	19.4836	55
19.5611	19.6368	59
19.5611	19.6368	62
19.5611	19.6368	66
19.5611	19.6368	56
19.7126	19.7891	59
19.7126	19.7891	62
19.7126	19.7891	66
19.7126	19.7891	56
19.8657	19.9422	59
19.8657	19.9422	62
19.8657	19.9422	65
20.0187	20.0963	59
20.0187	20.0963	62
20.0187	20.0963	65
20.1738	20.2499	62
20.1738	20.2499	65
20.1738	20.2499	71
20.3261	20.4026	62
20.3261	20.4026	65
20.3261	20.4026	71
20.4791	20.5557	62
20.4791	20.5557	65
20.4791	20.5557	70
