OnsetTime	OffsetTime	MidiPitch
2.825	2.90778	63
2.92435	5.98726	63
6.00382	6.08661	68
6.00382	6.08661	66
6.00382	6.08661	60
6.00382	6.08661	63
6.10317	9.16608	60
6.10317	9.16608	66
6.10317	9.16608	68
6.10317	9.16608	63
9.18264	9.26543	69
9.18264	9.26543	66
9.18264	9.26543	59
9.18264	9.26543	63
9.28199	10.0799	69
9.28199	10.0799	66
9.28199	10.0799	59
9.28199	10.0799	63
10.1331	10.9664	59
10.1331	10.9664	69
10.1331	10.9664	66
10.1331	10.9664	63
11.022	11.8807	65
11.022	11.8807	69
11.022	11.8807	62
11.022	11.8807	53
11.938	12.5884	63
11.938	12.5884	69
11.938	12.5884	53
11.938	12.5884	60
12.6136	18.3065	46
12.6905	18.3065	53
12.77	18.3065	58
12.8518	15.6794	62
12.9367	15.6794	65
13.0243	15.5506	70
15.5506	15.8077	70
15.5506	15.8077	74
15.6794	18.3065	62
15.6794	15.9346	65
15.8077	15.9346	70
15.8077	16.0605	74
15.8077	16.0605	77
15.9346	16.1855	70
15.9346	18.3065	65
16.0605	16.3073	82
16.0605	16.1855	74
16.0605	16.3073	77
16.1855	18.3065	70
16.1855	16.4112	74
16.3073	16.4112	77
16.3073	16.5102	82
16.3073	16.5102	86
16.4112	18.3065	74
16.4112	16.6046	77
16.5102	16.6046	82
16.5102	16.6903	86
16.5102	16.6903	89
16.6046	18.3065	77
16.6046	16.7679	82
16.6903	16.841	94
16.6903	16.7679	86
16.6903	16.841	89
16.7679	18.3065	82
16.7679	16.9103	86
16.841	16.983	98
16.841	16.983	94
16.841	16.9103	89
16.9103	18.3065	86
16.9103	18.3065	89
16.983	18.7477	94
16.983	18.7477	98
16.983	18.7477	101
18.7477	19.0703	94
18.7477	19.0703	97
18.7477	19.0703	88
19.0703	19.3442	91
19.0703	19.3442	99
19.3442	19.5551	89
19.3442	19.5551	98
19.5852	19.8178	93
19.5852	19.8178	89
19.5852	19.8178	85
19.8178	19.9917	87
19.8178	19.9917	96
19.9917	20.1375	86
19.9917	20.1375	94
20.1583	20.3196	88
20.1583	20.3196	85
20.1583	20.3196	82
20.3196	20.4557	86
20.3196	20.4557	91
20.4557	20.5686	82
20.4557	20.5686	89
20.5847	20.7172	76
20.5847	20.7172	82
20.5847	20.7172	85
20.7172	20.8422	79
20.7172	20.8422	87
20.8422	20.9451	77
20.8422	20.9451	86
20.9598	21.0679	81
20.9598	21.0679	77
20.9598	21.0679	73
21.0679	21.1695	75
21.0679	21.1695	84
21.1695	21.2583	74
21.1695	21.2583	82
21.271	21.3752	76
21.271	21.3752	73
21.271	21.3752	70
21.3752	21.4708	74
21.3752	21.4708	79
21.4708	21.5546	77
21.4708	21.5546	70
21.5665	21.6651	64
21.5665	21.6651	73
21.5665	21.6651	70
21.6651	21.759	67
21.6651	21.759	75
21.759	21.8413	65
21.759	21.8413	74
21.8534	21.95	69
21.8534	21.95	65
21.8534	21.95	61
21.95	22.0418	63
21.95	22.0418	72
22.0418	22.122	62
22.0418	22.122	70
22.1335	22.2265	64
22.1335	22.2265	58
22.1335	22.2265	61
22.2265	22.3146	62
22.2265	22.3146	67
22.3146	22.3917	58
22.3146	22.3917	65
22.4027	22.4936	52
22.4027	22.4936	61
22.4027	22.4936	58
22.4936	22.5806	55
22.4936	22.5806	63
22.5806	22.6567	53
22.5806	22.6567	62
22.6675	22.925	57
22.6675	22.925	53
22.6675	22.925	49
22.7606	22.925	60
22.7606	22.925	51
22.8483	22.925	50
22.8483	22.925	58
22.936	23.1857	52
22.936	23.1857	49
22.936	23.1201	46
23.0312	23.1857	50
23.0312	23.1857	55
23.1201	23.1979	46
23.1201	23.1979	53
23.209	23.4912	49
23.209	23.4912	46
23.209	23.4912	40
23.3047	23.4912	43
23.3047	23.4912	51
23.4027	23.4925	41
23.4027	23.4925	50
23.5053	24.1239	34
24.1239	24.2049	36
24.2049	24.2851	34
24.2851	24.3641	36
24.3641	24.4418	34
24.4418	24.5184	36
24.5184	24.5938	34
24.5938	24.668	36
24.668	24.7412	34
24.7412	24.8133	36
24.8133	24.8847	34
24.8847	24.9442	36
24.9442	25.0083	34
25.0083	25.0772	33
25.0772	25.1486	34
25.1486	25.3338	46
25.7041	26.2623	62
25.7362	26.2623	70
25.7683	26.2623	77
25.8003	26.2623	80
25.8324	26.2623	86
25.8644	26.2623	89
25.8965	26.2623	94
26.6282	29.8861	58
29.8861	29.9531	81
29.9618	30.0294	82
30.0381	30.1053	87
30.1137	30.1787	84
30.187	30.2521	82
30.2604	30.3255	80
30.3338	30.3988	79
30.4072	30.4722	77
30.4805	30.5456	75
30.5539	30.6189	74
30.6273	30.6856	72
30.694	30.888	70
31.2112	31.4176	55
31.2112	31.4176	58
31.2112	31.4176	63
31.2112	31.4176	46
31.2112	31.4176	39
31.7617	31.97	65
31.7617	31.97	58
31.7617	31.97	56
31.7617	31.97	46
31.7617	31.97	39
32.3172	32.5357	66
32.3172	32.5357	57
32.3172	32.5357	58
32.3172	32.5357	46
32.3172	32.5357	39
32.8998	33.5955	58
32.8998	33.5955	67
32.8998	34.2042	46
32.8998	34.2042	39
33.552	33.8781	55
33.552	33.8781	63
34.2042	34.2556	81
34.2645	34.3159	82
34.3247	34.3762	91
34.3849	34.4346	89
34.4431	34.4928	87
34.5013	34.551	86
34.5596	34.6092	84
34.6178	34.6674	82
34.676	34.7257	80
34.7342	34.7839	79
34.7924	34.8421	77
34.8506	34.9003	75
34.9089	34.9585	74
34.9671	35.0236	72
35.0321	35.2348	70
35.5727	35.785	63
35.5727	35.785	55
35.5727	35.785	58
35.5727	35.785	46
35.5727	35.785	39
36.1387	36.3731	56
36.1387	36.3731	62
36.1387	36.3731	65
