OnsetTime	OffsetTime	MidiPitch
0.500755	0.590717	37
0.589966	0.679927	44
0.679927	0.784882	49
0.679927	0.769888	44
0.769888	0.874843	52
0.85985	0.964805	56
0.85985	0.949811	37
0.949811	1.05477	49
1.03977	1.14473	52
1.03977	1.12973	44
1.12973	1.23469	56
1.2197	1.32465	61
1.2197	1.30966	37
1.30966	1.41461	52
1.39962	1.50457	56
1.39962	1.48958	44
1.48958	1.59453	61
1.57954	1.6845	64
1.57954	1.6695	37
1.6695	1.77446	56
1.75946	1.86442	61
1.75946	1.84942	44
1.84942	1.95438	64
1.93939	2.04434	68
1.93939	2.02935	37
2.02935	2.1343	61
2.11931	2.22426	64
2.11931	2.20927	44
2.20927	2.31422	68
2.29923	2.40419	73
2.29923	2.38919	37
2.38919	2.49415	64
2.47915	2.58411	68
2.47915	2.56912	44
2.56912	2.67407	73
2.65908	2.76403	76
2.65908	2.74904	37
2.74904	2.85399	68
2.839	2.94395	73
2.839	2.92896	44
2.92896	3.01892	76
3.01892	3.20644	68
3.01892	3.20644	76
3.01892	3.20644	80
3.01892	3.20644	73
3.01892	3.40295	49
3.01892	3.40295	37
3.20644	3.40295	68
3.20644	3.40295	73
3.20644	3.40295	80
3.20644	3.40295	76
3.20644	3.40295	44
3.39395	3.48391	36
3.48391	3.57387	44
3.57387	3.67883	48
3.57387	3.66383	44
3.66383	3.76879	51
3.75379	3.85875	56
3.75379	3.84376	36
3.84376	3.94871	48
3.93372	4.03867	51
3.93372	4.02368	44
4.02368	4.12863	56
4.11364	4.21859	60
4.11364	4.2036	36
4.2036	4.30856	51
4.29356	4.39852	56
4.29356	4.38352	44
4.38352	4.48848	60
4.47348	4.57844	63
4.47348	4.56345	36
4.56345	4.6684	56
4.65341	4.75836	60
4.65341	4.74337	44
4.74337	4.84832	63
4.83333	4.93829	68
4.83333	4.92329	36
4.92329	5.02825	60
5.01325	5.11821	63
5.01325	5.10321	44
5.10321	5.20817	68
5.19318	5.29813	72
5.19318	5.28314	36
5.28314	5.38809	63
5.3731	5.47805	68
5.3731	5.46306	44
5.46306	5.56801	72
5.55302	5.65798	75
5.55302	5.64298	36
5.64298	5.74794	68
5.73294	5.8379	72
5.73294	5.82291	44
5.82291	5.91287	75
5.91287	6.10102	68
5.91287	6.10102	72
5.91287	6.10102	75
5.91287	6.10102	80
5.91287	6.28918	48
5.91287	6.28918	36
6.10102	6.28918	72
6.10102	6.28918	80
6.10102	6.28918	68
6.10102	6.28918	75
6.10102	6.28918	44
6.28918	6.37914	35
6.37914	6.4841	49
6.4691	6.57406	53
6.4691	6.55906	44
6.55906	6.66402	56
6.64903	6.75398	61
6.64903	6.73899	35
6.73899	6.84394	52
6.82895	6.9339	56
6.82895	6.91891	44
6.91891	7.02387	61
7.00887	7.11383	65
7.00887	7.09883	35
7.09883	7.20379	56
7.18879	7.29375	61
7.18879	7.27876	44
7.27876	7.38371	65
7.36872	7.47367	68
7.36872	7.45868	35
7.45868	7.56363	61
7.54864	7.65359	65
7.54864	7.6386	44
7.6386	7.74356	68
7.72856	7.83352	73
7.72856	7.81852	35
7.81852	7.92348	65
7.90849	8.01344	68
7.90849	7.99845	44
7.99845	8.1034	73
8.08841	8.19336	77
8.08841	8.17837	35
8.17837	8.28332	68
8.26833	8.37329	73
8.26833	8.35829	44
8.35829	8.46325	77
8.44825	8.55321	80
8.44825	8.53821	35
8.53821	8.64317	73
8.62818	8.73313	77
8.62818	8.71814	44
8.71814	8.8081	80
8.8081	8.99502	77
8.8081	8.99502	85
8.8081	8.99502	80
8.8081	8.99502	73
8.8081	9.18195	35
8.8081	9.18195	47
8.99502	9.18195	80
8.99502	9.18195	85
8.99502	9.18195	73
8.99502	9.18195	77
8.99502	9.18195	44
9.18195	9.27191	33
9.27191	9.37686	49
9.36187	9.46682	54
9.36187	9.45183	45
9.45183	9.55678	57
9.54179	9.58677	61
9.54179	9.63175	33
9.63175	9.73671	61
9.72171	9.82667	66
9.72171	9.81167	45
9.81167	9.91663	69
9.90164	9.94662	73
9.90164	9.9916	33
9.9916	10.0966	73
10.0816	10.1865	78
10.0816	10.1715	45
10.1715	10.627	81
10.2615	10.4442	73
10.2615	10.4442	85
10.2615	10.4442	78
10.2615	10.627	33
10.4442	10.627	73
10.4442	10.627	78
10.4442	10.627	85
10.4442	10.627	45
10.627	10.717	33
10.717	10.8219	49
10.8069	10.9119	52
10.8069	10.8969	45
10.8969	11.0019	55
10.9869	11.0318	61
10.9869	11.0768	33
11.0768	11.1818	61
11.1668	11.2717	64
11.1668	11.2567	45
11.2567	11.3617	67
11.3467	11.3917	73
11.3467	11.4367	33
11.4367	11.5416	73
11.5266	11.6316	76
11.5266	11.6166	45
11.6166	11.7065	79
11.7065	11.9159	85
11.7065	11.9159	73
11.7065	11.9159	79
11.7065	12.1252	33
11.9159	12.1252	73
11.9159	12.1252	79
11.9159	12.1252	85
11.9159	12.1252	45
12.1252	12.6944	72
12.1252	12.6944	84
12.1252	12.4257	80
12.1252	12.6944	44
12.1252	12.6944	32
12.3346	12.5168	68
12.3346	12.5168	60
12.3346	15.0986	56
12.4257	12.6079	80
12.5168	12.6944	68
12.5168	12.699	60
12.6079	12.699	80
12.699	12.8812	70
12.699	12.8812	61
12.7901	12.8812	80
12.8812	13.0634	72
12.8812	13.0634	63
12.9723	13.0634	80
13.0634	13.2107	73
13.0634	13.2456	64
13.1545	13.2456	80
13.2456	13.4149	75
13.2456	13.4278	66
13.3367	13.4278	80
13.4278	13.5842	72
13.4278	13.61	63
13.5189	13.61	80
13.61	13.7837	75
13.61	13.7969	66
13.7035	13.7969	80
13.7969	13.9924	73
13.7969	13.9924	64
13.8904	13.9924	80
13.9838	14.1708	78
13.9838	14.1708	69
14.0773	14.1708	80
14.1708	14.3216	76
14.1708	14.3573	68
14.2641	14.3573	80
14.3573	14.5433	75
14.3573	14.5433	66
14.4505	14.5433	80
14.5433	14.7112	73
14.5433	14.7289	64
14.6362	14.7289	80
14.7289	14.901	72
14.7289	14.9141	63
14.8215	14.9141	80
14.9141	15.0678	69
14.9141	15.6016	61
15.0063	15.6016	79
15.0986	15.2827	68
15.0986	15.2827	60
15.0986	18.0492	56
15.1907	15.3747	80
15.2827	15.4664	68
15.2827	15.4664	60
15.3747	15.558	80
15.4664	15.6016	68
15.4664	15.6496	60
15.558	15.6496	80
15.6496	15.8019	70
15.6496	15.8324	61
15.741	15.8324	80
15.8324	16.0235	72
15.8324	16.0235	63
15.9238	16.0235	80
16.0152	16.185	73
16.0152	16.1979	64
16.1065	16.1979	80
16.1979	16.3502	75
16.1979	16.5376	66
16.2893	16.4721	80
16.3807	16.5376	72
16.3807	16.5635	63
16.4721	16.5635	80
16.5635	16.7493	75
16.5635	16.7541	66
16.6588	16.7541	80
16.7541	16.9662	73
16.7541	16.9662	64
16.8494	16.9662	80
16.9438	17.1158	78
16.9438	17.129	69
17.0364	17.129	80
17.129	17.3138	76
17.129	17.3138	68
17.2215	17.3138	80
17.3138	17.5029	75
17.3138	17.5029	66
17.406	17.5029	80
17.4983	17.6562	73
17.4983	17.6822	64
17.5903	17.6822	80
17.6822	17.8659	72
17.6822	17.8659	63
17.7742	17.8659	80
17.8659	17.9927	69
17.8659	18.1452	61
17.9575	18.1452	79
18.0492	18.1452	68
18.0492	18.1452	56
18.0492	18.1452	60
18.1406	18.2321	80
18.2321	18.3239	69
18.2321	18.3239	61
18.2321	18.3239	56
18.3239	18.4159	79
18.4159	18.5345	68
18.4159	18.5345	56
18.4159	18.5345	60
18.5083	18.6009	80
18.6009	18.7296	69
18.6009	18.7296	61
18.6009	18.7296	56
18.6939	18.7872	79
18.7872	18.9166	68
18.7872	18.9166	56
18.7872	18.9166	60
18.8806	18.9744	80
18.9744	19.1086	69
18.9744	19.1086	56
18.9744	19.1086	61
19.0685	19.1628	79
19.1628	19.3027	68
19.1628	19.3027	56
19.1628	19.3027	60
19.2575	19.3525	80
19.3525	19.471	69
19.3525	19.471	61
19.3525	19.471	56
19.4479	19.5435	79
19.5435	19.8367	68
19.5435	19.8367	80
19.5435	19.8367	56
19.5435	19.8367	60
20.0356	22.1946	56
20.0356	22.1946	32
20.0356	22.1946	44
22.1946	22.2846	37
22.2846	22.3745	44
22.3745	22.4795	49
22.3745	22.4645	44
22.4645	22.5695	52
22.5545	22.6594	56
22.5545	22.6444	37
22.6444	22.7494	49
22.7344	22.8393	52
22.7344	22.8244	44
22.8244	22.9293	56
22.9143	23.0193	61
22.9143	23.0043	37
23.0043	23.1092	52
23.0942	23.1992	56
23.0942	23.1842	44
23.1842	23.2892	61
23.2742	23.3791	64
23.2742	23.3641	37
23.3641	23.4691	56
23.4541	23.559	61
23.4541	23.544	44
23.544	23.649	64
23.634	23.739	68
23.634	23.8139	37
23.724	23.8289	61
23.8139	23.9189	64
23.8139	23.9939	44
23.9039	24.0088	68
23.9939	24.0988	73
23.9939	24.1738	37
24.0838	24.1888	64
24.1738	24.2787	68
24.1738	24.3537	44
24.2637	24.3687	73
24.3537	24.4437	76
24.3537	24.5336	37
24.4437	24.5486	76
24.5336	24.6386	80
24.5336	24.8987	44
24.6236	25.0838	85
24.7135	24.8987	76
24.7135	24.8987	88
24.7135	25.0838	37
24.7135	25.0838	49
24.8987	25.0838	76
24.8987	25.0838	88
24.8987	25.0838	44
25.0838	25.1737	34
25.1737	25.2787	52
25.2637	25.3687	55
25.2637	25.3537	49
25.3537	25.4586	61
25.4436	25.5486	64
25.4436	25.5336	46
25.5336	25.6385	54
25.6235	25.7285	61
25.6235	25.7135	49
25.7135	25.8185	64
25.8035	25.9084	67
25.8035	25.8934	46
25.8934	25.9984	61
25.9834	26.0883	64
25.9834	26.0734	49
26.0734	26.1783	66
26.1633	26.2683	73
26.1633	26.2533	46
26.2533	26.3582	64
26.3432	26.4482	66
26.3432	26.4332	49
26.4332	26.5382	73
26.5232	26.6281	76
26.5232	26.6131	46
26.6131	26.7181	67
26.7031	26.808	73
26.7031	26.793	49
26.793	26.898	76
26.883	26.988	79
26.883	26.973	46
26.973	27.0779	73
27.0629	27.1679	76
27.0629	27.1529	49
27.1529	27.2578	78
27.2429	27.3478	85
27.2429	27.3328	46
27.3328	27.4378	76
27.4228	27.5277	78
27.4228	27.5127	49
27.5127	27.9694	85
27.6027	27.7861	76
27.6027	27.7861	88
27.6027	27.9694	46
27.6027	27.9694	34
27.7861	27.9694	76
27.7861	27.9694	88
27.7861	27.9694	49
27.9694	28.1493	31
28.0594	28.1493	51
28.1493	28.2543	58
28.1493	28.3293	51
28.2393	28.3442	61
28.3293	28.4342	63
28.3293	28.5092	43
28.4192	28.5242	58
28.5092	28.6141	61
28.5092	28.6891	51
28.5991	28.7041	63
28.6891	28.7941	70
28.6891	28.869	43
28.7791	28.884	61
28.869	28.974	63
28.869	29.0489	51
28.959	29.0639	70
29.0489	29.1539	73
29.0489	29.2289	43
29.1389	29.2439	63
29.2289	29.3338	70
29.2289	29.4088	51
29.3188	29.4238	73
29.4088	29.5137	75
