OnsetTime	OffsetTime	MidiPitch
2.03847	2.16668	79
2.16668	2.29489	77
2.29489	2.4231	75
2.4231	2.55131	74
2.55131	4.62832	72
2.81104	3.07078	70
2.81104	3.85002	58
3.07078	4.62832	70
3.07078	3.59027	62
3.33053	4.62832	65
3.59027	4.10642	62
3.85002	4.36283	74
3.85002	4.62832	58
4.10642	4.62832	79
4.10642	4.62832	62
4.36283	4.62832	74
4.36283	4.62832	67
4.62832	5.92704	77
4.88806	5.92704	60
5.14781	6.13859	75
5.14781	5.6673	63
5.40755	6.13859	67
5.6673	6.13859	63
5.92704	6.13859	77
5.92704	6.18346	60
6.05525	6.18346	79
6.18346	6.69629	77
6.18346	6.69629	63
6.31166	6.69629	75
6.43987	6.69629	74
6.43987	6.69629	67
6.56808	6.69629	72
6.69629	7.21701	70
6.95269	7.21701	53
7.21701	7.98623	69
7.21701	7.72982	60
7.47342	8.49904	63
7.72982	8.24263	60
7.98623	8.76931	69
7.98623	8.76931	53
8.24263	8.76931	70
8.24263	8.76931	60
8.49904	8.76931	72
8.49904	8.76931	63
8.76931	9.29334	69
8.76931	9.29334	72
9.03133	9.29334	58
9.29334	10.0794	70
9.29334	10.0794	74
9.29334	9.81735	62
9.55534	10.0794	65
9.81735	10.0794	62
10.0794	10.4607	77
10.0794	10.8421	58
10.2065	10.8421	76
10.3336	10.8421	79
10.3336	10.8421	62
10.4607	10.8421	77
10.5878	10.8421	75
10.5878	10.8421	65
10.715	10.8421	74
10.8421	11.8811	74
10.8421	11.8811	63
11.103	11.8811	72
11.103	11.8811	67
11.3638	11.8811	62
11.6247	11.8811	70
11.6247	11.8811	65
11.8811	12.9201	74
11.8811	12.6637	63
12.142	12.9201	72
12.142	12.9201	67
12.4029	12.9201	60
12.6637	12.9201	69
12.6637	12.9201	63
12.9201	13.0478	70
12.9201	13.4308	62
12.9201	13.4308	65
13.0478	13.1754	72
13.1754	13.3031	70
13.3031	13.4308	69
13.4308	13.5584	70
13.5584	13.6861	72
13.6861	13.8137	74
13.8137	13.941	75
13.941	14.0682	76
14.0682	14.1953	77
14.1953	14.3222	76
14.3222	14.4556	77
14.4556	14.5816	79
14.5816	14.7077	77
14.7077	14.8337	75
14.8337	14.9676	74
14.9676	15.5538	74
14.9676	15.5538	63
15.223	15.4783	72
15.223	15.5538	67
15.4783	16.0336	72
15.4783	16.0336	62
15.7336	16.0336	70
15.7336	16.0336	65
15.9889	16.5294	74
15.9889	16.5294	63
16.2442	16.4996	72
16.2442	16.5294	67
16.4996	17.0102	72
16.4996	17.0102	60
16.7549	17.0102	69
16.7549	17.0102	63
17.0102	17.2655	70
17.0102	17.5208	65
17.0102	17.5208	62
17.2655	17.3932	72
17.3932	17.5208	74
17.5208	17.6485	75
17.6485	17.7762	77
17.7762	17.9038	79
17.9038	18.0315	81
18.0315	18.1591	82
18.1591	18.2868	84
18.2868	18.4143	86
18.4143	18.5414	87
18.5414	18.6685	89
18.7953	18.9219	89
19.0485	20.3416	77
19.0485	19.5431	89
19.0485	19.5657	57
19.3071	19.9763	87
19.5657	20.0829	58
19.8243	20.0829	86
20.0829	20.3416	86
20.0829	20.5969	51
20.3416	20.4692	75
20.3416	20.4692	84
20.5969	20.7248	74
20.5969	20.7248	82
20.5969	21.1329	53
20.8538	20.9934	72
20.8538	20.9934	81
21.1329	21.3949	82
21.1329	21.3949	74
21.3949	21.5257	46
21.6581	21.9292	70
21.6581	21.7925	50
21.9292	22.068	53
22.2091	22.7806	58
22.7806	22.9088	67
22.9088	23.037	65
23.037	23.1652	63
23.1652	23.2934	62
23.2934	23.5543	60
23.5543	23.8152	58
23.5543	24.5978	46
23.8152	25.4042	58
23.8152	24.3369	50
24.076	25.1264	53
24.3369	24.8621	50
24.5978	25.4042	70
24.5978	25.4042	46
24.8621	25.4042	69
24.8621	25.4042	50
25.1264	25.4042	67
25.1264	25.4042	53
25.4042	26.4839	65
25.6685	26.4839	48
25.9328	27.4871	64
25.9328	26.4615	55
26.1972	26.4839	58
26.4615	26.9743	55
26.5897	26.9743	67
26.7179	27.4871	65
26.7179	27.4871	48
26.8461	27.2307	69
26.9743	27.4871	67
26.9743	27.4871	55
27.1025	27.4871	70
27.2307	27.4871	69
27.2307	27.4871	58
27.3589	27.4871	72
27.4871	28.4537	70
27.6148	28.4537	67
27.7425	28.1233	76
27.7425	28.4537	52
27.8696	28.4537	72
27.9967	28.4537	79
27.9967	28.4537	55
28.1233	28.4537	76
28.2499	28.4537	82
28.2499	28.502	60
28.3759	28.502	81
28.502	29.5145	82
28.502	29.0057	55
28.6275	29.5145	81
28.7532	29.5145	79
28.7532	29.5145	52
28.8793	29.5145	77
29.0057	29.5145	76
29.0057	29.5145	55
29.1323	29.5145	74
