OnsetTime	OffsetTime	MidiPitch
0.500004	0.75747	58
0.500004	1.52987	51
0.75747	1.2724	58
1.2724	1.52987	58
1.52987	1.78733	58
1.52987	2.55973	51
1.78733	2.30226	58
2.30226	2.55973	58
2.55973	4.3534	75
2.55973	4.3534	79
2.55973	2.81719	58
2.55973	3.58869	51
2.81719	3.32654	58
3.32654	3.58869	77
3.32654	4.10368	74
3.32654	3.58869	58
3.58869	4.47098	80
3.58869	4.10368	77
3.58869	3.84618	58
3.58869	4.60313	51
3.84618	4.3534	58
4.10368	4.47098	77
4.10368	4.47098	74
4.3534	4.60313	75
4.3534	4.60313	79
4.3534	4.60313	58
4.60313	5.11134	72
4.60313	5.63091	75
4.60313	4.85723	58
4.60313	5.63091	51
4.85723	5.37113	58
5.11134	5.63091	72
5.11134	5.63091	68
5.37113	5.63091	58
5.63091	6.66547	67
5.63091	6.66547	70
5.63091	5.8907	58
5.63091	6.66547	51
5.8907	6.40798	58
6.40798	6.66547	58
6.66547	7.65909	72
6.66547	7.65909	68
6.66547	7.65909	65
6.66547	7.65909	51
6.9152	7.40937	58
7.16492	7.65909	74
7.40937	7.65909	77
7.40937	7.65909	58
7.65909	8.7926	68
7.65909	8.7926	74
7.65909	8.7926	65
7.65909	8.67553	51
7.91319	8.42142	58
8.1673	8.7926	70
8.42142	8.67553	58
8.67553	9.67701	67
8.67553	9.41723	72
8.67553	8.92416	58
8.67553	9.67701	51
8.92416	9.67701	74
8.92416	9.41723	58
9.17279	9.67701	79
9.41723	9.67701	72
9.41723	9.67701	58
9.67701	10.7162	67
9.67701	10.7162	70
9.67701	10.7162	51
9.67701	9.9368	58
9.9368	10.4564	58
10.4564	10.7162	58
10.7162	11.6571	74
10.7162	11.4774	70
10.7162	10.9714	62
10.7162	11.7326	55
10.9714	11.4774	62
11.4774	12.721	70
11.4774	12.8366	67
11.4774	12.721	62
11.7326	12.8366	72
11.7326	12.8366	69
11.7326	11.9834	63
11.7326	12.721	55
11.9834	12.4776	63
12.2342	12.8366	78
12.4776	12.8366	81
12.4776	12.8366	63
12.721	13.7127	70
12.721	13.7127	79
12.721	12.9665	62
12.721	13.212	55
12.9665	13.4564	74
12.9665	13.7127	62
13.212	13.7127	72
13.212	13.7127	69
13.212	13.7127	55
13.212	13.4564	63
13.4564	13.7127	74
13.4564	13.7127	63
13.7127	15.7429	67
13.7127	14.7381	70
13.7127	15.7429	55
13.7127	13.9691	62
13.9691	14.4818	62
14.4818	14.7381	62
14.7381	15.7429	70
14.7381	15.7429	77
14.7381	14.9857	53
14.7381	15.7429	62
14.9857	16.7453	53
15.4939	15.7429	79
15.4939	16.7453	69
15.4939	15.7429	63
15.7429	16.7453	75
15.7429	16.7453	60
15.9899	16.7453	77
15.9899	16.7453	62
16.2393	16.7453	79
16.2393	16.7453	63
16.491	16.7453	81
16.491	16.7453	65
16.7453	17.23	70
16.7453	17.23	77
16.7453	17.23	62
16.9982	17.2546	68
16.9982	17.2546	74
16.9982	17.2546	59
17.2546	17.7662	75
17.2546	17.7662	69
17.2546	17.7662	60
17.5087	18.8261	65
17.5087	17.7662	73
17.5087	17.7662	57
17.7662	18.6549	74
17.7662	18.8261	58
18.0237	18.6549	72
18.0237	18.6549	68
18.0237	18.6549	63
18.287	18.6549	71
18.287	18.8261	62
18.5504	18.8261	70
18.8261	20.6051	75
18.8261	20.6051	79
18.8261	19.0802	58
18.8261	19.845	51
19.0802	19.5863	58
19.5863	20.3554	74
19.5863	19.845	77
19.5863	19.845	58
19.845	20.7227	80
19.845	20.3554	77
19.845	20.1002	58
19.845	20.8548	51
20.1002	20.6051	58
20.3554	20.7227	77
20.3554	20.7227	74
20.6051	20.8548	75
20.6051	20.8548	79
20.6051	20.8548	58
20.8548	21.8826	75
20.8548	21.363	72
20.8548	21.1089	58
20.8548	21.8826	51
21.1089	21.6228	58
21.363	21.8826	68
21.363	21.8826	72
21.6228	21.8826	58
21.8826	22.9172	67
21.8826	22.9172	70
21.8826	22.1424	58
21.8826	22.9172	51
22.1424	22.6597	58
22.6597	22.9172	58
22.9172	23.9108	72
22.9172	23.9108	68
22.9172	23.9108	65
22.9172	23.9108	51
23.1669	23.6611	58
23.4166	23.9108	74
23.6611	23.9108	77
23.6611	23.9108	58
23.9108	25.0443	68
23.9108	25.0443	74
23.9108	25.0443	65
23.9108	24.9272	51
24.1649	24.6731	58
24.419	25.0443	70
24.6731	24.9272	58
24.9272	25.6689	72
24.9272	25.9287	67
24.9272	25.1759	58
24.9272	25.9287	51
25.1759	25.9287	74
25.1759	25.6689	58
25.4245	25.9287	79
25.6689	25.9287	72
25.6689	25.9287	58
25.9287	26.9679	70
25.9287	26.9679	67
25.9287	26.9679	51
25.9287	26.1885	58
26.1885	26.7081	58
26.7081	26.9679	58
26.9679	27.8983	74
26.9679	27.7217	70
26.9679	27.2231	62
26.9679	27.9725	55
27.2231	27.7217	62
27.7217	28.9609	70
27.7217	29.0765	67
27.7217	28.9609	62
27.9725	29.0765	72
27.9725	29.0765	69
27.9725	28.2233	63
27.9725	28.9609	55
28.2233	28.7175	63
28.4741	29.0765	78
28.7175	29.0765	81
28.7175	29.0765	63
28.9609	29.9526	79
28.9609	29.9526	70
28.9609	29.2064	62
28.9609	29.4519	55
29.2064	29.6963	74
29.2064	29.9526	62
29.4519	29.9526	69
29.4519	29.9526	72
29.4519	29.9526	55
29.4519	29.6963	63
29.6963	29.9526	74
29.6963	29.9526	63
29.9526	30.978	67
29.9526	30.978	70
29.9526	30.978	55
29.9526	30.209	62
30.209	30.7217	62
30.7217	30.978	62
30.978	31.4807	65
30.978	31.4807	70
30.978	31.4807	53
30.978	31.2321	62
31.2321	31.4807	62
31.4807	31.9717	72
31.4807	31.7262	66
31.4807	31.9717	63
31.7262	32.2141	70
31.7262	32.2141	75
31.7262	31.9717	66
31.9717	32.4596	72
31.9717	32.2141	66
31.9717	32.8491	63
32.2141	32.4596	70
32.2141	32.704	75
32.2141	32.704	66
32.4596	32.8491	78
32.4596	32.8491	72
32.4596	32.704	70
32.704	33.8211	75
32.704	33.8211	70
32.704	33.8211	66
32.9581	33.9882	69
32.9581	33.7295	74
