OnsetTime	OffsetTime	MidiPitch
2.12817	2.64682	60
2.12817	2.64682	36
2.64682	2.78342	56
2.64682	2.78342	32
2.78342	4.45276	53
2.78342	4.45276	29
4.45276	4.93009	56
4.45276	4.93009	32
4.93009	5.03751	60
4.93009	5.03751	36
5.03751	5.5658	65
5.03751	5.5658	41
5.5658	6.0339	68
5.5658	6.0339	44
6.0339	6.13545	72
6.0339	6.13545	48
6.13545	6.69421	77
6.13545	6.69421	53
6.70238	7.25883	65
6.70238	7.25883	56
7.25883	8.24089	72
7.25883	8.38498	55
7.25883	8.38498	60
7.25883	8.38498	52
8.18624	8.33529	74
8.33529	8.38498	72
8.38498	8.50001	74
8.38498	9.48076	53
8.38498	9.48076	59
8.38498	9.48076	56
8.4427	8.55695	76
8.50001	8.61349	74
8.55695	8.66967	76
8.61349	8.72542	74
8.66967	8.78121	76
8.72542	8.83715	74
8.78121	8.89341	76
8.83715	8.94983	74
8.89341	9.00657	76
8.94983	9.06347	74
9.00657	9.2599	76
9.06347	9.36529	74
9.15452	9.48076	72
9.2599	9.48076	76
9.36529	9.48076	74
9.48076	9.94262	72
9.48076	9.94262	55
9.48076	9.94262	52
9.48076	9.94262	60
11.5591	12.0574	61
11.5591	12.0574	37
12.0574	12.1934	58
12.0574	12.1934	34
12.1934	13.882	54
12.1934	13.882	30
13.882	14.371	58
13.882	14.371	34
14.371	14.4784	61
14.371	14.4784	37
14.4784	15.0067	66
14.4784	15.0067	42
15.0067	15.4724	70
15.0067	15.4724	46
15.4724	15.5739	73
15.4724	15.5739	49
15.5739	16.1408	78
15.5739	16.1408	54
16.1408	16.6973	66
16.1408	16.6973	58
16.6973	17.6793	73
16.6973	17.8214	53
16.6973	17.8214	61
16.6973	17.8214	56
17.6247	17.7738	75
17.7738	17.8214	73
17.8214	17.9385	75
17.8214	18.9212	57
17.8214	18.9212	60
17.8214	18.9212	54
17.8802	17.9961	77
17.9385	18.0532	75
17.9961	18.1098	77
18.0532	18.1657	75
18.1098	18.2213	77
18.1657	18.2769	75
18.2213	18.3329	77
18.2769	18.389	75
18.3329	18.4455	77
18.389	18.5029	75
18.4455	18.7004	77
18.5029	18.8057	75
18.595	18.9212	73
18.7004	18.9212	77
18.8057	18.9212	75
18.9212	19.2937	73
18.9212	19.2937	53
18.9212	19.2937	56
18.9212	19.2937	61
21.1564	22.1371	72
21.1564	22.2812	67
21.1564	22.2812	64
22.0825	22.2315	74
22.2315	22.2812	72
22.2812	22.394	74
22.2812	23.3729	68
22.2812	23.3729	71
22.2812	23.3729	65
22.3377	22.4501	76
22.394	22.5061	74
22.4501	22.5618	76
22.5061	22.6173	74
22.5618	22.6727	76
22.6173	22.7285	74
22.6727	22.7844	76
22.7285	22.8406	74
22.7844	22.897	76
22.8406	22.9546	74
22.897	23.1521	76
22.9546	23.2575	74
23.0467	23.3729	72
23.1521	23.3729	76
23.2575	23.3729	74
23.3729	23.718	72
23.3729	23.718	64
23.3729	23.718	67
23.8906	23.9864	37
24.0804	24.1756	37
24.2709	24.3673	37
24.4638	24.6501	36
25.5814	26.5621	76
25.5814	26.7054	67
25.5814	26.7054	73
25.5814	26.7054	70
26.5074	26.7054	77
26.7054	26.8167	77
26.7054	27.779	70
26.7054	27.779	73
26.7054	27.779	68
26.7611	26.8721	79
26.8167	26.9273	77
26.8721	26.9824	79
26.9273	27.0374	77
26.9824	27.0922	79
27.0374	27.1471	77
27.0922	27.2023	79
27.1471	27.2576	77
27.2023	27.3131	79
27.2576	27.3688	77
27.3131	27.5581	79
27.3688	27.6635	77
27.4527	27.779	76
27.5581	27.779	79
27.6635	27.779	77
27.779	28.125	76
27.779	28.125	67
27.779	28.125	70
27.779	28.125	73
28.298	28.3926	37
28.4873	28.5828	37
28.6783	28.7754	37
28.8725	29.0582	36
29.4297	29.6762	76
29.4297	29.6762	79
29.6762	29.9227	79
29.6762	29.9227	76
29.9227	30.1903	76
29.9227	30.1903	79
30.1903	30.6364	79
30.1903	30.6364	82
30.8594	31.1249	37
31.1249	31.4039	37
31.4039	31.706	37
31.706	32.3023	36
32.5964	32.8345	82
32.5964	32.8345	79
32.8345	33.0835	82
32.8345	33.0835	79
33.0835	34.1679	79
33.0835	33.4284	82
33.3455	33.5938	88
33.4284	34.0046	82
33.5112	33.7585	91
33.5938	33.8407	88
33.6762	34.3232	94
33.7585	33.9227	91
33.8407	34.0863	88
