OnsetTime	OffsetTime	MidiPitch
0.500004	0.767863	67
0.767863	1.22704	67
0.767863	1.22704	72
0.767863	1.22704	64
0.767863	1.22704	60
1.22704	1.3801	67
1.22704	1.3801	72
1.22704	1.3801	60
1.22704	1.3801	64
1.3801	1.99235	67
1.3801	1.99235	72
1.3801	1.99235	64
1.3801	1.99235	60
2.33326	2.60111	67
2.60111	3.0603	67
2.60111	3.0603	74
2.60111	3.0603	65
2.60111	3.0603	59
3.0603	3.21336	67
3.0603	3.21336	74
3.0603	3.21336	59
3.0603	3.21336	65
3.21336	3.8256	67
3.21336	3.8256	74
3.21336	3.8256	65
3.21336	3.8256	59
4.17443	4.4548	67
4.4548	4.74606	67
4.4548	5.03733	76
4.4548	5.03733	64
4.4548	5.03733	60
4.74606	5.03733	67
4.74606	5.04995	74
4.74606	5.04995	62
4.74606	5.04995	59
5.03733	5.34035	67
5.03733	5.34035	76
5.03733	5.34035	60
5.03733	5.34035	64
5.34035	5.64338	67
5.34035	5.64338	77
5.34035	5.64338	65
5.34035	5.64338	62
5.64338	5.93184	67
5.64338	5.93184	76
5.64338	5.93184	64
5.64338	5.93184	60
5.93184	6.25099	67
5.93184	6.25099	74
5.93184	6.25099	62
5.93184	6.25099	59
6.25099	7.41603	67
6.25099	7.41603	76
6.25099	7.41603	64
6.25099	7.41603	60
8.0612	8.34966	67
8.0612	8.63811	75
8.0612	8.63811	63
8.0612	8.63811	60
8.34966	8.63811	67
8.34966	8.65049	74
8.34966	8.65049	62
8.34966	8.65049	59
8.63811	8.93514	67
8.63811	8.93514	75
8.63811	8.93514	60
8.63811	8.93514	63
8.93514	9.23217	67
8.93514	9.23217	77
8.93514	9.23217	65
8.93514	9.23217	62
9.23217	9.53829	67
9.23217	9.53829	75
9.23217	9.53829	63
9.23217	9.53829	60
9.53829	9.85743	67
9.53829	9.85743	74
9.53829	9.85743	62
9.53829	9.85743	59
9.85743	10.4515	67
9.85743	10.4515	75
9.85743	10.4515	63
9.85743	10.4515	60
11.0455	11.6338	66
11.0455	11.6338	74
11.0455	11.6338	50
