OnsetTime	OffsetTime	MidiPitch
0.646882	1.09694	71
0.646882	1.09694	59
0.646882	1.09694	67
0.646882	1.09694	64
0.646882	1.09694	52
0.646882	1.09694	55
1.01726	1.15788	72
1.01726	1.15788	51
1.74109	2.20985	79
1.74109	2.20985	71
1.74109	2.20985	76
1.74109	2.20985	52
1.74109	2.20985	43
1.74109	2.20985	47
2.11609	2.25672	70
2.11609	2.25672	54
2.83992	3.30405	71
2.83992	3.30405	59
2.83992	3.30405	67
2.83992	3.30405	64
2.83992	3.30405	52
2.83992	3.30405	55
3.2103	3.35093	72
3.2103	3.35093	51
3.9603	4.42109	79
3.9603	4.42109	71
3.9603	4.42109	76
3.9603	4.42109	52
3.9603	4.42109	43
3.9603	4.42109	47
4.32615	4.46855	64
4.32615	4.46855	55
5.06303	5.52716	72
5.06303	5.52716	60
5.06303	5.52716	69
5.06303	5.52716	66
5.06303	5.52716	54
5.06303	5.52716	57
5.43341	5.57404	74
5.43341	5.57404	53
6.15724	6.62483	81
6.15724	6.62483	72
6.15724	6.62483	78
6.15724	6.62483	54
6.15724	6.62483	45
6.15724	6.62483	48
6.53224	6.67113	71
6.53224	6.67113	55
7.23229	7.69988	72
7.23229	7.69988	60
7.23229	7.69988	69
7.23229	7.69988	66
7.23229	7.69988	54
7.23229	7.69988	57
7.60729	7.74617	74
7.60729	7.74617	53
8.3306	8.79356	81
8.3306	8.79356	72
8.3306	8.79356	78
8.3306	8.79356	54
8.3306	8.79356	45
8.3306	8.79356	48
8.70097	8.83986	66
8.70097	8.83986	57
9.45595	9.86202	74
9.45595	9.86202	62
9.45595	9.86202	71
9.45595	9.86202	67
9.45595	9.86202	55
9.45595	9.86202	59
9.8089	9.9964	76
9.8089	9.9964	54
10.5589	11.0508	83
10.5589	11.0508	74
10.5589	11.0508	80
10.5589	11.0508	56
10.5589	11.0508	47
10.5589	11.0508	50
10.9485	11.1433	68
10.9485	11.1433	62
11.687	12.1838	76
11.687	12.1838	64
11.687	12.1838	72
11.687	12.1838	69
11.687	12.1838	57
11.687	12.1838	60
12.0667	12.2566	77
12.0667	12.2566	56
12.8361	13.3808	85
12.8361	13.3808	76
12.8361	13.3808	82
12.8361	13.3808	58
12.8361	13.3808	49
12.8361	13.3808	52
13.2257	13.4064	70
13.2257	13.4064	64
13.9443	14.5472	77
13.9443	14.5472	65
13.9443	14.5472	74
13.9443	14.5472	71
13.9443	14.5472	59
13.9443	14.5472	62
14.3729	14.6689	79
14.3729	14.6689	50
15.1842	15.7409	85
15.1842	15.8872	78
15.1842	15.7409	61
15.1842	15.7409	52
15.1842	15.7409	55
15.6128	15.8872	67
15.6128	15.8872	66
16.3445	16.9268	83
16.3445	17.0772	76
16.3445	16.9268	59
16.3445	16.9268	54
16.7731	17.0772	66
16.7731	17.0772	64
17.5681	18.4346	82
17.5681	18.3175	74
17.5681	18.4346	58
17.5681	18.4346	54
17.9211	18.3175	66
18.2471	18.4346	73
18.2471	18.4346	64
18.6221	19.1613	78
18.6221	19.1613	66
18.6221	19.1613	74
18.6221	19.1613	71
18.6221	19.1613	59
18.6221	19.1613	62
18.9925	19.18	83
18.9925	19.18	50
19.7164	20.2598	88
19.7164	20.279	81
19.7164	20.2598	85
19.7164	20.2598	61
19.7164	20.2598	52
19.7164	20.2598	57
20.0867	20.279	73
20.0867	20.279	69
20.8372	21.3138	86
20.8372	21.3929	79
20.8372	21.3138	83
20.8372	21.3138	62
20.8372	21.3138	54
20.8372	21.3138	59
21.2031	21.3929	71
21.2031	21.3929	67
21.9625	23.0821	85
21.9625	23.0821	78
21.9625	23.0821	82
21.9625	23.0307	64
21.9625	23.0821	54
21.9625	23.0821	61
22.3114	23.0307	70
22.3114	23.0821	66
22.6411	23.0821	76
23.0307	25.9578	64
23.0307	23.4719	70
23.0307	23.4719	35
23.4719	25.9578	73
23.4719	27.7567	47
24.2613	24.7163	52
24.6838	25.9578	55
25.4631	27.9035	63
25.4631	25.9578	54
25.9469	27.7567	69
25.9469	27.7567	72
25.9469	27.7567	57
28.1109	28.561	71
28.1109	28.561	59
28.1109	28.561	67
28.1109	28.561	64
28.1109	28.561	52
28.1109	28.561	55
28.4813	28.6219	72
28.4813	28.6219	51
29.2051	29.6739	79
29.2051	29.6739	71
29.2051	29.6739	76
29.2051	29.6739	52
29.2051	29.6739	43
29.2051	29.6739	47
29.5801	29.7207	70
29.5801	29.7207	54
30.2551	30.7192	71
30.2551	30.7192	59
30.2551	30.7192	67
30.2551	30.7192	64
30.2551	30.7192	52
30.2551	30.7192	55
30.6255	30.7661	72
30.6255	30.7661	51
31.3755	31.8363	79
31.3755	31.8363	71
31.3755	31.8363	76
31.3755	31.8363	52
31.3755	31.8363	43
31.3755	31.8363	47
31.7413	31.8837	64
31.7413	31.8837	55
32.4782	32.939	72
32.4782	32.939	60
32.4782	32.939	69
32.4782	32.939	66
32.4782	32.939	54
32.4782	32.939	57
32.8486	32.9841	74
32.8486	32.9841	53
33.5589	34.0265	81
33.5589	34.0265	72
33.5589	34.0265	78
33.5589	34.0265	54
33.5589	34.0265	45
33.5589	34.0265	48
33.9339	34.0728	71
33.9339	34.0728	55
34.5984	35.0659	72
34.5984	35.0659	60
34.5984	35.0659	69
34.5984	35.0659	66
34.5984	35.0659	54
34.5984	35.0659	57
34.9734	35.1122	74
34.9734	35.1122	53
35.6967	36.1596	81
35.6967	36.1596	72
35.6967	36.1596	78
35.6967	36.1596	54
35.6967	36.1596	45
35.6967	36.1596	48
36.067	36.2059	66
36.067	36.2059	57
36.7863	37.1923	74
36.7863	37.1923	62
36.7863	37.1923	71
36.7863	37.1923	67
36.7863	37.1923	55
36.7863	37.1923	59
37.1392	37.3267	76
37.1392	37.3267	54
37.8892	38.3573	83
37.8892	38.3573	74
37.8892	38.3573	80
37.8892	38.3573	56
37.8892	38.3573	47
37.8892	38.3573	50
38.2551	38.4499	68
38.2551	38.4499	62
38.9708	39.474	76
38.9708	39.474	64
38.9708	39.474	72
38.9708	39.474	69
38.9708	39.474	57
38.9708	39.474	60
39.3554	39.5477	77
39.3554	39.5477	56
40.1296	40.6744	85
40.1296	40.6744	76
40.1296	40.6744	82
40.1296	40.6744	58
40.1296	40.6744	49
40.1296	40.6744	52
40.5192	40.7	70
40.5192	40.7	64
41.2378	41.8407	77
41.2378	41.8407	65
41.2378	41.8407	74
41.2378	41.8407	71
41.2378	41.8407	59
41.2378	41.8407	62
41.6664	41.9624	79
41.6664	41.9624	50
42.4778	43.027	85
42.4778	43.165	78
42.4778	43.027	61
42.4778	43.027	52
42.4778	43.027	55
42.9064	43.165	67
42.9064	43.165	66
43.596	44.1783	83
43.596	44.3286	76
43.596	44.1783	59
43.596	44.1783	54
44.0246	44.3286	66
44.0246	44.3286	64
44.8004	45.6669	82
44.8004	45.5497	74
44.8004	45.6669	58
44.8004	45.6669	54
45.1533	45.5497	66
45.4794	45.6669	73
45.4794	45.6669	64
45.8544	46.3935	78
45.8544	46.3935	66
45.8544	46.3935	74
45.8544	46.3935	71
45.8544	46.3935	59
45.8544	46.3935	62
46.2248	46.4123	83
46.2248	46.4123	50
46.9486	47.499	88
46.9486	47.519	81
46.9486	47.499	85
