OnsetTime	OffsetTime	MidiPitch
0.500004	1.23396	76
0.500004	1.23396	36
0.500004	1.23396	48
0.678586	1.23396	77
0.767877	1.23396	79
0.857168	1.23396	81
0.945922	1.23396	83
1.03539	1.23396	84
1.12539	1.23396	86
1.21611	1.26481	88
1.21611	1.9464	64
1.21611	1.9464	60
1.21611	1.9464	55
1.31352	1.96082	88
1.40281	1.96082	89
1.4921	1.96082	91
1.58139	1.96082	93
1.67104	1.96082	95
1.76177	1.96082	96
1.85361	1.96241	98
1.9464	2.13229	100
1.9464	3.41521	64
1.9464	3.41521	60
1.9464	3.41521	55
2.331	3.43306	76
2.69911	3.43306	79
2.69911	3.43306	36
2.69911	3.43306	48
2.87768	3.43306	81
2.96697	3.43306	83
3.05626	3.43306	84
3.14501	3.43306	86
3.23448	3.43306	88
3.32448	3.43306	89
3.41521	3.4639	91
3.41521	4.14548	64
3.41521	4.14548	60
3.41521	4.14548	55
3.5126	4.16471	91
3.60189	4.16471	93
3.69118	4.16471	95
3.78047	4.16471	96
3.87012	4.16471	98
3.96085	4.16471	100
4.05269	4.16471	101
4.14548	4.49644	103
4.14548	5.62604	64
4.14548	5.62604	60
4.14548	5.60982	55
4.53009	5.62604	72
4.89372	5.62604	74
4.89372	5.62604	31
4.89372	5.62604	43
5.07229	5.62604	76
5.16158	5.62604	77
5.25087	5.62604	79
5.33962	5.62604	81
5.42909	5.62604	83
5.51909	5.62604	84
5.60982	5.65851	86
5.60982	6.3401	65
5.60982	6.3401	59
5.60982	6.3401	55
5.70722	6.34635	86
5.79651	6.34635	88
5.8858	6.34635	89
5.97509	6.34635	91
6.06475	6.34635	93
6.15547	6.34635	95
6.24731	6.35573	96
6.3401	6.46666	98
6.3401	7.8105	65
6.3401	7.8105	59
6.3401	7.79265	55
6.7151	7.34442	76
7.07656	7.8105	72
7.07656	7.8105	36
7.07656	7.8105	48
7.25513	7.8105	74
7.34442	7.8105	76
7.43371	7.8105	77
7.52246	7.8105	79
7.61193	7.8105	81
7.70193	7.8105	83
7.79265	7.84135	84
7.79265	8.52294	64
7.79265	8.52294	60
7.79265	8.52294	55
7.89006	8.53701	84
7.97935	8.53701	86
8.06864	8.53701	88
8.15793	8.53701	89
8.24758	8.53701	91
8.33831	8.53701	93
8.43015	8.53858	95
8.52294	8.74326	96
8.52294	9.99496	64
8.52294	9.97549	60
8.52294	9.99496	55
8.89794	9.52725	72
9.25939	9.99496	69
9.25939	9.99496	36
9.25939	9.99496	48
9.43796	9.99496	71
9.52725	9.99496	72
9.61654	9.99496	74
9.7053	9.99496	76
9.79476	9.99496	77
9.88476	9.99496	79
9.97549	10.0242	81
9.97549	10.7058	65
9.97549	10.7058	60
9.97549	10.7058	57
10.0729	10.7224	81
10.1622	10.7224	83
10.2515	10.7224	84
10.3408	10.7224	86
10.4304	10.7224	88
10.5211	10.7224	89
10.613	10.7224	91
10.7058	10.9679	93
10.7058	12.1632	65
10.7058	12.147	60
10.7058	12.1632	57
11.0694	11.788	72
11.4309	12.1632	67
11.4309	12.1632	36
11.4309	12.1632	48
11.6094	12.1632	69
11.6987	12.1632	71
11.788	12.1632	72
11.8768	12.1632	74
11.9662	12.1632	76
12.0562	12.1632	77
12.147	12.1957	79
12.147	12.8773	64
12.147	12.8773	60
12.147	12.8773	55
12.2444	12.896	79
12.3337	12.896	81
12.423	12.896	83
12.5122	12.896	84
12.6019	12.896	86
12.6926	12.896	88
12.7845	12.896	89
12.8773	13.0866	91
12.8773	14.3455	64
12.8773	14.3455	60
12.8773	14.3276	55
13.2523	14.3455	72
13.6115	14.3455	74
13.6115	14.3455	31
13.6115	14.3455	43
13.7901	14.3455	76
13.8794	14.3455	77
13.9687	14.3455	79
14.0575	14.3455	81
14.1469	14.3455	83
14.2369	14.3455	84
14.3276	14.3763	86
14.3276	15.0579	65
14.3276	15.0579	59
14.3276	15.0579	55
14.425	15.0735	86
14.5143	15.0735	88
14.6036	15.0735	89
14.6929	15.0735	91
14.7826	15.0735	93
14.8733	15.0735	95
14.9651	15.0735	96
15.0579	15.1845	98
15.0579	16.5251	65
15.0579	16.5251	59
15.0579	16.5105	55
15.4329	16.0622	76
15.7944	16.5251	72
15.7944	16.5251	36
15.7944	16.5251	48
15.9729	16.5251	74
16.0622	16.5251	76
16.1515	16.5251	77
16.2403	16.5251	79
16.3297	16.5251	81
16.4197	16.5267	83
16.5105	16.5592	84
16.5105	17.2466	64
16.5105	17.2466	60
16.5105	17.2466	55
16.6079	17.2642	84
16.6972	17.2642	86
16.7865	17.2642	88
16.8757	17.2642	89
16.9663	17.2642	91
17.0583	17.2642	93
17.1517	17.2642	95
17.2466	17.4501	96
17.2466	18.0158	64
17.2466	18.0158	60
17.2466	18.0158	55
18.0158	18.7465	76
18.0158	18.7465	36
18.0158	18.7465	48
18.1944	18.7465	77
18.2837	18.7465	79
18.373	18.7465	81
18.4618	18.7465	83
18.5512	18.7465	84
18.6412	18.7482	86
18.7319	18.7806	88
18.7319	19.4622	64
18.7319	19.4622	60
18.7319	19.4622	55
18.8293	19.4782	88
18.9186	19.4782	89
19.0079	19.4782	91
19.0972	19.4782	93
19.1869	19.4782	95
19.2776	19.4782	96
19.3694	19.4782	98
19.4622	19.6481	100
19.4622	20.9222	64
19.4622	20.9222	60
19.4622	20.9222	55
