OnsetTime	OffsetTime	MidiPitch
0.502391	1.67143	47
0.502391	1.67143	40
1.07144	1.69737	46
1.07144	1.69737	55
1.67143	2.8035	40
1.67143	2.8035	47
2.23746	2.82969	43
2.23746	2.82969	55
2.8035	3.94636	40
2.8035	3.94636	47
3.37493	4.08208	46
3.37493	4.08208	55
3.94636	5.11779	40
3.94636	5.11779	47
4.5178	5.11779	43
4.5178	5.11779	55
5.11779	6.24986	40
5.11779	6.24986	47
5.68382	6.27605	46
5.68382	6.27605	55
6.24986	7.41535	40
6.24986	7.41535	47
6.82129	7.44154	43
6.82129	7.44154	55
7.41535	8.58083	40
7.41535	8.58083	47
7.98678	8.72192	46
7.98678	8.72192	55
8.58083	9.82707	40
8.58083	9.82707	47
9.17489	9.82707	43
9.17489	9.82707	55
9.82707	14.5524	64
9.82707	11.0096	40
9.82707	11.0096	47
10.4096	11.0355	46
10.4096	11.0355	55
11.0096	12.1417	40
11.0096	12.1417	47
11.5756	12.1674	43
11.5756	12.1674	55
12.1417	13.3024	40
12.1417	13.3024	47
12.7024	13.4508	46
12.7024	13.4508	55
13.3024	14.5524	40
13.3024	14.5524	47
13.9274	14.5524	43
13.9274	14.5524	55
13.9535	14.564	59
14.5524	15.6635	38
14.5524	15.6635	47
14.564	19.0479	62
15.108	15.6892	46
15.108	15.6892	55
15.6635	16.8125	38
15.6635	16.8125	47
16.2243	16.8375	43
16.2243	16.8375	55
16.8125	17.9034	38
16.8125	17.9034	47
17.3579	18.0341	46
17.3579	18.0341	55
17.9034	19.0479	38
17.9034	19.0479	47
18.4538	19.0479	43
18.4538	19.0479	55
19.0479	21.3955	62
19.0479	20.2304	38
19.0479	20.2304	45
19.6479	20.2571	44
19.6479	20.2571	55
20.2304	21.3955	38
20.2304	21.3955	45
20.6673	21.4207	66
20.813	21.4207	64
20.813	21.4207	43
20.813	21.4207	55
21.3955	23.7496	62
21.3955	22.5174	38
21.3955	22.5174	45
21.9459	22.6599	44
21.9459	22.6599	54
22.5174	23.7496	38
22.5174	23.7496	45
23.1235	23.7496	57
23.1235	23.7496	42
23.1235	23.7496	54
23.7496	24.9496	59
23.7496	24.9786	31
23.7496	24.9496	43
24.3496	24.9786	52
24.3496	24.9786	55
24.9496	25.9212	59
24.9496	26.2608	43
24.9496	26.2608	50
25.5903	26.2873	51
25.5903	26.2873	55
25.9212	26.2608	59
26.2608	30.766	59
26.2608	27.4377	43
26.2608	27.4377	50
26.8377	27.5709	52
26.8377	27.5709	55
27.4377	28.5592	43
27.4377	28.5592	50
27.9985	28.5592	51
27.9985	28.5592	55
28.5592	29.6501	43
28.5592	29.6501	50
29.1047	29.6751	52
29.1047	29.6751	55
29.6501	30.741	43
29.6501	30.741	50
30.1956	30.766	51
30.1956	30.766	55
30.741	31.8421	43
30.741	31.8421	50
31.2865	31.9765	52
31.2865	31.9765	55
31.8421	32.9741	43
31.8421	32.9741	50
32.4081	32.9741	51
32.4081	32.9741	55
32.9741	34.1143	47
32.9741	34.1143	54
33.5428	34.1405	53
33.5428	34.1405	62
34.1143	35.3064	47
34.1143	35.3064	54
34.6857	35.3339	50
34.6857	35.3339	62
35.3064	37.6876	71
35.3064	36.4779	47
35.3064	36.4779	54
35.9064	36.6136	53
35.9064	36.6136	62
36.4779	37.6876	47
36.4779	37.6876	54
37.0493	37.6876	50
37.0493	37.6876	62
37.0626	37.6995	66
37.6876	38.8531	45
37.6876	38.8531	54
37.6995	42.2308	69
38.259	38.8788	53
38.259	38.8788	62
38.8531	39.9746	45
38.8531	39.9746	54
39.4138	39.9996	50
39.4138	39.9996	62
39.9746	41.0655	45
39.9746	41.0655	54
40.52	41.2012	53
40.52	41.2012	62
41.0655	42.2308	45
41.0655	42.2308	54
41.6406	42.2308	50
41.6406	42.2308	62
42.2308	44.5447	69
42.2308	43.3909	45
42.2308	43.3909	52
42.7968	43.4173	51
42.7968	43.4173	62
43.3909	44.5447	45
43.3909	44.5447	52
43.8236	44.5704	73
43.9678	44.5704	71
43.9678	44.5704	50
43.9678	44.5704	62
44.5447	46.8043	69
44.5447	45.6662	45
44.5447	45.6662	52
45.1055	45.7981	51
45.1055	45.7981	61
45.6662	46.8043	45
45.6662	46.8043	52
46.2217	46.8043	64
46.2217	46.8043	49
46.2217	46.8043	61
46.8043	47.9399	66
46.8043	47.9399	45
46.8043	47.9399	51
47.3573	47.9679	50
47.3573	47.9679	61
47.9399	48.8679	66
47.9399	49.1837	45
47.9399	49.1837	51
48.5521	49.2096	49
48.5521	49.2096	61
48.8679	49.1837	66
49.1837	53.6499	66
49.1837	50.3211	45
49.1837	50.3211	51
49.7497	50.4543	50
49.7497	50.4543	61
50.3211	51.4426	45
50.3211	51.4426	51
50.8819	51.4426	49
50.8819	51.4426	61
51.4426	52.5335	45
51.4426	52.5335	51
51.9881	52.5585	50
51.9881	52.5585	61
52.5335	53.6244	45
52.5335	53.6244	51
53.079	53.6499	49
53.079	53.6499	61
53.6244	54.7488	45
53.6244	54.7488	51
54.18	54.8807	50
54.18	54.8807	60
54.7488	55.8758	45
54.7488	55.8758	51
55.3043	55.8758	48
55.3043	55.8758	60
55.8758	57.0025	42
55.8758	57.0025	51
56.4418	57.0275	50
56.4418	57.0275	57
57.0025	58.114	42
57.0025	58.114	51
57.548	58.1395	48
57.548	58.1395	57
58.114	59.2251	42
58.114	59.2251	51
58.6696	59.3609	50
58.6696	59.3609	57
59.2251	60.368	42
59.2251	60.368	51
59.7966	60.368	48
59.7966	60.368	57
60.368	61.6202	42
60.368	61.6202	51
60.968	61.6464	50
60.968	61.6464	57
61.6202	69.6735	69
61.6202	62.8058	42
61.6202	62.7799	51
62.1916	62.8058	48
62.1916	62.8058	57
62.7799	63.9119	41
62.7799	63.9119	51
63.3459	64.0464	50
63.3459	64.0464	57
63.9119	65.044	41
63.9119	65.044	51
64.478	65.044	47
64.478	65.044	57
65.044	66.1761	40
65.044	66.1761	48
65.61	66.2025	47
65.61	66.2025	57
66.1761	67.3299	40
66.1761	67.3299	48
66.753	67.3556	45
66.753	67.3556	57
67.3299	68.4514	40
67.3299	68.4514	48
67.8906	68.5884	47
67.8906	68.5884	57
68.4514	69.6735	40
68.4514	69.6735	48
69.0283	69.6735	64
69.0283	69.6735	45
69.0283	69.6735	57
69.6735	70.811	40
69.6735	70.811	48
69.6971	74.4648	65
70.2395	70.8371	47
70.2395	70.8371	57
70.811	71.9538	40
70.811	71.9538	48
71.3824	71.9813	45
71.3824	71.9813	57
71.9538	73.1765	40
71.9538	73.1765	48
72.5579	73.3265	47
72.5579	73.3265	57
73.1765	74.4648	40
