OnsetTime	OffsetTime	MidiPitch
0.500004	15.3896	37
0.842992	1.46396	65
1.16396	3.01098	56
1.46396	2.70168	65
1.76397	3.61917	61
2.07324	3.93335	53
2.38251	4.27138	49
2.70168	3.31402	65
3.01098	4.91994	56
3.31402	4.60353	65
3.61917	5.514	61
3.93335	5.81102	53
4.27138	11.0623	77
4.27138	6.10805	49
4.60353	5.21697	65
4.91994	6.7266	56
5.21697	6.41732	65
5.514	7.36488	61
5.81102	7.68075	53
6.10805	15.3896	75
6.10805	8.01833	49
6.41732	7.04574	65
6.7266	10.4623	73
6.7266	8.66196	56
7.04574	7.68075	65
7.36488	9.25019	61
7.68075	8.34995	65
7.68075	9.55323	53
8.01833	15.3896	68
8.01833	9.85627	49
8.34995	8.95608	65
8.66196	10.4623	56
8.95608	10.1593	65
9.25019	11.0623	61
9.55323	11.3701	53
9.85627	11.6981	49
10.1593	10.7623	65
10.4623	15.059	73
10.4623	12.3174	56
10.7623	12.0078	65
11.0623	14.4364	77
11.0623	12.9115	61
11.3701	13.2085	53
11.6981	15.3896	82
11.6981	13.5055	49
12.0078	12.6145	65
12.3174	14.1303	56
12.6145	13.8148	65
12.9115	14.7425	61
13.2085	15.059	53
13.5055	15.3896	49
13.8148	15.3896	80
13.8148	14.4364	65
14.1303	15.3896	76
14.1303	15.3896	56
14.4364	15.3896	77
14.4364	15.3896	65
14.7425	15.3896	72
14.7425	15.3896	61
15.059	15.3896	73
15.059	15.3896	53
15.3896	19.016	69
15.3896	19.016	37
15.7146	16.323	66
16.026	17.7911	57
16.323	17.5026	66
16.6201	18.3911	63
16.9171	19.016	54
17.2141	19.016	49
17.5026	18.0911	66
17.7911	18.6962	57
18.0911	19.016	66
18.3911	19.016	63
18.6962	19.016	57
19.016	22.8759	70
19.016	20.8792	49
19.3422	19.9609	66
19.6548	21.5099	58
19.9609	21.2018	66
20.267	22.1383	63
20.5731	22.4626	54
20.8792	22.8759	49
21.2018	22.8759	84
21.2018	21.8208	66
21.5099	22.8759	82
21.5099	22.8759	58
21.8208	22.7953	77
21.8208	22.8759	66
22.1383	22.8759	80
22.1383	22.8759	63
22.4626	22.8759	78
22.4626	22.8759	54
22.7953	24.697	77
22.7953	24.697	48
23.1245	23.745	66
23.4419	24.697	57
23.745	24.697	66
24.048	25.0329	75
24.048	24.697	63
24.3511	24.697	54
24.6541	26.5726	46
24.9571	25.2602	77
24.9571	25.5756	66
25.0329	25.1844	75
25.1086	26.5726	74
25.1844	26.5726	75
25.2602	26.5726	77
25.2602	26.5726	58
25.5756	26.5726	66
25.8911	26.3825	78
25.8911	26.5726	63
26.212	26.5726	54
26.3825	26.5726	78
26.5597	28.4405	90
26.5597	28.4405	45
26.8694	27.4887	66
27.179	28.4405	57
27.4887	28.4405	66
27.6435	28.4405	87
27.7878	28.4405	85
27.7878	28.4405	61
27.932	28.4405	81
28.0762	28.4405	78
28.0762	28.4405	51
28.2205	28.4405	75
28.3647	28.5162	72
28.3647	30.2741	44
28.6677	30.2741	73
28.6677	29.2986	66
28.9832	30.2741	74
28.9832	29.9306	56
29.2986	30.2741	75
29.2986	30.2741	66
29.6141	30.2741	77
29.6141	30.2741	60
29.9306	30.2741	78
29.9306	30.2741	56
30.2612	32.2374	79
30.2612	32.1554	37
30.5708	31.1902	64
30.8805	32.2374	55
31.1902	32.2374	64
31.4998	32.2374	58
31.6637	31.9915	80
31.8276	32.2374	82
31.8276	32.2374	53
31.9915	32.2374	80
32.1554	35.9843	77
32.1554	34.0841	37
32.4832	33.1141	65
32.7987	34.0841	56
33.1141	34.0841	65
33.4296	34.0841	61
33.7461	34.0841	53
34.0708	35.5916	73
34.0708	35.9107	46
34.3899	35.0061	65
34.7091	35.9107	75
34.7091	35.9843	78
34.7091	35.9843	58
35.0061	35.9843	65
35.3031	35.9843	61
35.5916	35.9843	70
35.5916	35.9843	73
35.5916	35.9843	53
35.9107	37.105	72
35.9107	37.7462	75
35.9107	37.7462	46
36.2049	36.802	65
36.499	37.7591	73
36.499	37.7591	77
36.499	37.7591	57
36.802	37.7591	65
37.105	37.7591	69
37.105	37.7462	72
37.105	37.7591	63
37.4215	37.7591	53
37.7462	39.173	72
37.7462	39.6682	75
37.7462	39.6682	46
38.0559	38.6626	65
38.3656	39.3787	70
38.3656	38.8111	73
38.3656	39.6682	58
38.6626	39.6682	65
38.8111	38.9759	82
38.8111	38.9759	73
38.9759	39.6682	73
38.9759	39.6682	82
38.9759	39.6682	61
39.173	39.6682	72
39.173	39.6682	80
39.2745	39.6682	53
39.3787	39.5892	70
39.3787	39.6682	78
39.5892	40.407	70
39.5892	40.8111	77
39.5892	41.4656	41
39.905	40.508	65
40.205	41.4656	69
40.205	41.4656	60
40.407	41.4656	70
40.508	41.4656	65
40.6091	41.4656	71
40.8111	41.0209	77
40.8111	41.4656	72
40.8111	41.4656	63
41.0209	41.2358	77
41.0209	41.4523	73
41.1276	41.4656	57
41.2358	41.4523	77
41.2358	41.4656	75
41.4523	42.9731	73
41.4523	43.3658	77
41.4523	43.2922	46
41.7714	42.3876	65
42.0906	43.3658	75
42.0906	43.3658	78
42.0906	43.3658	58
42.3876	43.3658	65
42.6846	43.3658	61
42.9731	43.2922	70
42.9731	43.2922	73
42.9731	43.3658	53
43.2922	43.4025	70
43.2922	43.4025	73
43.2922	45.1277	46
43.4025	44.0825	73
43.4025	43.8069	77
43.5863	44.1835	65
43.7334	44.2845	72
43.7334	43.8805	75
43.8069	44.4865	77
43.8805	44.2845	75
43.8805	45.1406	57
44.0825	45.1406	70
44.0825	44.4865	73
44.1835	45.1406	65
44.2845	44.9654	72
44.2845	45.1277	75
44.4865	45.1406	73
44.4865	45.1406	77
44.4865	45.1406	63
44.803	45.1406	53
44.9654	45.1406	69
44.9654	45.1277	72
45.1277	46.9953	72
45.1277	46.9953	75
45.1277	46.9238	46
45.4374	46.0441	65
45.747	46.9953	70
45.747	46.3411	73
45.747	46.9953	58
46.0441	46.9953	65
46.3411	46.9953	73
46.3411	47.498	82
46.3411	46.9953	61
46.6381	46.9953	53
46.9238	48.7586	74
46.9238	48.7586	46
47.2096	47.7	80
47.2096	48.7586	83
47.2096	47.801	68
47.498	47.9021	73
47.498	47.9021	82
47.498	48.7586	58
47.7	48.1041	80
47.7	48.7586	81
47.801	48.7586	68
47.9021	48.7586	73
47.9021	48.5829	82
48.1041	48.7586	89
48.1041	48.5829	80
48.1041	48.7586	62
48.4206	48.7586	53
48.5829	48.7985	80
48.5829	48.7453	82
48.7453	50.5852	82
48.7453	49.9776	78
48.7453	50.6588	39
49.0644	49.6806	66
49.3836	50.6588	80
49.3836	50.6588	83
49.3836	50.6588	58
49.6806	50.6588	66
49.9776	50.6588	75
49.9776	50.5852	78
49.9776	50.6588	63
50.2661	50.6588	54
50.5852	50.9774	78
50.5852	50.9774	82
50.5852	52.4207	51
50.7813	51.1735	77
50.7813	51.1735	80
50.8793	51.4765	68
50.9774	51.3755	78
50.9774	51.7795	82
51.1735	51.5775	77
51.1735	51.5775	80
51.1735	52.4336	58
51.3755	52.4336	75
51.3755	51.7795	78
51.4765	52.4336	68
51.5775	52.2584	77
51.5775	52.4207	80
51.7795	52.4336	78
51.7795	52.4336	82
51.7795	52.4336	62
52.096	52.4336	53
52.2584	52.4207	77
52.2584	52.4336	74
52.4207	53.8518	77
52.4207	54.3543	80
52.4207	54.3543	51
52.7304	53.3371	66
53.04	54.0618	75
53.04	53.4856	78
53.04	54.3543	58
53.3371	54.3543	66
53.4856	53.6522	87
53.4856	53.6522	78
53.6522	54.3543	78
53.6522	54.3543	87
53.6522	54.3543	63
53.8518	54.3543	77
53.8518	54.3543	85
53.9554	54.3543	54
54.0618	54.3543	75
54.0618	54.3543	83
54.2746	55.2937	74
54.2746	54.4873	82
54.2746	56.1648	46
54.4873	56.1648	70
54.4873	54.6937	82
54.5937	55.1937	68
54.6937	56.1648	71
54.6937	54.8937	82
54.8937	56.1648	72
54.8937	55.0937	82
54.8937	56.1648	58
55.0937	56.1648	73
55.0937	55.2937	82
55.1937	56.1648	68
55.2937	56.1648	74
55.2937	55.4948	82
55.4948	55.7042	82
55.4948	56.1648	75
55.4948	56.1648	62
55.7042	55.9228	82
55.7042	56.1648	76
55.8123	56.1648	53
55.9228	56.1515	82
55.9228	56.1648	77
56.1515	56.6621	78
56.1515	56.6621	82
56.1515	58.0688	39
56.4068	56.9086	80
56.4068	57.3838	83
56.4706	57.0868	66
56.6621	57.1462	82
56.6621	57.1462	78
56.7898	58.0688	58
56.9086	58.0688	77
56.9086	57.3838	80
57.0868	58.0688	66
57.1462	57.8319	78
57.1462	58.0688	82
57.3838	58.0688	80
57.3838	58.0688	83
57.3838	58.0688	63
57.6723	58.0688	54
57.8319	57.9915	78
57.8319	57.9915	75
57.9915	58.1461	75
57.9915	58.1461	78
57.9915	59.8962	51
58.1461	58.6703	78
58.1461	58.6703	82
58.3007	58.952	68
58.4554	58.61	80
58.4554	58.61	77
58.61	58.7305	77
58.61	58.7305	80
58.61	59.9101	58
58.6703	59.4649	82
58.6703	58.851	78
58.7305	59.154	80
58.7305	59.154	77
58.851	59.9101	75
58.851	59.4649	78
58.952	59.9101	68
59.154	59.255	77
59.154	59.255	80
59.255	59.788	77
59.255	59.9101	80
59.255	59.9101	62
59.4649	59.9101	78
59.4649	59.9101	82
59.5715	59.9101	53
59.788	59.8962	74
59.788	59.8962	77
59.8962	61.8168	74
59.8962	60.0629	77
59.8962	61.8168	51
60.0629	61.8168	77
60.0629	61.8168	80
60.2175	60.8238	66
60.5268	61.8168	58
60.8238	61.8168	66
61.1209	63.6296	75
61.1209	62.3572	78
61.1209	61.8168	63
61.4179	61.8168	54
61.737	63.2397	45
62.0562	62.6524	61
62.3572	63.6296	74
62.3572	62.9465	78
62.3572	63.6296	51
62.6524	63.6296	61
62.9465	63.5507	78
62.9465	63.6296	73
62.9465	63.6296	54
63.2397	63.6296	45
63.5507	65.53	72
63.5507	65.53	78
63.5507	65.53	44
63.8665	64.4605	60
64.1635	65.0963	51
64.4605	65.53	69
64.4605	65.53	81
64.4605	65.53	60
64.7902	67.3827	68
64.7902	67.3827	80
64.7902	65.53	54
65.0963	65.53	51
65.4025	67.3827	45
65.7086	66.3402	57
66.0244	67.3827	66
66.0244	67.3827	78
66.0244	67.0016	51
66.3402	67.3827	57
66.6657	67.3827	61
66.6657	67.3827	73
66.6657	67.3827	54
67.0016	67.3827	51
67.3464	69.2186	60
67.3464	69.2186	72
67.3464	69.2186	44
67.6552	68.2623	56
67.9587	68.8693	51
68.2623	69.2186	56
68.5658	69.2186	68
68.5658	69.2186	54
68.8693	69.2186	51
69.1933	69.598	69
69.1933	70.7313	49
69.3956	71.1065	71
69.4968	70.0976	64
69.598	70.0976	69
69.8003	71.1065	68
69.8003	71.1065	54
70.0976	71.1065	69
70.0976	71.1065	64
70.4126	71.1065	76
70.4126	71.1065	57
70.7313	71.1065	49
70.899	71.0706	75
71.0706	72.9664	75
71.0706	72.9664	48
71.402	71.9968	63
71.6933	72.6171	54
71.9968	72.9664	69
71.9968	72.9664	81
71.9968	72.9664	63
72.3171	73.5481	68
72.3171	73.5481	80
72.3171	72.9664	56
72.6171	72.9664	54
72.9411	74.8666	45
73.2446	73.8685	61
73.5481	73.8685	68
73.5481	73.8685	80
73.5481	74.5037	51
73.7083	74.0287	66
73.7083	74.0287	78
73.8685	74.8666	68
73.8685	74.8666	80
73.8685	74.8666	61
74.0287	74.8666	66
74.0287	74.8666	78
74.1888	74.5037	64
74.1888	74.5037	76
74.1888	74.8666	54
74.3445	74.6656	63
74.3445	74.6656	75
74.5037	74.8666	64
74.5037	74.8666	76
74.5037	74.8666	51
74.6656	74.8666	63
74.6656	74.8666	75
74.8303	76.7024	60
74.8303	76.7024	72
74.8303	76.3532	44
75.1391	75.7461	56
75.4426	76.7024	51
75.7461	76.7024	56
76.0497	76.7024	54
76.3532	76.7024	68
76.3532	76.7024	44
76.6772	77.0818	69
76.6772	78.2153	49
76.8795	78.5904	71
76.9807	77.5815	64
77.0818	77.5815	69
77.2842	78.5904	68
77.2842	78.5904	54
77.5815	77.7345	69
77.5815	78.5904	64
77.7345	78.5904	69
77.8965	78.5904	76
77.8965	78.5904	57
78.2153	78.5904	49
78.3829	78.5545	75
78.5545	80.425	75
78.5545	80.4503	48
78.8859	79.4807	63
79.1772	80.101	54
79.4807	80.4503	63
79.801	80.4503	57
80.101	80.4503	54
80.425	84.1763	75
80.425	82.2805	47
80.7285	81.3355	63
81.032	81.9539	54
81.3355	82.3164	63
81.6391	82.3164	57
81.9539	82.3164	54
82.2805	84.151	47
82.6119	83.2067	63
82.9032	83.827	53
83.2067	84.1763	63
83.527	84.1763	56
83.827	86.0355	53
84.151	86.0355	74
84.151	86.0355	47
84.4545	85.0633	62
84.758	85.6783	52
85.0633	86.0355	62
85.3669	86.0355	56
85.6783	86.0355	52
85.9995	87.87	73
85.9995	87.87	45
86.331	86.9257	61
86.6222	87.546	52
86.9257	87.8953	61
87.246	87.8953	57
87.546	87.8953	52
87.87	91.6061	73
87.87	89.7614	45
88.1735	88.7806	61
88.4771	89.399	51
88.7806	89.7614	61
89.0841	89.7614	54
89.399	89.7614	51
89.7255	91.5792	44
90.057	90.6517	60
90.3482	91.6061	72
90.3482	91.6061	51
90.6517	91.6061	60
90.9553	92.2244	70
90.9553	91.6061	54
91.2553	91.6061	49
91.5792	93.6494	44
91.9018	93.6494	68
91.9018	92.5489	56
92.2244	93.6494	70
92.2244	93.6494	48
92.5489	93.6494	72
92.5489	93.6494	56
92.8842	93.6494	73
92.8842	93.6494	54
93.231	93.6494	75
93.231	93.6494	51
93.5904	100.448	77
93.5904	104.913	37
93.9225	94.536	65
94.2389	96.0456	56
94.536	95.7363	65
94.833	96.674	61
95.13	96.9899	53
95.427	104.913	75
95.427	97.3541	49
95.7363	96.3549	65
96.0456	99.817	73
96.0456	98.0166	56
96.3549	96.9899	65
96.674	98.6049	61
96.9899	97.7046	65
96.9899	98.9079	53
97.3541	104.913	68
97.3541	99.211	49
97.7046	98.3108	65
98.0166	99.817	56
98.3108	99.514	65
98.6049	100.448	61
98.9079	100.769	53
99.211	101.108	49
99.514	100.133	65
99.817	104.545	73
99.817	101.727	56
100.133	101.418	65
100.448	103.872	77
100.448	102.322	61
100.769	102.619	53
101.108	104.913	82
101.108	102.916	49
101.418	102.024	65
101.727	103.547	56
102.024	103.225	65
102.322	104.203	61
102.619	104.545	53
102.916	104.913	49
103.225	104.913	80
103.225	103.872	65
103.547	104.913	76
103.547	104.913	56
103.872	104.913	77
103.872	104.913	65
104.203	104.913	72
104.203	104.913	61
104.545	104.913	73
104.545	104.913	53
104.913	108.699	69
104.913	108.699	37
105.264	105.904	66
105.592	107.461	57
105.904	107.154	66
106.217	108.699	61
106.533	108.379	54
106.848	108.699	49
107.154	107.767	66
107.461	108.699	57
107.767	108.699	66
108.073	108.699	62
108.379	108.699	54
108.699	112.594	70
108.699	110.562	49
109.025	109.644	66
109.338	111.215	58
109.644	110.899	66
109.95	111.85	63
110.256	112.178	54
110.562	112.594	49
110.899	112.594	84
110.899	111.529	66
111.215	112.594	82
111.215	112.594	58
111.529	112.514	77
111.529	112.594	66
111.85	112.594	80
111.85	112.594	63
112.178	112.594	78
112.178	112.594	54
112.514	114.415	77
112.514	114.415	48
112.843	113.463	66
113.16	114.415	57
113.463	114.415	66
113.766	115.003	75
113.766	114.415	63
114.069	114.415	54
114.373	116.37	46
114.68	116.37	74
114.68	115.333	66
115.003	116.37	75
115.003	116.37	58
115.333	116.37	76
115.333	116.37	66
115.662	116.37	77
115.662	116.37	63
115.992	116.37	54
116.165	116.252	78
116.252	116.37	78
116.358	118.238	90
116.358	118.238	45
116.667	117.287	66
116.977	118.238	57
117.183	118.238	87
117.287	118.238	66
117.39	118.238	85
117.586	118.238	81
117.586	118.238	61
117.778	118.238	78
117.874	118.238	51
117.97	118.238	75
118.163	120.003	72
118.163	120.138	44
118.466	119.104	66
118.623	120.138	68
118.781	120.138	75
118.781	120.138	56
118.889	120.138	84
118.996	120.138	69
119.104	120.138	76
119.104	120.138	66
119.211	120.138	85
119.319	120.138	70
119.426	120.138	77
119.426	120.138	60
119.534	120.138	86
119.642	120.138	71
119.754	120.138	78
119.754	120.138	51
119.874	120.138	87
120.003	120.138	72
120.138	121.994	88
120.138	121.994	79
120.138	121.994	37
120.461	121.056	68
120.746	121.994	56
121.056	121.365	89
121.056	121.365	80
121.056	121.994	68
121.365	121.884	89
121.365	121.884	80
121.365	121.994	61
121.571	121.994	90
121.571	121.994	82
121.674	121.994	53
121.884	121.994	80
121.884	121.994	89
121.994	123.869	89
121.994	123.869	80
121.994	123.869	49
122.158	123.869	85
122.158	123.869	77
122.323	122.946	65
122.641	123.548	56
122.946	123.869	65
123.243	123.869	61
123.548	123.869	56
123.869	125.68	85
123.869	125.68	76
123.869	125.725	49
124.192	124.788	64
124.491	125.725	86
124.491	125.725	78
124.491	125.383	52
124.788	125.725	64
125.085	125.725	81
125.085	125.725	73
125.085	125.725	57
125.383	125.725	52
125.68	126.051	85
125.68	126.051	76
125.68	127.45	50
125.98	126.122	74
125.98	126.122	83
125.98	126.551	64
126.051	126.837	76
126.051	126.837	85
126.122	126.551	74
126.122	126.551	83
126.265	127.45	82
126.265	127.45	73
126.265	127.132	52
126.551	127.45	74
126.551	127.45	83
126.551	127.45	64
126.837	127.45	85
126.837	127.45	76
126.837	127.45	56
127.132	127.45	52
127.287	127.45	71
127.287	127.45	80
127.45	129.307	74
127.45	129.344	83
127.45	129.344	49
127.767	128.361	64
128.064	128.989	52
128.361	128.669	81
128.361	128.669	73
128.361	129.344	64
128.669	128.882	73
128.669	129.344	81
128.669	129.344	57
128.882	129.095	73
128.882	129.344	80
128.989	129.344	52
129.095	129.344	73
129.095	129.344	78
129.307	131.169	74
129.307	130.223	76
129.307	131.169	44
129.616	130.223	64
129.92	130.841	52
130.223	131.169	70
130.223	130.53	76
130.223	131.169	64
130.53	131.169	71
130.53	130.841	76
130.53	131.169	62
130.841	131.169	72
130.841	131.156	76
130.841	131.169	52
131.156	132.677	73
131.156	133.073	76
131.156	133.073	45
131.475	132.091	64
131.794	132.677	52
132.091	133.073	64
132.388	133.073	74
132.388	133.073	78
132.388	133.073	61
132.677	133.073	69
132.677	132.996	73
132.677	133.073	52
132.996	133.15	68
132.996	133.15	73
132.996	134.914	40
133.15	133.675	73
133.15	133.675	76
133.305	133.956	64
133.46	133.614	74
133.46	133.614	71
133.614	133.735	74
133.614	133.735	71
133.614	134.914	56
133.675	134.469	76
133.675	133.855	73
133.735	134.057	74
133.735	134.057	71
133.855	134.914	70
133.855	134.469	73
133.956	134.914	64
134.057	134.259	71
134.057	134.259	74
134.259	134.792	71
134.259	134.901	74
134.259	134.914	62
134.469	134.914	73
134.469	134.914	76
134.576	134.914	52
134.792	134.914	68
134.792	134.901	71
134.901	136.821	74
134.901	136.821	71
134.901	136.821	45
135.222	135.828	64
135.531	136.125	73
135.531	136.821	69
135.531	136.821	57
135.828	136.821	64
136.125	137.362	73
136.125	137.362	81
136.125	136.821	61
136.422	136.821	52
136.741	138.569	39
137.061	137.657	66
137.362	137.951	73
137.362	137.951	81
137.362	138.569	57
137.657	138.569	66
137.951	138.569	81
137.951	138.555	73
137.951	138.569	61
138.244	138.569	51
138.555	140.821	73
138.555	140.077	80
138.555	140.396	44
138.876	139.483	66
139.186	140.476	81
139.186	140.476	56
139.483	140.476	66
139.78	140.476	61
140.077	140.476	80
140.077	140.476	51
140.396	141.439	78
140.396	142.231	44
140.609	142.079	75
140.715	141.339	66
140.821	142.245	73
141.032	142.079	72
141.032	142.245	56
141.237	142.245	76
141.339	142.245	66
141.439	142.231	78
141.635	142.245	80
141.635	142.245	60
141.928	142.245	51
142.079	142.245	72
142.079	142.231	75
142.231	144.166	75
142.231	143.979	78
142.231	144.166	44
142.552	143.159	64
142.861	144.166	56
143.06	144.166	73
143.06	143.36	76
143.159	144.166	64
143.36	143.467	76
143.36	143.467	85
143.467	144.086	76
143.467	144.166	85
143.467	144.166	61
143.667	144.086	80
143.667	144.166	83
143.767	144.166	52
143.979	144.166	78
143.979	144.166	81
144.086	144.192	76
144.086	144.192	80
144.086	146.024	32
144.296	146.024	68
144.296	144.493	80
144.394	144.995	64
144.493	146.024	69
144.493	144.692	80
144.692	146.024	70
144.692	144.893	80
144.692	146.024	56
144.893	146.024	71
144.893	145.098	80
144.995	146.024	64
145.098	146.024	72
145.098	145.309	80
145.309	146.024	73
145.309	145.436	80
145.309	146.024	61
145.436	146.024	74
145.436	145.569	80
145.569	146.024	75
145.569	145.708	80
145.637	146.024	52
145.708	146.024	76
145.708	145.855	80
