OnsetTime	OffsetTime	MidiPitch
0.500004	0.80001	62
0.500004	0.80001	38
0.500004	0.80001	50
0.80001	1.38967	64
0.80001	1.38967	52
0.80001	1.38967	40
0.948148	1.24298	62
0.948148	1.24298	50
0.948148	1.24298	38
1.09629	1.43541	61
1.09629	1.43541	37
1.09629	1.43541	49
1.24298	1.43541	62
1.24298	1.43541	38
1.24298	1.43541	50
1.38967	1.46698	64
1.38967	1.46698	52
1.38967	1.46698	40
1.69894	1.77548	67
1.69894	1.77548	55
1.69894	1.77548	43
2.00391	2.08103	66
2.00391	2.08103	42
2.00391	2.08103	54
2.3124	2.5749	62
2.3124	2.5749	38
2.3124	2.5749	50
2.5749	3.22697	66
2.5749	3.22697	54
2.5749	3.22697	42
2.61239	3.1999	64
2.61239	3.1999	52
2.61239	3.1999	40
2.75981	3.05356	62
2.75981	3.05356	38
2.75981	3.05356	50
2.90722	3.22697	61
2.90722	3.22697	37
2.90722	3.22697	49
3.05356	3.22697	62
3.05356	3.22697	50
3.05356	3.22697	38
3.1999	3.27722	64
3.1999	3.27722	40
3.1999	3.27722	52
3.50918	3.58532	67
3.50918	3.58532	43
3.50918	3.58532	55
3.81376	3.89048	66
3.81376	3.89048	42
3.81376	3.89048	54
4.12065	4.42066	62
4.12065	4.42066	50
4.12065	4.42066	38
4.42066	5.00891	64
4.42066	5.00891	52
4.56844	5.00891	66
4.56844	5.00891	54
4.71623	5.00891	69
4.71623	5.00891	57
4.86257	5.00891	72
4.86257	5.00891	60
5.00891	5.60149	76
5.00891	5.60149	64
5.3052	5.60149	79
5.3052	5.60149	67
5.60149	5.90607	78
5.60149	5.90607	66
5.90607	6.26509	62
5.90607	6.26509	66
5.90607	6.26509	78
5.90607	6.80087	59
5.90607	6.80087	55
6.20383	6.80087	79
6.20383	6.80087	67
6.35235	6.80087	66
6.35235	6.80087	78
6.50086	6.80087	76
6.50086	6.80087	64
6.65086	6.80087	62
6.65086	6.80087	74
6.80087	7.11114	67
6.80087	7.10312	73
6.80087	7.11114	55
6.80087	7.10312	61
6.80087	7.11114	57
7.06535	7.11114	74
7.10312	7.54943	73
7.10312	7.54943	61
7.25128	7.69943	69
7.25128	7.69943	57
7.39943	7.69943	71
7.39943	7.69943	59
7.54943	7.69943	73
7.54943	7.69943	61
7.69943	8.00478	66
7.69943	8.00478	74
7.69943	8.00478	54
7.69943	8.00478	57
7.69943	8.00478	62
8.00478	8.59518	64
8.00478	8.59518	40
8.00478	8.59518	52
8.15291	8.44812	62
8.15291	8.44812	50
8.15291	8.44812	38
8.30105	8.61337	61
8.30105	8.61337	37
8.30105	8.61337	49
8.44812	8.61337	62
8.44812	8.61337	38
8.44812	8.61337	50
8.59518	8.67312	64
8.59518	8.67312	52
8.59518	8.67312	40
8.90688	8.98303	67
8.90688	8.98303	55
8.90688	8.98303	43
9.21146	9.28839	66
9.21146	9.28839	42
9.21146	9.28839	54
9.51915	9.78165	62
9.51915	9.78165	38
9.51915	9.78165	50
9.78165	10.4248	66
9.78165	10.4248	54
9.78165	10.4248	42
9.81914	10.4067	64
9.81914	10.4067	52
9.81914	10.4067	40
9.96656	10.2603	62
9.96656	10.2603	38
9.96656	10.2603	50
10.114	10.4248	61
10.114	10.4248	37
10.114	10.4248	49
10.2603	10.4248	62
10.2603	10.4248	50
