OnsetTime	OffsetTime	MidiPitch
0.500004	1.78433	45
0.928581	1.35111	60
0.928581	1.35111	52
1.35111	2.2129	52
1.35111	2.2129	60
1.78433	3.05741	45
2.2129	2.63219	52
2.2129	2.63219	60
2.63219	3.05741	60
2.63219	3.05741	52
3.05741	3.63208	64
3.05741	3.63208	45
3.49032	3.63208	66
3.49032	3.9027	52
3.49032	3.9027	60
3.6965	3.74805	68
3.9027	4.11308	69
3.9027	4.32346	60
3.9027	4.32346	52
4.32346	4.86039	69
4.32346	4.86039	45
4.7502	4.86039	71
4.7502	5.15396	62
4.7502	5.15396	52
4.95209	5.00255	68
5.15396	5.26149	66
5.15396	5.58407	62
5.15396	5.58407	52
5.5303	5.58407	69
5.58407	5.80304	66
5.58407	6.02202	45
6.02202	8.14848	64
6.02202	6.44307	60
6.02202	6.44307	52
6.44307	7.30176	60
6.44307	7.30176	52
6.87318	8.14848	45
7.30176	7.71526	52
7.30176	7.71526	60
7.71526	8.14848	60
7.71526	8.14848	52
8.14848	8.66954	45
8.35738	8.66954	64
8.56643	8.66954	66
8.56643	8.97882	60
8.56643	8.97882	52
8.77263	8.82418	68
8.97882	9.19234	68
8.97882	9.40586	52
8.97882	9.40586	60
9.19234	9.40586	69
9.40586	9.91395	45
9.60842	9.91395	69
9.81531	9.91395	71
9.81531	10.2173	52
9.81531	10.2173	62
10.0167	10.0668	68
10.2173	10.4323	68
10.2173	10.6474	62
10.2173	10.6474	52
10.4323	10.5398	66
10.5936	10.6474	69
10.6474	10.8663	66
10.6474	11.0853	45
11.0853	13.151	64
11.0853	11.5032	60
11.0853	11.5032	52
11.5032	12.3618	60
11.5032	12.3618	52
11.9333	13.151	45
12.3618	12.7739	60
12.3618	12.7739	52
12.7739	13.1999	52
12.7739	13.1999	60
13.1999	13.5225	67
13.1999	13.5225	76
13.1999	13.5225	60
13.1999	13.5225	64
13.63	13.948	76
13.63	13.948	68
13.63	13.948	65
13.63	13.948	60
14.054	14.3698	69
14.054	14.3698	76
14.054	14.3698	60
14.054	14.3698	66
14.4751	15.7531	71
14.4751	14.9016	76
14.4751	15.7531	62
14.4751	15.7531	67
14.4751	15.7531	55
14.6135	14.8903	74
