OnsetTime	OffsetTime	MidiPitch
1.22188	1.2693	64
1.31672	1.38786	68
1.41157	1.47972	71
1.50244	1.5706	76
1.59331	1.63875	76
1.68419	1.75234	71
1.77506	1.84875	68
1.87332	1.94702	64
1.97159	2.01823	63
2.06487	2.13483	66
2.15815	2.22609	71
2.24874	2.31668	78
2.33933	2.38462	78
2.42991	2.49785	71
2.5205	2.59173	66
2.61546	2.68669	63
2.71043	2.75662	64
2.8028	2.87207	68
2.89516	2.96311	71
2.98576	3.0537	76
3.07635	3.12164	76
3.16693	3.23487	71
3.25752	3.33121	68
3.35578	3.42947	64
3.45404	3.50023	59
3.54642	3.61569	66
3.63878	3.70805	75
3.73114	3.80041	83
3.8235	3.86969	83
3.91588	3.98515	75
4.00824	4.08617	66
4.11215	4.19008	59
4.21606	4.2627	64
4.30935	4.3793	68
4.40262	4.47122	71
4.49408	4.56268	76
4.58555	4.63128	76
4.67701	4.74561	71
4.76847	4.83918	68
4.86274	4.93344	64
4.95701	5.00334	63
5.04968	5.11917	66
5.14233	5.21116	71
5.23411	5.30293	78
5.32588	5.37176	78
5.41764	5.48646	71
5.50941	5.5809	66
5.60473	5.67623	63
5.70006	5.74625	64
5.79244	5.8617	68
5.8848	5.95274	71
5.97539	6.04333	76
6.06598	6.11127	76
6.15656	6.2245	71
6.24715	6.31838	68
6.34211	6.41334	64
6.43708	6.4831	59
6.52913	6.59818	66
6.6212	6.68914	75
6.71179	6.77973	83
6.80238	6.84767	83
6.89296	6.9609	75
6.98355	7.05725	66
7.08181	7.15551	59
7.18008	7.22641	56
7.27275	7.34224	64
7.3654	7.43356	71
7.45628	7.52443	80
7.54715	7.59259	80
7.63802	7.70618	71
7.7289	7.80176	64
7.82605	7.89891	56
7.9232	7.9705	57
8.0178	8.08876	64
8.11241	8.19261	73
8.21934	8.29954	81
8.32627	8.38308	85
8.55352	8.62422	88
8.83633	8.88297	58
8.92962	8.99957	66
9.02289	9.09104	73
9.11376	9.18192	82
9.20464	9.25007	82
9.29551	9.36366	73
9.38638	9.45925	66
9.48353	9.5564	58
9.58068	9.62798	59
9.67528	9.74624	66
9.7699	9.8501	75
9.87683	9.95702	83
9.98375	10.0406	87
10.211	10.2813	90
10.4922	10.5397	63
10.5871	10.6582	71
10.6819	10.751	78
10.774	10.8431	87
10.8661	10.9351	87
10.9581	11.0272	78
11.0502	11.1239	71
11.1485	11.2222	63
11.2467	11.294	64
11.3412	11.4121	71
11.4358	11.5048	80
11.5278	11.5969	88
11.6199	11.689	88
11.712	11.781	80
11.804	11.8777	71
11.9023	11.976	64
12.0006	12.0475	66
12.0945	12.1649	71
12.1884	12.2572	83
12.2801	12.349	90
12.3719	12.4407	90
12.4637	12.5325	83
12.5554	12.6291	75
12.6537	12.7274	66
12.752	12.7986	68
12.8453	12.9152	76
12.9385	13.0065	83
13.0291	13.0971	92
13.1197	13.1877	92
13.2103	13.2782	83
13.3009	13.3746	76
13.3992	13.4729	68
13.4974	13.5447	69
13.5919	13.6628	76
13.6865	13.7546	85
13.7773	13.8455	93
13.8682	13.9364	93
13.9591	14.0272	85
14.05	14.1279	76
14.1539	14.2318	69
14.2578	14.3047	70
14.3517	14.4221	79
14.4456	14.5135	88
14.5362	14.6041	97
14.6268	14.6947	97
14.7173	14.7853	88
14.8079	14.8816	79
14.9062	14.9799	70
15.0045	15.0513	73
15.098	15.1682	82
15.1916	15.2598	91
15.2825	15.3507	100
15.3734	15.4415	100
15.4643	15.5324	91
15.5551	15.6288	82
15.6534	15.7271	73
15.7517	15.7986	70
15.8456	15.916	79
15.9395	16.0081	88
16.0309	16.0995	97
16.1224	16.191	97
16.2138	16.2824	88
16.3053	16.379	79
16.4036	16.4773	70
16.5018	16.5486	67
16.5954	16.6656	76
16.689	16.7581	85
16.7811	16.8501	94
16.8731	16.9422	94
16.9652	17.0343	85
17.0573	17.131	76
17.1555	17.2292	67
17.2538	17.3008	64
17.3477	17.4181	73
17.4416	17.5104	82
17.5334	17.6022	91
17.6251	17.694	91
17.7169	17.7857	82
17.8087	17.8824	73
17.9069	17.9806	64
18.0052	18.0526	61
18.1001	18.1712	70
18.1949	18.264	79
18.287	18.356	88
18.379	18.4481	88
18.4711	18.5402	79
18.5632	18.6369	70
18.6614	18.7351	61
18.7597	18.807	59
18.8543	18.9252	66
18.9489	19.0291	75
19.0558	19.136	83
19.1628	19.2196	87
19.39	19.4603	90
19.6713	19.7192	57
19.7671	19.8389	63
19.8629	19.931	71
19.9537	20.0219	78
20.0446	20.0901	78
20.1355	20.2036	71
20.2264	20.3001	63
20.3246	20.3983	57
20.4229	20.4702	56
20.5175	20.5884	64
20.6121	20.6923	71
20.719	20.7992	80
20.826	20.8828	83
21.0532	21.1235	88
21.3345	21.3825	57
21.4306	21.5027	63
21.5267	21.5949	71
21.6176	21.6857	78
21.7085	21.7528	78
21.7972	21.8638	71
21.886	21.9607	63
21.9857	22.0604	57
22.0853	22.1326	56
22.1799	22.2509	64
22.2745	22.3547	71
22.3815	22.4617	80
22.4884	22.5452	83
22.7156	22.786	88
22.9969	23.0466	57
23.1959	23.2487	81
23.1959	23.2487	76
23.1959	23.2487	73
23.1959	23.2487	69
23.1959	23.2487	61
23.1959	23.2487	64
23.4068	23.457	59
23.6073	23.66	83
23.6073	23.66	80
23.6073	23.66	76
23.6073	23.66	71
23.6073	23.66	68
23.6073	23.66	64
23.8182	23.8682	61
24.018	24.0705	85
24.018	24.0705	81
24.018	24.0705	76
24.018	24.0705	73
24.018	24.0705	69
24.018	24.0705	64
24.2281	24.2771	60
24.4242	24.4779	84
24.4242	24.4779	79
24.4242	24.4779	76
24.4242	24.4779	72
24.4242	24.4779	70
24.4242	24.4779	67
24.4242	24.4779	64
24.6392	24.6891	59
24.8389	24.8915	83
24.8389	24.8915	80
24.8389	24.8915	76
24.8389	24.8915	71
24.8389	24.8915	68
24.8389	24.8915	64
25.0491	25.0992	59
25.2495	25.3015	83
25.2495	25.3015	78
25.2495	25.3015	75
25.2495	25.3015	71
25.2495	25.3015	69
25.2495	25.3015	66
25.4573	25.9302	64
25.864	25.9302	88
25.864	25.9302	83
25.864	25.9302	80
25.864	25.9302	76
25.864	25.9302	71
25.864	25.9302	68
26.2953	26.3427	64
26.3901	26.4612	67
26.4849	26.5531	71
26.5758	26.644	76
26.6667	26.7121	76
26.7576	26.8257	71
26.8484	26.9221	67
26.9467	27.0204	64
27.045	27.0916	63
27.1382	27.2082	66
27.2315	27.2995	71
27.3221	27.3901	78
27.4127	27.458	78
27.5033	27.5712	71
27.5939	27.6651	66
27.6888	27.7601	63
27.7838	27.83	64
27.8762	27.9454	67
27.9685	28.0365	71
28.0591	28.1271	76
28.1497	28.195	76
28.2403	28.3082	71
28.3309	28.4046	67
28.4292	28.5028	64
28.5274	28.5736	59
28.6198	28.6891	66
28.7122	28.7814	75
28.8045	28.8738	83
28.8969	28.9431	83
28.9893	29.0585	75
29.0816	29.1595	66
29.1855	29.2635	59
29.2894	29.3361	64
29.3827	29.4527	67
29.476	29.5446	71
29.5675	29.6361	76
29.6589	29.7047	76
29.7504	29.819	71
29.8418	29.9126	67
29.9361	30.0068	64
30.0304	30.0767	63
30.1231	30.1925	66
30.2157	30.2845	71
30.3075	30.3763	78
30.3993	30.4451	78
30.491	30.5598	71
30.5828	30.6543	66
30.6781	30.7496	63
30.7734	30.8196	64
30.8658	30.9351	67
30.9582	31.0261	71
31.0488	31.1167	76
31.1394	31.1846	76
31.2299	31.2979	71
31.3205	31.3917	67
31.4155	31.4867	64
31.5105	31.5565	59
31.6025	31.6716	66
31.6946	31.7625	75
31.7852	31.8531	83
31.8758	31.921	83
31.9663	32.0343	75
32.0569	32.1306	66
32.1552	32.2289	59
32.2535	32.2998	59
32.3461	32.4156	66
32.4388	32.5069	74
32.5297	32.5978	83
32.6205	32.666	83
32.7114	32.7796	74
32.8023	32.8751	66
32.8994	32.9723	59
32.9966	33.0426	57
33.0886	33.1577	66
33.1807	33.2486	74
33.2713	33.3392	84
33.3619	33.4072	84
33.4525	33.5204	74
33.543	33.6167	66
33.6413	33.715	57
33.7396	33.7859	57
33.8322	33.9017	66
33.9249	33.9931	74
34.0158	34.0839	81
34.1066	34.1521	81
34.1975	34.2657	74
34.2884	34.3613	66
34.3855	34.4584	57
34.4827	34.5287	55
34.5747	34.6438	62
34.6668	34.7348	71
34.7574	34.8253	86
34.848	34.8933	86
34.9386	35.0065	71
35.0292	35.1029	62
35.1274	35.2011	55
35.2257	35.272	55
35.3184	35.3879	62
35.3184	35.3879	71
35.411	35.4792	74
35.5019	35.57	91
35.5928	35.6382	91
35.6836	35.7518	74
35.7745	35.8474	62
35.7745	35.8474	71
35.8717	35.9445	55
35.9688	36.0151	55
36.0615	36.131	62
36.0615	36.131	71
36.1541	36.2223	79
36.245	36.3132	95
36.3359	36.3813	95
36.4268	36.4949	79
36.5176	36.5905	62
36.5176	36.5905	71
36.6148	36.6876	55
36.7119	36.7583	55
36.8046	36.8741	62
36.8046	36.8741	71
36.8973	36.9654	71
36.9881	37.0563	98
37.079	37.1244	98
37.1699	37.238	71
37.2607	37.3336	62
37.2607	37.3336	71
37.3579	37.4308	55
37.455	37.5017	60
37.5483	37.6183	67
37.6416	37.7095	76
37.6416	37.7095	72
37.7322	37.8001	84
37.8228	37.8709	61
38.0151	38.0688	88
38.0151	38.0688	79
38.0151	38.0688	76
38.0151	38.0688	69
38.0151	38.0688	61
38.23	38.2765	62
38.323	38.3927	69
38.4159	38.4837	78
38.4159	38.4837	74
38.5062	38.574	86
38.5965	38.6448	63
38.7894	38.842	90
38.7894	38.842	81
38.7894	38.842	78
38.7894	38.842	71
38.7894	38.842	63
38.9996	39.0461	64
39.0925	39.1623	71
39.1855	39.2532	76
39.2758	39.3435	79
39.2758	39.3435	88
39.3661	39.4143	66
39.559	39.6115	90
39.559	39.6115	81
39.559	39.6115	78
39.559	39.6115	74
39.559	39.6115	69
39.7691	39.8174	67
39.9621	40.0146	91
39.9621	40.0146	83
39.9621	40.0146	79
39.9621	40.0146	74
39.9621	40.0146	71
40.1722	40.2193	69
40.3609	40.415	93
40.3609	40.415	86
40.3609	40.415	81
40.3609	40.415	78
40.3609	40.415	74
40.5775	40.6257	71
40.7704	40.8229	95
40.7704	40.8229	86
40.7704	40.8229	83
40.7704	40.8229	79
40.7704	40.8229	74
40.9805	41.0287	72
41.1734	41.226	96
41.1734	41.226	88
41.1734	41.226	84
41.1734	41.226	79
41.1734	41.226	76
41.3836	41.8315	73
41.4536	41.8315	79
41.5237	41.8315	82
41.5937	41.8315	88
41.6637	41.8315	94
41.7338	41.8315	100
41.8038	41.861	103
42.0327	42.0899	61
42.2615	42.3082	62
