OnsetTime	OffsetTime	MidiPitch
0.515521	1.7241	46
0.515521	1.7241	34
0.648559	1.7241	51
0.648559	1.7241	39
0.648559	1.7241	27
1.57982	1.7241	55
1.57982	1.7241	43
1.57982	1.7241	31
1.71286	1.84769	56
1.71286	1.84769	44
1.71286	1.84769	32
2.25219	2.39036	57
2.25219	2.39036	45
2.25219	2.39036	33
2.81489	3.85037	58
2.81489	3.94972	46
2.81489	3.94972	34
3.85037	3.97996	87
3.85037	3.97996	82
3.85037	3.97996	79
3.85037	3.97996	75
3.85037	3.97996	67
3.85037	3.97996	63
3.85037	3.97996	58
3.85037	3.97996	55
4.75749	5.94574	46
4.75749	5.94574	34
4.88668	5.95704	51
4.88668	5.95704	39
4.88668	5.95704	27
5.81179	5.95704	55
5.81179	5.95704	43
5.81179	5.95704	31
5.94574	6.08147	58
5.94574	6.08147	46
5.94574	6.08147	34
6.48871	6.62727	60
6.48871	6.62727	48
6.48871	6.62727	36
7.04298	8.17904	61
7.04298	8.17904	49
7.04298	8.17904	37
8.07969	8.20928	91
8.07969	8.20928	87
8.07969	8.20928	82
8.07969	8.20928	79
8.07969	8.20928	70
8.07969	8.20928	67
8.07969	8.20928	63
8.07969	8.20928	58
8.98683	10.1643	48
8.98683	10.1751	26
8.98683	10.1643	36
9.11476	10.1751	51
9.11476	10.1751	39
9.11476	10.1751	27
10.0321	10.1751	56
10.0321	10.1751	44
10.0321	10.1751	32
10.1643	10.5283	60
10.1643	10.5283	48
10.1643	10.5283	36
10.517	10.9065	61
10.517	10.9065	49
10.517	10.9065	37
10.8939	11.3952	62
10.8939	11.3952	50
10.8939	11.3952	38
11.2969	12.3387	63
11.2969	12.4387	51
11.2969	12.4387	39
12.3387	12.4692	92
12.3387	12.4692	87
12.3387	12.4692	84
12.3387	12.4692	80
12.3387	12.4692	72
12.3387	12.4692	68
12.3387	12.4692	63
12.3387	12.4692	60
13.2518	14.404	48
13.2518	14.4146	26
13.2518	14.404	36
13.3805	14.4146	51
13.3805	14.4146	39
13.3805	14.4146	27
14.2761	14.4146	56
14.2761	14.4146	44
14.2761	14.4146	32
14.404	14.9451	60
14.404	14.9451	48
14.404	14.9451	36
14.6626	14.9451	63
14.6626	14.9451	51
14.6626	14.9451	39
14.9336	15.5443	64
14.9336	15.5443	52
14.9336	15.5443	40
15.2278	15.5443	65
15.2278	15.5443	53
15.2278	15.5443	41
15.5278	16.5782	66
15.5278	16.6949	54
15.5278	16.6949	42
16.5782	16.7305	93
16.5782	16.7305	90
16.5782	16.7305	84
16.5782	16.7305	81
16.5782	16.7305	75
16.5782	16.7305	72
16.5782	16.7305	66
