OnsetTime	OffsetTime	MidiPitch
1.07144	1.35715	68
1.07144	1.35715	73
1.07144	1.35715	65
1.35774	1.93015	72
1.35774	1.93015	68
1.35774	1.93015	63
1.92954	2.21851	67
1.92954	2.21851	70
1.92954	2.21851	61
2.21851	2.29076	72
2.21851	2.29076	75
2.21851	2.29076	60
2.79643	2.86765	65
2.79643	2.86765	73
2.79643	2.86765	49
2.79643	2.86765	58
3.08128	3.1525	68
3.08128	3.1525	72
3.08128	3.1525	63
3.08128	3.1525	51
3.65097	3.72291	67
3.65097	3.72291	70
3.65097	3.72291	51
3.65097	3.72291	61
3.93873	4.01067	68
3.93873	4.01067	56
3.93873	4.01067	60
4.51427	4.80047	73
4.51427	4.80047	78
4.51427	4.80047	70
4.80047	5.37288	73
4.80047	5.37288	77
4.80047	5.37288	68
5.37288	5.66185	72
5.37288	5.66185	75
5.37288	5.66185	66
5.66185	5.7341	73
5.66185	5.7341	80
5.66185	5.7341	65
6.23977	6.31083	70
6.23977	6.31083	78
6.23977	6.31083	54
6.23977	6.31083	63
6.52397	6.59502	73
6.52397	6.59502	77
6.52397	6.59502	56
6.52397	6.59502	68
7.09234	7.16428	72
7.09234	7.16428	75
7.09234	7.16428	56
7.09234	7.16428	66
7.3801	7.45204	73
7.3801	7.45204	61
7.3801	7.45204	65
7.95564	8.52805	61
7.95564	8.52805	73
7.95564	8.24184	53
7.95564	8.24184	56
8.24184	8.81425	51
8.24184	8.81425	56
8.52805	8.81425	60
8.52805	8.81425	72
8.81425	9.10183	58
8.81425	9.38551	70
8.81425	9.10183	55
8.81425	9.10183	49
9.10183	9.38551	48
9.10183	9.38551	60
9.38551	9.6692	75
9.6692	10.2362	73
9.6692	9.95271	65
9.6692	9.81095	49
9.6692	9.81095	58
9.95271	10.2362	68
9.95271	10.0945	51
9.95271	10.0945	63
10.2362	10.5197	72
10.5197	10.8026	67
10.5197	11.0854	70
10.5197	10.6611	51
10.5197	10.6611	61
10.8026	10.944	56
10.8026	10.944	60
11.0854	11.3682	68
11.3682	11.9434	66
11.3682	11.9434	78
11.3682	11.6558	58
11.3682	11.6558	61
11.6558	12.2309	56
11.6558	12.2309	61
11.9434	12.2309	65
11.9434	12.2309	77
12.2309	12.5199	63
12.2309	12.8023	75
12.2309	12.5199	54
12.2309	12.5199	60
12.5199	12.8023	68
12.5199	12.8023	53
12.5199	12.8023	65
12.8023	13.0846	80
13.0846	13.3681	70
13.0846	13.6516	78
13.0846	13.2264	54
13.0846	13.2264	63
13.3681	13.6516	73
13.3681	13.5099	56
13.3681	13.5099	68
13.6516	13.9352	77
13.9352	14.5049	75
13.9352	14.22	72
13.9352	14.0776	56
13.9352	14.0776	66
14.22	14.3624	61
14.22	14.3624	65
14.5049	14.7897	73
14.7897	15.0759	73
14.7897	15.0759	65
14.7897	15.9369	61
15.0759	15.6483	73
15.0759	15.6483	65
15.0759	15.9369	58
15.6483	15.9369	65
15.6483	15.9345	73
15.6483	15.9369	56
15.9345	16.5069	63
15.9345	16.2207	73
15.9345	16.2207	55
16.2207	16.5069	72
16.2207	16.5069	56
16.5069	16.798	63
16.5069	16.798	71
16.5069	16.798	56
16.798	17.3801	63
16.798	17.3801	71
16.798	17.6711	56
17.3801	17.6711	63
17.3801	17.6711	71
17.3801	17.6711	54
17.6711	18.2532	63
17.6711	18.1144	71
17.6711	18.1144	53
17.9622	18.2532	70
17.9622	18.2532	54
18.2532	18.5416	61
18.2532	18.5416	70
18.2532	18.5416	54
18.5416	19.1514	66
18.5416	19.1514	72
18.5416	19.1514	51
18.5416	19.1514	56
19.1514	19.4787	65
19.1514	19.4787	73
19.1514	19.4787	49
19.1514	19.4787	56
19.4787	20.1465	63
19.4787	20.1653	75
19.4787	20.6985	48
19.4787	20.4797	56
20.1465	20.7659	63
20.1465	20.7659	66
20.4797	21.0521	49
20.4797	21.0521	56
20.7659	21.0521	61
20.7659	21.0521	65
21.0521	21.3151	70
21.0521	21.3717	58
21.0521	21.3151	54
21.0521	21.3717	42
21.2119	21.3717	66
21.2119	21.3717	51
21.3717	21.6914	61
21.3717	21.6914	65
21.3717	22.0471	42
21.3717	22.0471	56
21.6914	22.0471	60
21.6914	22.0471	63
22.0471	22.3345	61
22.0471	22.3345	73
22.0471	22.3345	53
22.0471	22.3345	56
22.3345	22.9069	60
22.3345	22.9069	72
22.3345	22.9069	51
22.3345	22.9069	56
22.9069	23.1958	70
22.9069	23.1958	58
22.9069	23.1958	49
22.9069	23.1958	55
23.1958	23.2681	63
23.1958	23.2681	75
23.1958	23.2681	48
23.1958	23.2681	60
23.7738	24.0546	65
23.7738	24.3355	73
23.7738	23.9142	49
23.7738	23.9142	58
24.0546	24.3355	68
24.0546	24.195	51
24.0546	24.195	63
24.3355	24.6163	72
24.6163	24.8985	67
24.6163	25.1807	70
24.6163	24.7574	51
24.6163	24.7574	61
24.8985	25.0396	56
24.8985	25.0396	60
25.1807	25.4629	68
25.4629	25.7498	66
25.4629	25.7498	78
25.4629	25.7498	58
25.4629	25.7498	61
25.7498	26.3236	65
25.7498	26.3236	77
25.7498	26.3236	56
25.7498	26.3236	61
26.3236	26.6118	63
26.3236	26.6118	75
26.3236	26.6118	54
26.3236	26.6118	60
26.6118	26.6839	68
26.6118	26.6839	80
26.6118	26.6839	53
26.6118	26.6839	61
27.1884	27.7594	66
27.1884	27.7594	78
27.1884	27.4739	58
27.1884	27.4739	61
27.4739	28.045	56
27.4739	28.045	61
27.7594	28.045	65
27.7594	28.045	77
28.045	28.1891	63
28.045	28.1891	75
28.045	28.3332	54
28.045	28.3332	60
28.3332	28.4053	68
28.3332	28.4053	80
28.3332	28.4053	53
28.3332	28.4053	61
28.9098	29.4898	66
28.9098	29.4898	78
28.9098	29.1966	58
28.9098	29.1966	61
29.1966	29.8028	56
29.1966	29.8028	61
29.4898	29.8028	65
29.4898	29.8028	77
29.8028	30.501	70
29.8028	30.501	82
29.8028	30.1455	55
29.8028	30.1455	64
29.8028	30.1455	61
30.1455	30.501	56
30.1455	30.501	61
30.1455	30.501	65
30.501	30.8567	68
30.501	30.8567	80
31.2123	32.3077	54
31.2123	32.1605	60
31.2123	32.3077	32
31.2123	32.3077	44
31.9237	32.1605	63
32.1157	32.3077	61
32.3077	32.5956	61
32.3077	32.5956	37
32.3077	32.5956	44
32.9371	33.2288	73
32.9371	33.2288	65
32.9371	34.1037	61
33.2288	33.8123	73
33.2288	33.8123	65
33.2288	34.1037	58
33.8123	34.1037	65
33.8123	34.1013	73
33.8123	34.1037	56
34.1013	34.6792	63
34.1013	34.3902	73
34.1013	34.3902	55
34.3902	34.6792	72
34.3902	34.6792	56
34.6792	34.9738	63
34.6792	34.9738	71
34.6792	34.9738	56
34.9738	35.563	63
34.9738	35.563	71
34.9738	35.8577	56
35.563	35.8577	63
35.563	35.8577	71
35.563	35.8577	54
35.8577	36.4469	63
35.8577	36.3769	71
35.8577	36.3769	53
36.1523	36.4469	70
36.1523	36.4469	54
36.4469	36.7354	61
36.4469	36.7354	70
36.4469	36.7354	54
36.7354	37.3451	66
36.7354	37.3451	72
36.7354	37.3451	51
36.7354	37.3451	56
37.3451	37.6724	65
37.3451	37.6724	73
37.3451	37.6724	49
37.3451	37.6724	56
37.6724	38.3403	63
37.6724	38.3403	75
37.6724	38.9346	48
37.6724	38.6734	56
38.3403	38.9596	63
38.3403	38.9596	66
38.6734	39.2458	49
38.6734	39.2458	56
38.9596	39.2458	61
38.9596	39.2458	65
39.2458	39.5003	70
39.2458	39.5664	58
39.2458	39.5003	54
39.2458	39.5664	42
39.4061	39.5664	66
39.4061	39.5664	51
39.5664	39.9239	61
39.5664	39.9239	65
39.5664	40.2218	42
39.5664	40.2218	56
39.8869	40.2218	60
39.8869	40.2218	63
40.2218	40.5088	61
40.2218	40.5088	73
40.2218	40.5088	53
40.2218	40.5088	56
40.5088	41.0812	60
40.5088	41.0812	72
40.5088	41.0812	51
40.5088	41.0812	56
41.0812	41.3702	70
41.0812	41.3702	58
41.0812	41.3702	49
41.0812	41.3702	55
41.3702	41.4413	63
41.3702	41.4413	75
41.3702	41.4413	48
41.3702	41.4413	60
41.9389	42.2224	65
41.9389	42.5059	73
41.9389	42.0806	49
41.9389	42.0806	58
42.2224	42.5059	68
42.2224	42.3642	51
42.2224	42.3642	63
42.5059	42.7894	72
42.7894	43.0729	67
42.7894	43.3564	70
42.7894	42.9312	51
42.7894	42.9312	61
43.0729	43.2147	56
43.0729	43.2147	60
