OnsetTime	OffsetTime	MidiPitch
0.500004	1.14323	56
0.500004	1.14323	68
1.14188	1.78512	54
1.14188	1.78512	66
1.78512	2.41571	59
1.78512	2.41571	71
1.78512	2.41571	39
1.78512	2.41571	27
2.41571	2.97732	61
2.41571	2.97732	73
2.41571	3.03716	46
2.41571	3.03716	34
2.72492	3.03716	66
2.72492	3.03716	78
3.03716	3.66775	63
3.03716	3.66775	75
3.03716	3.66775	47
3.03716	3.66775	35
3.66775	4.31003	61
3.66775	4.31003	73
3.66775	4.31003	34
3.66775	4.31003	46
3.98	4.31003	66
3.98	4.31003	78
4.29529	4.93853	63
4.29529	4.93853	75
4.29529	4.93853	47
4.29529	4.93853	35
4.93853	5.57224	59
4.93853	5.57224	71
4.93853	5.57224	39
4.93853	5.57224	27
5.57224	6.21547	61
5.57224	6.21547	73
5.57224	6.21547	40
5.57224	6.21547	28
6.21547	6.85871	56
6.21547	6.85871	68
6.21547	6.85871	29
6.21547	6.85871	41
6.85871	7.53575	54
6.85871	7.53575	66
6.85871	7.53575	30
6.85871	7.53575	42
7.53711	8.19009	44
7.53711	8.19009	32
8.18878	8.82249	42
8.18878	8.82249	30
8.82249	9.44392	75
8.82249	9.44392	78
8.82249	9.44392	66
8.82249	9.44392	71
8.82249	9.44392	47
8.82249	9.44392	35
9.44392	10.0689	70
9.44392	10.0689	73
9.44392	10.0689	61
9.44392	10.0689	66
9.44392	10.0087	37
9.44392	10.0087	49
9.7548	10.0689	54
9.7548	10.0689	42
10.0689	10.6934	75
10.0689	10.6934	78
10.0689	10.6934	66
10.0689	10.6934	71
10.0689	10.6934	51
10.0689	10.6934	39
10.6934	11.321	78
10.6934	11.321	82
10.6934	11.321	70
10.6934	11.321	73
10.6934	11.3065	49
10.6934	11.3065	37
11.0057	11.321	42
11.0057	11.321	54
11.321	11.9335	78
11.321	11.9335	83
11.321	11.9479	71
11.321	11.9335	75
11.321	11.9479	39
11.321	11.9479	51
11.9335	12.561	83
11.9335	12.561	87
11.9335	12.561	75
11.9335	12.561	78
11.9335	12.561	47
11.9335	12.561	35
12.561	13.1978	77
12.561	13.1978	73
12.561	13.1978	85
12.561	13.1978	80
12.561	13.1978	49
12.561	13.1978	37
13.1978	13.8411	80
13.1978	13.8411	77
13.1978	13.8411	89
13.1978	13.8411	85
13.1978	13.8411	44
13.1978	13.8411	32
13.8411	14.5181	82
13.8411	14.5181	78
13.8411	14.5181	90
13.8411	14.5181	85
13.8411	14.5181	42
13.8411	14.5181	30
14.5181	15.1613	66
14.5181	15.1613	78
15.1613	15.7981	68
15.1613	15.7981	80
15.7981	16.4318	61
15.7981	16.4318	73
15.7981	17.0578	41
15.7981	17.0578	53
16.4318	17.0212	66
16.4318	17.0212	78
16.7441	17.0578	68
16.7441	17.0578	80
17.0578	17.6915	61
17.0578	17.6915	73
17.0578	18.3147	52
17.0578	18.3147	40
17.6915	18.1483	68
17.6915	18.1483	80
17.9978	18.3147	70
17.9978	18.3147	82
18.3147	18.9484	66
18.3147	18.9484	78
18.3147	20.2348	51
18.3147	20.2348	39
18.9484	20.0057	90
18.9484	20.0057	78
19.5916	20.2348	87
19.5916	20.2348	75
20.2348	20.8686	73
20.2348	20.8686	85
20.2348	20.8686	41
20.2348	20.8686	53
20.5517	20.8686	83
20.5517	20.8686	71
20.8686	21.5456	66
20.8686	21.5456	78
20.8686	21.5456	42
20.8686	21.5456	54
21.5456	22.1888	66
21.5456	22.1888	54
22.1888	22.8256	68
22.1888	22.8256	56
22.8256	23.4956	61
22.8256	23.4956	49
23.4956	23.8222	66
23.4956	23.8222	54
23.8222	24.1607	68
23.8222	24.1607	56
24.1607	24.8237	61
24.1607	24.8237	49
26.1499	26.4902	66
26.4902	26.8475	68
26.8475	27.2048	61
28.3159	28.8674	78
28.3159	28.8373	71
28.3159	28.8674	66
28.3159	28.8373	63
28.3159	28.8674	59
28.8373	28.9618	75
28.8373	28.9618	71
28.8373	28.9618	65
28.8373	28.9618	56
28.8373	28.9618	63
29.3352	29.909	66
29.3352	29.8437	71
29.3352	29.909	78
29.3352	29.8437	63
29.3352	29.909	59
29.8437	29.9682	65
29.8437	29.9682	71
29.8437	29.9682	75
