OnsetTime	OffsetTime	MidiPitch
0.500004	1.42165	73
0.500004	1.42165	57
0.500004	1.42165	64
1.20855	1.44075	74
1.20855	1.44075	59
1.42165	1.94861	73
1.42165	1.94861	57
1.42165	1.9309	64
1.9309	2.87564	76
1.9309	2.87564	64
1.9309	2.87564	61
2.87564	3.41279	76
2.87564	3.41279	61
2.87564	3.41279	64
3.41279	4.31788	71
3.41279	4.31788	56
3.41279	4.31788	64
4.10477	4.332	73
4.10477	4.332	57
4.31788	4.82477	71
4.31788	4.82477	56
4.31788	4.80198	64
4.80198	5.71383	74
4.80198	5.71383	64
4.80198	5.71383	59
5.71383	6.22308	74
5.71383	6.22308	64
5.71383	6.22308	59
6.22308	7.14573	69
6.22308	7.14573	54
6.22308	7.14573	64
7.14573	7.64905	69
7.14573	7.62983	64
7.14573	7.64905	54
7.62983	8.55248	71
7.62983	8.55248	56
7.62983	8.55248	64
8.55248	9.06244	71
8.55248	9.06244	56
8.55248	9.05525	64
9.05525	9.93192	73
9.05525	9.93192	64
9.05525	9.93192	57
9.91707	10.4151	71
9.91707	10.4151	76
9.91707	10.4151	50
10.1399	10.4151	74
10.3912	11.8706	73
10.3912	11.8706	69
10.3912	11.8706	52
11.3477	11.8706	71
11.3477	11.8706	68
11.8706	12.7922	73
11.8706	12.7922	64
11.8706	12.7922	57
12.5791	12.8113	74
12.5791	12.8113	59
12.7922	13.3231	73
12.7922	13.3014	64
12.7922	13.3231	57
13.3014	14.2462	76
13.3014	14.2462	61
13.3014	14.2462	64
14.2462	14.791	76
14.2462	14.7833	64
14.2462	14.791	61
14.7833	15.6884	71
14.7833	15.6884	56
14.7833	15.6884	64
15.4753	15.7025	73
15.4753	15.7025	57
15.6884	16.1953	71
15.6884	16.1725	64
15.6884	16.1953	56
16.1725	17.0844	74
16.1725	17.0844	59
16.1725	17.0844	64
17.0844	17.597	74
17.0844	17.5871	64
17.0844	17.597	59
17.5871	19.0459	69
17.5871	18.5319	64
17.5871	19.0459	54
18.5319	19.0459	71
18.5319	19.0459	56
18.5319	19.0282	64
19.0282	19.9937	73
19.0282	19.9937	57
19.0282	19.9937	64
19.9729	20.5407	71
19.9729	20.5407	74
19.9729	20.5407	66
19.9729	20.5407	50
20.5252	21.5849	64
20.5252	21.6135	73
20.5252	21.6135	69
20.5252	21.6135	52
21.5849	22.233	68
21.5849	22.233	62
21.5849	22.233	71
21.5849	22.2073	64
21.5849	22.233	40
22.2073	23.3276	69
22.2073	23.3276	64
22.2073	23.3276	61
22.2073	23.3276	45
23.8877	24.8093	73
23.8877	24.8093	57
23.8877	24.8093	64
24.5962	24.8284	74
24.5962	24.8284	59
24.8093	25.3462	73
24.8093	25.3462	57
24.8093	25.3186	64
25.3186	26.2633	76
25.3186	26.2633	64
25.3186	26.2633	61
26.2633	26.8082	76
26.2633	26.8005	64
26.2633	26.8082	61
26.8005	27.7056	71
26.8005	27.7056	64
26.8005	27.7056	56
27.4925	27.7197	73
27.4925	27.7197	57
27.7056	28.2125	71
27.7056	28.1897	64
27.7056	28.2125	56
28.1897	29.1015	74
28.1897	29.1015	59
28.1897	29.1015	64
29.1015	29.6108	74
29.1015	29.6108	64
29.1015	29.6108	59
29.6108	30.5334	69
29.6108	30.5334	64
29.6108	30.5334	54
30.5334	31.0367	69
30.5334	31.0367	54
30.5334	31.0175	64
31.0175	31.9402	71
31.0175	31.9402	64
31.0175	31.9402	56
31.9402	32.4501	71
31.9402	32.4429	64
31.9402	32.4501	56
32.4429	33.3196	73
32.4429	33.3196	57
32.4429	33.3196	64
33.3048	33.8626	71
33.3048	33.8626	76
33.3048	33.8626	50
33.5276	33.8626	74
33.7789	35.2583	73
33.7789	35.2642	69
33.7789	35.2642	52
34.7354	35.2642	71
34.7354	35.2642	68
35.2583	36.1799	73
35.2583	36.1799	57
35.2583	36.1799	64
35.9668	36.199	74
35.9668	36.199	59
36.1799	36.7088	73
36.1799	36.6891	64
36.1799	36.7088	57
36.6891	37.6339	76
36.6891	37.6339	61
36.6891	37.6339	64
37.6339	38.1807	76
37.6339	38.1807	61
37.6339	38.171	64
38.171	39.0761	71
38.171	39.0761	64
38.171	39.0761	56
38.863	39.0902	73
38.863	39.0902	57
39.0761	39.583	71
39.0761	39.5602	64
39.0761	39.583	56
39.5602	40.4721	74
39.5602	40.4721	59
39.5602	40.4721	64
40.4721	40.9807	74
40.4721	40.9807	59
40.4721	40.9748	64
40.9748	42.4376	69
40.9748	41.9196	64
40.9748	42.4376	54
41.9196	42.4376	71
41.9196	42.4159	64
41.9196	42.4376	56
42.4159	43.386	73
42.4159	43.386	57
42.4159	43.386	64
43.3607	43.9284	66
43.3607	43.9284	74
43.3607	43.9284	71
43.3607	43.9284	50
43.9129	45.0012	73
43.9129	44.9726	64
43.9129	45.0012	69
43.9129	45.0012	52
44.9726	45.595	64
44.9726	45.6207	68
44.9726	45.6207	62
44.9726	45.6207	71
44.9726	45.6207	40
45.595	46.7153	69
45.595	46.7153	64
45.595	46.7153	61
45.595	46.7153	45
47.2754	48.1602	76
47.2754	48.6443	57
47.7232	48.666	61
47.9471	48.6443	78
48.1602	48.666	76
48.1602	48.666	64
48.6443	49.5138	78
48.6443	50.0166	57
49.079	50.0166	62
49.5138	49.8909	78
49.5138	50.0166	66
49.8909	50.0166	78
49.9537	50.0166	80
50.0166	50.9256	81
50.0166	50.9256	57
50.4711	50.9256	62
50.6984	50.9256	80
50.9115	51.3956	78
50.9115	51.4182	66
51.3956	52.5795	78
51.3956	52.5795	57
51.8463	52.3131	76
51.8463	52.5795	61
52.3131	52.5795	76
52.3131	52.5795	64
52.8049	53.5728	76
52.8049	53.673	61
52.8049	53.673	57
53.2275	53.673	73
53.673	53.7911	69
54.1454	54.9801	76
54.1454	55.0135	56
54.1454	55.0135	62
54.5679	55.0135	74
55.0135	55.1316	71
55.4859	56.6244	76
55.4859	56.6244	61
55.4859	56.6244	57
55.9026	56.6244	73
56.3481	56.8121	69
56.3481	56.8121	54
56.3481	56.8121	63
56.8543	57.8805	69
56.8543	57.8805	73
56.8543	58.2703	64
56.8543	58.2703	52
57.7661	58.2703	68
57.7661	58.2703	71
58.3263	59.2479	73
58.3263	59.2479	57
58.3263	59.2479	64
59.0348	59.267	74
59.0348	59.267	59
59.2479	59.7788	73
59.2479	59.7788	57
59.2479	59.7572	64
59.7572	60.7019	76
59.7572	60.7019	64
59.7572	60.7019	61
60.7019	61.2448	76
60.7019	61.239	64
60.7019	61.2448	61
61.239	62.1441	71
61.239	62.1441	64
61.239	62.1441	56
61.931	62.1582	73
61.931	62.1582	57
62.1441	62.651	71
62.1441	62.651	56
62.1441	62.6282	64
62.6282	63.5401	74
62.6282	63.5401	59
62.6282	63.5401	64
63.5401	64.0429	74
63.5401	64.0429	64
63.5401	64.0429	59
64.0429	65.5391	69
64.0429	64.9876	64
64.0429	65.5391	54
64.9876	65.5391	71
64.9876	65.5391	56
64.9876	65.5174	64
65.5174	66.4883	73
65.5174	66.4883	57
65.5174	66.4883	64
66.4622	66.9989	71
66.4622	66.9989	66
66.4622	66.9989	74
66.4622	66.9989	50
66.985	67.9414	64
66.985	67.9675	73
66.985	67.9675	69
66.985	67.9675	52
67.9414	68.5097	68
67.9414	68.5097	71
67.9414	68.5097	64
67.9414	68.5315	40
68.5097	69.5554	71
68.5097	70.0782	64
68.5097	69.5554	68
68.5097	70.0782	45
69.5554	70.0782	73
69.5554	70.0782	69
70.0782	71.1023	73
70.0782	71.1023	69
70.0782	71.0709	64
70.0782	71.1023	57
70.0782	71.1023	45
71.0709	71.6308	74
71.0709	71.6308	68
71.0709	71.6081	64
71.0709	71.6308	47
71.0709	71.6308	59
71.6081	72.6544	64
71.6081	72.6544	76
71.6081	72.6544	69
71.6081	72.6544	49
71.6081	72.6544	61
72.6257	73.178	78
72.6257	73.178	62
72.6257	73.178	50
72.8906	73.178	80
73.0231	73.178	81
73.1556	74.2645	69
73.1556	74.2299	52
73.1556	74.2645	61
74.2299	74.8488	68
74.2299	74.527	73
74.2299	74.8488	62
74.2299	74.8488	52
74.527	74.8488	71
74.8241	76.0124	69
74.8241	76.0124	61
74.8241	76.0124	57
76.6066	77.4913	76
76.6066	77.9754	57
77.0543	77.9935	61
77.2782	77.9754	78
77.4913	77.9935	76
77.4913	77.9935	64
77.9754	78.845	78
77.9754	79.3478	57
78.4102	79.3478	62
78.845	79.2221	78
78.845	79.3478	66
79.2221	79.3478	78
79.2849	79.3478	80
79.3478	80.2568	81
79.3478	80.2568	57
79.8023	80.2568	62
80.0296	80.2568	80
80.2427	80.7268	78
80.2427	80.7531	66
80.7268	81.9201	78
80.7268	81.9201	57
81.1775	81.6443	76
81.1775	81.9201	61
81.6443	81.9201	76
81.6443	81.9201	64
82.1535	82.9214	76
82.1535	83.0216	57
82.1535	83.0216	61
82.5761	83.0216	73
83.0216	83.1397	69
83.494	84.3287	76
83.494	84.3621	62
83.494	84.3621	56
83.9165	84.3621	74
84.3621	84.4802	71
84.8345	85.9735	76
84.8345	85.9735	57
84.8345	85.9735	61
85.257	85.9735	73
85.7026	86.1576	69
85.7026	86.1576	63
85.7026	86.1576	54
86.1989	87.2252	69
86.1989	87.2252	73
86.1989	87.6149	52
86.1989	87.6149	64
87.1108	87.6149	71
87.1108	87.6149	68
87.6709	88.5926	73
87.6709	88.5926	64
87.6709	88.5926	57
88.3795	88.6117	74
88.3795	88.6117	59
88.5926	89.1215	73
88.5926	89.1018	64
88.5926	89.1215	57
89.1018	90.0466	76
89.1018	90.0466	61
89.1018	90.0466	64
90.0466	90.5914	76
90.0466	90.5914	61
90.0466	90.5837	64
90.5837	91.4888	71
90.5837	91.4888	56
90.5837	91.4888	64
91.2757	91.5029	73
91.2757	91.5029	57
91.4888	91.9957	71
91.4888	91.9957	56
91.4888	91.9729	64
91.9729	92.8848	74
91.9729	92.8848	59
91.9729	92.8848	64
92.8848	93.3875	74
92.8848	93.3875	59
92.8848	93.3875	64
93.3875	94.8818	69
93.3875	94.3323	64
93.3875	94.8818	54
94.3323	94.8818	71
94.3323	94.8621	64
94.3323	94.8818	56
94.8621	95.8299	73
94.8621	95.8299	64
94.8621	95.8299	57
95.8068	96.3731	74
95.8068	96.3731	71
95.8068	96.3731	66
95.8068	96.3731	50
96.3591	97.3413	69
96.3591	97.3413	73
96.3591	97.3156	64
96.3591	97.3413	52
97.3156	97.8757	68
97.3156	97.8757	64
97.3156	97.8757	71
97.3156	97.9084	40
97.8757	98.9214	71
97.8757	98.9214	68
97.8757	99.466	64
97.8757	99.466	45
98.9214	99.466	73
98.9214	99.466	69
99.466	100.478	64
99.466	100.511	73
99.466	100.511	69
99.466	100.511	57
99.466	100.511	45
100.478	101.065	74
100.478	101.042	64
100.478	101.065	68
