OnsetTime	OffsetTime	MidiPitch
0.500004	0.730889	82
0.500004	0.730889	58
0.500004	0.730889	62
0.615447	0.730889	65
0.730889	0.961774	81
0.730889	0.955041	58
0.730889	0.955041	62
0.846331	0.961774	65
0.961774	1.19932	82
0.961774	1.19932	62
0.961774	1.19267	58
1.07723	1.19932	65
1.19267	1.434	79
1.19267	1.42081	63
1.19267	1.42081	58
1.30673	1.434	67
1.42081	1.90685	81
1.42081	1.64712	63
1.42081	1.64712	58
1.53396	1.87344	82
1.53396	1.76028	67
1.64712	1.90685	84
1.64712	1.87344	58
1.64712	1.90685	63
1.76028	1.90685	86
1.76028	1.90685	67
1.87344	2.10252	82
1.87344	2.10252	58
1.87344	2.10252	62
1.98797	2.10252	65
2.10252	2.55515	84
2.10252	2.32883	62
2.10252	2.32883	58
2.21567	2.55515	82
2.21567	2.44199	65
2.32883	2.55515	81
2.32883	2.55515	58
2.32883	2.55515	62
2.44199	2.55515	79
2.44199	2.55515	65
2.55515	2.61312	77
2.55515	2.67108	63
2.55515	2.67108	57
2.67108	2.78702	65
2.78702	2.84498	77
2.78702	2.90294	57
2.78702	2.90294	63
2.90294	3.01888	65
3.01888	3.07821	77
3.01888	3.13754	57
3.01888	3.13754	63
3.13754	3.25619	65
3.25619	3.71602	78
3.25619	3.48804	63
3.25619	3.48804	57
3.37212	3.60397	66
3.48804	3.71988	90
3.48804	3.71602	57
3.48804	3.71602	63
3.60397	3.71988	66
3.71988	3.77898	90
3.71988	3.83808	57
3.71988	3.83808	63
3.83808	3.95627	66
3.95627	4.39291	91
3.95627	4.0722	58
3.95627	4.0722	63
4.0722	4.30404	67
4.18811	4.41996	79
4.18811	4.39291	63
4.18811	4.39291	58
4.30404	4.41996	67
4.41996	4.47792	79
4.41996	4.53589	58
4.41996	4.53589	63
4.53589	4.65181	67
4.65181	4.70977	81
4.65181	4.76774	60
4.65181	4.76774	63
4.76774	4.99682	65
4.85468	5.33907	94
4.88366	5.10999	93
4.88366	5.10999	60
4.88366	5.10999	63
4.99682	5.33907	91
4.99682	5.22453	65
5.10999	5.33907	93
5.10999	5.33907	60
5.10999	5.33907	63
5.22453	5.33907	65
5.33907	5.39634	94
5.33907	5.45361	58
5.33907	5.45361	62
5.45361	5.68131	65
5.53952	6.03657	84
5.56815	5.79447	82
5.56815	5.79447	58
5.56815	5.79447	62
5.68131	6.03657	81
5.68131	5.91552	65
5.79447	6.03657	82
5.79447	6.03657	58
5.79447	6.03657	62
5.91552	6.03657	65
6.03657	6.15294	70
6.03657	6.15294	74
6.03657	6.26931	58
6.15294	6.26931	77
6.26931	6.38567	70
6.26931	6.38567	74
6.26931	6.50204	57
6.38567	6.50204	77
6.50204	6.61841	74
6.50204	6.61841	70
6.50204	6.73478	58
6.61841	6.73478	77
6.73478	6.84885	70
6.73478	6.84885	74
6.73478	6.96293	55
6.84885	6.96293	79
6.96293	7.07609	70
6.96293	7.07609	74
6.96293	7.07609	57
7.07609	7.18925	79
7.07609	7.18925	58
7.18925	7.30241	70
7.18925	7.30241	74
7.18925	7.30241	60
7.30241	7.41558	79
7.30241	7.41558	62
7.41558	7.53012	70
7.41558	7.53012	74
7.41558	7.64466	58
7.53012	7.64466	77
7.64466	7.75783	70
7.64466	7.75783	74
7.64466	7.75783	60
7.75783	7.87099	77
7.75783	7.87099	58
7.87099	7.98415	74
7.87099	7.98415	70
7.87099	7.98415	57
7.98415	8.09731	77
7.98415	8.09731	55
8.09731	8.21324	75
8.09731	8.21324	69
8.09731	8.15528	53
8.21324	8.32918	77
8.32918	8.4451	75
8.32918	8.4451	69
8.32918	8.38714	53
8.4451	8.56104	77
8.56104	8.67925	75
8.56104	8.67925	69
8.56104	8.62014	53
8.67925	8.79744	77
8.79744	8.91336	69
8.79744	8.91336	75
8.79744	9.02929	54
8.91336	9.02929	81
9.02929	9.14521	69
9.02929	9.14521	75
9.02929	9.26114	66
9.14521	9.26114	81
9.26114	9.3798	69
9.26114	9.3798	75
9.26114	9.32047	66
9.3798	9.49845	81
9.49845	9.61437	75
9.49845	9.61437	70
9.49845	9.7303	67
9.61437	9.7303	82
9.7303	9.84622	70
9.7303	9.84622	75
9.7303	9.96215	55
9.84622	9.96215	81
9.96215	10.0781	70
9.96215	10.0781	75
9.96215	10.0201	55
10.0781	10.194	79
10.194	10.3099	68
10.194	10.3099	74
10.194	10.252	58
10.3099	10.4258	77
10.3679	10.4447	48
10.4258	10.539	68
10.4258	10.539	74
10.4258	10.5579	46
10.539	10.6521	77
10.539	10.6726	45
10.6521	10.7751	74
10.6521	10.7751	68
10.6521	10.8981	46
10.7751	10.8981	77
10.8981	11.0135	75
10.8981	11.0135	67
10.8981	10.9558	51
11.0135	11.129	79
11.0712	11.1478	41
11.129	11.2421	75
11.129	11.2421	67
11.129	11.261	39
11.2421	11.3553	79
11.2421	11.3756	38
11.3553	11.4771	75
11.3553	11.4771	67
11.3553	11.4771	39
11.5989	11.7803	82
11.5989	11.7803	63
11.5989	11.7803	67
11.7219	11.9581	70
11.7834	12.0932	80
11.8449	12.0713	79
11.8449	12.0713	63
11.8449	12.0713	67
11.9581	12.0932	77
11.9581	12.0932	70
12.0713	12.3154	79
12.0713	12.3154	63
12.0713	12.3154	67
12.1858	12.3154	70
12.3003	12.4852	82
12.3003	12.4852	62
12.3003	12.4852	65
12.4209	12.6547	70
12.4812	12.8087	79
12.5414	12.7678	77
12.5414	12.8087	62
12.5414	12.7678	65
12.6547	12.8087	76
12.6547	12.8087	70
12.7678	13.0165	77
12.7678	13.0165	61
12.7678	13.0014	65
12.8846	13.0165	70
13.0014	13.2803	84
13.0014	13.2425	60
13.0014	13.2425	65
13.1219	13.2803	68
13.2425	13.7084	82
13.2425	13.4689	60
13.2425	13.4689	65
13.3557	13.7084	80
13.3557	13.5886	68
13.4689	13.7084	79
13.4689	13.7084	60
13.4689	13.7084	65
13.5886	13.7084	77
13.5886	13.7084	68
13.7084	13.96	84
13.7084	13.9541	60
13.7084	13.96	65
13.8312	13.96	67
13.9541	14.1906	72
13.9541	14.1906	60
13.9541	14.1906	64
14.0723	14.3088	67
14.1906	14.427	72
14.1906	14.427	60
14.1906	14.427	64
14.3088	14.427	67
14.427	14.5473	68
14.427	14.5473	72
14.427	15.1487	56
14.427	14.6675	60
14.5473	14.6675	75
14.6675	14.7873	68
14.6675	14.7873	72
14.6675	14.907	61
14.7873	14.907	75
14.907	15.0283	68
14.907	15.0283	72
14.907	15.1487	60
15.0283	15.1487	75
15.1487	15.269	68
15.1487	15.269	77
15.1487	15.8662	49
15.1487	15.3892	58
15.269	15.3892	80
15.3892	15.508	68
15.3892	15.508	77
15.3892	15.6267	53
15.508	15.6267	80
15.6267	15.7454	68
15.6267	15.7454	77
15.6267	15.8662	55
15.7454	15.8662	80
15.8058	15.8662	58
15.8662	15.9848	68
15.8662	15.9848	72
15.8662	17.3092	51
15.8662	16.1035	56
15.9848	16.1035	75
16.1035	16.2221	68
16.1035	16.2221	72
16.1035	16.3408	55
16.2221	16.3408	75
16.3408	16.4626	68
16.3408	16.4626	72
16.3408	16.5844	56
16.4626	16.5844	75
16.5844	16.7036	67
16.5844	16.7036	73
16.5844	17.0651	58
16.7036	16.8235	75
16.8235	16.944	67
16.8235	16.944	73
16.944	17.0651	75
17.0651	17.1867	67
17.0651	17.1867	73
17.0651	17.3092	59
17.1867	17.3092	75
17.3092	17.505	68
17.3092	17.505	72
17.3092	17.505	75
17.3092	17.505	56
17.3092	17.505	60
17.4322	17.6684	63
17.4937	17.7845	73
17.5552	17.7816	72
17.5552	17.7816	56
17.5552	17.7816	60
17.6684	17.7845	70
17.6684	17.7845	63
17.7816	18.0107	72
17.7816	18.0107	56
17.7816	18.0107	60
17.8961	18.0107	63
18.0107	18.2267	75
18.0107	18.2267	55
18.0107	18.2267	58
18.1312	18.365	63
18.1915	18.4584	72
18.2518	18.4584	70
18.2518	18.4584	55
18.2518	18.4584	58
18.365	18.4782	69
18.365	18.4782	63
18.4782	18.7117	70
18.4782	18.7117	54
18.4782	18.7117	58
18.5949	18.7117	63
18.7117	18.9906	77
18.7117	18.9528	53
18.7117	18.9528	58
18.8323	18.9906	61
18.9528	19.4177	75
18.9528	19.1792	53
18.9528	19.1792	58
19.0661	19.4177	73
19.0661	19.2985	61
19.1792	19.4177	72
19.1792	19.4177	53
19.1792	19.4177	58
19.2985	19.4177	70
19.2985	19.4177	61
19.4177	19.6672	77
19.4177	19.6613	53
19.4177	19.6672	58
19.5395	19.6672	60
19.6613	19.8988	65
19.6613	19.8988	53
19.6613	19.8988	57
19.78	20.0175	60
19.8988	20.1363	65
19.8988	20.1363	53
19.8988	20.1363	57
20.0175	20.1363	60
20.1363	20.2565	73
20.1363	20.2565	77
20.1363	20.8546	61
20.1363	20.3767	65
20.2565	20.3767	80
20.3767	20.4965	73
20.3767	20.4965	77
20.3767	20.6162	66
20.4965	20.6162	80
20.6162	20.7355	73
20.6162	20.7355	77
20.6162	20.8546	65
20.7355	20.8546	80
20.8546	20.9758	73
20.8546	20.9758	82
20.8546	21.5726	54
20.8546	21.0971	63
20.9758	21.0971	85
21.0971	21.2153	73
21.0971	21.2153	82
21.0971	21.3336	58
21.2153	21.3336	85
21.3336	21.4518	73
21.3336	21.4518	82
21.3336	21.5726	60
21.4518	21.5726	85
21.5122	21.5726	63
21.5726	21.6912	73
21.5726	21.6912	77
21.5726	23.002	56
21.5726	21.8099	61
21.6912	21.8099	80
21.8099	21.9285	73
21.8099	21.9285	77
21.8099	22.0472	60
21.9285	22.0472	80
22.0472	22.1658	73
22.0472	22.1658	77
22.0472	22.2845	61
22.1658	22.2845	80
22.2845	22.4027	72
22.2845	22.4027	78
22.2845	22.7606	63
22.4027	22.5215	80
22.5215	22.6408	72
22.5215	22.6408	78
22.6408	22.7606	80
22.7606	22.881	72
22.7606	22.881	78
22.7606	23.002	64
22.881	23.002	80
23.002	23.2441	73
23.002	23.2441	77
23.002	23.2441	80
23.002	23.0625	61
23.002	23.0625	65
23.2441	23.3053	49
23.4887	23.5518	49
23.741	23.8014	61
23.744	23.8044	65
23.9825	24.0439	49
24.2282	24.291	49
24.4165	24.5961	73
24.4479	24.5961	77
24.4793	24.5961	80
24.4793	24.5377	61
24.4793	24.5377	65
24.7129	24.8283	78
24.7129	24.7706	49
24.8283	24.9436	77
24.9436	25.0644	75
24.9436	25.004	49
25.0644	25.1851	73
25.1248	25.3014	68
25.1549	25.3014	72
25.1851	25.3014	75
25.1851	25.2433	61
25.1851	25.2433	66
25.4177	25.5331	73
25.4177	25.4754	49
25.5331	25.6485	72
25.6485	25.7682	70
25.6485	25.7083	49
25.7682	25.8879	68
25.8281	26.0097	73
25.858	26.0097	77
25.8879	26.0097	80
25.8879	25.9488	61
25.8879	25.9488	65
26.1315	26.2469	78
26.1315	26.1892	49
26.2469	26.3622	77
26.3622	26.4776	75
26.3622	26.4199	49
26.4776	26.593	73
26.593	26.6528	85
26.593	26.6528	82
26.593	26.6528	78
26.593	26.6528	61
26.593	26.6528	66
26.8335	26.8941	78
26.8335	26.8941	82
26.8335	26.8941	85
26.8335	26.8941	49
27.077	27.1385	78
27.077	27.1385	82
27.077	27.1385	85
27.077	27.1385	49
27.3227	28.0404	58
27.3227	28.0404	61
27.3227	28.0404	66
27.5563	27.7958	49
27.7958	28.0511	49
28.0404	28.7572	58
28.0404	28.7572	61
28.0404	28.7572	66
28.273	28.5125	49
28.5125	28.7572	49
28.7572	29.2274	65
28.7572	29.4639	56
28.7572	29.4639	61
28.9368	29.4639	68
28.9909	29.4639	66
28.9909	29.2274	49
29.2274	29.4639	65
29.2274	29.4639	49
29.4639	29.7251	63
29.4639	29.7251	54
29.4639	29.7251	58
29.6974	30.1531	65
29.6974	29.926	42
29.8118	30.1531	66
29.926	30.1531	68
29.926	30.1531	42
30.0398	30.1531	70
30.1531	30.4077	72
30.1531	30.4077	63
30.1531	30.4077	66
30.3857	30.8434	70
30.3857	30.6146	56
30.5001	30.8434	72
30.6146	30.8434	73
30.6146	30.8434	56
30.729	30.8434	75
30.8434	30.9038	77
30.8434	31.0849	65
30.8434	31.0849	61
31.0849	31.1453	77
31.0849	31.3264	49
31.3264	31.3858	77
31.3264	31.5637	49
31.5637	31.6244	61
31.5637	31.6244	65
31.8063	31.8677	49
32.052	32.115	49
32.3042	32.3646	61
32.3072	32.3676	65
32.5457	32.6072	49
32.7914	32.8542	49
32.9798	33.1603	73
33.0112	33.1603	77
33.0426	33.1603	80
33.0426	33.1014	61
33.0426	33.1014	65
33.2781	33.3934	78
33.2781	33.3357	49
33.3934	33.5088	77
33.5088	33.628	75
33.5088	33.5684	49
33.628	33.7473	73
33.6876	33.8636	68
33.7174	33.8636	72
33.7473	33.8636	75
33.7473	33.8054	61
33.7473	33.8054	66
33.9799	34.0952	73
33.9799	34.0375	49
34.0952	34.2106	72
34.2106	34.3308	70
34.2106	34.2707	49
34.3308	34.4511	68
34.3909	34.5729	73
34.421	34.5729	77
34.4511	34.5729	80
34.4511	34.512	61
