OnsetTime	OffsetTime	MidiPitch
0.500004	2.50001	63
0.500004	2.54001	57
0.500004	2.54001	69
0.500004	2.50001	53
0.500004	2.54001	48
2.50001	4.42775	63
2.50001	4.46907	58
2.50001	4.46907	70
2.50001	4.46907	46
2.50001	4.42775	53
3.46001	4.46907	74
4.18582	4.42775	72
4.42775	6.45744	72
4.42775	6.41122	63
4.42775	6.45744	60
4.42775	6.45744	45
4.42775	6.41122	53
6.41122	7.46584	58
6.41122	7.41963	63
6.41122	7.46584	70
6.41122	7.46584	46
6.41122	8.42803	53
7.41963	8.42803	63
7.41963	8.46585	69
7.41963	8.46585	57
7.41963	8.46585	48
8.42803	9.47775	58
8.42803	10.4958	63
8.42803	9.47775	67
8.42803	9.47775	46
8.42803	10.4958	53
9.43643	12.544	60
9.43643	10.0639	65
9.43643	10.4958	45
9.93229	10.4586	67
10.0639	10.327	65
10.1954	10.4958	64
10.327	10.4958	65
10.4586	11.4978	67
10.4586	12.544	41
10.4586	12.544	57
11.2153	11.4762	63
11.4762	12.544	63
12.5107	14.5107	56
12.5107	14.5551	50
12.5107	14.5551	62
12.5107	14.5551	46
12.5107	14.5551	34
14.5107	16.4541	56
14.5107	15.4785	51
14.5107	16.4907	60
14.5107	16.4907	36
14.5107	16.4907	48
15.3575	16.4907	39
15.4785	16.4907	55
15.4785	16.4907	51
16.2102	16.4541	53
16.2102	16.4541	38
16.4541	18.5049	53
16.4541	18.4545	56
16.4541	18.4545	58
16.4541	18.5049	50
16.4541	18.5049	38
18.4545	20.5273	56
18.4545	20.5273	58
18.4545	19.4885	51
18.4545	19.4885	36
18.4545	19.4885	48
19.4629	20.5273	50
19.4629	20.5273	46
19.4629	20.5273	34
20.4885	21.5704	48
20.4885	21.5704	44
20.4885	21.5704	32
21.523	22.0645	46
21.523	22.0645	43
21.523	22.0645	31
22.0403	22.2296	48
22.0403	22.2296	44
22.0403	22.2296	32
22.1859	22.3752	46
22.1859	22.3752	43
22.1859	22.3752	31
22.3315	22.5208	45
22.3315	22.5208	30
22.3315	22.5208	42
22.4772	22.6641	46
22.4772	22.6641	31
22.4772	22.6641	43
22.6228	23.82	48
22.6228	23.82	32
22.6228	23.4645	44
23.4645	23.7558	44
23.4645	23.7558	41
23.4645	23.7558	29
23.7558	26.8967	44
23.7558	26.8967	29
23.7558	26.8967	41
24.7191	26.8967	31
24.7191	26.8967	43
24.8567	26.8967	71
24.8567	26.8967	67
24.8567	26.8967	62
24.8567	26.8967	53
24.8567	26.8567	55
26.8567	27.6967	66
26.8567	28.8258	60
26.8567	28.8258	72
26.8567	28.7845	55
26.8567	28.8258	51
27.6967	28.8258	63
27.6967	28.8258	66
27.8167	28.8258	75
27.8167	28.8258	57
27.8167	28.8258	48
28.5425	28.7845	74
28.7845	30.8141	65
28.7845	30.8141	74
28.7845	30.8141	47
28.7845	30.7679	55
30.7679	31.8225	63
30.7679	31.8225	72
30.7679	32.7847	55
30.7679	31.8225	48
31.7763	32.8225	62
31.7763	32.8225	71
31.7763	32.8225	53
32.7847	33.8345	60
32.7847	33.8345	68
32.7847	34.8525	55
32.7847	33.8345	51
33.7931	34.4206	67
33.7931	34.8525	59
33.7931	34.8525	50
34.289	34.8153	68
34.4206	34.6837	67
34.5521	34.8525	65
34.6837	34.8525	67
34.8153	35.8545	68
34.8153	36.9007	62
34.8153	36.9007	53
34.8153	36.9007	47
35.572	35.8329	65
35.8329	36.9007	65
36.8674	40.5216	58
36.8674	40.5216	55
36.8674	40.5216	64
36.8674	38.3252	49
38.3252	38.5626	49
38.541	38.7787	48
38.7568	38.9977	46
38.9758	39.2167	48
39.1948	39.4357	46
39.4138	39.655	44
39.6327	39.8772	43
39.855	40.0994	44
40.0772	40.3216	43
40.2994	40.546	41
40.5216	41.985	58
40.5216	41.985	67
40.5216	43.4484	40
41.985	42.4728	61
41.985	42.4728	70
42.4728	42.9606	60
42.4728	42.9606	68
43.2045	43.4484	58
43.2045	43.4484	67
43.4484	44.4241	61
43.4484	44.4241	70
44.4241	48.0532	60
44.4241	48.0532	69
44.4241	45.8408	42
45.8408	46.0835	42
46.0614	46.3041	41
46.282	46.5247	39
46.5026	46.7452	41
46.7232	46.9658	39
46.9438	47.1866	37
47.1644	47.4088	36
47.3866	47.631	37
47.6088	47.8532	36
47.831	48.0763	34
48.0532	49.4563	63
48.0532	49.4563	72
48.0532	50.8963	33
49.4563	49.9363	66
49.4563	49.9363	75
49.9363	50.4163	65
49.9363	50.4163	73
50.4163	50.8963	63
50.4163	50.8963	72
50.8963	51.3763	66
50.8963	51.3763	75
50.8963	51.8563	33
51.3763	51.8563	73
51.3763	51.8563	65
51.8563	52.3363	70
51.8563	52.3363	61
51.8563	53.7763	34
52.3363	52.8163	66
52.3363	52.8163	58
52.8163	53.2963	73
52.8163	53.2963	65
53.2963	53.7763	72
53.2963	53.7763	64
53.7763	54.2563	68
53.7763	54.2563	60
53.7763	54.7363	36
54.2563	54.7363	64
54.2563	54.7363	55
54.7363	55.5763	57
54.7363	55.5763	65
54.7363	55.5763	41
55.5763	57.7363	69
55.5763	57.6963	63
55.5763	57.7363	57
55.5763	57.6963	53
55.5763	57.7363	48
55.6963	59.6653	77
57.6963	58.5363	63
57.6963	59.6653	70
57.6963	59.6653	58
57.6963	59.624	53
57.6963	59.6653	46
58.5363	59.6653	62
58.5363	59.624	63
58.6563	59.6653	74
59.3821	59.624	72
59.624	61.6537	72
59.624	61.6537	60
59.624	61.6075	63
59.624	61.6075	53
59.624	61.6537	45
61.6075	62.6621	58
61.6075	63.6243	63
61.6075	62.6621	70
61.6075	62.6621	46
61.6075	63.6243	53
62.6159	63.6621	69
62.6159	63.6621	57
62.6159	63.6621	48
63.6243	65.6921	63
63.6243	64.674	58
63.6243	64.674	67
63.6243	64.674	46
63.6243	65.6921	53
64.6327	65.2601	65
64.6327	67.707	60
64.6327	65.6921	45
65.1286	65.6549	67
65.2601	65.5233	65
65.3917	65.6921	64
65.5233	65.6921	65
65.6549	66.694	67
65.6549	67.707	57
65.6549	67.7403	41
66.4116	66.6725	63
66.6725	67.7403	63
67.707	73.7306	62
67.707	73.7306	60
67.707	69.7513	57
67.707	69.7513	42
67.707	73.7306	50
69.707	70.6747	55
69.707	70.6747	43
70.6747	73.7306	54
70.6747	73.7306	46
71.4064	71.6504	45
71.6504	73.7306	45
73.6508	74.6592	43
74.6592	75.6848	42
75.6848	76.7524	39
76.7524	76.9759	38
76.9759	77.1993	39
77.1993	77.4318	38
77.4318	77.6733	36
77.6733	77.9147	38
77.9147	78.7862	39
78.7862	79.1233	36
79.1233	81.2548	34
84.8956	86.4121	74
84.8956	86.4121	46
85.273	86.4121	62
85.6375	86.4121	60
86.002	86.4121	58
86.3901	87.4864	57
86.3901	87.8908	75
86.3901	87.8908	48
