OnsetTime	OffsetTime	MidiPitch
0.500004	0.809438	73
0.500004	0.809438	61
0.809438	1.12937	71
0.809438	1.12937	59
1.12937	2.38085	76
1.12937	2.38085	64
1.75164	2.38085	68
1.75164	2.38085	71
1.75164	2.38085	59
1.75164	2.38085	52
2.38085	2.69028	80
2.38085	2.69028	68
2.69028	2.99972	83
2.69028	2.99972	71
2.99972	3.30915	85
2.99972	3.30915	73
3.30915	3.63649	83
3.30915	3.63649	71
3.63649	4.88456	80
3.63649	4.25537	68
4.25537	4.88456	71
4.25537	4.88456	68
4.25537	4.88456	52
4.25537	4.88456	59
4.88456	5.19741	76
4.88456	5.19741	64
5.19741	5.51027	73
5.19741	5.51027	61
5.51027	5.82312	80
5.51027	5.82312	68
5.82312	6.14486	78
5.82312	6.14486	66
6.14486	7.39634	73
6.14486	7.39634	61
6.76715	7.39634	66
6.76715	7.39634	69
6.76715	7.39634	59
6.76715	7.39634	52
7.39634	7.70578	73
7.39634	7.70578	61
7.70578	8.01521	71
7.70578	8.01521	59
8.01521	8.32981	78
8.01521	8.32981	66
8.32981	8.65155	76
8.32981	8.65155	64
8.65155	9.90994	71
8.65155	9.90994	59
9.28074	9.90994	68
9.28074	9.90994	64
9.28074	9.90994	52
9.28074	9.90994	56
9.90994	10.2245	70
9.90994	10.2245	58
10.2245	10.5391	71
10.2245	10.5391	59
10.5391	10.8486	73
10.5391	10.8486	61
10.8486	11.1685	71
10.8486	11.1685	59
11.1685	12.42	76
11.1685	12.42	64
11.7908	12.42	68
11.7908	12.42	71
11.7908	12.42	59
11.7908	12.42	52
12.42	12.7294	80
12.42	12.7294	68
12.7294	13.0388	83
12.7294	13.0388	71
13.0388	13.3483	85
13.0388	13.3483	73
13.3483	13.6756	83
13.3483	13.6756	71
13.6756	14.9237	80
13.6756	14.2945	68
14.2945	14.9237	68
14.2945	14.9237	71
14.2945	14.9237	52
14.2945	14.9237	59
14.9237	15.2365	76
14.9237	15.2365	64
15.2365	15.5494	73
15.2365	15.5494	61
15.5494	15.8622	71
15.5494	15.8622	59
15.8622	16.1896	75
15.8622	16.1896	63
16.1896	17.4411	83
16.1896	16.8119	71
16.8119	17.4411	75
16.8119	17.4411	71
16.8119	17.4411	56
16.8119	17.4411	51
16.8119	17.4411	59
17.4411	17.7574	82
17.4411	17.7574	70
17.7574	18.0773	80
17.7574	18.0773	68
18.0773	18.7065	76
18.0773	18.7065	64
18.7065	19.3566	70
18.7065	19.3566	67
18.7065	19.3566	75
18.7065	19.3566	58
18.7065	19.3447	63
18.7065	19.3566	51
19.0212	19.3447	73
19.0212	19.3447	61
19.3447	20.0247	73
19.3447	20.0101	63
19.3447	20.0247	68
19.3447	20.0247	61
19.3447	20.0247	56
19.6611	20.0247	71
19.6611	20.0101	59
19.9052	20.65	44
19.9576	20.65	51
20.0101	20.65	59
20.0101	20.4811	70
20.0101	20.65	63
20.0101	20.4811	58
20.3282	20.65	68
20.3282	20.65	56
20.65	20.9681	69
20.9681	21.2917	65
21.2917	22.247	66
21.4508	22.551	42
21.6098	22.551	49
21.7689	22.551	54
21.928	22.551	57
22.0871	22.551	61
22.247	22.551	66
22.4079	22.57	69
22.57	22.8864	78
22.8864	23.2137	76
23.2137	23.5318	76
23.5318	23.8536	74
23.8536	25.1481	75
24.0145	25.1001	47
24.1753	25.1001	54
24.3362	25.1001	57
24.4971	25.1001	59
24.658	25.1001	63
24.8189	25.1001	66
24.9835	25.1481	69
25.1481	25.4717	73
25.4717	25.8009	71
25.8009	26.1209	69
26.1209	26.4445	65
26.4445	27.4107	66
26.6063	27.7147	42
26.768	27.7147	49
26.9298	27.7147	54
27.0916	27.7147	57
27.2507	27.7147	61
27.4107	27.7147	66
27.5715	27.7337	69
27.7337	27.9531	81
27.9531	28.172	80
28.172	28.3902	78
28.3902	28.7138	76
28.7138	29.0374	63
28.7138	29.0374	69
28.7138	29.0374	75
28.7138	29.0374	47
28.7138	29.0374	59
28.7138	29.0374	54
29.0374	29.361	73
29.361	29.6846	64
29.361	29.6846	69
29.361	29.6846	75
29.361	29.6846	52
29.361	29.6846	49
29.361	29.6846	57
29.6846	30.0082	73
30.0082	30.3318	71
30.0082	30.3318	65
30.0082	30.3318	50
30.0082	30.3318	56
30.3318	30.6554	70
30.6554	30.9827	66
30.6554	30.9827	71
30.6554	30.9827	51
30.6554	30.9827	57
30.9827	31.3045	69
31.3045	31.6281	65
31.6281	32.5834	66
31.7871	32.8874	42
31.9462	32.8874	49
32.1053	32.8874	54
32.2643	32.8874	57
32.4234	32.8874	61
32.5834	32.8874	66
32.7443	32.9064	69
32.9064	33.2227	78
33.2227	33.5501	76
33.5501	33.8682	76
33.8682	34.1899	74
34.1899	35.4845	75
34.3508	35.4364	47
34.5117	35.4364	54
34.6726	35.4364	57
34.8335	35.4364	59
34.9943	35.4364	63
35.1552	35.4364	66
35.3198	35.4845	69
35.4845	35.8081	73
35.8081	36.1373	71
36.1373	36.4572	69
36.4572	36.7808	65
36.7808	37.747	66
36.9426	38.051	42
37.1044	38.051	49
37.2662	38.051	54
37.428	38.051	57
37.5871	38.051	61
37.747	38.051	66
37.9079	38.07	69
38.07	38.2895	81
38.2895	38.5084	80
38.5084	38.7266	78
38.7266	39.0483	76
39.0483	39.3795	63
39.0483	39.3795	69
39.0483	39.3795	75
39.0483	39.3795	47
39.0483	39.3795	59
39.0483	39.3795	54
39.3795	39.5964	80
39.5964	39.8134	78
39.8134	40.0304	76
40.0304	40.3503	75
40.3503	40.6795	64
40.3503	40.6795	73
40.3503	40.6795	69
40.3503	40.6795	49
40.3503	40.6795	57
40.3503	40.6795	52
40.3503	40.6795	61
40.6795	40.8965	78
40.8965	41.1135	76
41.1135	41.3304	75
41.3304	41.654	73
41.3304	41.654	61
41.654	41.9776	69
41.654	41.9776	66
41.654	41.9776	71
41.654	41.9776	54
41.654	41.9776	51
41.654	41.9776	59
41.9776	42.3012	73
41.9776	42.3012	61
42.3012	42.6248	71
42.3012	42.6248	64
42.3012	42.6248	68
42.3012	42.6248	56
42.3012	42.6248	52
42.3012	42.6248	59
42.6248	42.9522	73
42.6248	42.9522	61
42.9522	43.2795	62
42.9522	43.2795	71
42.9522	43.2795	68
42.9522	43.2795	56
42.9522	43.2795	53
