OnsetTime	OffsetTime	MidiPitch
0.500004	3.01519	36
0.664384	1.30877	52
0.828025	1.4675	55
0.989897	1.62624	60
1.15004	1.78497	64
1.15004	1.78497	79
1.30877	1.93725	52
1.4675	2.08954	55
1.62624	2.24182	60
1.78497	2.3941	64
1.78497	3.01519	79
1.93725	2.54638	52
2.08954	2.69867	55
2.24182	2.85095	60
2.3941	3.01519	64
2.54638	3.01519	52
2.69867	3.01519	55
2.69867	3.01519	76
2.85095	3.01519	60
3.00323	4.18727	74
3.14677	3.72664	53
3.29031	3.87589	55
3.43385	4.02514	59
3.57739	4.18727	62
3.57739	4.18727	67
3.72664	4.18727	53
3.87589	4.18727	55
4.02514	4.18727	59
4.17439	5.42175	72
4.32887	4.9468	52
4.48336	5.10128	55
4.63784	5.25577	60
4.79232	5.42175	64
4.79232	5.42175	76
4.9468	5.42175	52
5.10128	5.42175	55
5.25577	5.42175	60
5.25577	5.42175	48
5.40875	7.80285	36
5.56427	6.17214	52
5.71825	6.32213	55
5.87094	6.47212	60
6.02215	6.62211	64
6.02215	6.62211	79
6.17214	6.76853	52
6.32213	6.91495	55
6.47212	7.06138	60
6.62211	7.2078	64
6.62211	7.80285	79
6.76853	7.35422	52
6.91495	7.50064	55
7.06138	7.64706	60
7.2078	7.80285	64
7.35422	7.80285	52
7.50064	7.80285	55
7.50064	7.80285	76
7.64706	7.80285	60
7.79349	8.95343	74
7.93393	8.50167	53
8.07437	8.64809	55
8.21481	8.79451	59
8.35525	8.95343	62
8.35525	8.95343	67
8.50167	8.95343	53
8.64809	8.95343	55
8.79451	8.95343	59
8.94093	10.1534	72
9.24091	10.1534	52
9.3909	10.1534	55
9.54089	9.99086	60
9.69088	10.1534	64
9.84087	10.1534	62
9.99086	10.1534	60
9.99086	10.1534	43
10.1416	10.4519	59
10.1416	12.5036	31
10.2992	10.899	55
10.4519	11.0468	59
10.6026	11.1946	62
10.7512	11.3425	67
10.7512	11.3425	77
10.899	11.4862	55
11.0468	11.6299	59
11.1946	11.7736	62
11.3425	11.9173	67
11.3425	12.5036	77
11.4862	12.061	55
11.6299	12.2047	59
11.7736	12.5036	62
11.9173	12.3484	67
12.061	12.5036	55
12.2047	12.5036	59
12.2047	12.5036	74
12.3484	12.5036	67
12.4921	13.6308	76
12.63	13.1875	55
12.7679	13.6308	60
12.9059	13.4749	67
13.0438	13.6308	72
13.1875	13.6308	55
13.3312	13.6308	64
13.4749	13.6308	67
13.6186	14.8026	71
13.7644	14.3473	55
13.9101	14.8026	62
14.0558	14.6388	67
14.2016	14.8026	74
14.3473	14.8026	55
14.493	14.8026	59
14.6388	14.8026	67
14.6388	14.8026	43
14.7895	17.1202	31
14.9471	15.5469	55
15.0998	15.6947	59
15.2505	15.8426	62
15.3991	15.9904	67
15.3991	15.9904	77
15.5469	16.1302	55
15.6947	16.27	59
15.8426	16.4098	62
15.9904	16.5496	67
15.9904	17.1202	77
16.1302	16.6894	55
16.27	16.8292	59
16.4098	17.1202	62
16.5496	16.9691	67
16.6894	17.1202	55
16.8292	17.1202	59
16.8292	17.1202	74
16.9691	17.1202	67
17.1089	18.2221	75
17.245	17.7925	55
17.3811	18.2221	60
17.5172	18.0708	67
17.6533	18.2221	72
17.7925	18.2221	55
17.9316	18.2221	63
18.0708	18.2221	67
18.21	19.3872	71
18.3557	18.9387	55
18.5015	19.3872	62
18.6472	19.2302	67
18.7929	19.3872	74
18.9387	19.3872	55
19.0844	19.3872	59
19.2302	19.3872	67
19.3759	20.4891	76
19.512	20.0595	55
19.6481	20.4891	60
19.7842	20.3378	67
19.9203	20.4891	72
20.0595	20.4891	55
20.1987	20.4891	64
20.3378	20.4891	67
20.477	21.6543	71
20.6227	21.2057	55
20.7685	21.6543	62
20.9142	21.4972	67
21.06	21.6543	74
21.2057	21.6543	55
21.3514	21.6543	59
21.4972	21.6543	67
21.6429	22.7562	75
21.779	22.3265	55
21.9151	22.4657	60
22.0512	22.7562	67
22.1873	22.7562	72
22.3265	22.7562	55
22.4657	22.7562	60
22.6048	22.7562	63
22.744	23.327	79
22.8898	23.4713	55
23.0355	23.9165	59
23.1812	23.9165	62
23.327	23.9045	79
23.4713	23.9165	55
23.6157	23.9165	60
23.7601	23.9165	63
23.9045	24.4819	79
24.0488	24.6263	55
24.1932	25.0714	59
24.3376	25.0714	62
24.4819	25.0594	79
24.6263	25.0714	55
24.7707	25.0714	60
24.915	25.0714	63
25.0594	25.641	79
25.204	25.7879	55
25.3491	26.2441	59
25.4948	26.2441	62
25.641	26.2316	79
25.7879	26.2441	55
25.9352	26.2441	57
26.0831	26.2441	60
26.2316	27.4031	79
26.379	27.4031	55
26.5252	27.4031	59
26.6709	27.4031	62
26.816	27.3912	67
26.9606	27.4031	71
27.1047	27.4031	69
27.2482	27.4031	66
27.3912	27.8171	67
27.5336	28.5314	59
27.6755	28.5314	62
27.8171	28.5314	67
