OnsetTime	OffsetTime	MidiPitch
0.500004	6.68424	62
1.35969	5.72598	61
2.21992	6.71352	60
3.09849	6.71352	57
4.0003	6.71352	54
4.91727	5.75782	50
5.75782	5.83424	53
5.83424	6.71352	51
6.68424	7.0606	62
6.68424	7.45011	50
7.0606	7.18604	62
7.18604	7.45011	62
7.45011	8.19694	67
7.45011	8.19694	58
7.45011	8.19694	62
7.45011	8.21098	50
7.45011	8.21098	43
7.45011	8.21098	55
7.95174	8.21098	69
8.21098	8.97837	66
8.21098	8.97837	63
8.21098	8.97837	70
8.21098	8.97837	43
8.21098	8.97837	60
8.71972	8.97837	69
8.97837	9.75964	62
8.97837	9.50648	67
8.97837	9.75964	43
8.97837	9.77309	58
9.50648	9.77309	67
9.75964	10.1323	60
9.75964	10.1323	62
9.75964	10.5191	43
9.75964	10.5191	57
9.75964	10.5191	50
10.1323	10.2565	62
10.1323	10.2565	60
10.2565	10.5191	60
10.2565	10.5191	62
10.5191	11.2626	58
10.5191	11.2626	67
10.5191	11.2626	62
10.5191	11.2766	50
10.5191	11.2766	43
10.5191	11.2766	55
11.0185	11.2766	69
11.2766	12.0489	63
11.2766	12.0489	66
11.2766	12.0489	70
11.2766	12.0489	60
11.2766	12.0489	43
11.7834	12.0489	69
12.0489	12.7122	62
12.0489	12.5826	67
12.0489	12.8418	43
12.0489	12.8418	58
12.5826	12.8418	67
12.8418	13.2273	58
12.8418	13.2273	62
12.8418	13.6334	54
12.8418	13.6334	42
13.2273	13.3593	58
13.2273	13.3593	62
13.3593	13.6334	62
13.3593	13.6334	58
13.6334	14.4347	58
13.6334	14.1621	65
13.6334	15.2598	41
13.6334	14.4503	50
14.1621	14.4503	65
14.4503	15.2598	57
14.4503	15.2598	65
14.4503	15.2598	51
14.979	15.2598	62
15.2598	16.0722	53
15.2598	15.7964	58
15.2598	16.0646	46
15.2598	16.0722	50
15.7964	16.0646	58
16.0646	16.4599	58
16.0646	16.8689	55
16.0646	16.8689	39
16.0646	16.8689	46
16.4599	16.8689	58
16.5948	16.8689	60
16.8689	17.6963	53
16.8689	17.6963	62
16.8689	17.6887	58
16.8689	17.6963	34
16.8689	17.6887	46
17.6887	18.4884	54
17.6887	18.0815	58
17.6887	18.4884	39
17.6887	18.4884	46
18.0815	18.4884	58
18.2143	18.4884	60
18.4884	19.2582	62
18.4884	19.2582	53
18.4884	19.2582	58
18.4884	19.2727	34
18.4884	19.2727	46
19.0044	19.2727	65
19.2727	20.0592	63
19.2727	20.0592	57
19.2727	20.0592	67
19.2727	20.0592	48
19.2727	20.0592	41
19.7937	20.0592	65
20.0592	20.9384	62
20.0592	20.9384	53
20.0592	20.9053	58
20.0592	20.9384	46
20.6073	20.9384	60
20.9053	21.4838	55
20.9053	21.3364	58
20.9053	21.7822	39
20.9053	21.7822	51
21.3364	21.7822	58
21.4838	21.7822	60
21.4838	21.7822	55
21.4838	21.7822	45
21.7822	24.1852	57
21.7822	24.1852	54
21.7822	24.1852	62
21.7822	24.1852	38
21.7822	24.1852	50
24.1852	24.5615	74
24.5615	24.687	74
24.687	24.951	74
24.951	25.7002	74
24.951	25.7002	70
24.951	25.7002	79
24.951	25.7143	55
24.951	25.7143	67
24.951	25.7143	62
25.455	25.7143	81
25.7143	26.4816	75
25.7143	26.4816	78
25.7143	26.4816	82
25.7143	26.4816	55
25.7143	26.4816	72
26.223	26.4816	81
26.4816	27.1764	74
26.4816	27.0098	79
26.4816	27.2629	55
26.4816	28.0225	70
27.0098	28.0225	79
27.2629	27.6356	72
27.2629	27.6356	74
27.2629	28.0225	62
27.2629	28.0225	69
27.2629	28.0225	55
27.6356	27.7598	72
27.6356	27.7598	74
27.7598	28.0225	74
27.7598	28.0225	72
28.0225	28.7659	79
28.0225	28.7659	74
28.0225	28.7659	70
28.0225	28.7798	55
28.0225	28.7798	67
28.0225	28.7798	62
28.5218	28.7798	81
28.7798	29.5522	78
