OnsetTime	OffsetTime	MidiPitch
0.500004	1.34494	44
0.500004	0.928943	49
0.928943	1.54963	54
0.928943	1.54963	58
0.928943	1.34494	49
1.34494	1.76555	44
1.34494	1.54963	49
1.54963	1.76555	49
1.54963	1.76555	54
1.54963	1.76555	58
1.76555	2.59798	44
1.76555	2.18589	49
2.18589	2.80267	54
2.18589	2.80267	61
2.18589	2.80267	58
2.18589	2.59798	49
2.59798	2.84046	44
2.59798	2.80267	49
2.80267	3.0186	61
2.80267	3.0186	58
2.80267	3.0186	54
2.80267	3.0186	49
3.0186	3.86525	44
3.0186	3.45044	49
3.45044	4.0713	53
3.45044	4.0713	56
3.45044	3.86525	49
3.86525	4.26336	44
3.86525	4.0713	49
4.0713	4.28872	49
4.0713	4.28872	53
4.0713	4.28872	56
4.28872	5.12115	44
4.28872	4.70906	49
4.70906	5.12115	49
4.70906	5.32454	61
4.70906	5.32454	53
5.12115	5.36258	44
5.12115	5.32454	49
5.32454	5.54196	61
5.32454	5.54196	53
5.32454	5.54196	49
5.54196	6.38862	44
5.54196	5.97381	49
5.97381	6.38862	49
5.97381	6.59332	54
5.97381	6.59332	51
6.38862	6.76238	44
6.38862	6.59332	49
6.59332	6.80736	51
6.59332	6.80736	49
6.59332	6.80736	54
6.80736	7.63978	44
6.80736	7.2277	49
7.2277	7.84317	61
7.2277	7.84317	54
7.2277	7.84317	51
7.2277	7.63978	49
7.63978	7.91154	44
7.63978	7.84317	49
7.84317	8.05909	54
7.84317	8.05909	61
7.84317	8.05909	51
7.84317	8.05909	49
8.05909	8.95368	44
8.05909	8.50624	49
8.50624	9.40486	61
8.50624	9.40486	53
8.50624	8.95368	49
8.95368	9.8601	44
8.95368	9.40486	49
9.40486	10.3192	53
9.40486	10.3192	61
9.40486	9.8601	49
9.8601	10.7828	44
9.8601	10.3192	49
10.3192	10.8607	61
10.3192	10.8607	53
10.3192	10.7828	49
10.7828	11.7233	44
10.7828	11.251	49
11.251	11.7233	49
11.251	12.216	61
11.251	12.216	53
11.7233	12.7371	44
11.7233	12.216	49
12.216	15.7551	61
12.216	15.7551	53
12.216	12.7371	49
12.7371	15.7551	44
12.7371	15.7551	49
16.1054	16.3213	54
16.1054	16.3213	58
16.1054	16.952	44
16.1054	16.952	49
16.5372	17.7971	54
16.5372	17.7971	58
16.5372	17.1581	56
16.952	17.374	60
16.952	17.2588	44
16.952	17.2588	49
17.1581	17.374	56
17.374	17.5856	63
17.374	18.212	44
17.374	18.212	49
17.7971	18.6313	58
17.7971	18.6313	54
17.7971	18.5161	63
17.7971	18.4153	56
18.212	18.6313	60
18.212	18.5161	44
18.212	18.5161	49
18.4153	18.6313	56
18.6313	18.8472	53
18.6313	18.8472	56
18.6313	18.8472	61
18.6313	19.4779	44
18.6313	19.4779	49
19.0631	20.3317	53
19.0631	19.7991	61
19.0631	19.684	56
19.4779	19.8999	60
19.4779	19.7991	44
19.4779	19.7991	49
19.684	19.8963	56
19.8999	20.3317	56
19.8999	20.7549	44
19.8999	20.7549	49
20.3317	21.1827	53
20.3317	20.9502	56
20.7549	20.9623	44
20.7549	20.9623	49
20.9623	21.1827	56
21.1827	21.3987	51
21.1827	21.3987	54
21.1827	22.0294	44
21.1827	22.0294	49
21.6146	22.8745	51
21.6146	22.8745	54
21.6146	22.2355	56
22.0294	22.4514	58
22.0294	22.3362	44
22.0294	22.3362	49
22.2355	22.4514	56
22.4514	22.6629	60
22.4514	23.2893	44
22.4514	23.2893	49
22.8745	23.7086	54
22.8745	23.7086	51
22.8745	23.5935	60
22.8745	23.2893	56
23.2893	23.4927	56
23.2893	23.5935	44
23.2893	23.5935	49
23.4927	23.7086	56
23.7086	23.9246	56
23.7086	23.9246	61
23.7086	24.5553	44
23.7086	24.5553	49
24.1405	25.4091	53
24.1405	24.9773	61
24.1405	24.7614	56
24.5553	24.8693	44
24.5553	24.8693	49
24.7614	24.9773	56
24.9773	25.1932	60
24.9773	25.8294	44
24.9773	25.8294	49
25.4091	26.2573	53
25.4091	26.2573	60
25.4091	26.0248	56
25.8294	26.0369	44
25.8294	26.0369	49
26.0369	26.2573	56
26.2573	26.4732	54
26.2573	26.4732	58
26.2573	27.104	44
26.2573	27.104	49
26.6892	27.9491	54
26.6892	27.9491	58
26.6892	27.31	56
27.104	27.526	60
27.104	27.4108	44
27.104	27.4108	49
27.31	27.526	56
27.526	27.7375	63
27.526	28.3639	44
27.526	28.3639	49
27.9491	28.7832	58
27.9491	28.7832	54
27.9491	28.6681	63
27.9491	28.5673	56
28.3639	28.7832	60
28.3639	28.6681	44
28.3639	28.6681	49
28.5673	28.7832	56
28.7832	28.9991	53
28.7832	28.9991	56
28.7832	28.9991	61
28.7832	29.6299	44
28.7832	29.6299	49
29.2151	30.4837	53
29.2151	29.8359	61
29.2151	29.8359	56
29.6299	29.9439	60
29.6299	29.9943	44
29.6299	29.9943	49
29.8359	29.9943	61
29.8359	30.0483	56
29.9439	30.0519	60
30.0519	30.4837	56
30.0519	30.9068	44
30.0519	30.9068	49
30.4837	31.3347	53
30.4837	31.1021	56
30.9068	31.1142	44
30.9068	31.1142	49
31.1142	31.3347	56
31.3347	31.5506	58
31.3347	31.5506	54
31.3347	31.5506	63
31.3347	32.1814	44
31.3347	32.1814	49
31.7665	32.4882	63
31.7665	33.7454	54
31.7665	33.0265	58
31.7665	32.3874	56
32.1814	32.6033	65
32.1814	32.4882	44
32.1814	32.4882	49
32.3874	32.6033	56
32.6033	32.8149	66
32.6033	33.4413	44
32.6033	33.4413	49
33.0265	33.7454	58
33.0265	33.7454	66
33.0265	33.6447	56
33.4413	33.8606	60
33.4413	33.8606	65
33.4413	33.7454	44
33.4413	33.7454	49
33.6447	33.8606	56
33.8606	37.5859	53
33.8606	37.5859	61
33.8606	34.7072	44
33.8606	34.7072	49
34.2924	34.9133	56
34.7072	35.1292	44
34.7072	35.1292	49
34.9133	35.1616	56
35.1292	35.9814	44
35.1292	35.9814	49
35.5611	36.1767	56
35.9814	36.1888	44
35.9814	36.1888	49
36.1888	37.5859	56
36.3191	37.5859	37
36.4325	36.8643	59
36.4325	36.8643	62
36.4325	36.8643	65
36.4325	36.8643	68
36.4325	37.2791	49
36.8643	38.1242	59
36.8643	38.1242	62
36.8643	38.5391	65
36.8643	37.5859	68
37.2791	38.1242	49
37.4852	38.8432	70
37.7011	38.8432	68
37.7011	38.9584	37
38.1242	38.5391	62
38.1242	38.5391	59
38.1242	38.8432	66
38.1242	38.5391	49
38.5391	38.8432	59
38.5391	38.8432	62
38.5391	38.8432	65
38.5391	38.8432	49
38.9584	39.3902	66
38.9584	39.805	37
39.3902	40.2774	58
39.3902	40.119	63
39.3902	39.908	66
39.3902	40.0111	49
39.805	40.0111	65
39.805	40.227	37
39.908	40.2774	66
40.0111	40.2774	65
40.0111	40.2774	49
40.119	40.227	63
40.227	41.5099	63
40.227	41.082	37
40.6588	41.5099	58
40.6588	41.5099	54
40.6588	41.2773	49
41.082	41.2894	37
41.2894	41.5099	49
41.5099	43.2016	57
41.5099	42.3565	37
41.9417	42.6633	65
41.9417	42.5626	49
42.3565	42.6633	37
42.5626	42.6705	63
42.5626	43.2016	49
42.6705	43.2016	65
42.7785	43.9206	63
42.7785	43.6164	37
43.2016	44.0357	65
43.2016	44.0357	57
43.2016	43.9206	61
43.2016	43.8198	49
43.6164	44.0357	60
43.6164	43.9206	37
43.8198	44.0357	49
44.0357	44.2517	61
44.0357	44.8824	37
44.4676	45.3044	65
44.4676	45.3044	58
44.4676	45.3044	61
44.4676	45.0885	49
44.8824	45.1964	37
45.0885	45.3044	49
45.3044	45.5203	60
45.3044	46.1566	37
45.7362	46.6055	65
45.7362	47.759	56
45.7362	47.759	60
45.7362	46.3519	49
46.1566	46.364	37
46.364	46.6055	49
46.4921	47.759	37
46.6055	47.0374	59
46.6055	47.0374	62
46.6055	47.0374	65
46.6055	47.0374	68
46.6055	47.4522	49
