OnsetTime	OffsetTime	MidiPitch
1.08799	1.41007	70
1.41007	1.9322	70
1.41007	1.72413	39
1.51468	2.13752	58
1.51468	1.82852	55
1.61959	2.13752	67
1.61959	1.9322	46
1.72413	2.23973	75
1.72413	2.03503	39
1.82852	2.44297	63
1.82852	2.54408	55
1.9322	2.44297	70
1.9322	2.23973	46
2.03503	2.54408	79
2.03503	2.34152	39
2.13752	2.74515	67
2.13752	2.8452	58
2.23973	2.74515	75
2.23973	2.64478	46
2.34152	2.8452	82
2.34152	3.24287	39
2.44297	3.04344	70
2.44297	3.24287	63
2.54408	3.04344	79
2.54408	3.24287	55
2.64478	3.24287	87
2.64478	3.24287	46
2.74515	3.24287	75
2.74515	3.24287	67
2.8452	3.14276	82
2.8452	3.14276	58
2.94484	3.24287	91
2.94484	3.24287	51
3.04344	3.24287	79
3.04344	3.24287	70
3.14276	3.24287	82
3.14276	3.24287	58
3.24287	3.55121	89
3.24287	3.54737	51
3.34338	3.55121	74
3.34338	3.55121	71
3.44523	3.55121	80
3.44523	3.55121	59
3.54737	3.87738	87
3.54737	3.85544	51
3.64978	3.87738	75
3.64978	3.87738	72
3.75247	3.87738	80
3.75247	3.87738	60
3.85544	4.16991	84
3.85544	4.16991	51
3.95869	4.17443	72
3.95869	4.17443	68
4.06194	4.17443	80
4.06194	4.17443	62
4.16991	4.50786	84
4.16991	4.50786	51
4.27318	4.50786	72
4.27318	4.50786	67
4.37671	4.50786	79
4.37671	4.50786	63
4.48053	5.1137	82
4.48053	5.1137	58
4.5847	5.00437	70
4.5847	4.89896	67
4.68916	5.10921	75
4.68916	4.89896	63
4.79392	5.1137	79
4.79392	5.1137	51
4.89896	5.1137	67
4.89896	5.1137	63
5.00437	5.1137	70
5.00437	5.1137	55
5.10921	5.42344	75
5.10921	5.42344	41
5.2119	5.42344	63
5.2119	5.42344	60
5.3143	5.42344	69
5.3143	5.42344	53
5.41644	5.72499	74
5.41644	5.72499	48
5.5183	5.72499	62
5.5183	5.72499	60
5.61989	5.72499	69
5.61989	5.72499	53
5.7212	6.02352	75
5.7212	6.02352	41
5.82225	6.02352	63
5.82225	6.02352	60
5.92302	6.02352	69
5.92302	6.02352	53
6.02352	6.33733	79
6.02352	6.33733	46
6.122	6.33733	67
6.122	6.33733	63
6.2208	6.33733	70
6.2208	6.33733	53
6.31992	6.64145	77
6.31992	6.64145	50
6.41944	6.64145	65
6.41944	6.64145	62
6.51929	6.64145	70
6.51929	6.64145	53
6.61947	6.92633	74
6.61947	6.92633	46
6.72004	6.92633	62
6.72004	6.92633	58
6.82094	6.92633	65
6.82094	6.92633	53
6.92171	7.24283	75
6.92171	7.24283	41
7.02724	7.24283	63
7.02724	7.24283	60
7.13115	7.24283	69
7.13115	7.24283	53
7.23567	7.55034	74
7.23567	7.55034	48
7.3397	7.55034	62
7.3397	7.55034	59
7.44332	7.55034	69
7.44332	7.55034	53
7.54648	7.87473	75
7.54648	7.87473	41
7.64996	7.87473	63
7.64996	7.87473	60
7.75454	7.87473	69
7.75454	7.87473	53
7.87473	8.20487	79
7.87473	8.20487	46
7.97904	8.20487	67
7.97904	8.20487	63
8.0832	8.20487	72
8.0832	8.20487	56
8.18683	8.51831	77
8.18683	8.39301	53
8.28992	8.51831	65
8.28992	8.51831	62
8.39301	8.51831	68
8.39301	8.51831	53
8.49565	8.82537	72
8.49565	8.82537	46
8.59988	8.82537	60
8.59988	8.82537	56
8.70591	8.82537	65
8.70591	8.82537	50
8.81189	9.33403	70
8.81189	9.12595	39
8.91651	9.53935	58
8.91651	9.23035	55
9.02141	9.53935	67
9.02141	9.33403	46
9.12595	9.64156	75
9.12595	9.43686	39
9.23035	9.84535	63
9.23035	9.94646	55
9.33403	9.84535	70
9.33403	9.64156	46
9.43686	9.94646	79
9.43686	9.74335	39
9.53935	10.1475	67
9.53935	10.2476	58
9.64156	10.1475	75
9.64156	10.0472	46
9.74335	10.2476	82
9.74335	10.6453	39
9.84535	10.4458	70
9.84535	10.6453	63
9.94646	10.4458	79
9.94646	10.6453	55
10.0472	10.6453	87
10.0472	10.6453	46
10.1475	10.6453	75
10.1475	10.6453	67
10.2476	10.5451	82
10.2476	10.5451	58
10.3472	10.6453	91
10.3472	10.6453	51
10.4458	10.6453	79
10.4458	10.6453	70
10.5451	10.6453	82
10.5451	10.6453	58
10.6453	10.9536	89
10.6453	10.9497	51
10.7458	10.9536	74
10.7458	10.9536	71
10.8476	10.9536	80
10.8476	10.9536	59
10.9497	11.2798	87
10.9497	11.2578	51
11.0522	11.2798	75
11.0522	11.2798	72
11.1548	11.2798	80
11.1548	11.2798	60
11.2578	11.5723	84
11.2578	11.5723	51
11.3611	11.5768	72
11.3611	11.5768	68
11.4643	11.5768	80
11.4643	11.5768	62
11.5723	11.9102	84
11.5723	11.9102	51
11.6756	11.9102	72
11.6756	11.9102	67
11.7791	11.9102	79
11.7791	11.9102	63
11.8829	12.5161	82
11.8829	12.5161	58
11.9871	12.5161	70
11.9871	12.3013	67
12.0915	12.4068	75
12.0915	12.3013	63
12.1963	12.5161	79
12.1963	12.5161	51
12.3013	12.5161	67
12.3013	12.5161	63
12.4068	12.5161	75
12.4068	12.5161	55
12.5116	12.827	78
12.5116	12.827	47
12.6154	12.827	66
12.6154	12.827	63
12.7178	12.827	75
12.7178	12.827	57
12.82	13.1285	77
12.82	13.1285	51
12.9218	13.1285	65
12.9218	13.1285	63
13.0234	13.1285	75
13.0234	13.1285	57
13.1247	13.4315	78
13.1247	13.4315	47
13.2258	13.4315	66
13.2258	13.4315	63
13.3265	13.4315	75
13.3265	13.4315	57
13.427	13.7366	79
13.427	13.7366	46
13.5281	13.7366	67
13.5281	13.7366	62
13.629	13.7366	74
13.629	13.7366	55
13.7297	14.0342	81
13.7297	14.0342	45
13.8302	14.0342	69
13.8302	14.0342	62
13.9304	14.0342	74
13.9304	14.0342	54
14.0305	14.335	82
14.0305	14.335	43
14.1303	14.335	70
14.1303	14.335	62
14.2299	14.335	74
14.2299	14.335	55
14.3304	14.6458	84
14.3304	14.6458	41
14.4343	14.6458	72
14.4343	14.6458	70
14.5367	14.6458	77
14.5367	14.6458	63
14.6388	14.9474	86
14.6388	14.9474	53
14.7407	14.9474	74
14.7407	14.9474	70
14.8423	14.9474	77
14.8423	14.9474	63
14.9436	15.2562	81
14.9436	15.2562	60
15.0446	15.2562	69
15.0446	15.2562	65
15.1454	15.2562	77
15.1454	15.2562	63
15.2562	15.5827	84
15.2562	15.5645	46
15.3586	15.5827	72
15.3586	15.5827	63
15.4613	15.5827	77
15.4613	15.5827	53
15.5645	15.9133	82
15.5645	15.8907	46
15.6682	15.9133	70
15.6682	15.9133	62
15.7724	15.8907	77
15.7724	15.9133	53
15.8907	16.1982	77
15.8907	16.2027	46
15.9938	16.2027	65
15.9938	16.2027	61
16.0969	16.2027	70
16.0969	16.2027	53
16.1982	16.518	77
16.1982	16.518	44
16.3015	16.518	65
16.3015	16.518	59
16.4057	16.518	71
16.4057	16.518	53
16.511	16.8197	75
16.511	16.8197	49
16.613	16.8197	63
16.613	16.8197	59
16.7146	16.8197	70
16.7146	16.8197	53
16.8159	17.1216	77
16.8159	17.1216	37
16.917	17.1216	61
16.917	17.1216	59
17.0177	17.1216	68
17.0177	17.1216	53
17.1216	17.4412	80
17.1216	17.4412	42
17.2259	17.4412	61
17.2259	17.4412	58
17.3247	17.4412	70
17.3247	17.4412	54
17.4238	17.7453	78
17.4238	17.7453	49
17.5233	17.7453	61
17.5233	17.7453	58
