OnsetTime	OffsetTime	MidiPitch
0.80001	4.84862	65
0.80001	4.84862	68
1.73751	4.40418	80
1.73751	3.51529	77
3.51529	5.25957	77
3.51529	5.25957	73
4.84862	8.62118	69
4.84862	8.62118	66
5.25957	5.65431	72
5.25957	5.65431	75
5.65431	6.08596	73
5.65431	6.08596	77
6.08596	9.05596	75
6.08596	9.05596	72
8.62118	12.4919	65
8.62118	12.4919	68
9.05596	9.46976	73
9.05596	9.46976	70
9.46976	9.86976	75
9.46976	9.86976	72
9.86976	13.3142	70
9.86976	11.8444	73
10.5414	12.2131	77
11.8444	13.3142	73
12.4919	16.2661	63
12.4919	16.2661	66
12.9115	13.7309	72
12.9115	13.7309	68
13.3142	15.7449	70
13.3142	15.7449	73
13.7309	16.6886	72
13.7309	16.6886	68
16.2661	18.6839	66
16.2661	18.6839	63
16.2661	18.6839	61
16.6886	17.1012	70
17.1012	17.5012	72
17.5012	18.267	70
17.9094	18.2891	75
18.2891	18.6839	70
18.6839	19.0735	68
18.6839	19.8427	66
18.6839	19.8427	60
18.6839	19.8427	63
19.0735	19.4556	70
19.4556	20.2454	68
19.8427	22.184	63
19.8427	22.184	58
19.8427	22.184	61
20.2454	20.6325	66
20.6325	21.0075	68
21.0075	22.184	66
22.184	23.3605	63
22.184	23.7743	65
22.184	23.3605	57
22.184	23.3605	60
23.3605	25.7644	61
23.3605	25.7644	56
23.3605	26.9334	58
23.7743	24.1797	65
24.1797	24.577	66
24.577	24.9852	65
24.9852	25.534	70
25.3723	25.7644	65
25.7644	26.149	63
25.7644	26.9334	54
26.149	26.5412	65
26.5412	27.3255	63
26.9334	31.2106	58
26.9334	31.2106	53
26.9334	29.2735	56
27.3255	27.7151	61
27.7151	28.1047	63
28.1047	31.2106	61
29.2735	31.2106	56
29.2735	31.2106	60
29.2735	31.2106	51
29.2735	31.2106	54
29.9878	34.538	44
30.9236	34.538	37
31.368	34.538	56
31.368	34.538	53
31.7602	34.9824	65
31.7602	34.9824	68
32.3157	34.538	80
32.3157	33.6491	77
33.6491	35.3934	73
33.6491	35.3934	77
34.9824	37.4758	42
34.9824	35.3934	49
35.3934	38.7086	66
35.3934	35.7881	75
35.3934	38.7086	70
35.3934	38.7086	61
35.3934	38.7086	58
35.3934	38.7086	54
35.3934	38.7086	49
35.7881	36.2197	77
36.2197	39.1434	75
38.7086	41.2936	41
38.7086	41.2936	49
39.1434	39.5572	73
39.1434	40.026	68
39.1434	39.5572	61
39.1434	40.026	53
39.1434	40.026	56
39.5572	40.026	75
39.5572	40.026	63
40.026	41.2936	68
40.026	41.2936	73
40.026	41.2936	80
40.026	41.2936	65
40.026	41.2936	61
41.2936	42.5612	73
41.2936	42.5612	65
41.2936	42.9721	77
41.2936	42.5612	56
41.2936	42.5612	61
42.5612	45.0661	42
42.5612	42.9721	49
42.9721	43.3669	75
42.9721	46.3337	66
42.9721	46.3337	70
42.9721	46.3337	61
42.9721	46.3337	58
42.9721	46.3337	54
42.9721	46.3337	49
43.3669	43.7985	77
43.7985	45.0661	75
45.0661	46.7685	73
46.3337	50.2751	44
46.7685	47.6548	68
46.7685	47.1823	73
46.7685	47.1823	61
46.7685	47.6548	53
46.7685	47.6548	59
47.1823	47.6548	63
47.1823	47.6548	75
47.6548	48.3524	70
47.6548	48.3524	82
47.6548	49.6413	77
47.6548	49.4301	65
47.6548	49.4301	61
47.6548	49.4301	59
48.3524	49.6413	80
48.3524	49.6413	68
49.6413	50.6861	65
49.6413	50.6861	77
50.2751	52.8819	46
50.6861	54.7141	65
50.6861	51.0658	75
50.6861	53.5637	70
50.6861	52.1911	63
50.6861	54.7141	53
50.6861	54.7141	58
51.0658	51.4768	77
51.4768	52.1911	75
52.1911	53.5637	73
52.1911	54.7141	61
53.5637	54.7141	70
54.7141	57.1645	27
54.7141	57.1645	39
55.3579	56.4002	82
55.3579	57.1645	77
55.3579	57.1645	89
55.3579	56.4002	70
55.3579	56.4002	66
55.3579	57.1645	65
56.4002	56.7824	87
56.4002	56.7824	82
56.4002	56.7824	75
56.4002	56.7824	63
56.4002	56.7824	66
56.4002	56.7824	70
56.7824	57.1645	82
56.7824	57.1326	87
56.7824	57.1326	75
56.7824	57.1326	63
56.7824	57.1645	66
56.7824	57.1645	70
57.1645	57.5593	75
57.1645	57.5593	87
57.1645	57.5593	82
57.1645	57.5593	63
57.1645	57.5593	66
57.1645	57.5593	70
57.5593	57.9414	82
57.5593	57.9414	73
57.5593	57.9414	85
57.5593	57.9414	61
57.5593	57.9414	66
57.5593	57.9414	70
57.9414	58.2917	73
57.9414	58.2917	85
57.9414	58.2917	82
