OnsetTime	OffsetTime	MidiPitch
0.500004	0.552012	50
0.500004	0.552012	57
0.70805	0.759039	59
0.70805	0.759039	65
0.912019	0.961412	60
0.912019	0.961412	53
1.10958	1.16301	69
1.10958	1.16301	62
1.32328	1.49218	59
1.32328	1.52596	50
1.52596	1.62665	59
1.62665	1.72734	60
1.72734	1.92368	69
1.72734	1.92368	65
1.72734	1.92368	59
1.92368	2.0873	57
2.14184	2.22037	59
2.14184	2.35125	50
2.56067	2.72203	65
2.56067	2.72203	69
2.56067	2.72203	60
2.99096	3.19901	59
2.99096	3.40297	45
3.19901	3.40297	60
3.40297	3.80316	72
3.40297	3.80316	69
3.40297	3.50302	62
3.60307	3.70311	64
3.80316	3.90193	66
3.80316	4.19342	38
4.00071	4.06494	66
4.06494	4.12918	67
4.12918	4.19342	66
4.19342	4.3935	64
4.19342	4.60292	72
4.19342	4.60292	69
4.3935	4.60292	62
4.60292	4.77742	60
4.60292	5.02172	45
4.81232	4.98682	62
5.02172	5.40563	72
5.02172	5.40563	69
5.02172	5.40563	64
5.44053	5.64857	64
5.44053	5.85254	40
5.64857	5.85254	66
5.85254	5.94949	68
5.85254	6.26016	59
6.04644	6.1533	69
6.26016	6.43126	66
6.26016	6.66946	52
6.46548	6.56747	66
6.56747	6.66946	68
6.66946	6.86954	66
6.66946	6.86954	62
6.66946	7.0877	57
6.86954	7.03316	60
6.86954	7.03316	64
7.0877	7.29437	66
7.0877	7.29437	62
7.0877	7.50103	40
7.50103	7.71617	62
7.50103	7.71617	66
7.50103	7.71617	69
7.93131	8.14502	68
7.93131	8.14502	64
7.93131	8.5588	59
7.93131	10.4485	52
8.14502	8.3451	66
8.14502	8.3451	69
8.3451	8.94253	64
8.3451	8.94253	68
8.5588	8.76685	60
8.76685	9.39129	59
8.97767	9.17903	66
8.97767	9.17903	69
9.17903	9.77132	68
9.17903	9.77132	71
9.39129	9.59796	60
9.59796	10.2141	62
9.80599	10.0061	69
9.80599	10.0061	72
10.0061	10.2141	64
10.0061	10.4485	68
10.2141	10.4485	64
10.4485	10.6552	76
10.4485	10.6552	79
10.4485	11.2672	69
10.4485	11.2672	60
10.4485	11.2672	53
10.6552	10.7559	74
10.6552	10.7559	77
10.7559	10.8566	76
10.7559	10.8566	79
10.8566	11.0632	74
10.8566	11.0632	77
11.0632	11.2672	72
11.0632	11.2672	76
11.2672	11.4739	74
11.2672	11.4739	70
11.2672	12.0995	65
11.2672	12.0995	62
11.2672	12.0995	55
11.4739	11.6861	69
11.4739	11.6861	72
11.6861	12.3061	70
11.6861	12.3061	74
12.0995	12.9208	48
12.0995	12.9208	55
12.0995	12.9208	64
12.3061	12.4068	69
12.3061	12.4068	72
12.4068	12.5075	70
12.4068	12.5075	74
12.5075	12.7142	72
12.5075	12.7142	69
12.7142	12.9208	70
12.7142	12.9208	67
12.9208	13.1289	65
12.9208	13.1289	69
12.9208	13.3411	53
12.9208	13.3411	57
12.9208	13.3411	60
13.1289	13.3411	64
13.1289	13.3411	67
13.3411	13.7226	65
13.3411	13.7226	69
13.3411	13.7226	50
13.3411	13.7226	57
13.3411	13.7226	62
13.7572	14.5667	69
13.7572	13.9599	76
13.7572	13.9599	79
13.7572	14.5667	41
13.7572	14.5667	57
13.7572	14.5667	48
13.9599	14.0593	74
13.9599	14.0593	77
14.0593	14.1587	76
14.0593	14.1587	79
14.1587	14.3654	74
14.1587	14.3654	77
14.3654	14.5667	72
14.3654	14.5667	76
14.5667	15.3948	65
14.5667	14.7734	70
14.5667	14.7734	74
14.5667	15.3948	43
14.5667	15.3948	58
14.5667	15.3948	50
14.7734	14.9842	69
14.7734	14.9842	72
14.9842	15.6002	70
14.9842	15.6002	74
15.3948	16.2149	64
15.3948	16.2149	48
15.3948	16.2149	55
15.3948	16.2149	60
15.6002	15.7008	69
15.6002	15.7008	72
15.7008	15.8015	70
15.7008	15.8015	74
15.8015	16.0082	72
15.8015	16.0082	69
16.0082	16.2149	70
16.0082	16.2149	67
16.2149	16.4258	65
16.2149	16.4258	69
16.2149	16.8492	53
16.2149	16.8492	60
16.4258	16.641	64
16.4258	16.641	67
16.641	17.678	65
16.641	17.2589	69
16.8492	17.0521	52
17.0521	17.678	50
17.0521	17.8809	53
17.2589	17.4699	67
17.4699	18.0878	69
17.678	17.8809	64
17.678	17.8809	48
17.8809	20.3289	62
17.8809	19.9178	53
17.8809	18.4975	47
18.0878	18.2906	67
18.2906	18.9032	69
18.4975	18.7003	45
18.7003	19.3143	43
18.9032	19.1114	71
19.1114	19.3143	74
19.3143	19.5121	71
19.3143	19.5121	45
19.5121	19.715	69
19.5121	20.3289	47
19.715	19.9178	71
19.9178	20.1207	64
19.9178	20.1207	55
20.1207	20.3289	67
20.1207	20.3289	52
20.3289	22.7717	62
20.3289	20.5344	69
20.3289	20.9454	47
20.3289	22.5635	53
20.5344	20.7399	67
20.7399	21.3486	69
20.9454	21.147	45
21.147	21.7583	43
21.3486	21.5554	71
21.5554	21.7583	74
21.7583	21.9549	71
21.7583	21.9549	45
21.9549	22.1578	69
21.9549	22.7717	47
22.1578	22.3607	71
22.3607	22.5635	69
22.5635	22.7717	65
22.5635	22.7717	55
22.7717	24.5987	64
22.7717	24.1998	60
22.7717	22.9785	56
22.7717	25.204	48
22.9785	23.1838	54
23.1838	23.3891	52
23.3891	23.5944	54
23.5944	23.7971	56
23.7971	23.8731	57
23.9989	24.0744	59
24.1998	25.204	60
24.3999	24.4745	62
24.5987	25.204	64
24.7975	24.8721	66
24.9959	25.0739	68
25.204	26.8679	62
25.204	27.0797	64
25.204	27.7524	47
25.204	25.412	56
25.412	25.6201	54
25.6201	25.8281	52
25.8281	26.0362	54
26.0362	26.2442	56
26.2442	26.3222	57
26.4513	26.5288	59
26.6585	26.7368	60
26.8679	27.7524	62
27.0797	27.7524	64
27.2941	27.3751	66
27.511	27.603	68
27.7524	27.8044	57
27.7524	27.8044	38
27.9604	28.0104	59
28.1605	28.2099	65
28.1605	28.2099	69
28.1605	28.2099	60
28.1605	28.2099	45
28.1605	28.2099	53
28.3581	28.4115	62
28.5718	28.7417	59
28.5718	28.7757	38
28.7757	28.8751	59
28.8751	28.9745	60
28.9745	29.1672	69
28.9745	29.1672	65
28.9745	29.1672	59
28.9745	29.0227	53
28.9745	29.0227	45
29.1672	29.3264	57
29.3795	29.4555	59
29.3795	29.5822	38
29.7849	29.9462	65
29.7849	29.9462	69
29.7849	29.9462	60
29.7849	29.8386	53
29.7849	29.8386	45
30.2151	30.4218	59
30.2151	30.2668	38
30.4218	30.6232	60
30.6232	31.0183	72
30.6232	31.0183	69
30.6232	30.722	62
30.6232	30.6726	54
30.6232	30.6726	45
30.8207	30.9195	64
31.0183	31.1171	66
31.0183	31.2158	38
31.2158	31.2805	66
31.2805	31.3451	67
31.3451	31.4097	66
31.4097	31.8112	72
31.4097	31.8112	69
