OnsetTime	OffsetTime	MidiPitch
0.500004	1.46092	78
0.624244	1.46092	50
0.748484	1.46092	56
0.872724	1.46092	68
0.872724	1.46092	59
0.995757	1.46092	69
0.995757	1.46092	66
1.11272	1.46092	70
1.2292	1.46092	71
1.34528	1.46092	72
1.46092	1.57609	73
1.57609	1.69088	74
1.69088	1.80522	75
1.80522	1.91918	76
1.91918	2.39402	81
2.03313	2.39402	76
2.03313	2.39402	49
2.14769	2.39402	73
2.14769	2.39402	57
2.26283	2.39402	69
2.26283	2.39402	64
2.38917	2.86268	67
2.50569	2.86268	46
2.61957	2.86268	52
2.73344	2.86268	76
2.73344	2.86268	61
2.85275	3.3288	68
2.97205	3.3288	47
3.08507	3.3288	52
3.19808	3.3288	76
3.19808	3.3288	62
3.31692	3.79367	67
3.43574	3.79367	46
3.54832	3.79367	52
3.66091	3.79367	76
3.66091	3.79367	61
3.78068	4.26111	68
3.90047	4.26111	47
4.01306	4.26111	52
4.12564	4.26111	77
4.12564	4.26111	62
4.26111	5.22202	78
4.38535	5.22202	50
4.50959	5.22202	56
4.63383	5.22202	68
4.63383	5.22202	59
4.75686	5.22202	69
4.75686	5.22202	66
4.87382	5.22202	70
4.99031	5.22202	71
5.10638	5.22202	72
5.22202	5.3372	73
5.3372	5.45198	74
5.45198	5.56632	75
5.56632	5.68028	76
5.68028	6.16127	81
5.79423	6.16127	76
5.79423	6.16127	49
5.90879	6.16127	73
5.90879	6.16127	57
6.02394	6.16127	69
6.02394	6.16127	64
6.16127	7.12218	85
6.28551	7.12218	57
6.40975	7.12218	63
6.53399	7.12218	75
6.53399	7.12218	66
6.65702	7.12218	76
6.65702	7.12218	73
6.77398	7.12218	77
6.89047	7.12218	78
7.00654	7.12218	79
7.12218	7.23736	80
7.23736	7.35214	81
7.35214	7.46648	82
7.46648	7.58044	83
7.58044	8.05528	88
7.69439	8.05528	83
7.69439	8.05528	56
7.80895	8.05528	80
7.80895	8.05528	64
7.9241	8.05528	76
7.9241	8.05043	71
8.05043	8.99432	71
8.16696	8.99432	47
8.28083	8.99432	56
8.3947	8.99432	80
8.3947	8.98205	64
8.51401	8.99432	68
8.85933	8.99432	76
8.98205	9.33871	64
9.10476	9.97076	47
9.22174	9.97076	55
9.33871	9.97076	73
9.33871	9.97076	64
9.46399	9.97076	61
9.82979	9.97076	70
9.96526	11.0867	60
10.0972	11.0867	47
10.2262	11.0867	54
10.3553	11.0867	69
10.3553	11.0867	63
10.4999	11.0867	57
10.9179	11.0867	66
11.0714	11.8604	56
11.2249	11.8604	40
11.3688	11.8604	47
11.5127	11.8604	64
11.6789	11.8604	28
12.3439	13.3048	78
12.4681	13.3048	50
12.5924	13.3048	56
12.7166	13.3048	68
12.7166	13.3048	59
12.8396	13.3048	69
12.8396	13.3048	66
12.9566	13.3048	70
13.0731	13.3048	71
13.1892	13.3048	72
13.3048	13.42	73
13.42	13.5348	74
13.5348	13.6491	75
13.6491	13.7631	76
13.7631	14.2379	81
13.877	14.2379	76
13.877	14.2379	49
13.9916	14.2379	73
13.9916	14.2379	57
14.1067	14.2379	69
14.1067	14.2379	64
14.233	14.7066	67
14.3496	14.7066	46
14.4634	14.7066	52
14.5773	14.7066	76
14.5773	14.7066	61
14.6966	15.1727	68
14.8159	15.1727	47
14.9289	15.1727	52
15.042	15.1727	76
15.042	15.1727	62
15.1608	15.6375	67
15.2796	15.6375	46
15.3922	15.6375	52
15.5048	15.6375	76
15.5048	15.6375	61
15.6246	16.105	68
15.7443	16.105	47
15.8569	16.105	52
15.9695	16.105	77
15.9695	16.105	62
16.105	17.0659	78
16.2292	17.0659	50
16.3535	17.0659	56
16.4777	17.0659	68
16.4777	17.0659	59
16.6007	17.0659	69
16.6007	17.0659	66
16.7177	17.0659	70
16.8342	17.0659	71
16.9503	17.0659	72
17.0659	17.1811	73
17.1811	17.2959	74
17.2959	17.4102	75
17.4102	17.5242	76
17.5242	18.0051	81
