OnsetTime	OffsetTime	MidiPitch
0.969083	1.23567	45
0.995462	1.24551	52
1.02184	1.14709	57
1.04822	1.24551	60
1.06802	1.24551	64
1.08781	1.24551	69
1.10761	1.24551	72
1.1274	1.24551	81
1.54828	1.63422	69
1.64204	1.76015	69
1.76015	1.87826	72
1.87826	1.99105	71
1.99105	2.10383	69
2.10383	2.3431	52
2.12567	2.35294	59
2.1475	2.25452	64
2.16933	2.35294	68
2.18571	2.35294	71
2.20208	2.35294	76
2.21846	2.35294	80
2.23483	2.35294	88
2.65654	2.74248	64
2.7503	2.86841	64
2.86841	2.98652	68
2.98652	3.09931	66
3.09931	3.21209	64
3.21209	3.45108	45
3.23389	3.46092	52
3.25568	3.3625	57
3.27747	3.46092	60
3.29381	3.46092	64
3.31014	3.46092	69
3.32648	3.46092	72
3.34281	3.46092	81
3.76624	3.85218	69
3.86	3.97811	69
3.97811	4.09622	72
4.09622	4.21433	71
4.21433	4.33244	69
4.33244	4.5771	52
4.35363	4.58779	59
4.37482	4.48094	64
4.39601	4.58779	68
4.4119	4.58779	71
4.42779	4.58779	80
4.44369	4.58779	88
4.45958	4.9724	76
4.9724	5.10061	64
5.48523	5.72683	45
5.50702	5.73691	52
5.52881	5.6361	57
5.55061	5.73691	60
5.56694	5.73691	64
5.58328	5.73691	69
5.59961	5.73691	72
5.61595	5.73691	81
6.04568	6.13161	69
6.13943	6.25754	69
6.25754	6.37566	72
6.37566	6.48844	71
6.48844	6.60123	69
6.60123	6.84021	52
6.62302	6.85006	59
6.64482	6.75163	64
6.66661	6.85006	68
6.68294	6.85006	71
6.69928	6.85006	76
6.71561	6.85006	80
6.73195	6.85006	88
7.15626	7.2422	64
7.25002	7.36813	64
7.36813	7.48624	68
7.48624	7.59987	66
7.59987	7.7135	64
7.7135	7.95222	45
7.73524	7.96206	52
7.75698	7.86364	57
7.77872	7.96206	60
7.79503	7.96206	64
7.81134	7.96206	69
7.82764	7.96206	72
7.84395	7.96206	81
8.26826	8.3542	69
8.36202	8.48013	69
8.48013	8.59824	72
8.59824	8.71635	71
8.71635	8.83446	69
8.83446	9.07696	52
8.85529	9.08765	59
8.87612	8.98081	64
8.89695	9.08765	68
8.91257	9.08765	71
8.92819	9.08765	80
8.94382	9.08765	88
8.95944	9.47227	76
9.47227	9.60048	64
9.98509	10.2174	45
10.0068	10.2267	52
10.0286	10.1341	57
10.0503	10.2267	61
10.0666	10.2267	76
10.0829	10.2267	81
10.0992	10.2267	85
10.1155	10.2267	93
10.5208	10.6067	81
