OnsetTime	OffsetTime	MidiPitch
0.500004	0.592313	65
0.57693	0.669238	66
0.653856	0.746097	65
0.730782	0.822621	67
0.807319	0.899144	68
0.883842	0.975668	69
0.960366	1.05219	68
1.03689	1.12834	70
1.1131	1.20449	71
1.18925	1.28063	72
1.2654	1.35678	71
1.34155	1.4326	73
1.41744	1.50835	74
1.4932	1.58411	75
1.56896	1.65987	74
1.64472	1.73536	76
1.72029	1.81073	77
1.79566	1.8861	78
1.87103	1.96147	77
1.90871	3.79871	53
1.9464	2.03664	79
1.9464	2.62008	59
1.98408	2.62008	62
2.02165	2.11164	80
2.02165	2.91711	68
2.09664	2.18663	81
2.17164	2.26163	80
2.24663	2.33649	82
2.32156	2.41112	83
2.39619	2.48575	84
2.47083	2.56038	83
2.54546	2.63492	86
2.58277	3.50692	60
2.62008	2.70918	84
2.62008	3.21319	63
2.69433	2.78344	85
2.76859	2.85769	84
2.84285	2.93195	86
2.91711	3.00621	87
2.91711	3.21319	67
2.99136	3.08018	89
3.0654	3.15408	87
3.1393	3.22791	90
3.21319	3.36026	91
3.21319	3.79871	63
3.28673	3.79871	92
3.36026	3.79871	91
3.43375	3.79871	95
3.50692	3.65306	96
3.50692	3.79871	60
3.58009	3.79871	97
3.65306	3.79871	96
3.72589	3.81327	98
3.79871	3.94434	99
3.87152	4.97568	98
3.94434	4.97568	99
4.01716	4.97568	97
4.08998	4.23593	96
4.1628	4.97568	95
4.23593	4.97568	96
4.30911	4.97568	94
4.38228	4.52862	93
4.45545	4.97568	92
4.52862	4.97568	93
4.60195	4.97568	91
4.67548	4.82255	90
4.74902	4.97568	89
4.82255	4.97568	90
4.89608	4.97568	88
4.96961	5.11524	87
5.04242	5.53522	86
5.11524	5.53522	87
5.18833	5.53522	85
5.26151	5.40852	84
5.33498	5.53522	83
5.40852	5.53522	84
5.40852	7.29816	53
5.44532	6.15414	57
5.48226	5.55616	82
5.48226	6.15414	60
5.51921	6.15414	63
5.55616	5.70457	81
5.55616	6.77502	66
5.63031	6.15414	80
5.70457	6.15414	81
5.7791	6.15414	79
5.85374	6.00355	78
5.92856	6.15414	77
6.00355	6.15414	78
6.07877	6.15414	75
6.11646	7.09501	58
6.15414	6.30639	74
6.15414	6.77502	62
6.22977	6.47019	73
6.30639	6.47019	74
6.38361	6.47019	72
6.46112	6.61728	70
6.46112	6.77502	65
6.53906	6.75253	69
6.61728	6.75253	70
6.69594	6.77502	68
6.77502	6.93424	67
6.77502	7.42141	61
6.85442	7.42141	66
6.93424	7.25735	67
7.01445	7.33915	65
7.09501	7.42141	73
7.09501	7.3802	58
7.17603	7.42141	70
7.25735	7.42141	67
7.29816	7.79408	53
7.33915	7.42141	65
7.33915	7.79408	55
7.3802	7.79408	58
7.42141	7.79408	64
7.42141	7.79408	61
8.09589	8.7185	97
8.09589	8.47595	88
8.09589	8.39973	91
8.17165	8.7185	94
8.24744	8.7185	90
8.24744	8.62902	81
8.24744	8.55248	84
8.32358	8.7185	87
8.39973	8.7185	91
8.39973	8.70568	85
8.39973	8.7185	82
8.47595	8.7185	88
8.55248	8.7185	84
8.55248	8.7185	75
8.55248	8.7185	78
8.62902	8.7185	81
8.70568	9.30185	85
8.70568	9.09031	76
8.70568	9.01338	79
8.7826	9.30185	82
8.85953	9.30185	78
8.85953	9.16723	72
8.85953	9.24416	69
8.93646	9.30185	75
9.01338	9.30185	79
9.01338	9.30185	73
9.01338	9.30185	70
9.09031	9.30185	76
9.16723	9.30185	72
9.16723	9.30185	63
9.16723	9.30185	66
9.24416	9.32108	69
9.32108	9.6477	73
9.32108	9.56958	64
