OnsetTime	OffsetTime	MidiPitch
0.500004	0.59934	71
0.59934	0.698676	69
0.698676	0.798011	68
0.798011	0.910798	69
0.910798	1.11774	72
0.910798	1.11774	57
1.10947	1.20881	64
1.10947	1.20881	60
1.32159	1.73524	74
1.32159	1.5216	60
1.32159	1.5216	64
1.4216	1.62161	72
1.5216	1.73524	71
1.5216	1.73524	60
1.5216	1.73524	64
1.62161	1.73524	72
1.73524	1.94219	76
1.73524	1.94219	57
1.93391	2.03325	64
1.93391	2.03325	60
2.14354	2.54571	77
2.14354	2.34221	64
2.14354	2.34221	60
2.24288	2.44155	76
2.34221	2.54571	75
2.34221	2.54571	64
2.34221	2.54571	60
2.44155	2.54571	76
2.54571	2.94306	83
2.54571	2.94306	57
2.64505	2.84372	81
2.74438	2.94306	80
2.74438	2.94306	64
2.74438	2.94306	60
2.84372	2.94306	81
2.94306	3.36161	83
2.94306	3.36161	57
3.04442	3.24711	81
3.14576	3.36161	80
3.14576	3.36161	64
3.14576	3.36161	60
3.24711	3.36161	81
3.36161	3.78835	84
3.36161	3.57457	57
3.5657	3.67208	64
3.5657	3.67208	60
3.78835	3.88769	81
3.78835	3.88769	64
3.78835	3.88769	60
3.98703	4.09417	84
3.98703	4.09417	64
3.98703	4.09417	60
4.16699	4.1893	79
4.1893	4.21162	81
4.21162	4.31297	83
4.21162	4.31297	52
4.41432	4.51566	78
4.41432	4.51566	81
4.41432	4.51566	64
4.41432	4.51566	59
4.61701	4.71635	76
4.61701	4.71635	79
4.61701	4.71635	64
4.61701	4.71635	59
4.81568	4.92282	78
4.81568	4.92282	81
4.81568	4.92282	64
4.81568	4.92282	59
4.99425	5.0167	79
5.0167	5.03915	81
5.03915	5.1405	83
5.03915	5.1405	52
5.24184	5.34319	78
5.24184	5.34319	81
5.24184	5.34319	64
5.24184	5.34319	59
5.44454	5.54387	76
5.44454	5.54387	79
5.44454	5.54387	64
5.44454	5.54387	59
5.64321	5.75113	78
5.64321	5.75113	81
5.64321	5.75113	64
5.64321	5.75113	59
5.81994	5.84214	79
5.84214	5.8895	81
5.86433	5.96501	83
5.86433	5.96501	52
6.06569	6.16636	78
6.06569	6.16636	81
6.06569	6.16636	64
6.06569	6.16636	59
6.26704	6.37653	76
6.26704	6.37653	79
6.26704	6.37653	47
6.48601	6.60229	75
6.48601	6.60229	78
6.48601	6.60229	59
6.71856	7.17588	76
6.71856	7.17588	52
7.20636	7.3057	71
7.3057	7.40503	69
7.40503	7.50437	68
7.50437	7.61716	69
7.61716	7.8241	72
7.61716	7.8241	57
7.81583	7.91516	64
7.81583	7.91516	60
8.02795	8.4416	74
8.02795	8.22796	60
8.02795	8.22796	64
8.12796	8.32797	72
8.22796	8.4416	71
8.22796	8.4416	60
8.22796	8.4416	64
8.32797	8.4416	72
8.4416	8.64855	76
8.4416	8.64855	57
8.64027	8.73961	64
8.64027	8.73961	60
8.8499	9.25207	77
8.8499	9.04857	64
8.8499	9.04857	60
8.94924	9.14791	76
9.04857	9.25207	75
9.04857	9.25207	64
9.04857	9.25207	60
9.14791	9.25207	76
9.25207	9.64941	83
9.25207	9.64941	57
9.35141	9.55008	81
9.45074	9.64941	80
9.45074	9.64941	64
9.45074	9.64941	60
9.55008	9.64941	81
9.64941	10.068	83
9.64941	10.068	57
9.75077	9.95347	81
9.85212	10.068	80
9.85212	10.068	64
9.85212	10.068	60
9.95347	10.068	81
10.068	10.4947	84
10.068	10.2809	57
10.2721	10.3784	64
10.2721	10.3784	60
10.4947	10.594	81
10.4947	10.594	64
10.4947	10.594	60
10.6934	10.8005	84
10.6934	10.8005	64
10.6934	10.8005	60
10.8733	10.8957	79
10.8957	10.918	81
10.918	11.0193	83
10.918	11.0193	52
11.1207	11.222	78
11.1207	11.222	81
11.1207	11.222	64
11.1207	11.222	59
11.3234	11.4227	76
11.3234	11.4227	79
11.3234	11.4227	64
11.3234	11.4227	59
11.522	11.6292	78
11.522	11.6292	81
11.522	11.6292	64
11.522	11.6292	59
11.7006	11.7231	79
11.7231	11.7455	81
11.7455	11.8469	83
11.7455	11.8469	52
11.9482	12.0496	78
11.9482	12.0496	81
11.9482	12.0496	64
11.9482	12.0496	59
12.1509	12.2502	76
12.1509	12.2502	79
12.1509	12.2502	64
12.1509	12.2502	59
12.3496	12.4575	78
12.3496	12.4575	81
12.3496	12.4575	64
12.3496	12.4575	59
12.5263	12.5485	79
12.5485	12.5957	81
12.5707	12.6707	83
12.5707	12.6707	52
12.7707	12.8707	78
12.7707	12.8707	81
12.7707	12.8707	64
12.7707	12.8707	59
12.9707	13.0794	76
12.9707	13.0794	79
12.9707	13.0794	47
13.1881	13.311	75
13.1881	13.311	78
13.1881	13.311	59
13.434	13.8667	76
13.434	13.8667	52
13.8955	14.0042	72
13.8955	14.0042	76
14.1129	14.2193	74
14.1129	14.2193	77
14.3257	14.4299	76
14.3257	14.4299	79
14.3257	14.4299	48
14.534	14.6382	76
14.534	14.6382	79
14.534	14.6382	60
14.7423	14.8451	81
14.7423	14.8451	52
14.8451	15.1729	79
14.9478	15.1729	77
14.9478	15.1729	64
15.0556	15.1729	76
15.1684	15.6018	74
15.1684	15.6018	71
15.1684	15.6018	55
15.3842	15.6018	67
15.6018	15.7105	72
15.6018	15.7105	76
15.8192	15.9255	74
15.8192	15.9255	77
16.0319	16.1361	76
16.0319	16.1361	79
16.0319	16.1361	48
16.2402	16.3444	76
16.2402	16.3444	79
16.2402	16.3444	60
16.4486	16.5513	81
16.4486	16.5513	52
16.5513	16.8791	79
16.654	16.8791	77
16.654	16.8791	64
16.7618	16.8791	76
16.8746	17.308	74
16.8746	17.308	71
16.8746	17.308	55
17.308	17.4216	69
17.308	17.4216	72
17.5352	17.6416	71
17.5352	17.6416	74
17.748	17.8522	72
17.748	17.8522	76
17.748	17.8522	45
17.9563	18.0605	72
17.9563	18.0605	76
17.9563	18.0605	57
18.1647	18.2674	77
18.1647	18.2674	48
18.2674	18.5952	76
18.3701	18.5952	74
18.3701	18.5952	60
18.4779	18.5952	72
18.5907	19.0223	71
18.5907	19.0223	68
18.5907	19.0223	52
18.8065	19.0223	64
19.0223	19.131	69
19.0223	19.131	72
19.2397	19.3461	71
19.2397	19.3461	74
19.4525	19.5566	72
19.4525	19.5566	76
19.4525	19.5566	45
19.6608	19.765	72
19.6608	19.765	76
19.6608	19.765	57
19.8691	19.9719	77
19.8691	19.9719	48
19.9719	20.2996	76
20.0746	20.2996	74
20.0746	20.2996	60
20.1823	20.2996	72
20.2951	20.7268	71
20.2951	20.7268	68
20.2951	20.7268	52
20.7268	20.8261	71
20.8261	20.9255	69
20.9255	21.0248	68
21.0248	21.1376	69
21.1376	21.3445	72
21.1376	21.3445	57
21.3362	21.4356	64
21.3362	21.4356	60
21.5484	21.962	74
21.5484	21.7484	60
21.5484	21.7484	64
21.6484	21.8484	72
21.7484	21.962	71
21.7484	21.962	60
21.7484	21.962	64
21.8484	21.962	72
21.962	22.169	76
21.962	22.169	57
22.1607	22.26	64
22.1607	22.26	60
22.3703	22.7725	77
22.3703	22.569	64
22.3703	22.569	60
22.4697	22.6683	76
22.569	22.7725	75
22.569	22.7725	64
22.569	22.7725	60
22.6683	22.7725	76
22.7725	23.1725	83
22.7725	23.1725	57
22.8725	23.0725	81
22.9725	23.1725	80
22.9725	23.1725	64
22.9725	23.1725	60
23.0725	23.1725	81
23.1725	23.6111	83
23.1725	23.6111	57
23.276	23.4829	81
23.3794	23.6111	80
23.3794	23.6111	64
23.3794	23.6111	60
23.4829	23.6111	81
23.6111	24.0378	84
23.6111	23.824	53
23.8152	23.9216	63
23.8152	23.9216	57
24.0378	24.1406	81
24.0378	24.1406	63
24.0378	24.1406	57
24.2433	24.3505	83
24.2433	24.3505	63
24.2433	24.3505	57
24.4576	24.5589	84
24.4576	24.5589	52
24.6603	24.7616	83
24.6603	24.7616	64
24.6603	24.7616	57
24.863	24.9623	81
24.863	24.9623	50
25.0617	25.1688	80
25.0617	25.1688	59
25.0617	25.1688	53
25.2759	25.3773	81
25.2759	25.3773	48
25.4786	25.58	76
25.4786	25.58	57
25.4786	25.58	52
25.6813	25.7807	50
25.6838	25.7831	77
25.88	25.9879	74
25.88	25.9879	59
25.88	25.9879	53
26.0958	26.5068	72
26.0958	26.3013	52
26.0958	26.3013	57
26.3013	26.5168	57
26.3013	26.5017	52
26.5017	26.7242	52
26.5068	26.5611	72
26.5068	26.7242	56
26.5575	26.6662	71
26.6119	26.7308	72
26.6662	26.7768	71
26.7242	26.9813	52
26.7242	26.9813	56
26.7308	26.9813	72
26.7768	26.8887	71
26.8242	26.9813	69
26.8887	26.9813	71
26.9813	27.4242	69
26.9813	27.4537	45
26.9813	27.4242	57
27.4537	27.5624	72
27.4537	27.5624	76
27.6711	27.7775	74
27.6711	27.7775	77
27.8838	27.988	76
27.8838	27.988	79
27.8838	27.988	48
28.0922	28.1963	76
28.0922	28.1963	79
28.0922	28.1963	60
28.3005	28.4032	81
28.3005	28.4032	52
28.4032	28.731	79
28.506	28.731	77
28.506	28.731	64
28.6137	28.731	76
28.7265	29.1599	74
28.7265	29.1599	71
28.7265	29.1599	55
28.9423	29.1599	67
29.1599	29.2686	72
29.1599	29.2686	76
29.3773	29.4837	74
29.3773	29.4837	77
29.5901	29.6942	76
29.5901	29.6942	79
29.5901	29.6942	48
29.7984	29.9026	76
29.7984	29.9026	79
29.7984	29.9026	60
30.0067	30.1095	81
30.0067	30.1095	52
30.1095	30.4372	79
30.2122	30.4372	77
30.2122	30.4372	64
30.32	30.4372	76
30.4327	30.8661	74
30.4327	30.8661	71
30.4327	30.8661	55
30.8661	30.9798	69
30.8661	30.9798	72
31.0934	31.1998	71
31.0934	31.1998	74
31.3062	31.4103	72
31.3062	31.4103	76
31.3062	31.4103	45
31.5145	31.6187	72
31.5145	31.6187	76
31.5145	31.6187	57
31.7228	31.8256	77
31.7228	31.8256	48
31.8256	32.1533	76
31.9283	32.1533	74
31.9283	32.1533	60
32.036	32.1533	72
32.1488	32.5805	71
32.1488	32.5805	68
32.1488	32.5805	52
32.3647	32.5805	64
32.5805	32.6892	69
32.5805	32.6892	72
32.7979	32.9042	71
32.7979	32.9042	74
33.0106	33.1148	72
33.0106	33.1148	76
33.0106	33.1148	45
33.219	33.3231	72
33.219	33.3231	76
33.219	33.3231	57
33.4273	33.53	77
33.4273	33.53	48
33.53	33.8578	76
33.6328	33.8578	74
33.6328	33.8578	60
33.7405	33.8578	72
33.8533	34.2849	71
33.8533	34.2849	68
33.8533	34.2849	52
34.2849	34.3843	71
34.3843	34.4836	69
34.4836	34.583	68
34.583	34.6957	69
34.6957	34.9027	72
34.6957	34.9027	57
34.8944	34.9937	64
34.8944	34.9937	60
35.1065	35.5202	74
35.1065	35.3065	60
35.1065	35.3065	64
35.2065	35.4065	72
35.3065	35.5202	71
35.3065	35.5202	60
35.3065	35.5202	64
35.4065	35.5202	72
35.5202	35.7271	76
35.5202	35.7271	57
35.7189	35.8182	64
35.7189	35.8182	60
35.9285	36.3307	77
35.9285	36.1272	64
35.9285	36.1272	60
36.0278	36.2265	76
36.1272	36.3307	75
36.1272	36.3307	64
36.1272	36.3307	60
36.2265	36.3307	76
36.3307	36.7307	83
36.3307	36.7307	57
36.4307	36.6307	81
36.5307	36.7307	80
36.5307	36.7307	64
36.5307	36.7307	60
36.6307	36.7307	81
36.7307	37.1692	83
36.7307	37.1692	57
36.8341	37.041	81
36.9376	37.1692	80
36.9376	37.1692	64
36.9376	37.1692	60
37.041	37.1692	81
37.1692	37.596	84
37.1692	37.3822	53
37.3733	37.4797	63
37.3733	37.4797	57
37.596	37.6987	81
37.596	37.6987	63
37.596	37.6987	57
37.8015	37.9086	83
37.8015	37.9086	63
37.8015	37.9086	57
38.0158	38.1171	84
38.0158	38.1171	52
